,Timeshares & Vacation Properties
2020-05-24,60.87475665152499
2020-05-31,59.49123945489942
2020-06-07,62.25827384815056
2020-06-14,59.49123945489942
2020-06-21,67.79234263465283
2020-06-28,67.79234263465283
2020-07-05,70.55937702790396
2020-07-12,71.94289422452954
2020-07-19,71.94289422452954
2020-07-26,76.09344581440624
2020-08-02,69.1758598312784
2020-08-09,73.3264114211551
2020-08-16,74.70992861778066
2020-08-23,73.3264114211551
2020-08-30,76.09344581440624
2020-09-06,78.86048020765737
2020-09-13,77.4769630110318
2020-09-20,76.09344581440624
2020-09-27,74.70992861778066
2020-10-04,80.24399740428294
2020-10-11,84.39454899415965
2020-10-18,77.4769630110318
2020-10-25,80.24399740428294
2020-11-01,73.3264114211551
2020-11-08,70.55937702790396
2020-11-15,77.4769630110318
2020-11-22,80.24399740428294
2020-11-29,76.09344581440624
2020-12-06,81.62751460090851
2020-12-13,85.77806619078521
2020-12-20,84.39454899415965
2020-12-27,85.77806619078521
2021-01-03,80.24399740428294
2021-01-10,78.86048020765737
2021-01-17,80.24399740428294
2021-01-24,80.24399740428294
2021-01-31,78.86048020765737
2021-02-07,74.70992861778066
2021-02-14,83.01103179753407
2021-02-21,81.62751460090851
2021-02-28,77.4769630110318
2021-03-07,77.4769630110318
2021-03-14,78.86048020765737
2021-03-21,80.24399740428294
2021-03-28,83.01103179753407
2021-04-04,83.01103179753407
2021-04-11,81.62751460090851
2021-04-18,87.16158338741079
2021-04-25,92.69565217391305
2021-05-02,94.07916937053862
2021-05-09,88.54510058403635
2021-05-16,94.07916937053862
2021-05-23,88.54510058403635
2021-05-30,100.99675535366646
2021-06-06,92.69565217391305
2021-06-13,96.84620376378976
2021-06-20,96.84620376378976
2021-06-27,96.84620376378976
2021-07-04,106.53082414016873
2021-07-11,109.29785853341987
2021-07-18,116.2154445165477
2021-07-25,100.99675535366646
2021-08-01,92.69565217391305
2021-08-08,100.99675535366646
2021-08-15,98.22972096041532
2021-08-22,88.54510058403635
2021-08-29,92.69565217391305
2021-09-05,91.31213497728749
2021-09-12,94.07916937053862
2021-09-19,91.31213497728749
2021-09-26,92.69565217391305
2021-10-03,85.77806619078521
2021-10-10,84.39454899415965
2021-10-17,87.16158338741079
2021-10-24,76.09344581440624
2021-10-31,73.3264114211551
2021-11-07,83.01103179753407
2021-11-14,84.39454899415965
2021-11-21,83.01103179753407
2021-11-28,89.92861778066191
2021-12-05,92.69565217391305
2021-12-12,85.77806619078521
2021-12-19,95.46268656716418
2021-12-26,95.46268656716418
2022-01-02,98.22972096041532
2022-01-09,96.84620376378976
2022-01-16,88.54510058403635
2022-01-23,89.92861778066191
2022-01-30,100.99675535366646
2022-02-06,85.77806619078521
2022-02-13,91.31213497728749
2022-02-20,98.22972096041532
2022-02-27,89.92861778066191
2022-03-06,89.92861778066191
2022-03-13,89.92861778066191
2022-03-20,91.31213497728749
2022-03-27,88.54510058403635
2022-04-03,92.69565217391305
2022-04-10,105.14730694354316
2022-04-17,96.84620376378976
2022-04-24,99.6132381570409
2022-05-01,112.064892926671
2022-05-08,105.14730694354316
2022-05-15,112.064892926671
2022-05-22,116.2154445165477
2022-05-29,112.064892926671
2022-06-05,110.68137573004543
2022-06-12,121.74951330304998
2022-06-19,123.13303049967554
2022-06-26,124.51654769630112
2022-07-03,123.13303049967554
2022-07-10,124.51654769630112
2022-07-17,124.51654769630112
2022-07-24,112.064892926671
2022-07-31,116.2154445165477
2022-08-07,117.59896171317328
2022-08-14,113.44841012329657
2022-08-21,110.68137573004543
2022-08-28,107.9143413367943
2022-09-04,116.2154445165477
2022-09-11,107.9143413367943
2022-09-18,113.44841012329657
2022-09-25,114.83192731992214
2022-10-02,118.98247890979884
2022-10-09,114.83192731992214
2022-10-16,106.53082414016873
2022-10-23,92.69565217391305
2022-10-30,106.53082414016873
2022-11-06,103.7637897469176
2022-11-13,100.99675535366646
2022-11-20,91.31213497728749
2022-11-27,94.07916937053862
2022-12-04,105.14730694354316
2022-12-11,102.38027255029203
2022-12-18,110.68137573004543
2022-12-25,124.51654769630112
2023-01-01,110.68137573004543
2023-01-08,105.14730694354316
2023-01-15,103.7637897469176
2023-01-22,112.064892926671
2023-01-29,107.9143413367943
2023-02-05,103.7637897469176
2023-02-12,96.84620376378976
2023-02-19,109.29785853341987
2023-02-26,107.9143413367943
2023-03-05,99.6132381570409
2023-03-12,110.68137573004543
2023-03-19,113.44841012329657
2023-03-26,109.29785853341987
2023-04-02,109.29785853341987
2023-04-09,106.53082414016873
2023-04-16,118.98247890979884
2023-04-23,114.83192731992214
2023-04-30,127.28358208955225
2023-05-07,121.74951330304998
2023-05-14,117.59896171317328
2023-05-21,121.74951330304998
2023-05-28,127.28358208955225
2023-06-04,123.13303049967554
2023-06-11,135.58468526930565
2023-06-18,134.20116807268008
2023-06-25,138.3517196625568
2023-07-02,132.81765087605453
2023-07-09,132.81765087605453
2023-07-16,125.90006489292668
2023-07-23,123.13303049967554
2023-07-30,116.2154445165477
2023-08-06,116.2154445165477
2023-08-13,117.59896171317328
2023-08-20,121.74951330304998
2023-08-27,116.2154445165477
2023-09-03,123.13303049967554
2023-09-10,116.2154445165477
2023-09-17,114.83192731992214
2023-09-24,118.98247890979884
2023-10-01,106.53082414016873
2023-10-08,102.38027255029203
2023-10-15,113.44841012329657
2023-10-22,99.6132381570409
2023-10-29,98.22972096041532
2023-11-05,99.6132381570409
2023-11-12,95.46268656716418
2023-11-19,100.99675535366646
2023-11-26,107.9143413367943
2023-12-03,110.68137573004543
2023-12-10,106.53082414016873
2023-12-17,109.29785853341987
2023-12-24,131.43413367942895
2023-12-31,118.98247890979884
2024-01-07,106.53082414016873
2024-01-14,103.7637897469176
2024-01-21,103.7637897469176
2024-01-28,95.46268656716418
2024-02-04,98.22972096041532
2024-02-11,91.31213497728749
2024-02-18,100.99675535366646
2024-02-25,95.46268656716418
2024-03-03,92.69565217391305
2024-03-10,98.22972096041532
2024-03-17,98.22972096041532
2024-03-24,96.84620376378976
2024-03-31,98.22972096041532
2024-04-07,89.92861778066191
2024-04-14,95.46268656716418
2024-04-21,99.6132381570409
2024-04-28,100.99675535366646
2024-05-05,99.6132381570409
2024-05-12,102.38027255029203
2024-05-19,106.53082414016873
2024-05-26,113.44841012329657
2024-06-02,105.14730694354316
2024-06-09,106.53082414016873
2024-06-16,118.98247890979884
2024-06-23,107.9143413367943
2024-06-30,107.9143413367943
2024-07-07,112.064892926671
2024-07-14,114.83192731992214
2024-07-21,112.064892926671
2024-07-28,109.29785853341987
2024-08-04,107.9143413367943
2024-08-11,113.44841012329657
2024-08-18,114.83192731992214
2024-08-25,102.38027255029203
2024-09-01,116.2154445165477
2024-09-08,103.7637897469176
2024-09-15,100.99675535366646
2024-09-22,105.14730694354316
2024-09-29,102.38027255029203
2024-10-06,96.84620376378976
2024-10-13,102.38027255029203
2024-10-20,100.99675535366646
2024-10-27,89.92861778066191
2024-11-03,98.22972096041532
2024-11-10,105.14730694354316
2024-11-17,100.99675535366646
2024-11-24,102.38027255029203
2024-12-01,94.07916937053862
2024-12-08,99.6132381570409
2024-12-15,102.38027255029203
2024-12-22,118.98247890979884
2024-12-29,110.68137573004543
2025-01-05,103.7637897469176
2025-01-12,102.38027255029203
2025-01-19,106.53082414016873
2025-01-26,98.22972096041532
2025-02-02,99.6132381570409
2025-02-09,100.99675535366646
2025-02-16,103.7637897469176
2025-02-23,105.14730694354316
2025-03-02,92.69565217391305
2025-03-09,95.46268656716418
2025-03-16,103.7637897469176
2025-03-23,98.22972096041532
2025-03-30,105.14730694354316
2025-04-06,103.7637897469176
2025-04-13,107.9143413367943
2025-04-20,107.9143413367943
2025-04-27,106.53082414016873
2025-05-04,107.9143413367943
2025-05-11,109.29785853341987
2025-05-18,117.59896171317328
2025-05-25,116.2154445165477
2025-06-01,114.83192731992214
2025-06-08,118.98247890979884
2025-06-15,118.98247890979884
2025-06-22,118.98247890979884
2025-06-29,116.2154445165477
2025-07-06,113.44841012329657
2025-07-13,121.74951330304998
2025-07-20,113.44841012329657
2025-07-27,110.68137573004543
2025-08-03,110.68137573004543
2025-08-10,112.064892926671
2025-08-17,110.68137573004543
2025-08-24,107.9143413367943
2025-08-31,109.29785853341987
2025-09-07,103.7637897469176
2025-09-14,99.6132381570409
2025-09-21,105.14730694354316
2025-09-28,98.22972096041532
2025-10-05,112.064892926671
2025-10-12,102.38027255029203
2025-10-19,96.84620376378976
2025-10-26,110.68137573004543
2025-11-02,110.68137573004543
2025-11-09,106.53082414016873
2025-11-16,102.38027255029203
2025-11-23,99.6132381570409
2025-11-30,102.38027255029203
2025-12-07,102.38027255029203
2025-12-14,107.9143413367943
2025-12-21,121.74951330304998
2025-12-28,124.51654769630112
2026-01-04,110.68137573004543
