,Travel Agencies & Services
2014-12-28,34.0
2015-01-04,37.0
2015-01-11,37.0
2015-01-18,33.0
2015-01-25,31.0
2015-02-01,52.0
2015-02-08,37.0
2015-02-15,38.0
2015-02-22,45.0
2015-03-01,32.0
2015-03-08,57.0
2015-03-15,60.0
2015-03-22,35.0
2015-03-29,53.0
2015-04-05,51.0
2015-04-12,50.0
2015-04-19,48.0
2015-04-26,36.0
2015-05-03,48.0
2015-05-10,46.0
2015-05-17,50.0
2015-05-24,43.0
2015-05-31,28.0
2015-06-07,31.0
2015-06-14,25.0
2015-06-21,36.0
2015-06-28,22.0
2015-07-05,38.0
2015-07-12,40.0
2015-07-19,44.0
2015-07-26,28.0
2015-08-02,48.0
2015-08-09,45.0
2015-08-16,50.0
2015-08-23,48.0
2015-08-30,35.0
2015-09-06,47.0
2015-09-13,39.0
2015-09-20,40.0
2015-09-27,42.0
2015-10-04,45.0
2015-10-11,56.0
2015-10-18,57.0
2015-10-25,55.0
2015-11-01,41.0
2015-11-08,55.0
2015-11-15,35.0
2015-11-22,49.0
2015-11-29,49.0
2015-12-06,29.0
2015-12-13,39.0
2015-12-20,42.0
2015-12-27,56.0
2016-01-03,31.0
2016-01-10,55.0
2016-01-17,49.0
2016-01-24,43.0
2016-01-31,41.0
2016-02-07,42.0
2016-02-14,47.0
2016-02-21,45.0
2016-02-28,52.0
2016-03-06,50.0
2016-03-13,39.0
2016-03-20,58.0
2016-03-27,57.0
2016-04-03,52.0
2016-04-10,44.0
2016-04-17,66.0
2016-04-24,52.0
2016-05-01,52.0
2016-05-08,49.0
2016-05-15,45.0
2016-05-22,38.0
2016-05-29,37.0
2016-06-05,21.0
2016-06-12,39.0
2016-06-19,33.0
2016-06-26,27.0
2016-07-03,34.0
2016-07-10,59.0
2016-07-17,40.0
2016-07-24,49.0
2016-07-31,34.0
2016-08-07,31.0
2016-08-14,40.0
2016-08-21,48.0
2016-08-28,22.0
2016-09-04,34.0
2016-09-11,35.0
2016-09-18,30.0
2016-09-25,13.0
2016-10-02,0.0
