,Shopping
2014-12-28,42.0
2015-01-04,38.0
2015-01-11,38.0
2015-01-18,39.0
2015-01-25,36.0
2015-02-01,39.0
2015-02-08,42.0
2015-02-15,37.0
2015-02-22,35.0
2015-03-01,38.0
2015-03-08,38.0
2015-03-15,39.0
2015-03-22,38.0
2015-03-29,41.0
2015-04-05,39.0
2015-04-12,39.0
2015-04-19,39.0
2015-04-26,40.0
2015-05-03,42.0
2015-05-10,41.0
2015-05-17,42.0
2015-05-24,39.0
2015-05-31,40.0
2015-06-07,39.0
2015-06-14,39.0
2015-06-21,45.0
2015-06-28,50.0
2015-07-05,55.0
2015-07-12,54.0
2015-07-19,54.0
2015-07-26,56.0
2015-08-02,55.0
2015-08-09,56.0
2015-08-16,53.0
2015-08-23,51.0
2015-08-30,50.0
2015-09-06,50.0
2015-09-13,50.0
2015-09-20,51.0
2015-09-27,52.0
2015-10-04,53.0
2015-10-11,61.0
2015-10-18,55.0
2015-10-25,55.0
2015-11-01,54.0
2015-11-08,48.0
2015-11-15,47.0
2015-11-22,48.0
2015-11-29,46.0
2015-12-06,46.0
2015-12-13,50.0
2015-12-20,54.0
2015-12-27,48.0
2016-01-03,45.0
2016-01-10,46.0
2016-01-17,47.0
2016-01-24,45.0
2016-01-31,47.0
2016-02-07,50.0
2016-02-14,46.0
2016-02-21,44.0
2016-02-28,42.0
2016-03-06,45.0
2016-03-13,45.0
2016-03-20,45.0
2016-03-27,46.0
2016-04-03,47.0
2016-04-10,48.0
2016-04-17,45.0
2016-04-24,45.0
2016-05-01,53.0
2016-05-08,50.0
2016-05-15,45.0
2016-05-22,47.0
2016-05-29,48.0
2016-06-05,49.0
2016-06-12,49.0
2016-06-19,53.0
2016-06-26,53.0
2016-07-03,57.0
2016-07-10,49.0
2016-07-17,56.0
2016-07-24,55.0
2016-07-31,53.0
2016-08-07,58.0
2016-08-14,57.0
2016-08-21,54.0
2016-08-28,56.0
2016-09-04,56.0
2016-09-11,54.0
2016-09-18,56.0
2016-09-25,57.0
2016-10-02,69.0
2016-10-09,63.0
2016-10-16,67.0
2016-10-23,64.0
2016-10-30,58.0
2016-11-06,54.0
2016-11-13,53.0
2016-11-20,58.0
2016-11-27,62.0
2016-12-04,57.0
2016-12-11,60.0
2016-12-18,64.0
2016-12-25,69.0
2017-01-01,63.0
2017-01-08,58.0
2017-01-15,61.0
2017-01-22,58.0
2017-01-29,59.0
2017-02-05,61.0
2017-02-12,60.0
2017-02-19,57.0
2017-02-26,55.0
2017-03-05,56.0
2017-03-12,54.0
2017-03-19,61.0
2017-03-26,61.0
2017-04-02,58.0
2017-04-09,63.0
2017-04-16,60.0
2017-04-23,62.0
2017-04-30,63.0
2017-05-07,63.0
2017-05-14,62.0
2017-05-21,64.0
2017-05-28,61.0
2017-06-04,63.0
2017-06-11,65.0
2017-06-18,71.0
2017-06-25,70.0
2017-07-02,70.0
2017-07-09,68.0
2017-07-16,65.0
2017-07-23,67.0
2017-07-30,65.0
2017-08-06,71.0
2017-08-13,69.0
2017-08-20,66.0
2017-08-27,63.0
2017-09-03,64.0
2017-09-10,62.0
2017-09-17,68.0
2017-09-24,69.0
2017-10-01,69.0
2017-10-08,71.0
2017-10-15,69.0
2017-10-22,65.0
2017-10-29,67.0
2017-11-05,67.0
2017-11-12,68.0
2017-11-19,65.0
2017-11-26,68.0
2017-12-03,69.0
2017-12-10,69.0
2017-12-17,75.0
2017-12-24,79.0
2017-12-31,69.0
2018-01-07,71.0
2018-01-14,69.0
2018-01-21,72.0
2018-01-28,67.0
2018-02-04,72.0
2018-02-11,69.0
2018-02-18,70.0
2018-02-25,63.0
2018-03-04,64.0
2018-03-11,66.0
2018-03-18,67.0
