,Jobs
2020-05-24,56.01541425818883
2020-05-31,43.83815028901734
2020-06-07,46.273603082851636
2020-06-14,43.83815028901734
2020-06-21,58.45086705202312
2020-06-28,53.579961464354525
2020-07-05,52.36223506743738
2020-07-12,58.45086705202312
2020-07-19,54.797687861271676
2020-07-26,52.36223506743738
2020-08-02,52.36223506743738
2020-08-09,57.23314065510597
2020-08-16,58.45086705202312
2020-08-23,54.797687861271676
2020-08-30,63.321772639691716
2020-09-06,63.321772639691716
2020-09-13,58.45086705202312
2020-09-20,60.886319845857415
2020-09-27,59.66859344894027
2020-10-04,57.23314065510597
2020-10-11,60.886319845857415
2020-10-18,56.01541425818883
2020-10-25,56.01541425818883
2020-11-01,54.797687861271676
2020-11-08,49.92678227360308
2020-11-15,58.45086705202312
2020-11-22,71.84585741811175
2020-11-29,65.75722543352602
2020-12-06,70.6281310211946
2020-12-13,86.45857418111753
2020-12-20,81.58766859344894
2020-12-27,73.0635838150289
2021-01-03,77.9344894026975
2021-01-10,66.97495183044316
2021-01-17,79.15221579961464
2021-01-24,69.41040462427746
2021-01-31,81.58766859344894
2021-02-07,76.71676300578035
2021-02-14,75.4990366088632
2021-02-21,86.45857418111753
2021-02-28,81.58766859344894
2021-03-07,75.4990366088632
2021-03-14,80.3699421965318
2021-03-21,91.32947976878613
2021-03-28,77.9344894026975
2021-04-04,79.15221579961464
2021-04-11,62.104046242774565
2021-04-18,54.797687861271676
2021-04-25,52.36223506743738
2021-05-02,49.92678227360308
2021-05-09,51.14450867052023
2021-05-16,49.92678227360308
2021-05-23,53.579961464354525
2021-05-30,59.66859344894027
2021-06-06,63.321772639691716
2021-06-13,73.0635838150289
2021-06-20,74.28131021194605
2021-06-27,69.41040462427746
2021-07-04,79.15221579961464
2021-07-11,79.15221579961464
2021-07-18,90.11175337186897
2021-07-25,99.85356454720616
2021-08-01,90.11175337186897
2021-08-08,86.45857418111753
2021-08-15,92.54720616570327
2021-08-22,86.45857418111753
2021-08-29,86.45857418111753
2021-09-05,82.80539499036608
2021-09-12,85.24084778420038
2021-09-19,86.45857418111753
2021-09-26,77.9344894026975
2021-10-03,73.0635838150289
2021-10-10,68.1926782273603
2021-10-17,80.3699421965318
2021-10-24,84.02312138728324
2021-10-31,65.75722543352602
2021-11-07,71.84585741811175
2021-11-14,71.84585741811175
2021-11-21,71.84585741811175
2021-11-28,69.41040462427746
2021-12-05,74.28131021194605
2021-12-12,75.4990366088632
2021-12-19,86.45857418111753
2021-12-26,75.4990366088632
2022-01-02,88.89402697495183
2022-01-09,92.54720616570327
2022-01-16,77.9344894026975
2022-01-23,82.80539499036608
2022-01-30,82.80539499036608
2022-02-06,73.0635838150289
2022-02-13,77.9344894026975
2022-02-20,79.15221579961464
2022-02-27,75.4990366088632
2022-03-06,81.58766859344894
2022-03-13,81.58766859344894
2022-03-20,88.89402697495183
2022-03-27,115.6840077071291
2022-04-03,86.45857418111753
2022-04-10,82.80539499036608
2022-04-17,76.71676300578035
2022-04-24,80.3699421965318
2022-05-01,86.45857418111753
2022-05-08,84.02312138728324
