,Business News
2014-12-28,55.0
2015-01-04,46.0
2015-01-11,48.0
2015-01-18,61.0
2015-01-25,65.0
2015-02-01,46.0
2015-02-08,55.0
2015-02-15,58.0
2015-02-22,57.0
2015-03-01,52.0
2015-03-08,49.0
2015-03-15,55.0
2015-03-22,51.0
2015-03-29,49.0
2015-04-05,48.0
2015-04-12,35.0
2015-04-19,52.0
2015-04-26,53.0
2015-05-03,50.0
2015-05-10,56.0
2015-05-17,56.0
2015-05-24,52.0
2015-05-31,48.0
2015-06-07,52.0
2015-06-14,51.0
2015-06-21,51.0
2015-06-28,51.0
2015-07-05,55.0
2015-07-12,57.0
2015-07-19,54.0
2015-07-26,49.0
2015-08-02,53.0
2015-08-09,57.0
2015-08-16,50.0
2015-08-23,62.0
2015-08-30,60.0
2015-09-06,58.0
2015-09-13,57.0
2015-09-20,50.0
2015-09-27,54.0
2015-10-04,54.0
2015-10-11,52.0
2015-10-18,56.0
2015-10-25,55.0
2015-11-01,55.0
2015-11-08,52.0
2015-11-15,55.0
2015-11-22,58.0
2015-11-29,58.0
2015-12-06,54.0
2015-12-13,53.0
2015-12-20,45.0
2015-12-27,54.0
2016-01-03,59.0
2016-01-10,58.0
2016-01-17,62.0
2016-01-24,60.0
2016-01-31,59.0
2016-02-07,58.0
2016-02-14,65.0
2016-02-21,67.0
2016-02-28,64.0
2016-03-06,66.0
2016-03-13,60.0
2016-03-20,54.0
2016-03-27,56.0
2016-04-03,55.0
2016-04-10,47.0
2016-04-17,53.0
2016-04-24,59.0
2016-05-01,61.0
2016-05-08,58.0
2016-05-15,54.0
2016-05-22,53.0
2016-05-29,58.0
2016-06-05,66.0
2016-06-12,59.0
2016-06-19,61.0
2016-06-26,55.0
2016-07-03,55.0
2016-07-10,61.0
2016-07-17,57.0
2016-07-24,64.0
2016-07-31,57.0
2016-08-07,61.0
2016-08-14,58.0
2016-08-21,62.0
2016-08-28,57.0
2016-09-04,59.0
2016-09-11,56.0
2016-09-18,59.0
2016-09-25,61.0
2016-10-02,59.0
2016-10-09,56.0
2016-10-16,60.0
2016-10-23,56.0
2016-10-30,60.0
2016-11-06,66.0
2016-11-13,61.0
2016-11-20,63.0
2016-11-27,56.0
2016-12-04,58.0
2016-12-11,54.0
2016-12-18,56.0
2016-12-25,54.0
2017-01-01,60.0
2017-01-08,57.0
2017-01-15,66.0
2017-01-22,61.0
2017-01-29,60.0
2017-02-05,59.0
2017-02-12,69.0
2017-02-19,70.0
2017-02-26,60.0
2017-03-05,58.0
2017-03-12,60.0
2017-03-19,61.0
2017-03-26,62.0
2017-04-02,57.0
2017-04-09,44.0
2017-04-16,65.0
2017-04-23,60.0
2017-04-30,59.0
2017-05-07,52.0
2017-05-14,59.0
2017-05-21,62.0
2017-05-28,56.0
2017-06-04,54.0
2017-06-11,61.0
2017-06-18,64.0
2017-06-25,60.0
2017-07-02,59.0
2017-07-09,59.0
2017-07-16,59.0
2017-07-23,67.0
2017-07-30,58.0
2017-08-06,60.0
2017-08-13,61.0
2017-08-20,65.0
2017-08-27,56.0
2017-09-03,56.0
2017-09-10,61.0
2017-09-17,60.0
2017-09-24,60.0
2017-10-01,58.0
2017-10-08,59.0
2017-10-15,59.0
2017-10-22,62.0
2017-10-29,57.0
2017-11-05,67.0
2017-11-12,60.0
2017-11-19,62.0
2017-11-26,56.0
2017-12-03,54.0
2017-12-10,57.0
2017-12-17,58.0
2017-12-24,60.0
2017-12-31,63.0
2018-01-07,64.0
2018-01-14,69.0
2018-01-21,65.0
2018-01-28,66.0
2018-02-04,72.0
2018-02-11,70.0
2018-02-18,68.0
2018-02-25,58.0
2018-03-04,71.0
2018-03-11,58.0
2018-03-18,56.0
2018-03-25,63.0
2018-04-01,56.0
2018-04-08,45.0
2018-04-15,51.0
2018-04-22,51.0
2018-04-29,55.0
2018-05-06,68.0
2018-05-13,60.0
2018-05-20,62.0
2018-05-27,54.0
2018-06-03,60.0
2018-06-10,58.0
2018-06-17,55.0
2018-06-24,55.0
2018-07-01,59.0
2018-07-08,66.0
2018-07-15,68.0
2018-07-22,60.0
2018-07-29,68.0
2018-08-05,68.0
2018-08-12,60.0
2018-08-19,57.0
2018-08-26,59.0
2018-09-02,64.0
2018-09-09,64.0
2018-09-16,65.0
2018-09-23,57.0
2018-09-30,72.0
2018-10-07,66.0
2018-10-14,66.0
2018-10-21,61.0
2018-10-28,86.0
2018-11-04,80.0
2018-11-11,72.0
2018-11-18,68.0
2018-11-25,67.0
2018-12-02,68.0
2018-12-09,90.0
2018-12-16,95.0
2018-12-23,85.0
2018-12-30,92.0
2019-01-06,85.0
2019-01-13,84.0
2019-01-20,100.0
2019-01-27,97.0
2019-02-03,78.0
2019-02-10,100.0
2019-02-17,90.0
2019-02-24,90.0
2019-03-03,83.0
2019-03-10,80.0
2019-03-17,81.0
2019-03-24,74.0
2019-03-31,70.0
2019-04-07,62.0
2019-04-14,56.0
2019-04-21,82.0
2019-04-28,72.0
2019-05-05,86.0
2019-05-12,76.0
2019-05-19,69.0
2019-05-26,69.0
2019-06-02,63.0
2019-06-09,66.0
2019-06-16,61.0
2019-06-23,68.0
2019-06-30,67.0
2019-07-07,64.0
2019-07-14,60.0
2019-07-21,71.0
2019-07-28,83.0
2019-08-04,91.0
2019-08-11,71.0
2019-08-18,69.0
2019-08-25,68.0
2019-09-01,66.0
2019-09-08,62.0
2019-09-15,67.0
2019-09-22,65.0
2019-09-29,61.0
2019-10-06,61.0
2019-10-13,61.0
2019-10-20,61.0
2019-10-27,88.0
2019-11-03,67.0
2019-11-10,62.0
2019-11-17,83.0
2019-11-24,71.0
2019-12-01,66.0
2019-12-08,63.0
2019-12-15,74.0
2019-12-22,78.0
2019-12-29,85.0
2020-01-05,78.4450951683748
2020-01-12,72.84187408491947
2020-01-19,77.04428989751098
2020-01-26,71.44106881405563
2020-02-02,85.44912152269399
2020-02-09,89.6515373352855
2020-02-16,79.84590043923865
2020-02-23,72.84187408491947
2020-03-01,72.84187408491947
2020-03-08,81.24670571010247
2020-03-15,70.0402635431918
2020-03-22,60.23462664714494
2020-03-29,60.23462664714494
2020-04-05,68.63945827232796
2020-04-12,61.63543191800878
2020-04-19,72.84187408491947
2020-04-26,67.23865300146412
2020-05-03,64.43704245973645
2020-05-10,65.83784773060029
2020-05-17,68.63945827232796
2020-05-24,63.03623718887261
2020-05-31,68.63945827232796
2020-06-07,71.44106881405563
2020-06-14,71.44106881405563
2020-06-21,71.44106881405563
2020-06-28,78.4450951683748
2020-07-05,75.64348462664714
2020-07-12,72.84187408491947
2020-07-19,72.84187408491947
2020-07-26,72.84187408491947
2020-08-02,61.63543191800878
2020-08-09,74.2426793557833
2020-08-16,68.63945827232796
2020-08-23,67.23865300146412
2020-08-30,67.23865300146412
2020-09-06,68.63945827232796
2020-09-13,70.0402635431918
2020-09-20,68.63945827232796
2020-09-27,71.44106881405563
2020-10-04,70.0402635431918
2020-10-11,86.84992679355783
2020-10-18,77.04428989751098
2020-10-25,72.84187408491947
2020-11-01,67.23865300146412
2020-11-08,85.44912152269399
2020-11-15,74.2426793557833
2020-11-22,78.4450951683748
2020-11-29,72.84187408491947
2020-12-06,71.44106881405563
2020-12-13,74.2426793557833
2020-12-20,72.84187408491947
2020-12-27,65.83784773060029
2021-01-03,95.25475841874083
2021-01-10,89.6515373352855
2021-01-17,85.44912152269399
2021-01-24,79.84590043923865
2021-01-31,74.2426793557833
2021-02-07,72.84187408491947
2021-02-14,71.44106881405563
2021-02-21,67.23865300146412
2021-02-28,72.84187408491947
2021-03-07,77.04428989751098
2021-03-14,84.04831625183016
2021-03-21,74.2426793557833
2021-03-28,70.0402635431918
2021-04-04,71.44106881405563
2021-04-11,49.02818448023426
2021-04-18,67.23865300146412
2021-04-25,68.63945827232796
2021-05-02,82.64751098096632
2021-05-09,78.4450951683748
2021-05-16,75.64348462664714
2021-05-23,68.63945827232796
2021-05-30,77.04428989751098
2021-06-06,77.04428989751098
2021-06-13,75.64348462664714
2021-06-20,71.44106881405563
2021-06-27,82.64751098096632
2021-07-04,88.25073206442165
2021-07-11,89.6515373352855
2021-07-18,77.04428989751098
2021-07-25,79.84590043923865
2021-08-01,77.04428989751098
2021-08-08,77.04428989751098
2021-08-15,77.04428989751098
2021-08-22,75.64348462664714
2021-08-29,77.04428989751098
2021-09-05,78.4450951683748
2021-09-12,81.24670571010247
2021-09-19,77.04428989751098
2021-09-26,77.04428989751098
2021-10-03,84.04831625183016
2021-10-10,92.45314787701317
2021-10-17,82.64751098096632
2021-10-24,82.64751098096632
2021-10-31,82.64751098096632
2021-11-07,78.4450951683748
2021-11-14,78.4450951683748
2021-11-21,82.64751098096632
2021-11-28,84.04831625183016
2021-12-05,82.64751098096632
2021-12-12,84.04831625183016
2021-12-19,82.64751098096632
2021-12-26,84.04831625183016
2022-01-02,112.06442166910688
2022-01-09,110.66361639824304
2022-01-16,95.25475841874083
2022-01-23,110.66361639824304
2022-01-30,112.06442166910688
2022-02-06,138.67972181551974
2022-02-13,140.0805270863836
2022-02-20,120.46925329428989
2022-02-27,117.66764275256222
2022-03-06,121.87005856515373
2022-03-13,117.66764275256222
2022-03-20,113.4652269399707
2022-03-27,106.46120058565153
2022-04-03,105.0603953147877
2022-04-10,99.45717423133235
2022-04-17,113.4652269399707
2022-04-24,124.6716691068814
2022-05-01,117.66764275256222
2022-05-08,113.4652269399707
2022-05-15,109.2628111273792
2022-05-22,117.66764275256222
2022-05-29,110.66361639824304
2022-06-05,106.46120058565153
2022-06-12,103.65959004392386
2022-06-19,116.26683748169837
2022-06-26,117.66764275256222
2022-07-03,116.26683748169837
2022-07-10,113.4652269399707
2022-07-17,112.06442166910688
2022-07-24,107.86200585651537
2022-07-31,116.26683748169837
2022-08-07,112.06442166910688
2022-08-14,126.07247437774522
2022-08-21,113.4652269399707
2022-08-28,128.8740849194729
2022-09-04,107.86200585651537
2022-09-11,116.26683748169837
2022-09-18,107.86200585651537
2022-09-25,110.66361639824304
2022-10-02,105.0603953147877
2022-10-09,114.86603221083455
2022-10-16,116.26683748169837
2022-10-23,109.2628111273792
2022-10-30,110.66361639824304
2022-11-06,102.25878477306001
2022-11-13,116.26683748169837
2022-11-20,100.85797950219619
2022-11-27,93.85395314787701
2022-12-04,96.65556368960468
2022-12-11,123.27086383601755
2022-12-18,112.06442166910688
2022-12-25,110.66361639824304
2023-01-01,105.0603953147877
2023-01-08,105.0603953147877
2023-01-15,109.2628111273792
2023-01-22,116.26683748169837
2023-01-29,119.06844802342604
2023-02-05,109.2628111273792
2023-02-12,107.86200585651537
2023-02-19,107.86200585651537
2023-02-26,105.0603953147877
2023-03-05,105.0603953147877
2023-03-12,99.45717423133235
2023-03-19,113.4652269399707
2023-03-26,117.66764275256222
2023-04-02,114.86603221083455
2023-04-09,91.05234260614934
2023-04-16,106.46120058565153
2023-04-23,107.86200585651537
2023-04-30,103.65959004392386
2023-05-07,109.2628111273792
2023-05-14,105.0603953147877
2023-05-21,103.65959004392386
2023-05-28,103.65959004392386
2023-06-04,99.45717423133235
2023-06-11,107.86200585651537
2023-06-18,120.46925329428989
2023-06-25,113.4652269399707
2023-07-02,109.2628111273792
2023-07-09,114.86603221083455
2023-07-16,109.2628111273792
