,Mail & Package Delivery
2020-05-24,29.208787346221442
2020-05-31,39.368365553602814
2020-06-07,46.988049209138836
2020-06-14,41.90826010544815
2020-06-21,36.82847100175747
2020-06-28,57.14762741652021
2020-07-05,66.0372583479789
2020-07-12,35.558523725834796
2020-07-19,48.25799648506151
2020-07-26,48.25799648506151
2020-08-02,57.14762741652021
2020-08-09,78.73673110720563
2020-08-16,73.65694200351494
2020-08-23,48.25799648506151
2020-08-30,59.68752196836555
2020-09-06,58.417574692442884
2020-09-13,74.9268892794376
2020-09-20,62.227416520210895
2020-09-27,58.417574692442884
2020-10-04,69.84710017574692
2020-10-11,68.57715289982426
2020-10-18,64.76731107205623
2020-10-25,69.84710017574692
2020-11-01,68.57715289982426
2020-11-08,71.11704745166959
2020-11-15,53.3377855887522
2020-11-22,54.607732864674865
2020-11-29,76.19683655536028
2020-12-06,82.54657293497364
2020-12-13,86.35641476274165
2020-12-20,91.43620386643234
2020-12-27,74.9268892794376
2021-01-03,71.11704745166959
2021-01-10,85.08646748681898
2021-01-17,80.00667838312829
2021-01-24,67.30720562390158
2021-01-31,96.51599297012302
2021-02-07,72.38699472759227
2021-02-14,73.65694200351494
2021-02-21,78.73673110720563
2021-02-28,83.8165202108963
2021-03-07,106.6755711775044
2021-03-14,105.40562390158172
2021-03-21,88.89630931458699
2021-03-28,107.94551845342706
2021-04-04,92.70615114235501
2021-04-11,63.49736379613356
2021-04-18,81.27662565905096
2021-04-25,85.08646748681898
2021-05-02,126.99472759226713
2021-05-09,101.59578207381371
2021-05-16,104.13567662565904
2021-05-23,93.97609841827767
2021-05-30,83.8165202108963
2021-06-06,95.24604569420035
2021-06-13,101.59578207381371
2021-06-20,95.24604569420035
2021-06-27,109.21546572934973
2021-07-04,125.72478031634446
2021-07-11,121.91493848857644
2021-07-18,93.97609841827767
2021-07-25,88.89630931458699
2021-08-01,87.62636203866433
2021-08-08,87.62636203866433
2021-08-15,93.97609841827767
2021-08-22,76.19683655536028
2021-08-29,87.62636203866433
2021-09-05,74.9268892794376
2021-09-12,86.35641476274165
2021-09-19,66.0372583479789
2021-09-26,68.57715289982426
2021-10-03,72.38699472759227
2021-10-10,71.11704745166959
2021-10-17,81.27662565905096
2021-10-24,93.97609841827767
2021-10-31,95.24604569420035
2021-11-07,110.4854130052724
2021-11-14,90.16625659050966
2021-11-21,97.7859402460457
2021-11-28,76.19683655536028
2021-12-05,105.40562390158172
2021-12-12,78.73673110720563
2021-12-19,90.16625659050966
2021-12-26,73.65694200351494
2022-01-02,92.70615114235501
2022-01-09,71.11704745166959
2022-01-16,81.27662565905096
2022-01-23,66.0372583479789
2022-01-30,71.11704745166959
2022-02-06,80.00667838312829
2022-02-13,78.73673110720563
2022-02-20,73.65694200351494
2022-02-27,78.73673110720563
2022-03-06,85.08646748681898
2022-03-13,90.16625659050966
2022-03-20,62.227416520210895
2022-03-27,64.76731107205623
2022-04-03,64.76731107205623
2022-04-10,85.08646748681898
2022-04-17,95.24604569420035
2022-04-24,104.13567662565904
2022-05-01,63.49736379613356
2022-05-08,63.49736379613356
2022-05-15,66.0372583479789
2022-05-22,68.57715289982426
2022-05-29,71.11704745166959
2022-06-05,74.9268892794376
2022-06-12,78.73673110720563
2022-06-19,86.35641476274165
2022-06-26,85.08646748681898
2022-07-03,72.38699472759227
2022-07-10,59.68752196836555
2022-07-17,50.797891036906854
2022-07-24,68.57715289982426
2022-07-31,73.65694200351494
2022-08-07,52.06783831282952
2022-08-14,64.76731107205623
2022-08-21,55.87768014059754
2022-08-28,63.49736379613356
2022-09-04,66.0372583479789
2022-09-11,76.19683655536028
2022-09-18,86.35641476274165
2022-09-25,62.227416520210895
2022-10-02,60.95746924428822
2022-10-09,54.607732864674865
2022-10-16,60.95746924428822
2022-10-23,62.227416520210895
2022-10-30,72.38699472759227
2022-11-06,63.49736379613356
2022-11-13,66.0372583479789
2022-11-20,58.417574692442884
2022-11-27,74.9268892794376
2022-12-04,76.19683655536028
2022-12-11,91.43620386643234
2022-12-18,90.16625659050966
2022-12-25,77.46678383128295
2023-01-01,67.30720562390158
2023-01-08,71.11704745166959
2023-01-15,78.73673110720563
2023-01-22,68.57715289982426
2023-01-29,74.9268892794376
2023-02-05,81.27662565905096
2023-02-12,69.84710017574692
2023-02-19,58.417574692442884
2023-02-26,72.38699472759227
2023-03-05,71.11704745166959
2023-03-12,86.35641476274165
2023-03-19,91.43620386643234
2023-03-26,77.46678383128295
2023-04-02,74.9268892794376
2023-04-09,100.32583479789103
2023-04-16,110.4854130052724
2023-04-23,83.8165202108963
2023-04-30,71.11704745166959
2023-05-07,68.57715289982426
2023-05-14,74.9268892794376
2023-05-21,59.68752196836555
2023-05-28,81.27662565905096
2023-06-04,86.35641476274165
2023-06-11,87.62636203866433
2023-06-18,62.227416520210895
2023-06-25,54.607732864674865
2023-07-02,69.84710017574692
2023-07-09,72.38699472759227
2023-07-16,53.3377855887522
2023-07-23,67.30720562390158
2023-07-30,60.95746924428822
2023-08-06,59.68752196836555
2023-08-13,78.73673110720563
2023-08-20,83.8165202108963
2023-08-27,74.9268892794376
2023-09-03,72.38699472759227
2023-09-10,78.73673110720563
2023-09-17,83.8165202108963
2023-09-24,66.0372583479789
2023-10-01,55.87768014059754
2023-10-08,80.00667838312829
2023-10-15,85.08646748681898
2023-10-22,82.54657293497364
2023-10-29,78.73673110720563
2023-11-05,73.65694200351494
2023-11-12,73.65694200351494
2023-11-19,82.54657293497364
2023-11-26,87.62636203866433
2023-12-03,78.73673110720563
2023-12-10,88.89630931458699
2023-12-17,90.16625659050966
2023-12-24,114.29525483304042
2023-12-31,83.8165202108963
2024-01-07,76.60138806932441
2024-01-14,80.63304007297307
2024-01-21,77.94527207054064
2024-01-28,68.53808406202711
2024-02-04,64.50643205837846
2024-02-11,83.32080807540551
2024-02-18,77.94527207054064
2024-02-25,80.63304007297307
2024-03-03,102.13518409243255
2024-03-10,71.22585206445954
2024-03-17,84.66469207662172
2024-03-24,88.69634408027038
2024-03-31,94.07188008513525
2024-04-07,72.56973606567577
2024-04-14,72.56973606567577
2024-04-21,73.91362006689198
2024-04-28,72.56973606567577
2024-05-05,76.60138806932441
2024-05-12,75.2575040681082
2024-05-19,72.56973606567577
2024-05-26,79.28915607175685
2024-06-02,86.00857607783794
2024-06-09,87.35246007905417
2024-06-16,71.22585206445954
2024-06-23,61.81866405594602
2024-06-30,80.63304007297307
2024-07-07,73.91362006689198
2024-07-14,84.66469207662172
2024-07-21,76.60138806932441
2024-07-28,91.38411208270281
2024-08-04,88.69634408027038
2024-08-11,84.66469207662172
2024-08-18,108.85460409851365
2024-08-25,84.66469207662172
2024-09-01,65.85031605959468
2024-09-08,57.78701205229737
2024-09-15,73.91362006689198
2024-09-22,76.60138806932441
2024-09-29,65.85031605959468
2024-10-06,79.28915607175685
2024-10-13,79.28915607175685
2024-10-20,71.22585206445954
2024-10-27,81.97692407418928
2024-11-03,79.28915607175685
