,Hobbies & Leisure
2014-12-28,64.0
2015-01-04,31.0
2015-01-11,29.0
2015-01-18,30.0
2015-01-25,32.0
2015-02-01,32.0
2015-02-08,40.0
2015-02-15,35.0
2015-02-22,33.0
2015-03-01,33.0
2015-03-08,33.0
2015-03-15,32.0
2015-03-22,33.0
2015-03-29,33.0
2015-04-05,33.0
2015-04-12,38.0
2015-04-19,34.0
2015-04-26,34.0
2015-05-03,34.0
2015-05-10,39.0
2015-05-17,36.0
2015-05-24,35.0
2015-05-31,35.0
2015-06-07,34.0
2015-06-14,35.0
2015-06-21,36.0
2015-06-28,37.0
2015-07-05,38.0
2015-07-12,44.0
2015-07-19,39.0
2015-07-26,37.0
2015-08-02,39.0
2015-08-09,38.0
2015-08-16,37.0
2015-08-23,36.0
2015-08-30,37.0
2015-09-06,38.0
2015-09-13,36.0
2015-09-20,40.0
2015-09-27,36.0
2015-10-04,41.0
2015-10-11,39.0
2015-10-18,37.0
2015-10-25,39.0
2015-11-01,39.0
2015-11-08,40.0
2015-11-15,40.0
2015-11-22,38.0
2015-11-29,43.0
2015-12-06,44.0
2015-12-13,47.0
2015-12-20,64.0
2015-12-27,93.0
2016-01-03,42.0
2016-01-10,42.0
2016-01-17,40.0
2016-01-24,39.0
2016-01-31,43.0
2016-02-07,50.0
2016-02-14,45.0
2016-02-21,37.0
2016-02-28,39.0
2016-03-06,41.0
2016-03-13,37.0
2016-03-20,42.0
2016-03-27,41.0
2016-04-03,41.0
2016-04-10,43.0
2016-04-17,39.0
2016-04-24,41.0
2016-05-01,44.0
2016-05-08,45.0
2016-05-15,38.0
2016-05-22,39.0
2016-05-29,43.0
2016-06-05,45.0
2016-06-12,41.0
2016-06-19,41.0
2016-06-26,42.0
2016-07-03,54.0
2016-07-10,41.0
2016-07-17,43.0
2016-07-24,46.0
2016-07-31,46.0
2016-08-07,51.0
2016-08-14,49.0
2016-08-21,47.0
2016-08-28,46.0
2016-09-04,48.0
2016-09-11,51.0
2016-09-18,48.0
2016-09-25,52.0
2016-10-02,55.0
2016-10-09,51.0
2016-10-16,48.0
2016-10-23,51.0
2016-10-30,50.0
2016-11-06,47.0
2016-11-13,45.0
2016-11-20,49.0
2016-11-27,52.0
2016-12-04,52.0
2016-12-11,52.0
2016-12-18,66.0
2016-12-25,100.0
2017-01-01,59.0
2017-01-08,45.0
2017-01-15,45.0
2017-01-22,46.0
2017-01-29,44.0
2017-02-05,46.0
2017-02-12,61.0
2017-02-19,46.0
2017-02-26,47.0
2017-03-05,46.0
2017-03-12,44.0
2017-03-19,43.0
2017-03-26,44.0
2017-04-02,43.0
2017-04-09,51.0
2017-04-16,43.0
2017-04-23,41.0
2017-04-30,44.0
2017-05-07,42.0
2017-05-14,46.0
2017-05-21,42.0
2017-05-28,42.0
2017-06-04,39.0
2017-06-11,42.0
2017-06-18,46.0
2017-06-25,47.0
2017-07-02,43.0
2017-07-09,42.0
2017-07-16,42.0
2017-07-23,42.0
2017-07-30,43.0
2017-08-06,44.0
2017-08-13,44.0
2017-08-20,43.0
2017-08-27,47.0
2017-09-03,42.0
2017-09-10,42.0
2017-09-17,43.0
2017-09-24,45.0
2017-10-01,48.0
2017-10-08,45.0
2017-10-15,44.0
2017-10-22,44.0
2017-10-29,45.0
2017-11-05,43.0
2017-11-12,42.0
2017-11-19,43.0
2017-11-26,44.0
2017-12-03,46.0
2017-12-10,45.0
2017-12-17,54.0
2017-12-24,73.0
2017-12-31,79.0
2018-01-07,43.0
2018-01-14,43.0
2018-01-21,41.0
2018-01-28,44.0
2018-02-04,44.0
2018-02-11,55.0
2018-02-18,42.0
2018-02-25,40.0
2018-03-04,37.0
2018-03-11,37.0
2018-03-18,41.0
2018-03-25,43.0
2018-04-01,41.0
2018-04-08,47.0
2018-04-15,37.0
2018-04-22,36.0
2018-04-29,38.0
2018-05-06,43.0
2018-05-13,45.0
2018-05-20,41.0
2018-05-27,40.0
2018-06-03,41.0
2018-06-10,49.0
2018-06-17,41.0
2018-06-24,38.0
2018-07-01,41.0
2018-07-08,43.0
2018-07-15,41.0
2018-07-22,40.0
2018-07-29,41.0
2018-08-05,42.0
2018-08-12,43.0
2018-08-19,48.0
2018-08-26,41.0
2018-09-02,40.0
2018-09-09,41.0
2018-09-16,41.0
2018-09-23,40.0
2018-09-30,48.0
2018-10-07,47.0
2018-10-14,44.0
2018-10-21,38.0
2018-10-28,46.0
2018-11-04,42.0
2018-11-11,42.0
2018-11-18,43.0
2018-11-25,42.0
2018-12-02,45.0
2018-12-09,45.0
2018-12-16,48.0
2018-12-23,65.0
2018-12-30,81.0
2019-01-06,42.0
2019-01-13,44.0
2019-01-20,44.0
2019-01-27,44.0
2019-02-03,42.0
2019-02-10,53.0
2019-02-17,42.0
2019-02-24,42.0
2019-03-03,40.0
2019-03-10,41.0
2019-03-17,40.0
2019-03-24,41.0
2019-03-31,39.0
2019-04-07,41.0
2019-04-14,44.0
2019-04-21,34.0
2019-04-28,38.0
2019-05-05,43.0
2019-05-12,39.0
2019-05-19,38.0
2019-05-26,41.0
2019-06-02,46.0
2019-06-09,42.0
2019-06-16,37.0
2019-06-23,38.0
2019-06-30,39.0
2019-07-07,40.0
2019-07-14,41.0
2019-07-21,43.0
2019-07-28,43.0
2019-08-04,45.0
2019-08-11,46.0
2019-08-18,43.0
2019-08-25,42.0
2019-09-01,42.0
2019-09-08,42.0
2019-09-15,39.0
2019-09-22,40.0
2019-09-29,44.0
2019-10-06,41.0
2019-10-13,40.0
2019-10-20,41.0
2019-10-27,37.0
2019-11-03,39.0
2019-11-10,37.0
2019-11-17,38.0
2019-11-24,41.0
2019-12-01,44.0
2019-12-08,42.0
2019-12-15,47.0
2019-12-22,67.0
2019-12-29,77.0
2020-01-05,39.95605920444033
2020-01-12,40.98057354301572
2020-01-19,42.00508788159111
2020-01-26,43.0296022201665
2020-02-02,42.00508788159111
2020-02-09,49.17668825161886
2020-02-16,42.00508788159111
2020-02-23,40.98057354301572
2020-03-01,38.931544865864936
2020-03-08,36.88251618871415
2020-03-15,32.784458834412575
2020-03-22,30.73543015726179
2020-03-29,32.784458834412575
2020-04-05,34.83348751156336
2020-04-12,40.98057354301572
2020-04-19,34.83348751156336
2020-04-26,32.784458834412575
2020-05-03,36.88251618871415
2020-05-10,38.931544865864936
2020-05-17,40.98057354301572
2020-05-24,39.95605920444033
2020-05-31,40.98057354301572
2020-06-07,39.95605920444033
2020-06-14,42.00508788159111
2020-06-21,45.07863089731729
2020-06-28,40.98057354301572
2020-07-05,43.0296022201665
2020-07-12,42.00508788159111
2020-07-19,47.127659574468076
2020-07-26,50.20120259019426
2020-08-02,43.0296022201665
2020-08-09,44.054116558741896
2020-08-16,42.00508788159111
2020-08-23,40.98057354301572
2020-08-30,43.0296022201665
2020-09-06,43.0296022201665
2020-09-13,42.00508788159111
2020-09-20,38.931544865864936
2020-09-27,45.07863089731729
2020-10-04,47.127659574468076
2020-10-11,45.07863089731729
2020-10-18,45.07863089731729
2020-10-25,45.07863089731729
2020-11-01,43.0296022201665
2020-11-08,44.054116558741896
2020-11-15,44.054116558741896
2020-11-22,47.127659574468076
2020-11-29,49.17668825161886
2020-12-06,50.20120259019426
2020-12-13,50.20120259019426
2020-12-20,77.86308973172987
2020-12-27,79.91211840888066
2021-01-03,47.127659574468076
2021-01-10,44.054116558741896
2021-01-17,43.0296022201665
2021-01-24,44.054116558741896
2021-01-31,44.054116558741896
2021-02-07,49.17668825161886
2021-02-14,48.15217391304347
2021-02-21,44.054116558741896
2021-02-28,42.00508788159111
2021-03-07,43.0296022201665
2021-03-14,44.054116558741896
2021-03-21,45.07863089731729
2021-03-28,49.17668825161886
2021-04-04,43.0296022201665
2021-04-11,44.054116558741896
2021-04-18,42.00508788159111
2021-04-25,46.10314523589268
2021-05-02,47.127659574468076
2021-05-09,58.3973172987974
2021-05-16,45.07863089731729
2021-05-23,40.98057354301572
