,Hospitals & Treatment Centers
2019-01-20,74.0
2019-01-27,59.0
2019-02-03,59.0
2019-02-10,67.0
2019-02-17,73.0
2019-02-24,66.0
2019-03-03,52.0
2019-03-10,66.0
2019-03-17,59.0
2019-03-24,78.0
2019-03-31,59.0
2019-04-07,66.0
2019-04-14,65.0
2019-04-21,51.0
2019-04-28,68.0
2019-05-05,35.0
2019-05-12,40.0
2019-05-19,57.0
2019-05-26,52.0
2019-06-02,34.0
2019-06-09,62.0
2019-06-16,62.0
2019-06-23,80.0
2019-06-30,77.0
2019-07-07,100.0
2019-07-14,83.0
2019-07-21,69.0
2019-07-28,89.0
2019-08-04,84.0
2019-08-11,37.0
2019-08-18,72.0
2019-08-25,70.0
2019-09-01,52.0
2019-09-08,85.0
2019-09-15,44.0
2019-09-22,69.0
2019-09-29,65.0
2019-10-06,83.0
2019-10-13,64.0
2019-10-20,58.0
2019-10-27,66.0
2019-11-03,64.0
2019-11-10,84.0
2019-11-17,62.0
2019-11-24,80.0
2019-12-01,74.0
2019-12-08,85.0
2019-12-15,95.0
2019-12-22,78.0
2019-12-29,84.0
2020-01-05,82.12307692307691
2020-01-12,91.78461538461538
2020-01-19,82.12307692307691
2020-01-26,67.63076923076922
2020-02-02,98.22564102564101
2020-02-09,83.73333333333332
2020-02-16,74.07179487179486
2020-02-23,70.85128205128204
2020-03-01,66.02051282051282
2020-03-08,69.24102564102563
2020-03-15,57.96923076923076
2020-03-22,27.374358974358973
2020-03-29,38.646153846153844
2020-04-05,38.646153846153844
2020-04-12,32.205128205128204
2020-04-19,25.76410256410256
2020-04-26,40.256410256410255
2020-05-03,0.0
2020-05-10,19.323076923076922
2020-05-17,0.0
2020-05-24,27.374358974358973
2020-05-31,27.374358974358973
2020-06-07,20.93333333333333
2020-06-14,38.646153846153844
2020-06-21,40.256410256410255
2020-06-28,43.47692307692307
2020-07-05,37.03589743589743
2020-07-12,45.08717948717948
2020-07-19,22.54358974358974
2020-07-26,35.42564102564102
2020-08-02,32.205128205128204
2020-08-09,48.3076923076923
2020-08-16,37.03589743589743
2020-08-23,38.646153846153844
2020-08-30,24.15384615384615
2020-09-06,37.03589743589743
2020-09-13,48.3076923076923
2020-09-20,46.697435897435895
2020-09-27,46.697435897435895
2020-10-04,57.96923076923076
2020-10-11,62.79999999999999
2020-10-18,57.96923076923076
2020-10-25,48.3076923076923
2020-11-01,56.35897435897435
2020-11-08,59.579487179487174
2020-11-15,70.85128205128204
2020-11-22,59.579487179487174
2020-11-29,75.68205128205128
2020-12-06,59.579487179487174
2020-12-13,66.02051282051282
2020-12-20,56.35897435897435
2020-12-27,96.6153846153846
2021-01-03,90.17435897435897
2021-01-10,74.07179487179486
2021-01-17,78.9025641025641
2021-01-24,95.0051282051282
2021-01-31,70.85128205128204
2021-02-07,69.24102564102563
2021-02-14,56.35897435897435
2021-02-21,80.51282051282051
2021-02-28,90.17435897435897
2021-03-07,90.17435897435897
2021-03-14,98.22564102564101
2021-03-21,90.17435897435897
2021-03-28,82.12307692307691
2021-04-04,86.95384615384614
2021-04-11,57.96923076923076
2021-04-18,77.29230769230769
2021-04-25,80.51282051282051
2021-05-02,61.189743589743586
2021-05-09,72.46153846153845
2021-05-16,66.02051282051282
2021-05-23,74.07179487179486
2021-05-30,64.41025641025641
2021-06-06,78.9025641025641
2021-06-13,77.29230769230769
2021-06-20,86.95384615384614
2021-06-27,93.39487179487179
2021-07-04,91.78461538461538
2021-07-11,88.56410256410255
2021-07-18,82.12307692307691
2021-07-25,90.17435897435897
2021-08-01,112.7179487179487
2021-08-08,111.10769230769229
2021-08-15,88.56410256410255
2021-08-22,111.10769230769229
2021-08-29,104.66666666666666
2021-09-05,114.32820512820511
2021-09-12,75.68205128205128
2021-09-19,104.66666666666666
2021-09-26,95.0051282051282
2021-10-03,74.07179487179486
2021-10-10,93.39487179487179
2021-10-17,99.83589743589742
2021-10-24,115.93846153846152
2021-10-31,90.17435897435897
2021-11-07,98.22564102564101
2021-11-14,103.05641025641025
2021-11-21,122.37948717948717
2021-11-28,96.6153846153846
2021-12-05,93.39487179487179
2021-12-12,111.10769230769229
2021-12-19,125.59999999999998
2021-12-26,133.65128205128204
2022-01-02,140.09230769230768
2022-01-09,127.21025641025639
2022-01-16,95.0051282051282
2022-01-23,109.49743589743589
2022-01-30,86.95384615384614
2022-02-06,96.6153846153846
2022-02-13,86.95384615384614
2022-02-20,98.22564102564101
2022-02-27,111.10769230769229
2022-03-06,90.17435897435897
2022-03-13,119.15897435897435
2022-03-20,88.56410256410255
2022-03-27,66.02051282051282
2022-04-03,72.46153846153845
2022-04-10,78.9025641025641
2022-04-17,72.46153846153845
2022-04-24,67.63076923076922
2022-05-01,69.24102564102563
2022-05-08,80.51282051282051
2022-05-15,107.88717948717948
2022-05-22,117.54871794871794
2022-05-29,111.10769230769229
2022-06-05,114.32820512820511
2022-06-12,141.70256410256408
2022-06-19,88.56410256410255
2022-06-26,99.83589743589742
2022-07-03,98.22564102564101
2022-07-10,85.34358974358973
2022-07-17,106.27692307692307
2022-07-24,107.88717948717948
2022-07-31,80.51282051282051
2022-08-07,133.65128205128204
2022-08-14,107.88717948717948
2022-08-21,86.95384615384614
2022-08-28,85.34358974358973
2022-09-04,99.83589743589742
2022-09-11,117.54871794871794
2022-09-18,112.7179487179487
2022-09-25,107.88717948717948
2022-10-02,104.66666666666666
2022-10-09,119.15897435897435
2022-10-16,109.49743589743589
2022-10-23,117.54871794871794
2022-10-30,104.66666666666666
2022-11-06,109.49743589743589
2022-11-13,99.83589743589742
2022-11-20,99.83589743589742
2022-11-27,107.88717948717948
2022-12-04,104.66666666666666
2022-12-11,96.6153846153846
2022-12-18,112.7179487179487
2022-12-25,123.98974358974358
2023-01-01,104.66666666666666
2023-01-08,120.76923076923076
2023-01-15,104.66666666666666
2023-01-22,112.7179487179487
2023-01-29,128.82051282051282
2023-02-05,93.39487179487179
2023-02-12,104.66666666666666
2023-02-19,115.93846153846152
2023-02-26,112.7179487179487
2023-03-05,96.6153846153846
2023-03-12,103.05641025641025
2023-03-19,86.95384615384614
2023-03-26,91.78461538461538
2023-04-02,104.66666666666666
2023-04-09,88.56410256410255
2023-04-16,78.9025641025641
2023-04-23,82.12307692307691
2023-04-30,104.66666666666666
2023-05-07,90.17435897435897
2023-05-14,80.51282051282051
2023-05-21,120.76923076923076
2023-05-28,95.0051282051282
2023-06-04,111.10769230769229
2023-06-11,117.54871794871794
2023-06-18,114.32820512820511
2023-06-25,83.73333333333332
2023-07-02,125.59999999999998
2023-07-09,133.65128205128204
2023-07-16,99.83589743589742
2023-07-23,114.32820512820511
2023-07-30,120.76923076923076
2023-08-06,130.43076923076922
2023-08-13,161.02564102564102
2023-08-20,120.76923076923076
2023-08-27,115.93846153846152
2023-09-03,109.49743589743589
2023-09-10,125.59999999999998
2023-09-17,130.43076923076922
2023-09-24,99.83589743589742
2023-10-01,112.7179487179487
2023-10-08,140.09230769230768
2023-10-15,135.26153846153844
2023-10-22,107.88717948717948
2023-10-29,133.65128205128204
2023-11-05,112.7179487179487
2023-11-12,140.09230769230768
2023-11-19,143.3128205128205
2023-11-26,146.53333333333333
2023-12-03,132.04102564102564
2023-12-10,140.09230769230768
2023-12-17,152.97435897435895
2023-12-24,154.58461538461538
2023-12-31,117.54871794871794
2024-01-07,124.03553730077233
2024-01-14,134.66715478369568
2024-01-21,124.03553730077233
2024-01-28,139.98296352515734
2024-02-04,134.66715478369568
2024-02-11,141.75489977231123
2024-02-18,170.10587972677348
2024-02-25,148.8426447609268
2024-03-03,141.75489977231123
2024-03-10,79.73713112192507
2024-03-17,122.26360105361844
2024-03-24,97.45649359346397
2024-03-31,99.22842984061786
2024-04-07,101.00036608777175
2024-04-14,132.8952185365418
2024-04-21,136.43909103084957
2024-04-28,157.70232599669626
2024-05-05,141.75489977231123
2024-05-12,124.03553730077233
2024-05-19,147.0707085137729
2024-05-26,136.43909103084957
2024-06-02,154.15845350238845
2024-06-09,127.57940979508011
2024-06-16,122.26360105361844
2024-06-23,147.0707085137729
2024-06-30,171.87781597392737
2024-07-07,163.01813473815793
2024-07-14,164.79007098531181
2024-07-21,161.24619849100404
2024-07-28,155.93038974954237
2024-08-04,161.24619849100404
2024-08-11,148.8426447609268
2024-08-18,143.52683601946512
2024-08-25,170.10587972677348
2024-09-01,124.03553730077233
2024-09-08,150.61458100808068
2024-09-15,134.66715478369568
2024-09-22,138.21102727800346
2024-09-29,154.15845350238845
2024-10-06,155.93038974954237
2024-10-13,145.298772266619
2024-10-20,122.26360105361844
2024-10-27,134.66715478369568
2024-11-03,109.86004732354121
2024-11-10,120.49166480646454
2024-11-17,127.57940979508011
2024-11-24,116.94779231215676
2024-12-01,120.49166480646454
2024-12-08,143.52683601946512
2024-12-15,109.86004732354121
2024-12-22,129.351346042234
2024-12-29,102.77230233492564
2025-01-05,177.19362471538903
2025-01-12,159.47426224385015
2025-01-19,124.03553730077233
2025-01-26,118.71972855931065
2025-02-02,115.17585606500288
2025-02-09,139.98296352515734
2025-02-16,134.66715478369568
2025-02-23,101.00036608777175
2025-03-02,92.1406848520023
2025-03-09,108.08811107638732
2025-03-16,108.08811107638732
2025-03-23,111.6319835706951
2025-03-30,106.31617482923343
2025-04-06,136.43909103084957
2025-04-13,129.351346042234
2025-04-20,118.71972855931065
2025-04-27,102.77230233492564
2025-05-04,143.52683601946512
2025-05-11,154.15845350238845
2025-05-18,120.49166480646454
2025-05-25,141.75489977231123
2025-06-01,88.59681235769452
2025-06-08,101.00036608777175
2025-06-15,120.49166480646454
2025-06-22,138.21102727800346
2025-06-29,139.98296352515734
2025-07-06,136.43909103084957
2025-07-13,108.08811107638732
2025-07-20,134.66715478369568
2025-07-27,124.03553730077233
2025-08-03,159.47426224385015
2025-08-10,139.98296352515734
2025-08-17,131.1232822893879
2025-08-24,143.52683601946512
2025-08-31,131.1232822893879
2025-09-07,120.49166480646454
2025-09-14,115.17585606500288
2025-09-21,145.298772266619
2025-09-28,152.38651725523457
2025-10-05,141.75489977231123
2025-10-12,132.8952185365418
2025-10-19,120.49166480646454
2025-10-26,127.57940979508011
2025-11-02,102.77230233492564
2025-11-09,155.93038974954237
2025-11-16,131.1232822893879
2025-11-23,131.1232822893879
2025-11-30,109.86004732354121
2025-12-07,141.75489977231123
2025-12-14,129.351346042234
2025-12-21,163.01813473815793
2025-12-28,152.38651725523457
2026-01-04,168.3339434796196
