,Development Tools
2019-06-23,88.0
2019-06-30,87.0
2019-07-07,88.0
2019-07-14,95.0
2019-07-21,93.0
2019-07-28,91.0
2019-08-04,88.0
2019-08-11,70.0
2019-08-18,100.0
2019-08-25,94.0
2019-09-01,81.0
2019-09-08,92.0
2019-09-15,90.0
2019-09-22,98.0
2019-09-29,78.0
2019-10-06,74.0
2019-10-13,90.0
2019-10-20,77.0
2019-10-27,61.0
2019-11-03,86.0
2019-11-10,84.0
2019-11-17,91.0
2019-11-24,88.0
2019-12-01,86.0
2019-12-08,88.0
2019-12-15,88.0
2019-12-22,70.0
2019-12-29,73.0
2020-01-05,87.86597222222223
2020-01-12,75.74652777777779
2020-01-19,96.95555555555556
2020-01-26,92.4107638888889
2020-02-02,84.83611111111112
2020-02-09,89.38090277777779
2020-02-16,124.22430555555556
2020-02-23,98.47048611111111
2020-03-01,89.38090277777779
2020-03-08,78.77638888888889
2020-03-15,81.80625
2020-03-22,66.65694444444445
2020-03-29,71.20173611111112
2020-04-05,122.70937500000001
2020-04-12,90.89583333333334
2020-04-19,93.92569444444445
2020-04-26,89.38090277777779
2020-05-03,89.38090277777779
2020-05-10,89.38090277777779
2020-05-17,93.92569444444445
2020-05-24,83.32118055555556
2020-05-31,89.38090277777779
2020-06-07,86.35104166666667
2020-06-14,87.86597222222223
2020-06-21,89.38090277777779
2020-06-28,92.4107638888889
2020-07-05,90.89583333333334
2020-07-12,90.89583333333334
2020-07-19,92.4107638888889
2020-07-26,90.89583333333334
2020-08-02,83.32118055555556
2020-08-09,87.86597222222223
2020-08-16,86.35104166666667
2020-08-23,87.86597222222223
2020-08-30,86.35104166666667
2020-09-06,86.35104166666667
2020-09-13,86.35104166666667
2020-09-20,86.35104166666667
2020-09-27,75.74652777777779
2020-10-04,78.77638888888889
2020-10-11,71.20173611111112
2020-10-18,68.171875
2020-10-25,62.11215277777778
2020-11-01,62.11215277777778
2020-11-08,54.5375
2020-11-15,56.05243055555556
2020-11-22,59.08229166666667
2020-11-29,59.08229166666667
2020-12-06,63.62708333333334
2020-12-13,72.71666666666667
2020-12-20,62.11215277777778
2020-12-27,57.56736111111112
2021-01-03,66.65694444444445
2021-01-10,59.08229166666667
2021-01-17,69.68680555555557
2021-01-24,62.11215277777778
2021-01-31,69.68680555555557
2021-02-07,71.20173611111112
2021-02-14,71.20173611111112
2021-02-21,71.20173611111112
2021-02-28,72.71666666666667
2021-03-07,72.71666666666667
2021-03-14,75.74652777777779
2021-03-21,74.23159722222223
2021-03-28,68.171875
2021-04-04,72.71666666666667
2021-04-11,68.171875
2021-04-18,69.68680555555557
2021-04-25,68.171875
2021-05-02,74.23159722222223
2021-05-09,80.29131944444445
2021-05-16,80.29131944444445
2021-05-23,83.32118055555556
2021-05-30,81.80625
2021-06-06,86.35104166666667
2021-06-13,81.80625
2021-06-20,80.29131944444445
2021-06-27,81.80625
2021-07-04,81.80625
2021-07-11,80.29131944444445
2021-07-18,83.32118055555556
2021-07-25,81.80625
2021-08-01,81.80625
2021-08-08,83.32118055555556
2021-08-15,83.32118055555556
2021-08-22,77.26145833333334
2021-08-29,78.77638888888889
2021-09-05,75.74652777777779
2021-09-12,83.32118055555556
2021-09-19,83.32118055555556
2021-09-26,78.77638888888889
2021-10-03,81.80625
2021-10-10,66.65694444444445
2021-10-17,80.29131944444445
2021-10-24,81.80625
2021-10-31,51.50763888888889
2021-11-07,75.74652777777779
2021-11-14,81.80625
2021-11-21,83.32118055555556
2021-11-28,78.77638888888889
2021-12-05,81.80625
2021-12-12,86.35104166666667
2021-12-19,84.83611111111112
2021-12-26,80.29131944444445
2022-01-02,115.13472222222224
2022-01-09,112.10486111111112
2022-01-16,112.10486111111112
2022-01-23,110.58993055555557
2022-01-30,122.70937500000001
2022-02-06,127.25416666666668
2022-02-13,127.25416666666668
2022-02-20,125.73923611111113
2022-02-27,124.22430555555556
2022-03-06,125.73923611111113
2022-03-13,115.13472222222224
2022-03-20,124.22430555555556
2022-03-27,127.25416666666668
2022-04-03,124.22430555555556
2022-04-10,113.61979166666667
2022-04-17,128.76909722222223
2022-04-24,128.76909722222223
2022-05-01,122.70937500000001
2022-05-08,131.79895833333333
2022-05-15,133.3138888888889
2022-05-22,131.79895833333333
2022-05-29,125.73923611111113
2022-06-05,130.2840277777778
2022-06-12,134.82881944444446
2022-06-19,137.85868055555557
2022-06-26,134.82881944444446
2022-07-03,131.79895833333333
2022-07-10,137.85868055555557
2022-07-17,134.82881944444446
2022-07-24,134.82881944444446
2022-07-31,131.79895833333333
2022-08-07,122.70937500000001
2022-08-14,116.64965277777779
2022-08-21,133.3138888888889
2022-08-28,116.64965277777779
2022-09-04,118.16458333333334
2022-09-11,136.34375
2022-09-18,139.37361111111113
2022-09-25,134.82881944444446
2022-10-02,107.56006944444445
2022-10-09,136.34375
2022-10-16,118.16458333333334
2022-10-23,87.86597222222223
2022-10-30,119.67951388888889
2022-11-06,124.22430555555556
2022-11-13,136.34375
2022-11-20,127.25416666666668
2022-11-27,122.70937500000001
2022-12-04,130.2840277777778
2022-12-11,137.85868055555557
2022-12-18,136.34375
2022-12-25,127.25416666666668
2023-01-01,136.34375
2023-01-08,137.85868055555557
2023-01-15,130.2840277777778
2023-01-22,125.73923611111113
2023-01-29,139.37361111111113
2023-02-05,142.40347222222223
2023-02-12,142.40347222222223
2023-02-19,139.37361111111113
2023-02-26,137.85868055555557
2023-03-05,124.22430555555556
2023-03-12,136.34375
2023-03-19,134.82881944444446
2023-03-26,130.2840277777778
2023-04-02,130.2840277777778
2023-04-09,133.3138888888889
2023-04-16,133.3138888888889
2023-04-23,151.49305555555557
2023-04-30,122.70937500000001
2023-05-07,131.79895833333333
2023-05-14,130.2840277777778
2023-05-21,131.79895833333333
2023-05-28,127.25416666666668
2023-06-04,130.2840277777778
2023-06-11,128.76909722222223
2023-06-18,139.37361111111113
2023-06-25,130.2840277777778
2023-07-02,140.88854166666667
2023-07-09,143.9184027777778
2023-07-16,140.88854166666667
2023-07-23,143.9184027777778
2023-07-30,151.49305555555557
2023-08-06,145.43333333333334
2023-08-13,130.2840277777778
2023-08-20,145.43333333333334
2023-08-27,124.22430555555556
2023-09-03,133.3138888888889
2023-09-10,134.82881944444446
2023-09-17,121.19444444444446
2023-09-24,134.82881944444446
2023-10-01,130.2840277777778
2023-10-08,134.82881944444446
2023-10-15,128.76909722222223
2023-10-22,106.0451388888889
2023-10-29,125.73923611111113
2023-11-05,115.13472222222224
2023-11-12,86.35104166666667
2023-11-19,116.64965277777779
2023-11-26,115.13472222222224
2023-12-03,125.73923611111113
2023-12-10,130.2840277777778
2023-12-17,128.76909722222223
2023-12-24,115.13472222222224
2023-12-31,125.73923611111113
2024-01-07,128.50790229885058
2024-01-14,122.23922413793103
2024-01-21,117.53771551724138
2024-01-28,153.58261494252875
2024-02-04,156.71695402298852
2024-02-11,147.3139367816092
2024-02-18,147.3139367816092
2024-02-25,152.01544540229887
2024-03-03,147.3139367816092
2024-03-10,144.17959770114942
2024-03-17,144.17959770114942
2024-03-24,128.50790229885058
2024-03-31,148.88110632183907
2024-04-07,128.50790229885058
2024-04-14,133.20941091954023
2024-04-21,133.20941091954023
2024-04-28,128.50790229885058
2024-05-05,136.34375
2024-05-12,133.20941091954023
2024-05-19,134.77658045977012
2024-05-26,133.20941091954023
2024-06-02,131.64224137931035
2024-06-09,144.17959770114942
2024-06-16,144.17959770114942
2024-06-23,142.61242816091954
2024-06-30,142.61242816091954
2024-07-07,141.04525862068965
2024-07-14,150.44827586206895
2024-07-21,153.58261494252875
2024-07-28,152.01544540229887
2024-08-04,142.61242816091954
2024-08-11,134.77658045977012
2024-08-18,139.47808908045977
2024-08-25,145.7467672413793
2024-09-01,145.7467672413793
2024-09-08,142.61242816091954
2024-09-15,137.91091954022988
2024-09-22,150.44827586206895
2024-09-29,130.07507183908046
2024-10-06,125.37356321839081
2024-10-13,141.04525862068965
2024-10-20,144.17959770114942
2024-10-27,98.73168103448276
2024-11-03,122.23922413793103
2024-11-10,133.20941091954023
2024-11-17,134.77658045977012
2024-11-24,131.64224137931035
2024-12-01,130.07507183908046
2024-12-08,133.20941091954023
2024-12-15,133.20941091954023
2024-12-22,122.23922413793103
2024-12-29,120.67205459770115
2025-01-05,131.64224137931035
2025-01-12,122.23922413793103
2025-01-19,150.44827586206895
2025-01-26,153.58261494252875
2025-02-02,148.88110632183907
2025-02-09,145.7467672413793
2025-02-16,139.47808908045977
2025-02-23,141.04525862068965
2025-03-02,139.47808908045977
2025-03-09,125.37356321839081
2025-03-16,145.7467672413793
2025-03-23,145.7467672413793
2025-03-30,136.34375
2025-04-06,136.34375
2025-04-13,126.9407327586207
2025-04-20,134.77658045977012
2025-04-27,128.50790229885058
2025-05-04,128.50790229885058
2025-05-11,131.64224137931035
2025-05-18,133.20941091954023
2025-05-25,133.20941091954023
2025-06-01,126.9407327586207
2025-06-08,144.17959770114942
2025-06-15,137.91091954022988
2025-06-22,148.88110632183907
2025-06-29,134.77658045977012
2025-07-06,142.61242816091954
2025-07-13,153.58261494252875
2025-07-20,156.71695402298852
2025-07-27,152.01544540229887
2025-08-03,147.3139367816092
2025-08-10,128.50790229885058
2025-08-17,145.7467672413793
2025-08-24,134.77658045977012
2025-08-31,131.64224137931035
2025-09-07,142.61242816091954
2025-09-14,141.04525862068965
2025-09-21,133.20941091954023
2025-09-28,108.13469827586206
2025-10-05,136.34375
2025-10-12,122.23922413793103
2025-10-19,87.76149425287356
2025-10-26,128.50790229885058
2025-11-02,128.50790229885058
2025-11-09,130.07507183908046
2025-11-16,126.9407327586207
2025-11-23,111.26903735632185
2025-11-30,112.83620689655173
2025-12-07,114.40337643678161
2025-12-14,120.67205459770115
2025-12-21,115.9705459770115
2025-12-28,108.13469827586206
2026-01-04,123.80639367816092
