,Alcoholic Beverages
2020-05-24,46.64632019532612
2020-05-31,49.311824206487614
2020-06-07,47.97907220090686
2020-06-14,39.982560167422385
2020-06-21,39.982560167422385
2020-06-28,41.315312173003136
2020-07-05,46.64632019532612
2020-07-12,43.980816184164624
2020-07-19,46.64632019532612
2020-07-26,34.6515521450994
2020-08-02,43.980816184164624
2020-08-09,38.64980816184164
2020-08-16,46.64632019532612
2020-08-23,37.3170561562609
2020-08-30,38.64980816184164
2020-09-06,35.984304150680146
2020-09-13,35.984304150680146
2020-09-20,41.315312173003136
2020-09-27,47.97907220090686
2020-10-04,45.313568189745375
2020-10-11,47.97907220090686
2020-10-18,51.9773282176491
2020-10-25,65.30484827345657
2020-11-01,55.97558423439134
2020-11-08,57.308336239972085
2020-11-15,50.64457621206836
2020-11-22,55.97558423439134
2020-11-29,62.639344262295076
2020-12-06,61.306592256714325
2020-12-13,69.3031042901988
2020-12-20,90.62713637949075
2020-12-27,107.95291245204045
2021-01-03,73.30136030694105
2021-01-10,69.3031042901988
2021-01-17,67.97035228461806
2021-01-24,75.96686431810254
2021-01-31,74.6341123125218
2021-02-07,79.96512033484477
2021-02-14,83.96337635158702
2021-02-21,86.6288803627485
2021-02-28,91.9598883850715
2021-03-07,82.63062434600627
2021-03-14,83.96337635158702
2021-03-21,91.9598883850715
2021-03-28,99.95640041855597
2021-04-04,77.29961632368328
2021-04-11,66.63760027903731
2021-04-18,71.96860830136029
2021-04-25,83.96337635158702
2021-05-02,71.96860830136029
2021-05-09,78.63236832926403
2021-05-16,62.639344262295076
2021-05-23,75.96686431810254
2021-05-30,65.30484827345657
2021-06-06,74.6341123125218
2021-06-13,63.97209626787582
2021-06-20,73.30136030694105
2021-06-27,69.3031042901988
2021-07-04,69.3031042901988
2021-07-11,74.6341123125218
2021-07-18,73.30136030694105
2021-07-25,69.3031042901988
2021-08-01,79.96512033484477
2021-08-08,75.96686431810254
2021-08-15,81.29787234042553
2021-08-22,85.29612835716776
2021-08-29,77.29961632368328
2021-09-05,58.64108824555284
2021-09-12,81.29787234042553
2021-09-19,73.30136030694105
2021-09-26,85.29612835716776
2021-10-03,65.30484827345657
2021-10-10,93.29264039065224
2021-10-17,87.96163236832925
2021-10-24,99.95640041855597
2021-10-31,93.29264039065224
2021-11-07,114.61667247994417
2021-11-14,106.62016044645969
2021-11-21,101.28915242413672
2021-11-28,105.28740844087895
2021-12-05,102.62190442971746
2021-12-12,106.62016044645969
2021-12-19,115.94942448552493
2021-12-26,117.28217649110567
2022-01-02,91.9598883850715
2022-01-09,81.29787234042553
2022-01-16,81.29787234042553
2022-01-23,83.96337635158702
2022-01-30,107.95291245204045
2022-02-06,105.28740844087895
2022-02-13,107.95291245204045
2022-02-20,85.29612835716776
2022-02-27,87.96163236832925
2022-03-06,75.96686431810254
2022-03-13,91.9598883850715
