,Restaurants
2020-05-24,42.10648866811549
2020-05-31,37.29431853461658
2020-06-07,38.49736106799131
2020-06-14,32.48214840111766
2020-06-21,43.309531201490216
2020-06-28,45.71561626823968
2020-07-05,49.32474386836386
2020-07-12,44.51257373486495
2020-07-19,50.52778640173859
2020-07-26,44.51257373486495
2020-08-02,55.339956535237505
2020-08-09,52.93387146848805
2020-08-16,39.700403601366034
2020-08-23,33.6851909344924
2020-08-30,37.29431853461658
2020-09-06,44.51257373486495
2020-09-13,40.90344613474076
2020-09-20,45.71561626823968
2020-09-27,43.309531201490216
2020-10-04,60.152126668736415
2020-10-11,60.152126668736415
2020-10-18,51.730828935113315
2020-10-25,61.35516920211114
2020-11-01,55.339956535237505
2020-11-08,68.57342440235952
2020-11-15,56.54299906861223
2020-11-22,55.339956535237505
2020-11-29,63.761254268860604
2020-12-06,62.55821173548587
2020-12-13,60.152126668736415
2020-12-20,80.6038497361068
2020-12-27,79.40080720273207
2021-01-03,78.19776466935734
2021-01-10,72.1825520024837
2021-01-17,52.93387146848805
2021-01-24,74.58863706923316
2021-01-31,70.97950946910898
2021-02-07,74.58863706923316
2021-02-14,62.55821173548587
2021-02-21,76.99472213598261
2021-02-28,68.57342440235952
2021-03-07,80.6038497361068
2021-03-14,74.58863706923316
2021-03-21,75.79167960260789
2021-03-28,91.43123253647936
2021-04-04,67.3703818689848
2021-04-11,92.63427506985408
2021-04-18,96.24340266997827
2021-04-25,93.83731760322881
2021-05-02,78.19776466935734
2021-05-09,84.21297733623098
2021-05-16,72.1825520024837
2021-05-23,84.21297733623098
2021-05-30,72.1825520024837
2021-06-06,66.16733933561005
2021-06-13,75.79167960260789
2021-06-20,79.40080720273207
2021-06-27,67.3703818689848
2021-07-04,96.24340266997827
2021-07-11,69.77646693573425
2021-07-18,81.80689226948152
2021-07-25,75.79167960260789
2021-08-01,93.83731760322881
2021-08-08,105.8677429369761
2021-08-15,91.43123253647936
2021-08-22,83.00993480285625
2021-08-29,87.82210493635517
2021-09-05,84.21297733623098
2021-09-12,98.64948773672772
2021-09-19,79.40080720273207
2021-09-26,87.82210493635517
2021-10-03,92.63427506985408
2021-10-10,98.64948773672772
2021-10-17,102.2586153368519
2021-10-24,103.46165787022663
2021-10-31,87.82210493635517
2021-11-07,84.21297733623098
2021-11-14,89.0251474697299
2021-11-21,87.82210493635517
2021-11-28,108.27382800372555
2021-12-05,87.82210493635517
2021-12-12,86.61906240298043
2021-12-19,95.04036013660354
2021-12-26,119.1012108040981
2022-01-02,98.64948773672772
2022-01-09,92.63427506985408
2022-01-16,80.6038497361068
2022-01-23,75.79167960260789
2022-01-30,90.22819000310463
2022-02-06,86.61906240298043
2022-02-13,85.4160198696057
2022-02-20,76.99472213598261
2022-02-27,75.79167960260789
2022-03-06,84.21297733623098
2022-03-13,89.0251474697299
2022-03-20,87.82210493635517
2022-03-27,86.61906240298043
2022-04-03,84.21297733623098
2022-04-10,99.85253027010245
2022-04-17,85.4160198696057
2022-04-24,98.64948773672772
2022-05-01,98.64948773672772
2022-05-08,80.6038497361068
2022-05-15,83.00993480285625
2022-05-22,91.43123253647936
2022-05-29,97.446445203353
2022-06-05,85.4160198696057
2022-06-12,72.1825520024837
2022-06-19,78.19776466935734
2022-06-26,74.58863706923316
2022-07-03,108.27382800372555
2022-07-10,78.19776466935734
2022-07-17,86.61906240298043
2022-07-24,83.00993480285625
2022-07-31,89.0251474697299
2022-08-07,96.24340266997827
2022-08-14,89.0251474697299
2022-08-21,83.00993480285625
2022-08-28,89.0251474697299
2022-09-04,90.22819000310463
2022-09-11,76.99472213598261
2022-09-18,75.79167960260789
2022-09-25,79.40080720273207
2022-10-02,79.40080720273207
2022-10-09,96.24340266997827
2022-10-16,70.97950946910898
2022-10-23,80.6038497361068
2022-10-30,83.00993480285625
2022-11-06,81.80689226948152
2022-11-13,78.19776466935734
2022-11-20,74.58863706923316
2022-11-27,75.79167960260789
2022-12-04,86.61906240298043
2022-12-11,86.61906240298043
2022-12-18,99.85253027010245
2022-12-25,101.05557280347718
2023-01-01,92.63427506985408
2023-01-08,92.63427506985408
2023-01-15,85.4160198696057
2023-01-22,91.43123253647936
2023-01-29,102.2586153368519
2023-02-05,99.85253027010245
2023-02-12,96.24340266997827
2023-02-19,92.63427506985408
2023-02-26,95.04036013660354
2023-03-05,90.22819000310463
2023-03-12,85.4160198696057
2023-03-19,75.79167960260789
2023-03-26,98.64948773672772
2023-04-02,98.64948773672772
2023-04-09,103.46165787022663
2023-04-16,96.24340266997827
2023-04-23,92.63427506985408
2023-04-30,97.446445203353
2023-05-07,92.63427506985408
2023-05-14,83.00993480285625
2023-05-21,76.99472213598261
2023-05-28,80.6038497361068
2023-06-04,92.63427506985408
2023-06-11,96.24340266997827
2023-06-18,72.1825520024837
2023-06-25,96.24340266997827
2023-07-02,80.6038497361068
2023-07-09,91.43123253647936
2023-07-16,91.43123253647936
2023-07-23,90.22819000310463
2023-07-30,80.6038497361068
2023-08-06,110.67991307047501
2023-08-13,98.64948773672772
2023-08-20,90.22819000310463
2023-08-27,98.64948773672772
2023-09-03,97.446445203353
2023-09-10,98.64948773672772
2023-09-17,89.0251474697299
2023-09-24,95.04036013660354
2023-10-01,99.85253027010245
2023-10-08,90.22819000310463
2023-10-15,102.2586153368519
2023-10-22,101.05557280347718
2023-10-29,115.49208320397392
2023-11-05,107.07078547035083
2023-11-12,101.05557280347718
2023-11-19,113.08599813722446
2023-11-26,98.64948773672772
2023-12-03,108.27382800372555
2023-12-10,114.28904067059919
2023-12-17,104.66470040360136
2023-12-24,120.30425333747283
2023-12-31,120.30425333747283
2024-01-07,111.2045102338753
2024-01-14,114.25120914439243
2024-01-21,109.68116077861674
2024-01-28,115.774558599651
2024-02-04,109.68116077861674
2024-02-11,117.29790805490957
2024-02-18,118.82125751016814
2024-02-25,126.43800478646097
2024-03-03,121.86795642068526
2024-03-10,105.11111241284104
2024-03-17,132.53140260749524
2024-03-24,152.33494552585657
2024-03-31,121.86795642068526
2024-04-07,132.53140260749524
2024-04-14,108.15781132335817
2024-04-21,106.6344618680996
2024-04-28,123.39130587594383
2024-05-05,102.0644135023239
2024-05-12,115.774558599651
2024-05-19,97.49436513654821
2024-05-26,102.0644135023239
2024-06-02,106.6344618680996
2024-06-09,103.58776295758247
2024-06-16,91.40096731551395
2024-06-23,89.87761786025538
2024-06-30,108.15781132335817
2024-07-07,114.25120914439243
2024-07-14,103.58776295758247
2024-07-21,109.68116077861674
2024-07-28,108.15781132335817
2024-08-04,89.87761786025538
2024-08-11,135.57810151801235
2024-08-18,115.774558599651
2024-08-25,103.58776295758247
2024-09-01,99.01771459180678
2024-09-08,105.11111241284104
2024-09-15,94.44766622603107
2024-09-22,100.54106404706535
2024-09-29,103.58776295758247
2024-10-06,95.97101568128964
2024-10-13,91.40096731551395
2024-10-20,100.54106404706535
