,Import & Export
2020-06-07,50.144230769230774
2020-06-14,42.98076923076923
2020-06-21,51.93509615384616
2020-06-28,53.72596153846155
2020-07-05,41.189903846153854
2020-07-12,50.144230769230774
2020-07-19,50.144230769230774
2020-07-26,48.35336538461539
2020-08-02,66.26201923076924
2020-08-09,48.35336538461539
2020-08-16,0.0
2020-08-23,37.60817307692308
2020-08-30,59.0985576923077
2020-09-06,34.026442307692314
2020-09-13,53.72596153846155
2020-09-20,73.42548076923077
2020-09-27,68.05288461538463
2020-10-04,66.26201923076924
2020-10-11,75.21634615384616
2020-10-18,62.68028846153847
2020-10-25,85.96153846153847
2020-11-01,35.81730769230769
2020-11-08,64.47115384615385
2020-11-15,91.33413461538463
2020-11-22,73.42548076923077
2020-11-29,68.05288461538463
2020-12-06,78.79807692307693
2020-12-13,71.63461538461539
2020-12-20,85.96153846153847
2020-12-27,68.05288461538463
2021-01-03,82.37980769230771
2021-01-10,68.05288461538463
2021-01-17,73.42548076923077
2021-01-24,85.96153846153847
2021-01-31,69.84375000000001
2021-02-07,75.21634615384616
2021-02-14,127.15144230769232
2021-02-21,102.07932692307693
2021-02-28,87.75240384615385
2021-03-07,78.79807692307693
2021-03-14,60.88942307692308
2021-03-21,87.75240384615385
2021-03-28,103.87019230769232
2021-04-04,55.51682692307693
2021-04-11,48.35336538461539
2021-04-18,94.9158653846154
2021-04-25,75.21634615384616
2021-05-02,59.0985576923077
2021-05-09,44.77163461538462
2021-05-16,68.05288461538463
2021-05-23,62.68028846153847
2021-05-30,51.93509615384616
2021-06-06,89.54326923076924
2021-06-13,64.47115384615385
2021-06-20,64.47115384615385
2021-06-27,112.82451923076924
2021-07-04,55.51682692307693
2021-07-11,91.33413461538463
2021-07-18,80.58894230769232
2021-07-25,51.93509615384616
2021-08-01,89.54326923076924
2021-08-08,69.84375000000001
2021-08-15,62.68028846153847
2021-08-22,87.75240384615385
2021-08-29,82.37980769230771
2021-09-05,69.84375000000001
2021-09-12,80.58894230769232
2021-09-19,127.15144230769232
2021-09-26,102.07932692307693
2021-10-03,96.70673076923077
2021-10-10,123.56971153846155
2021-10-17,82.37980769230771
2021-10-24,93.12500000000001
2021-10-31,77.00721153846155
2021-11-07,64.47115384615385
2021-11-14,94.9158653846154
2021-11-21,121.77884615384616
2021-11-28,125.36057692307693
2021-12-05,66.26201923076924
2021-12-12,119.98798076923079
2021-12-19,96.70673076923077
2021-12-26,87.75240384615385
2022-01-02,60.88942307692308
2022-01-09,94.9158653846154
2022-01-16,137.89663461538464
2022-01-23,73.42548076923077
2022-01-30,85.96153846153847
2022-02-06,68.05288461538463
2022-02-13,66.26201923076924
2022-02-20,75.21634615384616
2022-02-27,139.68750000000003
2022-03-06,93.12500000000001
2022-03-13,105.66105769230771
2022-03-20,119.98798076923079
2022-03-27,78.79807692307693
2022-04-03,69.84375000000001
2022-04-10,85.96153846153847
2022-04-17,103.87019230769232
2022-04-24,68.05288461538463
2022-05-01,82.37980769230771
2022-05-08,128.9423076923077
2022-05-15,179.08653846153848
2022-05-22,141.4783653846154
2022-05-29,111.03365384615385
2022-06-05,116.40625000000001
2022-06-12,166.55048076923077
2022-06-19,89.54326923076924
2022-06-26,121.77884615384616
2022-07-03,91.33413461538463
2022-07-10,114.61538461538463
2022-07-17,87.75240384615385
2022-07-24,59.0985576923077
2022-07-31,96.70673076923077
2022-08-07,84.17067307692308
2022-08-14,94.9158653846154
2022-08-21,91.33413461538463
2022-08-28,123.56971153846155
2022-09-04,91.33413461538463
2022-09-11,55.51682692307693
2022-09-18,94.9158653846154
2022-09-25,84.17067307692308
2022-10-02,73.42548076923077
2022-10-09,59.0985576923077
2022-10-16,64.47115384615385
2022-10-23,62.68028846153847
2022-10-30,53.72596153846155
2022-11-06,89.54326923076924
2022-11-13,89.54326923076924
2022-11-20,75.21634615384616
2022-11-27,73.42548076923077
2022-12-04,73.42548076923077
2022-12-11,60.88942307692308
2022-12-18,85.96153846153847
2022-12-25,64.47115384615385
2023-01-01,68.05288461538463
2023-01-08,64.47115384615385
2023-01-15,64.47115384615385
2023-01-22,93.12500000000001
2023-01-29,75.21634615384616
2023-02-05,77.00721153846155
2023-02-12,69.84375000000001
2023-02-19,80.58894230769232
2023-02-26,57.307692307692314
2023-03-05,68.05288461538463
2023-03-12,59.0985576923077
2023-03-19,62.68028846153847
2023-03-26,84.17067307692308
2023-04-02,51.93509615384616
2023-04-09,80.58894230769232
2023-04-16,77.00721153846155
2023-04-23,66.26201923076924
2023-04-30,80.58894230769232
2023-05-07,82.37980769230771
2023-05-14,103.87019230769232
2023-05-21,91.33413461538463
2023-05-28,89.54326923076924
2023-06-04,60.88942307692308
2023-06-11,60.88942307692308
2023-06-18,60.88942307692308
2023-06-25,62.68028846153847
2023-07-02,100.28846153846155
2023-07-09,103.87019230769232
2023-07-16,80.58894230769232
2023-07-23,80.58894230769232
2023-07-30,60.88942307692308
2023-08-06,73.42548076923077
2023-08-13,91.33413461538463
2023-08-20,77.00721153846155
2023-08-27,64.47115384615385
2023-09-03,71.63461538461539
2023-09-10,57.307692307692314
2023-09-17,87.75240384615385
2023-09-24,55.51682692307693
2023-10-01,78.79807692307693
2023-10-08,78.79807692307693
2023-10-15,85.96153846153847
2023-10-22,94.9158653846154
2023-10-29,59.0985576923077
2023-11-05,85.96153846153847
2023-11-12,91.33413461538463
2023-11-19,105.66105769230771
2023-11-26,78.79807692307693
2023-12-03,100.28846153846155
2023-12-10,123.56971153846155
2023-12-17,66.26201923076924
2023-12-24,94.9158653846154
