,Printing & Publishing
2020-05-24,53.12451361867705
2020-05-31,54.560311284046705
2020-06-07,55.99610894941635
2020-06-14,57.431906614786
2020-06-21,58.86770428015565
2020-06-28,63.1750972762646
2020-07-05,63.1750972762646
2020-07-12,66.0466926070039
2020-07-19,64.61089494163426
2020-07-26,64.61089494163426
2020-08-02,61.73929961089495
2020-08-09,67.48249027237355
2020-08-16,63.1750972762646
2020-08-23,66.0466926070039
2020-08-30,64.61089494163426
2020-09-06,71.7898832684825
2020-09-13,68.9182879377432
2020-09-20,67.48249027237355
2020-09-27,66.0466926070039
2020-10-04,66.0466926070039
2020-10-11,66.0466926070039
2020-10-18,66.0466926070039
2020-10-25,57.431906614786
2020-11-01,55.99610894941635
2020-11-08,54.560311284046705
2020-11-15,55.99610894941635
2020-11-22,57.431906614786
2020-11-29,57.431906614786
2020-12-06,61.73929961089495
2020-12-13,66.0466926070039
2020-12-20,66.0466926070039
2020-12-27,64.61089494163426
2021-01-03,64.61089494163426
2021-01-10,58.86770428015565
2021-01-17,64.61089494163426
2021-01-24,61.73929961089495
2021-01-31,63.1750972762646
2021-02-07,64.61089494163426
2021-02-14,61.73929961089495
2021-02-21,66.0466926070039
2021-02-28,67.48249027237355
2021-03-07,70.35408560311285
2021-03-14,63.1750972762646
2021-03-21,60.3035019455253
2021-03-28,57.431906614786
2021-04-04,58.86770428015565
2021-04-11,53.12451361867705
2021-04-18,58.86770428015565
2021-04-25,51.6887159533074
2021-05-02,54.560311284046705
2021-05-09,58.86770428015565
2021-05-16,55.99610894941635
2021-05-23,55.99610894941635
2021-05-30,58.86770428015565
2021-06-06,57.431906614786
2021-06-13,64.61089494163426
2021-06-20,64.61089494163426
2021-06-27,67.48249027237355
2021-07-04,67.48249027237355
2021-07-11,71.7898832684825
2021-07-18,68.9182879377432
2021-07-25,71.7898832684825
2021-08-01,70.35408560311285
2021-08-08,71.7898832684825
2021-08-15,71.7898832684825
2021-08-22,70.35408560311285
2021-08-29,66.0466926070039
2021-09-05,64.61089494163426
2021-09-12,66.0466926070039
2021-09-19,64.61089494163426
2021-09-26,63.1750972762646
2021-10-03,60.3035019455253
2021-10-10,54.560311284046705
2021-10-17,60.3035019455253
2021-10-24,58.86770428015565
2021-10-31,45.9455252918288
2021-11-07,55.99610894941635
2021-11-14,57.431906614786
2021-11-21,60.3035019455253
2021-11-28,57.431906614786
2021-12-05,60.3035019455253
2021-12-12,63.1750972762646
2021-12-19,66.0466926070039
2021-12-26,63.1750972762646
2022-01-02,70.35408560311285
2022-01-09,68.9182879377432
2022-01-16,66.0466926070039
2022-01-23,70.35408560311285
2022-01-30,73.22568093385215
2022-02-06,67.48249027237355
2022-02-13,71.7898832684825
2022-02-20,71.7898832684825
2022-02-27,77.5330739299611
2022-03-06,76.09727626459146
2022-03-13,67.48249027237355
2022-03-20,77.5330739299611
2022-03-27,73.22568093385215
2022-04-03,74.6614785992218
2022-04-10,71.7898832684825
2022-04-17,73.22568093385215
2022-04-24,77.5330739299611
2022-05-01,74.6614785992218
2022-05-08,77.5330739299611
2022-05-15,73.22568093385215
2022-05-22,78.96887159533075
2022-05-29,76.09727626459146
2022-06-05,73.22568093385215
2022-06-12,77.5330739299611
2022-06-19,81.84046692607005
2022-06-26,76.09727626459146
2022-07-03,84.71206225680935
2022-07-10,86.14785992217901
2022-07-17,86.14785992217901
2022-07-24,78.96887159533075
2022-07-31,78.96887159533075
2022-08-07,76.09727626459146
2022-08-14,76.09727626459146
2022-08-21,83.2762645914397
2022-08-28,74.6614785992218
2022-09-04,71.7898832684825
2022-09-11,83.2762645914397
2022-09-18,84.71206225680935
2022-09-25,83.2762645914397
2022-10-02,76.09727626459146
2022-10-09,81.84046692607005
2022-10-16,76.09727626459146
2022-10-23,64.61089494163426
2022-10-30,77.5330739299611
2022-11-06,83.2762645914397
2022-11-13,80.4046692607004
2022-11-20,81.84046692607005
2022-11-27,78.96887159533075
2022-12-04,81.84046692607005
2022-12-11,94.7626459143969
2022-12-18,143.579766536965
2022-12-25,87.58365758754866
2023-01-01,78.96887159533075
2023-01-08,77.5330739299611
2023-01-15,80.4046692607004
2023-01-22,77.5330739299611
2023-01-29,78.96887159533075
2023-02-05,78.96887159533075
2023-02-12,74.6614785992218
2023-02-19,80.4046692607004
2023-02-26,77.5330739299611
2023-03-05,70.35408560311285
2023-03-12,80.4046692607004
2023-03-19,78.96887159533075
2023-03-26,81.84046692607005
2023-04-02,80.4046692607004
2023-04-09,80.4046692607004
2023-04-16,76.09727626459146
2023-04-23,76.09727626459146
2023-04-30,87.58365758754866
2023-05-07,83.2762645914397
2023-05-14,78.96887159533075
2023-05-21,84.71206225680935
2023-05-28,80.4046692607004
2023-06-04,77.5330739299611
2023-06-11,81.84046692607005
2023-06-18,86.14785992217901
2023-06-25,81.84046692607005
2023-07-02,94.7626459143969
2023-07-09,86.14785992217901
2023-07-16,83.2762645914397
2023-07-23,87.58365758754866
2023-07-30,83.2762645914397
2023-08-06,84.71206225680935
2023-08-13,78.96887159533075
2023-08-20,80.4046692607004
2023-08-27,80.4046692607004
2023-09-03,81.84046692607005
2023-09-10,81.84046692607005
2023-09-17,77.5330739299611
2023-09-24,78.96887159533075
2023-10-01,80.4046692607004
