,Pharmacy
2020-08-02,85.92003719200373
2020-08-09,93.9125987912599
2020-08-16,91.91445839144586
2020-08-23,85.92003719200373
2020-08-30,85.92003719200373
2020-09-06,97.90887959088798
2020-09-13,91.91445839144586
2020-09-20,83.9218967921897
2020-09-27,89.91631799163181
2020-10-04,95.91073919107393
2020-10-11,99.90701999070201
2020-10-18,97.90887959088798
2020-10-25,97.90887959088798
2020-11-01,97.90887959088798
2020-11-08,95.91073919107393
2020-11-15,89.91631799163181
2020-11-22,89.91631799163181
2020-11-29,87.91817759181778
2020-12-06,93.9125987912599
2020-12-13,89.91631799163181
2020-12-20,81.92375639237565
2020-12-27,81.92375639237565
2021-01-03,89.91631799163181
2021-01-10,83.9218967921897
2021-01-17,89.91631799163181
2021-01-24,95.91073919107393
2021-01-31,87.91817759181778
2021-02-07,95.91073919107393
2021-02-14,97.90887959088798
2021-02-21,91.91445839144586
2021-02-28,99.90701999070201
2021-03-07,95.91073919107393
2021-03-14,91.91445839144586
2021-03-21,93.9125987912599
2021-03-28,97.90887959088798
2021-04-04,95.91073919107393
2021-04-11,71.93305439330545
2021-04-18,99.90701999070201
2021-04-25,105.90144119014414
2021-05-02,105.90144119014414
2021-05-09,115.89214318921434
2021-05-16,111.89586238958626
2021-05-23,107.89958158995817
2021-05-30,117.89028358902839
2021-06-06,117.89028358902839
2021-06-13,109.89772198977222
2021-06-20,105.90144119014414
2021-06-27,105.90144119014414
2021-07-04,105.90144119014414
2021-07-11,97.90887959088798
2021-07-18,113.8940027894003
2021-07-25,109.89772198977222
2021-08-01,113.8940027894003
2021-08-08,131.87726638772665
2021-08-15,149.86052998605302
2021-08-22,141.86796838679686
2021-08-29,119.88842398884242
2021-09-05,123.8847047884705
2021-09-12,109.89772198977222
2021-09-19,103.90330079033009
2021-09-26,99.90701999070201
2021-10-03,103.90330079033009
2021-10-10,89.91631799163181
2021-10-17,85.92003719200373
2021-10-24,97.90887959088798
2021-10-31,97.90887959088798
2021-11-07,87.91817759181778
2021-11-14,103.90330079033009
2021-11-21,97.90887959088798
2021-11-28,97.90887959088798
2021-12-05,103.90330079033009
2021-12-12,99.90701999070201
2021-12-19,91.91445839144586
2021-12-26,103.90330079033009
2022-01-02,133.8754067875407
2022-01-09,123.8847047884705
2022-01-16,121.88656438865647
2022-01-23,149.86052998605302
2022-01-30,165.84565318456535
2022-02-06,159.85123198512323
2022-02-13,159.85123198512323
2022-02-20,149.86052998605302
2022-02-27,145.86424918642496
2022-03-06,145.86424918642496
2022-03-13,137.8716875871688
2022-03-20,137.8716875871688
2022-03-27,117.89028358902839
2022-04-03,109.89772198977222
2022-04-10,107.89958158995817
2022-04-17,133.8754067875407
2022-04-24,147.86238958623898
2022-05-01,141.86796838679686
2022-05-08,123.8847047884705
2022-05-15,131.87726638772665
2022-05-22,139.8698279869828
2022-05-29,137.8716875871688
2022-06-05,139.8698279869828
2022-06-12,135.87354718735475
2022-06-19,145.86424918642496
2022-06-26,139.8698279869828
2022-07-03,151.85867038586707
2022-07-10,143.8661087866109
2022-07-17,139.8698279869828
2022-07-24,137.8716875871688
2022-07-31,139.8698279869828
2022-08-07,147.86238958623898
2022-08-14,155.85495118549514
2022-08-21,149.86052998605302
2022-08-28,143.8661087866109
2022-09-04,135.87354718735475
2022-09-11,147.86238958623898
2022-09-18,143.8661087866109
2022-09-25,147.86238958623898
2022-10-02,139.8698279869828
2022-10-09,145.86424918642496
2022-10-16,151.85867038586707
2022-10-23,151.85867038586707
2022-10-30,153.85681078568112
2022-11-06,153.85681078568112
2022-11-13,167.8437935843794
2022-11-20,155.85495118549514
2022-11-27,151.85867038586707
2022-12-04,151.85867038586707
2022-12-11,153.85681078568112
2022-12-18,155.85495118549514
2022-12-25,163.8475127847513
2023-01-01,151.85867038586707
2023-01-08,161.84937238493725
2023-01-15,157.8530915853092
2023-01-22,159.85123198512323
2023-01-29,157.8530915853092
2023-02-05,159.85123198512323
2023-02-12,155.85495118549514
2023-02-19,161.84937238493725
2023-02-26,149.86052998605302
2023-03-05,159.85123198512323
2023-03-12,161.84937238493725
2023-03-19,155.85495118549514
2023-03-26,149.86052998605302
2023-04-02,143.8661087866109
2023-04-09,137.8716875871688
2023-04-16,153.85681078568112
2023-04-23,157.8530915853092
2023-04-30,147.86238958623898
2023-05-07,151.85867038586707
2023-05-14,157.8530915853092
2023-05-21,151.85867038586707
2023-05-28,153.85681078568112
2023-06-04,161.84937238493725
2023-06-11,165.84565318456535
2023-06-18,153.85681078568112
2023-06-25,167.8437935843794
2023-07-02,163.8475127847513
2023-07-09,175.83635518363556
2023-07-16,165.84565318456535
2023-07-23,165.84565318456535
2023-07-30,155.85495118549514
2023-08-06,165.84565318456535
2023-08-13,167.8437935843794
2023-08-20,157.8530915853092
2023-08-27,159.85123198512323
2023-09-03,145.86424918642496
2023-09-10,151.85867038586707
2023-09-17,153.85681078568112
2023-09-24,155.85495118549514
2023-10-01,151.85867038586707
2023-10-08,153.85681078568112
2023-10-15,155.85495118549514
2023-10-22,137.8716875871688
2023-10-29,149.86052998605302
2023-11-05,149.86052998605302
2023-11-12,165.84565318456535
2023-11-19,155.85495118549514
2023-11-26,161.84937238493725
2023-12-03,157.8530915853092
2023-12-10,165.84565318456535
2023-12-17,161.84937238493725
2023-12-24,157.8530915853092
2023-12-31,165.84565318456535
2024-01-07,161.23867252378022
2024-01-14,155.80366109039437
2024-01-21,153.9919906125991
2024-01-28,155.80366109039437
2024-02-04,150.36864965700852
2024-02-11,155.80366109039437
2024-02-18,152.18032013480382
2024-02-25,146.74530870141797
2024-03-03,153.9919906125991
2024-03-10,144.93363822362267
2024-03-17,155.80366109039437
2024-03-24,155.80366109039437
2024-03-31,148.55697917921324
2024-04-07,143.1219677458274
2024-04-14,134.063615356851
2024-04-21,157.61533156818967
2024-04-28,161.23867252378022
2024-05-05,150.36864965700852
2024-05-12,150.36864965700852
2024-05-19,143.1219677458274
2024-05-26,157.61533156818967
2024-06-02,157.61533156818967
2024-06-09,166.67368395716608
2024-06-16,150.36864965700852
2024-06-23,172.10869539055193
2024-06-30,168.48535443496135
2024-07-07,181.16704777952833
2024-07-14,170.29702491275665
2024-07-21,170.29702491275665
2024-07-28,159.42700204598495
2024-08-04,159.42700204598495
2024-08-11,157.61533156818967
2024-08-18,163.0503430015755
2024-08-25,157.61533156818967
2024-09-01,159.42700204598495
2024-09-08,161.23867252378022
2024-09-15,148.55697917921324
2024-09-22,143.1219677458274
2024-09-29,146.74530870141797
2024-10-06,150.36864965700852
2024-10-13,153.9919906125991
2024-10-20,150.36864965700852
2024-10-27,164.8620134793708
2024-11-03,153.9919906125991
2024-11-10,152.18032013480382
2024-11-17,148.55697917921324
2024-11-24,152.18032013480382
2024-12-01,150.36864965700852
2024-12-08,150.36864965700852
2024-12-15,153.9919906125991
2024-12-22,159.42700204598495
2024-12-29,157.61533156818967
2025-01-05,164.8620134793708
2025-01-12,161.23867252378022
2025-01-19,161.23867252378022
2025-01-26,163.0503430015755
2025-02-02,172.10869539055193
2025-02-09,152.18032013480382
2025-02-16,152.18032013480382
2025-02-23,157.61533156818967
2025-03-02,150.36864965700852
2025-03-09,146.74530870141797
2025-03-16,164.8620134793708
2025-03-23,146.74530870141797
2025-03-30,148.55697917921324
2025-04-06,143.1219677458274
2025-04-13,126.81693344566985
2025-04-20,159.42700204598495
2025-04-27,150.36864965700852
2025-05-04,139.4986267902368
2025-05-11,144.93363822362267
2025-05-18,150.36864965700852
2025-05-25,144.93363822362267
2025-06-01,157.61533156818967
2025-06-08,148.55697917921324
2025-06-15,148.55697917921324
2025-06-22,148.55697917921324
2025-06-29,148.55697917921324
2025-07-06,135.87528583464626
2025-07-13,148.55697917921324
2025-07-20,148.55697917921324
2025-07-27,143.1219677458274
2025-08-03,148.55697917921324
2025-08-10,144.93363822362267
2025-08-17,146.74530870141797
2025-08-24,146.74530870141797
2025-08-31,139.4986267902368
2025-09-07,126.81693344566985
2025-09-14,134.063615356851
2025-09-21,139.4986267902368
2025-09-28,141.31029726803212
2025-10-05,137.68695631244154
2025-10-12,143.1219677458274
2025-10-19,139.4986267902368
2025-10-26,137.68695631244154
2025-11-02,143.1219677458274
2025-11-09,152.18032013480382
2025-11-16,146.74530870141797
2025-11-23,119.5702515344887
2025-11-30,135.87528583464626
2025-12-07,137.68695631244154
2025-12-14,137.68695631244154
2025-12-21,148.55697917921324
2025-12-28,155.80366109039437
