,Freight & Trucking
2014-12-28,35.0
2015-01-04,36.0
2015-01-11,36.0
2015-01-18,35.0
2015-01-25,33.0
2015-02-01,37.0
2015-02-08,37.0
2015-02-15,39.0
2015-02-22,36.0
2015-03-01,36.0
2015-03-08,37.0
2015-03-15,39.0
2015-03-22,38.0
2015-03-29,39.0
2015-04-05,37.0
2015-04-12,35.0
2015-04-19,41.0
2015-04-26,38.0
2015-05-03,37.0
2015-05-10,40.0
2015-05-17,41.0
2015-05-24,41.0
2015-05-31,41.0
2015-06-07,40.0
2015-06-14,40.0
2015-06-21,46.0
2015-06-28,53.0
2015-07-05,49.0
2015-07-12,51.0
2015-07-19,52.0
2015-07-26,49.0
2015-08-02,48.0
2015-08-09,44.0
2015-08-16,51.0
2015-08-23,44.0
2015-08-30,47.0
2015-09-06,46.0
2015-09-13,46.0
2015-09-20,45.0
2015-09-27,51.0
2015-10-04,49.0
2015-10-11,48.0
2015-10-18,42.0
2015-10-25,46.0
2015-11-01,46.0
2015-11-08,36.0
2015-11-15,43.0
2015-11-22,44.0
2015-11-29,40.0
2015-12-06,44.0
2015-12-13,48.0
2015-12-20,45.0
2015-12-27,42.0
2016-01-03,40.0
2016-01-10,37.0
2016-01-17,39.0
2016-01-24,36.0
2016-01-31,41.0
2016-02-07,41.0
2016-02-14,44.0
2016-02-21,42.0
2016-02-28,44.0
2016-03-06,42.0
2016-03-13,44.0
2016-03-20,38.0
2016-03-27,41.0
2016-04-03,44.0
2016-04-10,37.0
2016-04-17,39.0
2016-04-24,43.0
2016-05-01,44.0
2016-05-08,44.0
2016-05-15,42.0
2016-05-22,44.0
2016-05-29,43.0
2016-06-05,45.0
2016-06-12,44.0
2016-06-19,45.0
2016-06-26,48.0
2016-07-03,46.0
2016-07-10,48.0
2016-07-17,50.0
2016-07-24,51.0
2016-07-31,51.0
2016-08-07,50.0
2016-08-14,44.0
2016-08-21,55.0
2016-08-28,50.0
2016-09-04,47.0
2016-09-11,52.0
2016-09-18,56.0
2016-09-25,66.0
2016-10-02,90.0
2016-10-09,100.0
2016-10-16,94.0
2016-10-23,82.0
2016-10-30,78.0
2016-11-06,73.0
2016-11-13,67.0
2016-11-20,69.0
2016-11-27,74.0
2016-12-04,68.0
2016-12-11,64.0
2016-12-18,72.0
2016-12-25,70.0
2017-01-01,65.0
2017-01-08,63.0
2017-01-15,69.0
2017-01-22,61.0
2017-01-29,59.0
2017-02-05,60.0
2017-02-12,60.0
2017-02-19,59.0
2017-02-26,63.0
2017-03-05,56.0
2017-03-12,57.0
2017-03-19,61.0
2017-03-26,60.0
2017-04-02,58.0
2017-04-09,61.0
2017-04-16,63.0
2017-04-23,64.0
2017-04-30,57.0
2017-05-07,60.0
2017-05-14,60.0
2017-05-21,61.0
2017-05-28,63.0
2017-06-04,65.0
2017-06-11,65.0
2017-06-18,66.0
2017-06-25,63.0
2017-07-02,66.0
2017-07-09,73.0
2017-07-16,64.0
2017-07-23,68.0
2017-07-30,63.0
2017-08-06,65.0
2017-08-13,63.0
2017-08-20,63.0
2017-08-27,60.0
2017-09-03,65.0
2017-09-10,70.0
2017-09-17,68.0
2017-09-24,59.0
2017-10-01,67.0
2017-10-08,69.0
2017-10-15,48.0
2017-10-22,59.0
2017-10-29,67.0
2017-11-05,66.0
2017-11-12,70.0
2017-11-19,66.0
2017-11-26,67.0
2017-12-03,67.0
2017-12-10,66.0
2017-12-17,68.0
2017-12-24,67.0
2017-12-31,61.0
2018-01-07,72.0
2018-01-14,64.0
2018-01-21,61.0
2018-01-28,66.0
2018-02-04,65.0
2018-02-11,68.0
2018-02-18,67.0
2018-02-25,63.0
2018-03-04,69.0
2018-03-11,68.0
2018-03-18,68.0
2018-03-25,70.0
2018-04-01,67.0
2018-04-08,66.0
2018-04-15,71.0
2018-04-22,65.0
2018-04-29,70.0
2018-05-06,66.0
2018-05-13,71.0
2018-05-20,72.0
2018-05-27,75.0
2018-06-03,73.0
2018-06-10,70.0
2018-06-17,69.0
2018-06-24,70.0
2018-07-01,73.0
2018-07-08,74.0
2018-07-15,75.0
2018-07-22,79.0
2018-07-29,82.0
2018-08-05,85.0
2018-08-12,81.0
2018-08-19,84.0
2018-08-26,91.0
2018-09-02,93.0
2018-09-09,90.0
2018-09-16,92.0
2018-09-23,94.0
2018-09-30,94.0
2018-10-07,99.0
2018-10-14,85.0
2018-10-21,93.0
2018-10-28,99.0
2018-11-04,68.0
2018-11-11,86.0
2018-11-18,95.0
2018-11-25,91.0
2018-12-02,91.0
2018-12-09,91.0
2018-12-16,93.0
2018-12-23,90.0
2018-12-30,85.0
2019-01-06,83.0
2019-01-13,76.0
2019-01-20,83.0
2019-01-27,86.0
2019-02-03,81.0
2019-02-10,81.0
2019-02-17,84.0
2019-02-24,83.0
2019-03-03,82.0
2019-03-10,85.0
2019-03-17,82.0
2019-03-24,84.0
2019-03-31,76.0
2019-04-07,77.0
2019-04-14,80.0
2019-04-21,77.0
2019-04-28,76.0
2019-05-05,80.0
2019-05-12,77.0
2019-05-19,76.0
2019-05-26,82.0
2019-06-02,78.0
2019-06-09,77.0
2019-06-16,80.0
2019-06-23,85.0
2019-06-30,76.0
2019-07-07,75.0
2019-07-14,85.0
2019-07-21,87.0
2019-07-28,82.0
2019-08-04,82.0
2019-08-11,72.0
2019-08-18,87.0
2019-08-25,84.0
2019-09-01,76.0
2019-09-08,81.0
2019-09-15,87.0
2019-09-22,85.0
2019-09-29,79.0
2019-10-06,74.0
2019-10-13,82.0
2019-10-20,77.0
2019-10-27,65.0
2019-11-03,79.0
2019-11-10,78.0
2019-11-17,81.0
2019-11-24,79.0
2019-12-01,84.0
2019-12-08,76.0
2019-12-15,89.0
2019-12-22,79.0
2019-12-29,74.0
2020-01-05,74.49139072847682
2020-01-12,73.11192052980131
2020-01-19,78.6298013245033
2020-01-26,77.2503311258278
2020-02-02,77.2503311258278
2020-02-09,75.87086092715231
2020-02-16,78.6298013245033
2020-02-23,81.38874172185429
2020-03-01,74.49139072847682
2020-03-08,67.59403973509933
2020-03-15,70.35298013245033
2020-03-22,38.6251655629139
2020-03-29,37.24569536423841
2020-04-05,41.3841059602649
2020-04-12,44.14304635761589
2020-04-19,46.90198675496688
2020-04-26,49.660927152317875
2020-05-03,53.799337748344364
2020-05-10,56.558278145695354
2020-05-17,60.69668874172184
2020-05-24,62.07615894039734
2020-05-31,74.49139072847682
2020-06-07,71.73245033112582
2020-06-14,73.11192052980131
2020-06-21,75.87086092715231
2020-06-28,77.2503311258278
2020-07-05,81.38874172185429
2020-07-12,86.90662251655628
2020-07-19,82.7682119205298
2020-07-26,85.52715231788078
2020-08-02,84.14768211920529
2020-08-09,86.90662251655628
2020-08-16,85.52715231788078
2020-08-23,85.52715231788078
2020-08-30,84.14768211920529
2020-09-06,99.32185430463575
2020-09-13,93.80397350993375
2020-09-20,89.66556291390727
2020-09-27,85.52715231788078
2020-10-04,89.66556291390727
2020-10-11,85.52715231788078
2020-10-18,86.90662251655628
2020-10-25,82.7682119205298
2020-11-01,78.6298013245033
2020-11-08,71.73245033112582
2020-11-15,73.11192052980131
2020-11-22,80.0092715231788
2020-11-29,75.87086092715231
2020-12-06,81.38874172185429
2020-12-13,82.7682119205298
2020-12-20,86.90662251655628
2020-12-27,77.2503311258278
2021-01-03,85.52715231788078
2021-01-10,77.2503311258278
2021-01-17,88.28609271523177
2021-01-24,81.38874172185429
2021-01-31,84.14768211920529
2021-02-07,88.28609271523177
2021-02-14,85.52715231788078
2021-02-21,88.28609271523177
2021-02-28,89.66556291390727
2021-03-07,85.52715231788078
2021-03-14,84.14768211920529
2021-03-21,78.6298013245033
2021-03-28,78.6298013245033
2021-04-04,77.2503311258278
2021-04-11,71.73245033112582
2021-04-18,78.6298013245033
2021-04-25,73.11192052980131
2021-05-02,71.73245033112582
2021-05-09,73.11192052980131
2021-05-16,73.11192052980131
2021-05-23,73.11192052980131
2021-05-30,80.0092715231788
2021-06-06,85.52715231788078
2021-06-13,88.28609271523177
2021-06-20,89.66556291390727
2021-06-27,89.66556291390727
2021-07-04,95.18344370860926
2021-07-11,103.46026490066224
2021-07-18,102.08079470198673
2021-07-25,102.08079470198673
2021-08-01,97.94238410596024
2021-08-08,106.21920529801322
2021-08-15,99.32185430463575
2021-08-22,95.18344370860926
2021-08-29,96.56291390728475
2021-09-05,95.18344370860926
2021-09-12,99.32185430463575
2021-09-19,106.21920529801322
2021-09-26,95.18344370860926
2021-10-03,100.70132450331124
2021-10-10,80.0092715231788
2021-10-17,95.18344370860926
2021-10-24,102.08079470198673
2021-10-31,73.11192052980131
2021-11-07,86.90662251655628
2021-11-14,92.42450331125826
2021-11-21,95.18344370860926
2021-11-28,100.70132450331124
2021-12-05,102.08079470198673
2021-12-12,96.56291390728475
2021-12-19,100.70132450331124
2021-12-26,89.66556291390727
2022-01-02,107.59867549668873
2022-01-09,91.04503311258277
2022-01-16,93.80397350993375
2022-01-23,96.56291390728475
2022-01-30,108.97814569536422
2022-02-06,107.59867549668873
2022-02-13,120.0139072847682
2022-02-20,118.6344370860927
2022-02-27,117.2549668874172
2022-03-06,115.8754966887417
2022-03-13,95.18344370860926
2022-03-20,97.94238410596024
2022-03-27,93.80397350993375
2022-04-03,100.70132450331124
2022-04-10,99.32185430463575
2022-04-17,100.70132450331124
2022-04-24,104.83973509933773
2022-05-01,99.32185430463575
2022-05-08,107.59867549668873
2022-05-15,104.83973509933773
2022-05-22,103.46026490066224
