,Construction & Maintenance
2014-12-28,36.0
2015-01-04,36.0
2015-01-11,33.0
2015-01-18,33.0
2015-01-25,32.0
2015-02-01,34.0
2015-02-08,35.0
2015-02-15,39.0
2015-02-22,38.0
2015-03-01,36.0
2015-03-08,40.0
2015-03-15,41.0
2015-03-22,48.0
2015-03-29,47.0
2015-04-05,49.0
2015-04-12,41.0
2015-04-19,48.0
2015-04-26,42.0
2015-05-03,45.0
2015-05-10,43.0
2015-05-17,48.0
2015-05-24,48.0
2015-05-31,42.0
2015-06-07,41.0
2015-06-14,40.0
2015-06-21,45.0
2015-06-28,48.0
2015-07-05,51.0
2015-07-12,52.0
2015-07-19,52.0
2015-07-26,50.0
2015-08-02,51.0
2015-08-09,49.0
2015-08-16,49.0
2015-08-23,46.0
2015-08-30,49.0
2015-09-06,51.0
2015-09-13,50.0
2015-09-20,49.0
2015-09-27,46.0
2015-10-04,51.0
2015-10-11,49.0
2015-10-18,47.0
2015-10-25,48.0
2015-11-01,45.0
2015-11-08,35.0
2015-11-15,43.0
2015-11-22,44.0
2015-11-29,44.0
2015-12-06,43.0
2015-12-13,45.0
2015-12-20,46.0
2015-12-27,43.0
2016-01-03,45.0
2016-01-10,43.0
2016-01-17,43.0
2016-01-24,42.0
2016-01-31,43.0
2016-02-07,46.0
2016-02-14,46.0
2016-02-21,50.0
2016-02-28,48.0
2016-03-06,47.0
2016-03-13,49.0
2016-03-20,47.0
2016-03-27,53.0
2016-04-03,59.0
2016-04-10,62.0
2016-04-17,62.0
2016-04-24,58.0
2016-05-01,56.0
2016-05-08,54.0
2016-05-15,56.0
2016-05-22,54.0
2016-05-29,52.0
2016-06-05,53.0
2016-06-12,51.0
2016-06-19,52.0
2016-06-26,52.0
2016-07-03,50.0
2016-07-10,50.0
2016-07-17,54.0
2016-07-24,53.0
2016-07-31,50.0
2016-08-07,54.0
2016-08-14,49.0
2016-08-21,55.0
2016-08-28,56.0
2016-09-04,51.0
2016-09-11,53.0
2016-09-18,52.0
2016-09-25,55.0
2016-10-02,51.0
2016-10-09,48.0
2016-10-16,54.0
2016-10-23,49.0
2016-10-30,48.0
2016-11-06,49.0
2016-11-13,47.0
2016-11-20,49.0
2016-11-27,52.0
2016-12-04,47.0
2016-12-11,50.0
2016-12-18,53.0
2016-12-25,57.0
2017-01-01,55.0
2017-01-08,51.0
2017-01-15,49.0
2017-01-22,50.0
2017-01-29,57.0
2017-02-05,55.0
2017-02-12,56.0
2017-02-19,59.0
2017-02-26,58.0
2017-03-05,58.0
2017-03-12,55.0
2017-03-19,65.0
2017-03-26,78.0
2017-04-02,77.0
2017-04-09,72.0
2017-04-16,77.0
2017-04-23,70.0
2017-04-30,61.0
2017-05-07,65.0
2017-05-14,69.0
2017-05-21,70.0
2017-05-28,64.0
2017-06-04,63.0
2017-06-11,65.0
2017-06-18,65.0
2017-06-25,70.0
2017-07-02,65.0
2017-07-09,65.0
2017-07-16,67.0
2017-07-23,66.0
2017-07-30,63.0
2017-08-06,59.0
2017-08-13,61.0
2017-08-20,62.0
2017-08-27,56.0
2017-09-03,59.0
2017-09-10,63.0
2017-09-17,56.0
2017-09-24,54.0
2017-10-01,59.0
2017-10-08,62.0
2017-10-15,48.0
2017-10-22,59.0
2017-10-29,61.0
2017-11-05,62.0
2017-11-12,61.0
2017-11-19,60.0
2017-11-26,60.0
2017-12-03,63.0
2017-12-10,60.0
2017-12-17,66.0
2017-12-24,63.0
2017-12-31,58.0
2018-01-07,59.0
2018-01-14,59.0
2018-01-21,57.0
2018-01-28,61.0
2018-02-04,61.0
2018-02-11,63.0
2018-02-18,68.0
2018-02-25,61.0
2018-03-04,67.0
2018-03-11,69.0
2018-03-18,72.0
2018-03-25,79.0
2018-04-01,76.0
2018-04-08,72.0
2018-04-15,82.0
2018-04-22,81.0
2018-04-29,81.0
2018-05-06,76.0
2018-05-13,74.0
2018-05-20,78.0
2018-05-27,82.0
2018-06-03,76.0
2018-06-10,74.0
2018-06-17,72.0
2018-06-24,76.0
2018-07-01,74.0
2018-07-08,73.0
2018-07-15,75.0
2018-07-22,75.0
2018-07-29,76.0
2018-08-05,78.0
2018-08-12,71.0
2018-08-19,76.0
2018-08-26,80.0
2018-09-02,89.0
2018-09-09,83.0
2018-09-16,88.0
2018-09-23,91.0
2018-09-30,86.0
2018-10-07,93.0
2018-10-14,81.0
2018-10-21,92.0
2018-10-28,94.0
2018-11-04,65.0
2018-11-11,83.0
2018-11-18,85.0
2018-11-25,87.0
2018-12-02,85.0
2018-12-09,86.0
2018-12-16,80.0
2018-12-23,94.0
2018-12-30,83.0
2019-01-06,76.0
2019-01-13,72.0
2019-01-20,77.0
2019-01-27,84.0
2019-02-03,84.0
2019-02-10,81.0
2019-02-17,87.0
2019-02-24,82.0
2019-03-03,83.0
2019-03-10,88.0
2019-03-17,82.0
2019-03-24,100.0
2019-03-31,97.0
2019-04-07,96.0
2019-04-14,86.0
2019-04-21,93.0
2019-04-28,99.0
2019-05-05,90.0
2019-05-12,92.0
2019-05-19,86.0
2019-05-26,99.0
2019-06-02,94.0
2019-06-09,95.0
2019-06-16,84.0
2019-06-23,86.0
2019-06-30,79.0
2019-07-07,77.0
2019-07-14,84.0
2019-07-21,84.0
2019-07-28,84.0
2019-08-04,80.0
2019-08-11,72.0
2019-08-18,84.0
2019-08-25,84.0
2019-09-01,76.0
2019-09-08,82.0
2019-09-15,82.0
2019-09-22,83.0
2019-09-29,76.0
2019-10-06,67.0
2019-10-13,74.0
2019-10-20,69.0
2019-10-27,65.0
2019-11-03,75.0
2019-11-10,74.0
2019-11-17,78.0
2019-11-24,74.0
2019-12-01,73.0
2019-12-08,70.0
2019-12-15,74.0
2019-12-22,75.0
2019-12-29,74.0
2020-01-05,73.29630673808852
2020-01-12,66.08683394417817
2020-01-19,73.29630673808852
2020-01-26,75.69946433605864
2020-02-02,67.28841274316324
2020-02-09,70.89314914011841
2020-02-16,72.09472793910346
2020-02-23,74.49788553707357
2020-03-01,70.89314914011841
2020-03-08,64.88525514519311
2020-03-15,67.28841274316324
2020-03-22,48.063151959402305
2020-03-29,45.65999436143219
2020-04-05,48.063151959402305
2020-04-12,50.466309557372426
2020-04-19,48.063151959402305
2020-04-26,54.071045954327595
2020-05-03,55.272624753312655
2020-05-10,60.078939949252884
2020-05-17,73.29630673808852
2020-05-24,87.71525232590922
2020-05-31,73.29630673808852
2020-06-07,75.69946433605864
2020-06-14,75.69946433605864
2020-06-21,78.10262193402875
2020-06-28,78.10262193402875
2020-07-05,73.29630673808852
2020-07-12,74.49788553707357
2020-07-19,73.29630673808852
2020-07-26,73.29630673808852
2020-08-02,74.49788553707357
2020-08-09,75.69946433605864
2020-08-16,76.9010431350437
2020-08-23,75.69946433605864
2020-08-30,74.49788553707357
2020-09-06,78.10262193402875
2020-09-13,76.9010431350437
2020-09-20,76.9010431350437
2020-09-27,75.69946433605864
2020-10-04,75.69946433605864
2020-10-11,76.9010431350437
2020-10-18,74.49788553707357
2020-10-25,70.89314914011841
2020-11-01,70.89314914011841
2020-11-08,66.08683394417817
2020-11-15,63.68367634620806
2020-11-22,69.69157034113334
2020-11-29,67.28841274316324
2020-12-06,72.09472793910346
2020-12-13,73.29630673808852
2020-12-20,76.9010431350437
2020-12-27,73.29630673808852
2021-01-03,76.9010431350437
2021-01-10,68.48999154214829
2021-01-17,76.9010431350437
2021-01-24,72.09472793910346
2021-01-31,76.9010431350437
2021-02-07,75.69946433605864
2021-02-14,75.69946433605864
2021-02-21,80.50577953199887
2021-02-28,85.3120947279391
2021-03-07,81.70735833098392
2021-03-14,86.51367352692415
2021-03-21,82.90893712996898
2021-03-28,92.52156752184945
2021-04-04,88.91683112489427
2021-04-11,81.70735833098392
2021-04-18,74.49788553707357
2021-04-25,75.69946433605864
2021-05-02,68.48999154214829
2021-05-09,69.69157034113334
2021-05-16,69.69157034113334
2021-05-23,74.49788553707357
2021-05-30,80.50577953199887
2021-06-06,92.52156752184945
2021-06-13,84.11051592895404
2021-06-20,81.70735833098392
2021-06-27,88.91683112489427
2021-07-04,91.31998872286438
2021-07-11,91.31998872286438
2021-07-18,88.91683112489427
2021-07-25,85.3120947279391
2021-08-01,79.30420073301381
2021-08-08,80.50577953199887
2021-08-15,81.70735833098392
2021-08-22,78.10262193402875
2021-08-29,75.69946433605864
2021-09-05,84.11051592895404
2021-09-12,81.70735833098392
2021-09-19,74.49788553707357
2021-09-26,78.10262193402875
2021-10-03,76.9010431350437
2021-10-10,64.88525514519311
2021-10-17,69.69157034113334
2021-10-24,73.29630673808852
2021-10-31,60.078939949252884
2021-11-07,67.28841274316324
2021-11-14,73.29630673808852
2021-11-21,66.08683394417817
2021-11-28,72.09472793910346
2021-12-05,69.69157034113334
2021-12-12,75.69946433605864
2021-12-19,79.30420073301381
2021-12-26,76.9010431350437
2022-01-02,80.50577953199887
2022-01-09,72.09472793910346
2022-01-16,72.09472793910346
2022-01-23,75.69946433605864
2022-01-30,81.70735833098392
2022-02-06,78.10262193402875
2022-02-13,82.90893712996898
2022-02-20,91.31998872286438
2022-02-27,93.7231463208345
2022-03-06,96.12630391880461
2022-03-13,98.52946151677473
2022-03-20,105.73893431068508
2022-03-27,102.1341979137299
2022-04-03,104.53735551170001
2022-04-10,105.73893431068508
2022-04-17,108.14209190865519
2022-04-24,106.94051310967014
2022-05-01,99.73104031575978
2022-05-08,103.33577671271496
2022-05-15,91.31998872286438
2022-05-22,98.52946151677473
2022-05-29,93.7231463208345
2022-06-05,97.32788271778968
2022-06-12,97.32788271778968
2022-06-19,93.7231463208345
2022-06-26,98.52946151677473
2022-07-03,99.73104031575978
2022-07-10,94.92472511981956
2022-07-17,90.11840992387933
2022-07-24,91.31998872286438
2022-07-31,92.52156752184945
2022-08-07,85.3120947279391
2022-08-14,84.11051592895404
2022-08-21,91.31998872286438
2022-08-28,85.3120947279391
2022-09-04,84.11051592895404
2022-09-11,88.91683112489427
2022-09-18,94.92472511981956
2022-09-25,88.91683112489427
2022-10-02,79.30420073301381
2022-10-09,88.91683112489427
2022-10-16,85.3120947279391
2022-10-23,69.69157034113334
2022-10-30,91.31998872286438
2022-11-06,82.90893712996898
2022-11-13,82.90893712996898
2022-11-20,86.51367352692415
2022-11-27,80.50577953199887
2022-12-04,79.30420073301381
2022-12-11,91.31998872286438
2022-12-18,90.11840992387933
2022-12-25,91.31998872286438
2023-01-01,88.91683112489427
