,Forestry
2014-12-28,44.0
2015-01-04,24.0
2015-01-11,31.0
2015-01-18,36.0
2015-01-25,50.0
2015-02-01,29.0
2015-02-08,23.0
2015-02-15,32.0
2015-02-22,40.0
2015-03-01,55.0
2015-03-08,39.0
2015-03-15,43.0
2015-03-22,21.0
2015-03-29,41.0
2015-04-05,45.0
2015-04-12,31.0
2015-04-19,55.0
2015-04-26,73.0
2015-05-03,67.0
2015-05-10,85.0
2015-05-17,79.0
2015-05-24,45.0
2015-05-31,49.0
2015-06-07,41.0
2015-06-14,53.0
2015-06-21,46.0
2015-06-28,45.0
2015-07-05,45.0
2015-07-12,54.0
2015-07-19,42.0
2015-07-26,39.0
2015-08-02,27.0
2015-08-09,0.0
2015-08-16,32.0
2015-08-23,35.0
2015-08-30,45.0
2015-09-06,38.0
2015-09-13,45.0
2015-09-20,63.0
2015-09-27,29.0
2015-10-04,46.0
2015-10-11,32.0
2015-10-18,63.0
2015-10-25,59.0
2015-11-01,47.0
2015-11-08,49.0
2015-11-15,52.0
2015-11-22,51.0
2015-11-29,26.0
2015-12-06,28.0
2015-12-13,29.0
2015-12-20,26.0
2015-12-27,36.0
2016-01-03,76.0
2016-01-10,50.0
2016-01-17,54.0
2016-01-24,62.0
2016-01-31,48.0
2016-02-07,63.0
2016-02-14,57.0
2016-02-21,68.0
2016-02-28,38.0
2016-03-06,60.0
2016-03-13,46.0
2016-03-20,35.0
2016-03-27,58.0
2016-04-03,51.0
2016-04-10,36.0
2016-04-17,61.0
2016-04-24,54.0
2016-05-01,50.0
2016-05-08,46.0
2016-05-15,51.0
2016-05-22,48.0
2016-05-29,55.0
2016-06-05,64.0
2016-06-12,56.0
2016-06-19,51.0
2016-06-26,100.0
2016-07-03,54.0
2016-07-10,69.0
2016-07-17,63.0
2016-07-24,56.0
2016-07-31,50.0
2016-08-07,66.0
2016-08-14,38.0
2016-08-21,55.0
2016-08-28,54.0
2016-09-04,38.0
2016-09-11,81.0
2016-09-18,47.0
2016-09-25,58.0
2016-10-02,64.0
2016-10-09,54.0
2016-10-16,54.0
2016-10-23,62.0
2016-10-30,77.0
2016-11-06,50.0
2016-11-13,72.0
2016-11-20,57.0
2016-11-27,52.0
2016-12-04,51.0
2016-12-11,43.0
2016-12-18,63.0
2016-12-25,51.0
2017-01-01,50.0
2017-01-08,42.0
2017-01-15,59.0
2017-01-22,71.0
2017-01-29,32.0
2017-02-05,58.0
2017-02-12,54.0
2017-02-19,58.0
2017-02-26,63.0
2017-03-05,51.0
2017-03-12,73.0
2017-03-19,64.0
2017-03-26,55.0
2017-04-02,46.0
2017-04-09,45.0
2017-04-16,46.0
2017-04-23,54.0
2017-04-30,52.0
2017-05-07,45.0
2017-05-14,46.0
2017-05-21,55.0
2017-05-28,50.0
2017-06-04,44.0
2017-06-11,61.0
2017-06-18,55.0
2017-06-25,50.0
2017-07-02,57.0
2017-07-09,59.0
2017-07-16,53.0
2017-07-23,48.0
2017-07-30,79.0
2017-08-06,67.0
2017-08-13,44.0
2017-08-20,64.0
2017-08-27,45.0
2017-09-03,63.0
2017-09-10,52.0
2017-09-17,52.0
2017-09-24,52.0
2017-10-01,53.0
2017-10-08,56.0
2017-10-15,63.0
2017-10-22,42.0
2017-10-29,53.0
2017-11-05,50.0
2017-11-12,70.0
2017-11-19,69.0
2017-11-26,34.0
2017-12-03,46.0
2017-12-10,65.0
2017-12-17,44.0
2017-12-24,58.0
2017-12-31,54.0
2018-01-07,50.0
2018-01-14,58.0
2018-01-21,64.0
2018-01-28,52.0
2018-02-04,63.0
2018-02-11,46.0
2018-02-18,60.0
2018-02-25,78.0
2018-03-04,46.0
2018-03-11,59.0
2018-03-18,51.0
2018-03-25,45.0
2018-04-01,39.0
2018-04-08,37.0
2018-04-15,53.0
2018-04-22,56.0
2018-04-29,47.0
2018-05-06,51.0
2018-05-13,44.0
2018-05-20,60.0
2018-05-27,47.0
2018-06-03,55.0
2018-06-10,56.0
2018-06-17,57.0
2018-06-24,56.0
2018-07-01,46.0
2018-07-08,57.0
2018-07-15,48.0
2018-07-22,59.0
2018-07-29,71.0
2018-08-05,59.0
2018-08-12,72.0
2018-08-19,68.0
2018-08-26,69.0
2018-09-02,32.0
2018-09-09,57.0
2018-09-16,56.0
2018-09-23,65.0
2018-09-30,47.0
2018-10-07,51.0
2018-10-14,55.0
2018-10-21,56.0
2018-10-28,60.0
2018-11-04,62.0
2018-11-11,42.0
2018-11-18,65.0
2018-11-25,53.0
2018-12-02,43.0
2018-12-09,52.0
2018-12-16,64.0
2018-12-23,56.0
2018-12-30,59.0
2019-01-06,51.0
2019-01-13,70.0
2019-01-20,68.0
2019-01-27,63.0
2019-02-03,55.0
2019-02-10,55.0
2019-02-17,44.0
2019-02-24,55.0
2019-03-03,74.0
2019-03-10,66.0
2019-03-17,73.0
2019-03-24,47.0
2019-03-31,60.0
2019-04-07,52.0
2019-04-14,49.0
2019-04-21,27.0
2019-04-28,42.0
2019-05-05,42.0
2019-05-12,31.0
2019-05-19,56.0
2019-05-26,56.0
2019-06-02,57.0
2019-06-09,54.0
2019-06-16,62.0
2019-06-23,41.0
2019-06-30,68.0
2019-07-07,39.0
2019-07-14,56.0
2019-07-21,65.0
2019-07-28,67.0
2019-08-04,67.0
2019-08-11,55.0
2019-08-18,83.0
2019-08-25,54.0
2019-09-01,68.0
2019-09-08,71.0
2019-09-15,53.0
2019-09-22,46.0
2019-09-29,63.0
2019-10-06,56.0
2019-10-13,52.0
2019-10-20,53.0
2019-10-27,51.0
2019-11-03,60.0
