,Industrial Materials & Equipment
2020-05-24,25.588978185993113
2020-05-31,27.416762342135478
2020-06-07,25.588978185993113
2020-06-14,27.416762342135478
2020-06-21,30.158438576349024
2020-06-28,27.416762342135478
2020-07-05,28.33065442020666
2020-07-12,29.244546498277842
2020-07-19,30.158438576349024
2020-07-26,31.072330654420206
2020-08-02,22.847301951779563
2020-08-09,30.158438576349024
2020-08-16,35.64179104477612
2020-08-23,29.244546498277842
2020-08-30,28.33065442020666
2020-09-06,28.33065442020666
2020-09-13,31.986222732491388
2020-09-20,31.072330654420206
2020-09-27,28.33065442020666
2020-10-04,28.33065442020666
2020-10-11,26.502870264064295
2020-10-18,23.761194029850746
2020-10-25,23.761194029850746
2020-11-01,22.847301951779563
2020-11-08,25.588978185993113
2020-11-15,27.416762342135478
2020-11-22,29.244546498277842
2020-11-29,34.727898966704934
2020-12-06,29.244546498277842
2020-12-13,31.072330654420206
2020-12-20,26.502870264064295
2020-12-27,24.675086107921928
2021-01-03,29.244546498277842
2021-01-10,25.588978185993113
2021-01-17,31.986222732491388
2021-01-24,29.244546498277842
2021-01-31,27.416762342135478
2021-02-07,28.33065442020666
2021-02-14,32.90011481056257
2021-02-21,30.158438576349024
2021-02-28,31.072330654420206
2021-03-07,31.072330654420206
2021-03-14,31.986222732491388
2021-03-21,31.072330654420206
2021-03-28,34.727898966704934
2021-04-04,29.244546498277842
2021-04-11,20.105625717566017
2021-04-18,30.158438576349024
2021-04-25,31.072330654420206
2021-05-02,31.072330654420206
2021-05-09,30.158438576349024
2021-05-16,31.072330654420206
2021-05-23,29.244546498277842
2021-05-30,29.244546498277842
2021-06-06,31.072330654420206
2021-06-13,31.072330654420206
2021-06-20,34.727898966704934
2021-06-27,35.64179104477612
2021-07-04,35.64179104477612
2021-07-11,36.5556831228473
2021-07-18,37.469575200918484
2021-07-25,35.64179104477612
2021-08-01,35.64179104477612
2021-08-08,33.814006888633756
2021-08-15,32.90011481056257
2021-08-22,29.244546498277842
2021-08-29,31.986222732491388
2021-09-05,31.986222732491388
2021-09-12,34.727898966704934
2021-09-19,33.814006888633756
2021-09-26,32.90011481056257
2021-10-03,34.727898966704934
2021-10-10,34.727898966704934
2021-10-17,32.90011481056257
2021-10-24,35.64179104477612
2021-10-31,34.727898966704934
2021-11-07,33.814006888633756
2021-11-14,31.986222732491388
2021-11-21,36.5556831228473
2021-11-28,40.211251435132034
2021-12-05,33.814006888633756
2021-12-12,33.814006888633756
2021-12-19,30.158438576349024
2021-12-26,29.244546498277842
2022-01-02,42.95292766934558
2022-01-09,41.12514351320321
2022-01-16,38.38346727898967
2022-01-23,44.78071182548795
2022-01-30,39.29735935706085
2022-02-06,44.78071182548795
2022-02-13,42.95292766934558
2022-02-20,57.5752009184845
2022-02-27,63.0585533869116
2022-03-06,59.40298507462687
2022-03-13,56.66130884041332
2022-03-20,62.14466130884041
2022-03-27,91.38920780711825
2022-04-03,68.5419058553387
2022-04-10,40.211251435132034
2022-04-17,57.5752009184845
2022-04-24,60.31687715269805
2022-05-01,54.833524684270955
2022-05-08,55.747416762342134
2022-05-15,58.489092996555684
2022-05-22,53.91963260619977
2022-05-29,52.091848450057405
2022-06-05,51.17795637198623
2022-06-12,52.091848450057405
2022-06-19,60.31687715269805
2022-06-26,53.91963260619977
2022-07-03,53.00574052812859
2022-07-10,53.00574052812859
2022-07-17,59.40298507462687
2022-07-24,55.747416762342134
2022-07-31,52.091848450057405
2022-08-07,47.52238805970149
2022-08-14,57.5752009184845
2022-08-21,61.23076923076923
2022-08-28,54.833524684270955
2022-09-04,42.0390355912744
2022-09-11,42.95292766934558
2022-09-18,52.091848450057405
2022-09-25,56.66130884041332
2022-10-02,47.52238805970149
2022-10-09,48.43628013777268
2022-10-16,49.350172215843855
2022-10-23,46.60849598163031
2022-10-30,41.12514351320321
2022-11-06,38.38346727898967
2022-11-13,44.78071182548795
2022-11-20,39.29735935706085
2022-11-27,43.86681974741676
2022-12-04,42.0390355912744
2022-12-11,42.0390355912744
2022-12-18,42.0390355912744
2022-12-25,40.211251435132034
2023-01-01,40.211251435132034
2023-01-08,44.78071182548795
2023-01-15,42.0390355912744
2023-01-22,42.0390355912744
2023-01-29,42.95292766934558
2023-02-05,40.211251435132034
2023-02-12,39.29735935706085
2023-02-19,38.38346727898967
2023-02-26,35.64179104477612
2023-03-05,35.64179104477612
2023-03-12,35.64179104477612
2023-03-19,36.5556831228473
2023-03-26,34.727898966704934
2023-04-02,33.814006888633756
2023-04-09,25.588978185993113
2023-04-16,30.158438576349024
2023-04-23,33.814006888633756
2023-04-30,30.158438576349024
2023-05-07,36.5556831228473
2023-05-14,39.29735935706085
2023-05-21,39.29735935706085
2023-05-28,36.5556831228473
2023-06-04,40.211251435132034
2023-06-11,39.29735935706085
2023-06-18,42.95292766934558
2023-06-25,38.38346727898967
2023-07-02,40.211251435132034
2023-07-09,42.0390355912744
2023-07-16,42.0390355912744
2023-07-23,41.12514351320321
2023-07-30,42.95292766934558
2023-08-06,42.0390355912744
2023-08-13,40.211251435132034
2023-08-20,40.211251435132034
2023-08-27,39.29735935706085
2023-09-03,40.211251435132034
2023-09-10,41.12514351320321
2023-09-17,38.38346727898967
2023-09-24,37.469575200918484
2023-10-01,40.211251435132034
2023-10-08,40.211251435132034
2023-10-15,44.78071182548795
2023-10-22,56.66130884041332
2023-10-29,43.86681974741676
2023-11-05,42.95292766934558
2023-11-12,41.12514351320321
2023-11-19,41.12514351320321
2023-11-26,41.12514351320321
2023-12-03,45.69460390355913
2023-12-10,42.0390355912744
2023-12-17,39.29735935706085
2023-12-24,38.38346727898967
2023-12-31,43.86681974741676
2024-01-07,47.92137662512028
2024-01-14,63.05444292778984
2024-01-21,44.76865447873079
2024-01-28,45.399198908008685
2024-02-04,45.399198908008685
2024-02-11,44.13811004945289
2024-02-18,43.507565620174994
2024-02-25,45.399198908008685
2024-03-03,41.615932332341295
2024-03-10,45.399198908008685
2024-03-17,42.877021190897096
2024-03-24,44.13811004945289
2024-03-31,42.877021190897096
2024-04-07,32.15776589317282
2024-04-14,36.57157689811811
2024-04-21,37.832665756673904
2024-04-28,42.2464767616192
2024-05-05,42.2464767616192
2024-05-12,43.507565620174994
2024-05-19,37.20212132739601
2024-05-26,43.507565620174994
2024-06-02,44.13811004945289
2024-06-09,46.02974333728659
2024-06-16,40.9853879030634
2024-06-23,46.02974333728659
2024-06-30,44.76865447873079
2024-07-07,40.9853879030634
2024-07-14,46.66028776656449
2024-07-21,44.76865447873079
2024-07-28,45.399198908008685
2024-08-04,46.02974333728659
2024-08-11,47.290832195842384
2024-08-18,44.13811004945289
2024-08-25,46.02974333728659
2024-09-01,52.33518763006557
2024-09-08,46.66028776656449
2024-09-15,36.57157689811811
2024-09-22,39.093754615229706
2024-09-29,41.615932332341295
2024-10-06,46.66028776656449
2024-10-13,47.290832195842384
2024-10-20,45.399198908008685
2024-10-27,45.399198908008685
2024-11-03,43.507565620174994
2024-11-10,41.615932332341295
2024-11-17,46.66028776656449
2024-11-24,59.90172078140035
2024-12-01,47.92137662512028
2024-12-08,47.290832195842384
2024-12-15,46.02974333728659
2024-12-22,45.399198908008685
2024-12-29,46.66028776656449
2025-01-05,45.399198908008685
2025-01-12,44.13811004945289
2025-01-19,47.92137662512028
2025-01-26,45.399198908008685
2025-02-02,44.76865447873079
2025-02-09,52.33518763006557
2025-02-16,47.290832195842384
2025-02-23,51.074098771509775
2025-03-02,47.92137662512028
2025-03-09,46.02974333728659
2025-03-16,48.55192105439818
2025-03-23,46.02974333728659
2025-03-30,54.22682091789927
2025-04-06,42.877021190897096
2025-04-13,32.15776589317282
2025-04-20,45.399198908008685
2025-04-27,40.9853879030634
2025-05-04,39.093754615229706
2025-05-11,39.093754615229706
2025-05-18,43.507565620174994
2025-05-25,49.182465483676076
2025-06-01,48.55192105439818
2025-06-08,44.13811004945289
2025-06-15,53.59627648862137
2025-06-22,51.074098771509775
2025-06-29,51.70464320078767
2025-07-06,46.66028776656449
2025-07-13,50.44355434223188
2025-07-20,45.399198908008685
2025-07-27,49.182465483676076
2025-08-03,44.76865447873079
2025-08-10,46.02974333728659
2025-08-17,46.02974333728659
2025-08-24,49.182465483676076
2025-08-31,43.507565620174994
2025-09-07,47.290832195842384
2025-09-14,48.55192105439818
2025-09-21,49.81300991295398
2025-09-28,48.55192105439818
2025-10-05,44.76865447873079
2025-10-12,47.92137662512028
2025-10-19,47.290832195842384
2025-10-26,47.290832195842384
2025-11-02,44.76865447873079
2025-11-09,46.66028776656449
2025-11-16,46.02974333728659
2025-11-23,60.53226521067825
2025-11-30,52.965732059343466
2025-12-07,52.33518763006557
2025-12-14,50.44355434223188
2025-12-21,51.70464320078767
2025-12-28,51.70464320078767
