,job
2014-12-28,55.0
2015-01-04,48.0
2015-01-11,60.0
2015-01-18,70.0
2015-01-25,74.0
2015-02-01,66.0
2015-02-08,66.0
2015-02-15,68.0
2015-02-22,67.0
2015-03-01,68.0
2015-03-08,74.0
2015-03-15,72.0
2015-03-22,67.0
2015-03-29,65.0
2015-04-05,61.0
2015-04-12,54.0
2015-04-19,80.0
2015-04-26,72.0
2015-05-03,65.0
2015-05-10,72.0
2015-05-17,69.0
2015-05-24,72.0
2015-05-31,70.0
2015-06-07,70.0
2015-06-14,71.0
2015-06-21,68.0
2015-06-28,66.0
2015-07-05,70.0
2015-07-12,65.0
2015-07-19,64.0
2015-07-26,55.0
2015-08-02,66.0
2015-08-09,57.0
2015-08-16,52.0
2015-08-23,62.0
2015-08-30,65.0
2015-09-06,68.0
2015-09-13,80.0
2015-09-20,70.0
2015-09-27,67.0
2015-10-04,68.0
2015-10-11,72.0
2015-10-18,73.0
2015-10-25,66.0
2015-11-01,70.0
2015-11-08,67.0
2015-11-15,69.0
2015-11-22,69.0
2015-11-29,72.0
2015-12-06,70.0
2015-12-13,64.0
2015-12-20,62.0
2015-12-27,60.0
2016-01-03,70.0
2016-01-10,65.0
2016-01-17,70.0
2016-01-24,67.0
2016-01-31,64.0
2016-02-07,65.0
2016-02-14,64.0
2016-02-21,58.0
2016-02-28,65.0
2016-03-06,63.0
2016-03-13,63.0
2016-03-20,57.0
2016-03-27,60.0
2016-04-03,59.0
2016-04-10,38.0
2016-04-17,60.0
2016-04-24,64.0
2016-05-01,62.0
2016-05-08,62.0
2016-05-15,58.0
2016-05-22,67.0
2016-05-29,68.0
2016-06-05,67.0
2016-06-12,62.0
2016-06-19,72.0
2016-06-26,64.0
2016-07-03,63.0
2016-07-10,67.0
2016-07-17,60.0
2016-07-24,60.0
2016-07-31,59.0
2016-08-07,60.0
2016-08-14,61.0
2016-08-21,61.0
2016-08-28,63.0
2016-09-04,64.0
2016-09-11,62.0
2016-09-18,65.0
2016-09-25,63.0
2016-10-02,59.0
2016-10-09,61.0
2016-10-16,63.0
2016-10-23,60.0
2016-10-30,60.0
2016-11-06,62.0
2016-11-13,64.0
2016-11-20,58.0
2016-11-27,58.0
2016-12-04,54.0
2016-12-11,51.0
2016-12-18,51.0
2016-12-25,48.0
2017-01-01,59.0
2017-01-08,64.0
2017-01-15,65.0
2017-01-22,65.0
2017-01-29,60.0
2017-02-05,57.0
2017-02-12,64.0
2017-02-19,59.0
2017-02-26,63.0
2017-03-05,61.0
2017-03-12,58.0
2017-03-19,62.0
2017-03-26,61.0
2017-04-02,56.0
2017-04-09,39.0
2017-04-16,61.0
2017-04-23,63.0
2017-04-30,62.0
2017-05-07,52.0
2017-05-14,63.0
2017-05-21,57.0
2017-05-28,59.0
2017-06-04,59.0
2017-06-11,68.0
2017-06-18,57.0
2017-06-25,62.0
2017-07-02,69.0
2017-07-09,68.0
2017-07-16,59.0
2017-07-23,60.0
2017-07-30,60.0
2017-08-06,60.0
2017-08-13,57.0
2017-08-20,59.0
2017-08-27,57.0
2017-09-03,65.0
2017-09-10,70.0
2017-09-17,62.0
2017-09-24,63.0
2017-10-01,58.0
2017-10-08,65.0
2017-10-15,63.0
2017-10-22,67.0
2017-10-29,61.0
2017-11-05,70.0
2017-11-12,64.0
2017-11-19,51.0
2017-11-26,49.0
2017-12-03,62.0
2017-12-10,59.0
2017-12-17,55.0
2017-12-24,57.0
2017-12-31,72.0
2018-01-07,63.0
2018-01-14,67.0
2018-01-21,60.0
2018-01-28,59.0
2018-02-04,60.0
2018-02-11,59.0
2018-02-18,66.0
2018-02-25,61.0
2018-03-04,64.0
2018-03-11,71.0
2018-03-18,71.0
2018-03-25,59.0
2018-04-01,66.0
2018-04-08,48.0
2018-04-15,65.0
2018-04-22,70.0
2018-04-29,63.0
2018-05-06,66.0
2018-05-13,68.0
2018-05-20,69.0
2018-05-27,74.0
2018-06-03,68.0
2018-06-10,71.0
2018-06-17,66.0
2018-06-24,63.0
2018-07-01,69.0
2018-07-08,70.0
2018-07-15,70.0
2018-07-22,72.0
2018-07-29,71.0
2018-08-05,68.0
2018-08-12,69.0
2018-08-19,71.0
2018-08-26,68.0
2018-09-02,77.0
2018-09-09,77.0
2018-09-16,72.0
2018-09-23,64.0
2018-09-30,71.0
