,Coatings & Adhesives
2014-12-28,25.0
2015-01-04,25.0
2015-01-11,33.0
2015-01-18,31.0
2015-01-25,25.0
2015-02-01,27.0
2015-02-08,32.0
2015-02-15,40.0
2015-02-22,30.0
2015-03-01,27.0
2015-03-08,33.0
2015-03-15,34.0
2015-03-22,41.0
2015-03-29,28.0
2015-04-05,32.0
2015-04-12,26.0
2015-04-19,28.0
2015-04-26,31.0
2015-05-03,25.0
2015-05-10,35.0
2015-05-17,30.0
2015-05-24,36.0
2015-05-31,30.0
2015-06-07,38.0
2015-06-14,45.0
2015-06-21,37.0
2015-06-28,39.0
2015-07-05,35.0
2015-07-12,32.0
2015-07-19,26.0
2015-07-26,32.0
2015-08-02,33.0
2015-08-09,47.0
2015-08-16,39.0
2015-08-23,37.0
2015-08-30,50.0
2015-09-06,39.0
2015-09-13,28.0
2015-09-20,33.0
2015-09-27,32.0
2015-10-04,39.0
2015-10-11,40.0
2015-10-18,36.0
2015-10-25,34.0
2015-11-01,34.0
2015-11-08,39.0
2015-11-15,37.0
2015-11-22,27.0
2015-11-29,32.0
2015-12-06,35.0
2015-12-13,37.0
2015-12-20,40.0
2015-12-27,29.0
2016-01-03,40.0
2016-01-10,30.0
2016-01-17,37.0
2016-01-24,43.0
2016-01-31,35.0
2016-02-07,39.0
2016-02-14,37.0
2016-02-21,37.0
2016-02-28,44.0
2016-03-06,52.0
2016-03-13,49.0
2016-03-20,35.0
2016-03-27,42.0
2016-04-03,29.0
2016-04-10,22.0
2016-04-17,40.0
2016-04-24,37.0
2016-05-01,40.0
2016-05-08,39.0
2016-05-15,40.0
2016-05-22,31.0
2016-05-29,47.0
2016-06-05,43.0
2016-06-12,39.0
2016-06-19,36.0
2016-06-26,39.0
2016-07-03,41.0
2016-07-10,41.0
2016-07-17,43.0
2016-07-24,40.0
2016-07-31,63.0
2016-08-07,93.0
2016-08-14,100.0
2016-08-21,69.0
2016-08-28,34.0
2016-09-04,40.0
2016-09-11,53.0
2016-09-18,28.0
2016-09-25,42.0
2016-10-02,46.0
2016-10-09,45.0
2016-10-16,37.0
2016-10-23,44.0
2016-10-30,57.0
2016-11-06,40.0
2016-11-13,43.0
2016-11-20,38.0
2016-11-27,33.0
2016-12-04,40.0
2016-12-11,30.0
2016-12-18,38.0
2016-12-25,42.0
2017-01-01,38.0
2017-01-08,40.0
2017-01-15,48.0
2017-01-22,48.0
2017-01-29,41.0
2017-02-05,39.0
2017-02-12,50.0
2017-02-19,47.0
2017-02-26,40.0
2017-03-05,43.0
2017-03-12,43.0
2017-03-19,45.0
2017-03-26,40.0
2017-04-02,35.0
2017-04-09,22.0
2017-04-16,42.0
2017-04-23,41.0
2017-04-30,39.0
2017-05-07,38.0
2017-05-14,47.0
2017-05-21,40.0
2017-05-28,37.0
2017-06-04,46.0
2017-06-11,46.0
2017-06-18,52.0
2017-06-25,39.0
2017-07-02,37.0
2017-07-09,48.0
2017-07-16,47.0
2017-07-23,43.0
2017-07-30,34.0
2017-08-06,44.0
2017-08-13,49.0
2017-08-20,49.0
2017-08-27,45.0
2017-09-03,42.0
2017-09-10,42.0
2017-09-17,46.0
2017-09-24,49.0
2017-10-01,34.0
2017-10-08,35.0
2017-10-15,47.0
2017-10-22,31.0
2017-10-29,35.0
2017-11-05,44.0
2017-11-12,46.0
2017-11-19,39.0
2017-11-26,46.0
2017-12-03,42.0
2017-12-10,41.0
2017-12-17,47.0
2017-12-24,32.0
2017-12-31,41.0
2018-01-07,38.0
2018-01-14,49.0
2018-01-21,42.0
2018-01-28,40.0
2018-02-04,39.0
2018-02-11,43.0
2018-02-18,44.0
2018-02-25,49.0
2018-03-04,35.0
2018-03-11,46.0
2018-03-18,52.0
2018-03-25,45.0
2018-04-01,37.0
2018-04-08,29.0
2018-04-15,36.0
2018-04-22,37.0
2018-04-29,33.0
2018-05-06,41.0
2018-05-13,39.0
2018-05-20,44.0
2018-05-27,43.0
2018-06-03,56.0
2018-06-10,44.0
2018-06-17,35.0
2018-06-24,47.0
2018-07-01,35.0
2018-07-08,49.0
2018-07-15,54.0
2018-07-22,44.0
2018-07-29,40.0
2018-08-05,42.0
2018-08-12,55.0
2018-08-19,51.0
2018-08-26,41.0
2018-09-02,40.0
2018-09-09,41.0
2018-09-16,41.0
2018-09-23,49.0
2018-09-30,46.0
2018-10-07,53.0
2018-10-14,51.0
2018-10-21,52.0
2018-10-28,53.0
2018-11-04,37.0
2018-11-11,41.0
2018-11-18,43.0
2018-11-25,44.0
2018-12-02,32.0
2018-12-09,38.0
2018-12-16,43.0
2018-12-23,42.0
2018-12-30,39.0
2019-01-06,40.0
2019-01-13,52.0
2019-01-20,48.0
2019-01-27,60.0
2019-02-03,44.0
2019-02-10,48.0
2019-02-17,41.0
2019-02-24,49.0
2019-03-03,59.0
2019-03-10,57.0
2019-03-17,47.0
2019-03-24,49.0
2019-03-31,51.0
2019-04-07,48.0
2019-04-14,42.0
2019-04-21,38.0
2019-04-28,41.0
2019-05-05,54.0
2019-05-12,45.0
2019-05-19,49.0
2019-05-26,52.0
2019-06-02,59.0
2019-06-09,56.0
2019-06-16,44.0
2019-06-23,58.0
2019-06-30,44.0
2019-07-07,48.0
2019-07-14,50.0
2019-07-21,49.0
2019-07-28,58.0
2019-08-04,55.0
2019-08-11,46.0
2019-08-18,62.0
2019-08-25,53.0
2019-09-01,44.0
2019-09-08,50.0
2019-09-15,48.0
2019-09-22,48.0
2019-09-29,51.0
2019-10-06,50.0
2019-10-13,47.0
2019-10-20,53.0
2019-10-27,49.0
2019-11-03,45.0
2019-11-10,52.0
2019-11-17,61.0
2019-11-24,53.0
2019-12-01,45.0
2019-12-08,48.0
2019-12-15,57.0
2019-12-22,39.0
2019-12-29,58.0
2020-01-05,47.8009828009828
2020-01-12,45.67649467649468
2020-01-19,48.86322686322686
2020-01-26,59.48566748566749
2020-02-02,53.11220311220312
2020-02-09,45.67649467649468
2020-02-16,53.11220311220312
2020-02-23,53.11220311220312
2020-03-01,43.55200655200655
2020-03-08,50.987714987714995
2020-03-15,35.054054054054056
2020-03-22,28.680589680589684
2020-03-29,32.92956592956593
2020-04-05,37.17854217854218
2020-04-12,32.92956592956593
2020-04-19,37.17854217854218
2020-04-26,35.054054054054056
2020-05-03,54.17444717444718
2020-05-10,55.23669123669124
2020-05-17,48.86322686322686
2020-05-24,50.987714987714995
2020-05-31,56.298935298935305
2020-06-07,66.92137592137593
2020-06-14,67.98361998361999
2020-06-21,56.298935298935305
2020-06-28,65.85913185913186
2020-07-05,62.67239967239968
2020-07-12,65.85913185913186
2020-07-19,63.73464373464374
2020-07-26,65.85913185913186
2020-08-02,61.610155610155616
2020-08-09,67.98361998361999
2020-08-16,64.7968877968878
2020-08-23,57.36117936117937
2020-08-30,77.54381654381655
2020-09-06,61.610155610155616
2020-09-13,60.54791154791155
2020-09-20,62.67239967239968
2020-09-27,61.610155610155616
2020-10-04,61.610155610155616
2020-10-11,55.23669123669124
2020-10-18,66.92137592137593
2020-10-25,62.67239967239968
2020-11-01,47.8009828009828
2020-11-08,59.48566748566749
2020-11-15,64.7968877968878
2020-11-22,55.23669123669124
2020-11-29,63.73464373464374
2020-12-06,69.04586404586405
2020-12-13,61.610155610155616
2020-12-20,57.36117936117937
2020-12-27,59.48566748566749
2021-01-03,62.67239967239968
2021-01-10,60.54791154791155
2021-01-17,64.7968877968878
2021-01-24,50.987714987714995
2021-01-31,61.610155610155616
2021-02-07,56.298935298935305
2021-02-14,57.36117936117937
2021-02-21,63.73464373464374
2021-02-28,66.92137592137593
2021-03-07,59.48566748566749
2021-03-14,61.610155610155616
2021-03-21,56.298935298935305
2021-03-28,59.48566748566749
2021-04-04,58.42342342342343
2021-04-11,46.73873873873874
2021-04-18,58.42342342342343
2021-04-25,70.10810810810811
2021-05-02,60.54791154791155
2021-05-09,53.11220311220312
2021-05-16,63.73464373464374
2021-05-23,58.42342342342343
2021-05-30,58.42342342342343
2021-06-06,58.42342342342343
2021-06-13,62.67239967239968
2021-06-20,58.42342342342343
2021-06-27,81.7927927927928
2021-07-04,71.17035217035217
2021-07-11,71.17035217035217
2021-07-18,94.53972153972154
2021-07-25,99.85094185094185
2021-08-01,106.22440622440624
2021-08-08,79.66830466830467
2021-08-15,70.10810810810811
2021-08-22,49.925470925470925
2021-08-29,62.67239967239968
2021-09-05,65.85913185913186
2021-09-12,67.98361998361999
2021-09-19,64.7968877968878
2021-09-26,60.54791154791155
2021-10-03,72.23259623259624
2021-10-10,69.04586404586405
2021-10-17,89.22850122850123
2021-10-24,81.7927927927928
2021-10-31,89.22850122850123
2021-11-07,67.98361998361999
2021-11-14,76.48157248157248
2021-11-21,56.298935298935305
2021-11-28,55.23669123669124
2021-12-05,52.04995904995906
2021-12-12,62.67239967239968
2021-12-19,66.92137592137593
2021-12-26,70.10810810810811
2022-01-02,66.92137592137593
2022-01-09,83.91728091728092
2022-01-16,66.92137592137593
2022-01-23,76.48157248157248
2022-01-30,61.610155610155616
2022-02-06,72.23259623259624
2022-02-13,92.41523341523342
2022-02-20,74.35708435708436
2022-02-27,79.66830466830467
2022-03-06,78.60606060606061
2022-03-13,70.10810810810811
2022-03-20,79.66830466830467
2022-03-27,64.7968877968878
2022-04-03,65.85913185913186
2022-04-10,40.36527436527437
2022-04-17,58.42342342342343
2022-04-24,72.23259623259624
2022-05-01,65.85913185913186
2022-05-08,61.610155610155616
2022-05-15,63.73464373464374
2022-05-22,76.48157248157248
2022-05-29,78.60606060606061
2022-06-05,67.98361998361999
2022-06-12,65.85913185913186
2022-06-19,76.48157248157248
2022-06-26,62.67239967239968
2022-07-03,64.7968877968878
2022-07-10,56.298935298935305
2022-07-17,70.10810810810811
2022-07-24,63.73464373464374
2022-07-31,71.17035217035217
2022-08-07,65.85913185913186
2022-08-14,69.04586404586405
2022-08-21,60.54791154791155
2022-08-28,72.23259623259624
2022-09-04,76.48157248157248
2022-09-11,82.85503685503686
2022-09-18,80.73054873054873
2022-09-25,71.17035217035217
2022-10-02,81.7927927927928
2022-10-09,64.7968877968878
2022-10-16,78.60606060606061
2022-10-23,71.17035217035217
2022-10-30,75.41932841932842
2022-11-06,83.91728091728092
2022-11-13,79.66830466830467
2022-11-20,67.98361998361999
2022-11-27,78.60606060606061
2022-12-04,72.23259623259624
2022-12-11,86.04176904176904
2022-12-18,77.54381654381655
2022-12-25,65.85913185913186
2023-01-01,74.35708435708436
2023-01-08,75.41932841932842
2023-01-15,61.610155610155616
2023-01-22,66.92137592137593
2023-01-29,87.1040131040131
2023-02-05,69.04586404586405
2023-02-12,75.41932841932842
2023-02-19,76.48157248157248
2023-02-26,73.2948402948403
2023-03-05,64.7968877968878
2023-03-12,70.10810810810811
2023-03-19,66.92137592137593
2023-03-26,62.67239967239968
2023-04-02,67.98361998361999
2023-04-09,47.8009828009828
2023-04-16,57.36117936117937
2023-04-23,61.610155610155616
2023-04-30,54.17444717444718
2023-05-07,55.23669123669124
2023-05-14,67.98361998361999
2023-05-21,65.85913185913186
2023-05-28,65.85913185913186
2023-06-04,79.66830466830467
2023-06-11,74.35708435708436
2023-06-18,78.60606060606061
2023-06-25,74.35708435708436
2023-07-02,83.91728091728092
2023-07-09,72.23259623259624
2023-07-16,89.22850122850123
2023-07-23,78.60606060606061
2023-07-30,78.60606060606061
2023-08-06,80.73054873054873
2023-08-13,81.7927927927928
2023-08-20,80.73054873054873
2023-08-27,76.48157248157248
2023-09-03,78.60606060606061
