,Investment
2020-05-24,85.26829268292683
2020-05-31,85.26829268292683
2020-06-07,83.49186991869918
2020-06-14,92.3739837398374
2020-06-21,79.9390243902439
2020-06-28,76.38617886178862
2020-07-05,81.71544715447155
2020-07-12,76.38617886178862
2020-07-19,83.49186991869918
2020-07-26,76.38617886178862
2020-08-02,65.72764227642276
2020-08-09,92.3739837398374
2020-08-16,79.9390243902439
2020-08-23,74.60975609756098
2020-08-30,76.38617886178862
2020-09-06,94.15040650406503
2020-09-13,97.70325203252033
2020-09-20,106.58536585365853
2020-09-27,79.9390243902439
2020-10-04,65.72764227642276
2020-10-11,92.3739837398374
2020-10-18,76.38617886178862
2020-10-25,67.5040650406504
2020-11-01,74.60975609756098
2020-11-08,90.59756097560975
2020-11-15,95.92682926829268
2020-11-22,94.15040650406503
2020-11-29,76.38617886178862
2020-12-06,79.9390243902439
2020-12-13,95.92682926829268
2020-12-20,85.26829268292683
2020-12-27,76.38617886178862
2021-01-03,90.59756097560975
2021-01-10,108.36178861788618
2021-01-17,110.13821138211382
2021-01-24,99.47967479674796
2021-01-31,106.58536585365853
2021-02-07,101.2560975609756
2021-02-14,103.03252032520325
2021-02-21,87.04471544715447
2021-02-28,74.60975609756098
2021-03-07,85.26829268292683
2021-03-14,94.15040650406503
2021-03-21,90.59756097560975
2021-03-28,95.92682926829268
2021-04-04,99.47967479674796
2021-04-11,79.9390243902439
2021-04-18,113.6910569105691
2021-04-25,85.26829268292683
2021-05-02,92.3739837398374
2021-05-09,88.8211382113821
2021-05-16,103.03252032520325
2021-05-23,90.59756097560975
2021-05-30,104.8089430894309
2021-06-06,119.02032520325203
2021-06-13,110.13821138211382
2021-06-20,103.03252032520325
2021-06-27,95.92682926829268
2021-07-04,88.8211382113821
2021-07-11,92.3739837398374
2021-07-18,95.92682926829268
2021-07-25,92.3739837398374
2021-08-01,88.8211382113821
2021-08-08,97.70325203252033
2021-08-15,95.92682926829268
2021-08-22,113.6910569105691
2021-08-29,92.3739837398374
2021-09-05,103.03252032520325
2021-09-12,115.46747967479675
2021-09-19,90.59756097560975
2021-09-26,110.13821138211382
2021-10-03,94.15040650406503
2021-10-10,85.26829268292683
2021-10-17,76.38617886178862
2021-10-24,104.8089430894309
2021-10-31,87.04471544715447
2021-11-07,90.59756097560975
2021-11-14,104.8089430894309
2021-11-21,92.3739837398374
2021-11-28,97.70325203252033
2021-12-05,92.3739837398374
2021-12-12,85.26829268292683
2021-12-19,76.38617886178862
2021-12-26,90.59756097560975
2022-01-02,113.6910569105691
2022-01-09,106.58536585365853
2022-01-16,106.58536585365853
2022-01-23,122.57317073170731
2022-01-30,115.46747967479675
2022-02-06,117.24390243902438
2022-02-13,110.13821138211382
2022-02-20,104.8089430894309
2022-02-27,99.47967479674796
2022-03-06,106.58536585365853
2022-03-13,124.34959349593495
2022-03-20,101.2560975609756
2022-03-27,108.36178861788618
2022-04-03,95.92682926829268
2022-04-10,81.71544715447155
2022-04-17,110.13821138211382
2022-04-24,120.79674796747967
2022-05-01,108.36178861788618
2022-05-08,79.9390243902439
2022-05-15,99.47967479674796
2022-05-22,99.47967479674796
2022-05-29,108.36178861788618
2022-06-05,90.59756097560975
2022-06-12,92.3739837398374
2022-06-19,92.3739837398374
2022-06-26,97.70325203252033
2022-07-03,88.8211382113821
2022-07-10,87.04471544715447
2022-07-17,79.9390243902439
2022-07-24,92.3739837398374
2022-07-31,106.58536585365853
2022-08-07,92.3739837398374
2022-08-14,111.91463414634146
2022-08-21,95.92682926829268
2022-08-28,88.8211382113821
2022-09-04,117.24390243902438
2022-09-11,147.4430894308943
2022-09-18,104.8089430894309
2022-09-25,92.3739837398374
2022-10-02,103.03252032520325
2022-10-09,103.03252032520325
2022-10-16,94.15040650406503
2022-10-23,92.3739837398374
2022-10-30,106.58536585365853
2022-11-06,94.15040650406503
2022-11-13,101.2560975609756
2022-11-20,79.9390243902439
2022-11-27,79.9390243902439
2022-12-04,85.26829268292683
2022-12-11,81.71544715447155
2022-12-18,94.15040650406503
2022-12-25,67.5040650406504
2023-01-01,88.8211382113821
2023-01-08,88.8211382113821
2023-01-15,85.26829268292683
2023-01-22,99.47967479674796
2023-01-29,92.3739837398374
2023-02-05,119.02032520325203
2023-02-12,117.24390243902438
2023-02-19,111.91463414634146
2023-02-26,111.91463414634146
2023-03-05,119.02032520325203
2023-03-12,131.4552845528455
2023-03-19,129.6788617886179
2023-03-26,113.6910569105691
2023-04-02,106.58536585365853
2023-04-09,87.04471544715447
2023-04-16,103.03252032520325
2023-04-23,106.58536585365853
2023-04-30,108.36178861788618
2023-05-07,126.1260162601626
2023-05-14,126.1260162601626
2023-05-21,122.57317073170731
2023-05-28,106.58536585365853
2023-06-04,110.13821138211382
2023-06-11,129.6788617886179
2023-06-18,110.13821138211382
2023-06-25,95.92682926829268
2023-07-02,110.13821138211382
2023-07-09,127.90243902439025
2023-07-16,127.90243902439025
2023-07-23,119.02032520325203
2023-07-30,131.4552845528455
2023-08-06,177.6422764227642
2023-08-13,165.2073170731707
