,Health
2020-05-24,110.82835183603757
2020-05-31,112.80742954739539
2020-06-07,108.84927412467975
2020-06-14,102.91204099060631
2020-06-21,110.82835183603757
2020-06-28,108.84927412467975
2020-07-05,114.7865072587532
2020-07-12,116.76558497011101
2020-07-19,122.70281810418444
2020-07-26,116.76558497011101
2020-08-02,110.82835183603757
2020-08-09,118.74466268146882
2020-08-16,112.80742954739539
2020-08-23,110.82835183603757
2020-08-30,122.70281810418444
2020-09-06,114.7865072587532
2020-09-13,114.7865072587532
2020-09-20,114.7865072587532
2020-09-27,108.84927412467975
2020-10-04,118.74466268146882
2020-10-11,110.82835183603757
2020-10-18,102.91204099060631
2020-10-25,98.9538855678907
2020-11-01,93.01665243381724
2020-11-08,89.05849701110162
2020-11-15,89.05849701110162
2020-11-22,96.97480785653288
2020-11-29,94.99573014517506
2020-12-06,94.99573014517506
2020-12-13,96.97480785653288
2020-12-20,100.9329632792485
2020-12-27,96.97480785653288
2021-01-03,102.91204099060631
2021-01-10,98.9538855678907
2021-01-17,87.0794192997438
2021-01-24,91.03757472245942
2021-01-31,96.97480785653288
2021-02-07,94.99573014517506
2021-02-14,102.91204099060631
2021-02-21,104.89111870196413
2021-02-28,106.87019641332193
2021-03-07,100.9329632792485
2021-03-14,108.84927412467975
2021-03-21,104.89111870196413
2021-03-28,106.87019641332193
2021-04-04,114.7865072587532
2021-04-11,122.70281810418444
2021-04-18,152.38898377455166
2021-04-25,166.24252775405637
2021-05-02,154.36806148590946
2021-05-09,154.36806148590946
2021-05-16,144.4726729291204
2021-05-23,136.55636208368915
2021-05-30,140.5145175064048
2021-06-06,128.64005123825788
2021-06-13,122.70281810418444
2021-06-20,128.64005123825788
2021-06-27,124.68189581554226
2021-07-04,118.74466268146882
2021-07-11,124.68189581554226
2021-07-18,122.70281810418444
2021-07-25,126.66097352690008
2021-08-01,124.68189581554226
2021-08-08,122.70281810418444
2021-08-15,118.74466268146882
2021-08-22,116.76558497011101
2021-08-29,120.72374039282664
2021-09-05,110.82835183603757
2021-09-12,122.70281810418444
2021-09-19,122.70281810418444
2021-09-26,112.80742954739539
2021-10-03,104.89111870196413
2021-10-10,96.97480785653288
2021-10-17,110.82835183603757
2021-10-24,100.9329632792485
2021-10-31,89.05849701110162
2021-11-07,98.9538855678907
2021-11-14,102.91204099060631
2021-11-21,94.99573014517506
2021-11-28,108.84927412467975
2021-12-05,96.97480785653288
2021-12-12,102.91204099060631
2021-12-19,106.87019641332193
2021-12-26,102.91204099060631
2022-01-02,124.68189581554226
2022-01-09,120.72374039282664
2022-01-16,138.53543979504695
2022-01-23,112.80742954739539
2022-01-30,116.76558497011101
2022-02-06,110.82835183603757
2022-02-13,122.70281810418444
2022-02-20,126.66097352690008
2022-02-27,116.76558497011101
2022-03-06,124.68189581554226
2022-03-13,116.76558497011101
2022-03-20,130.6191289496157
2022-03-27,118.74466268146882
2022-04-03,122.70281810418444
2022-04-10,116.76558497011101
2022-04-17,112.80742954739539
2022-04-24,126.66097352690008
2022-05-01,118.74466268146882
2022-05-08,120.72374039282664
2022-05-15,118.74466268146882
2022-05-22,120.72374039282664
2022-05-29,120.72374039282664
2022-06-05,124.68189581554226
2022-06-12,128.64005123825788
2022-06-19,134.57728437233135
2022-06-26,132.59820666097352
2022-07-03,132.59820666097352
2022-07-10,130.6191289496157
2022-07-17,138.53543979504695
2022-07-24,138.53543979504695
2022-07-31,132.59820666097352
2022-08-07,122.70281810418444
2022-08-14,128.64005123825788
2022-08-21,138.53543979504695
2022-08-28,132.59820666097352
2022-09-04,126.66097352690008
2022-09-11,134.57728437233135
2022-09-18,136.55636208368915
2022-09-25,126.66097352690008
2022-10-02,114.7865072587532
2022-10-09,128.64005123825788
2022-10-16,122.70281810418444
2022-10-23,108.84927412467975
2022-10-30,122.70281810418444
2022-11-06,126.66097352690008
2022-11-13,130.6191289496157
2022-11-20,120.72374039282664
2022-11-27,120.72374039282664
2022-12-04,122.70281810418444
2022-12-11,132.59820666097352
2022-12-18,132.59820666097352
2022-12-25,134.57728437233135
2023-01-01,130.6191289496157
2023-01-08,124.68189581554226
2023-01-15,120.72374039282664
2023-01-22,118.74466268146882
2023-01-29,128.64005123825788
2023-02-05,132.59820666097352
2023-02-12,122.70281810418444
2023-02-19,136.55636208368915
2023-02-26,132.59820666097352
