,Cleaning Supplies & Services
2020-05-24,66.5350475519549
2020-05-31,76.44452271926734
2020-06-07,75.02888340965127
2020-06-14,77.8601620288834
2020-06-21,84.93835857696371
2020-06-28,89.18527650581188
2020-07-05,100.51039098274039
2020-07-12,93.43219443466008
2020-07-19,86.35399788657976
2020-07-26,92.01655512504402
2020-08-02,73.61324410003522
2020-08-09,89.18527650581188
2020-08-16,90.60091581542795
2020-08-23,82.10707995773159
2020-08-30,97.67911236350827
2020-09-06,72.19760479041915
2020-09-13,86.35399788657976
2020-09-20,77.8601620288834
2020-09-27,89.18527650581188
2020-10-04,80.69144064811552
2020-10-11,83.52271926734764
2020-10-18,84.93835857696371
2020-10-25,83.52271926734764
2020-11-01,76.44452271926734
2020-11-08,84.93835857696371
2020-11-15,83.52271926734764
2020-11-22,83.52271926734764
2020-11-29,94.84783374427614
2020-12-06,84.93835857696371
2020-12-13,86.35399788657976
2020-12-20,80.69144064811552
2020-12-27,84.93835857696371
2021-01-03,87.76963719619583
2021-01-10,82.10707995773159
2021-01-17,101.92603029235644
2021-01-24,92.01655512504402
2021-01-31,80.69144064811552
2021-02-07,100.51039098274039
2021-02-14,87.76963719619583
2021-02-21,93.43219443466008
2021-02-28,94.84783374427614
2021-03-07,92.01655512504402
2021-03-14,84.93835857696371
2021-03-21,89.18527650581188
2021-03-28,99.09475167312432
2021-04-04,76.44452271926734
2021-04-11,73.61324410003522
2021-04-18,101.92603029235644
2021-04-25,87.76963719619583
2021-05-02,110.41986615005281
2021-05-09,107.58858753082069
2021-05-16,111.83550545966888
2021-05-23,109.00422684043676
2021-05-30,116.08242338851707
2021-06-06,121.74498062698132
2021-06-13,121.74498062698132
2021-06-20,109.00422684043676
2021-06-27,107.58858753082069
2021-07-04,109.00422684043676
2021-07-11,97.67911236350827
2021-07-18,106.17294822120463
2021-07-25,99.09475167312432
2021-08-01,100.51039098274039
2021-08-08,113.25114476928493
2021-08-15,117.49806269813313
2021-08-22,96.2634730538922
2021-08-29,100.51039098274039
2021-09-05,97.67911236350827
2021-09-12,125.9918985558295
2021-09-19,107.58858753082069
2021-09-26,116.08242338851707
2021-10-03,121.74498062698132
2021-10-10,89.18527650581188
2021-10-17,93.43219443466008
2021-10-24,107.58858753082069
2021-10-31,100.51039098274039
2021-11-07,104.75730891158857
2021-11-14,116.08242338851707
2021-11-21,116.08242338851707
2021-11-28,107.58858753082069
2021-12-05,107.58858753082069
2021-12-12,104.75730891158857
2021-12-19,103.34166960197251
2021-12-26,107.58858753082069
2022-01-02,128.82317717506163
2022-01-09,117.49806269813313
2022-01-16,111.83550545966888
2022-01-23,127.40753786544556
2022-01-30,106.17294822120463
2022-02-06,101.92603029235644
2022-02-13,113.25114476928493
2022-02-20,123.16061993659737
2022-02-27,99.09475167312432
2022-03-06,113.25114476928493
2022-03-13,113.25114476928493
2022-03-20,94.84783374427614
2022-03-27,83.52271926734764
2022-04-03,87.76963719619583
2022-04-10,67.95068686157097
2022-04-17,110.41986615005281
2022-04-24,125.9918985558295
2022-05-01,110.41986615005281
2022-05-08,87.76963719619583
2022-05-15,99.09475167312432
2022-05-22,111.83550545966888
2022-05-29,111.83550545966888
2022-06-05,104.75730891158857
2022-06-12,103.34166960197251
2022-06-19,96.2634730538922
2022-06-26,107.58858753082069
2022-07-03,96.2634730538922
2022-07-10,84.93835857696371
