,Energy & Utilities
2023-01-01,85
2023-01-08,81
2023-01-15,83
2023-01-22,80
2023-01-29,89
2023-02-05,91
2023-02-12,86
2023-02-19,89
2023-02-26,87
2023-03-05,79
2023-03-12,89
2023-03-19,80
2023-03-26,80
2023-04-02,77
2023-04-09,83
2023-04-16,80
2023-04-23,78
2023-04-30,83
2023-05-07,80
2023-05-14,86
2023-05-21,84
2023-05-28,85
2023-06-04,95
2023-06-11,93
2023-06-18,91
2023-06-25,90
2023-07-02,93
2023-07-09,99
2023-07-16,94
2023-07-23,95
2023-07-30,90
2023-08-06,87
2023-08-13,85
2023-08-20,87
2023-08-27,89
2023-09-03,87
2023-09-10,87
2023-09-17,85
2023-09-24,82
2023-10-01,85
2023-10-08,84
2023-10-15,76
2023-10-22,71
2023-10-29,74
2023-11-05,78
2023-11-12,68
2023-11-19,84
2023-11-26,91
2023-12-03,91
2023-12-10,92
2023-12-17,90
2023-12-24,90
2023-12-31,94
2024-01-07,85
2024-01-14,81
2024-01-21,80
2024-01-28,91
2024-02-04,89
2024-02-11,85
2024-02-18,86
2024-02-25,89
2024-03-03,87
2024-03-10,88
2024-03-17,84
2024-03-24,75
2024-03-31,80
2024-04-07,75
2024-04-14,77
2024-04-21,80
2024-04-28,83
2024-05-05,81
2024-05-12,81
2024-05-19,83
2024-05-26,83
2024-06-02,85
2024-06-09,87
2024-06-16,85
2024-06-23,87
2024-06-30,88
2024-07-07,88
2024-07-14,93
2024-07-21,100
2024-07-28,88
2024-08-04,87
2024-08-11,88
2024-08-18,84
2024-08-25,91
2024-09-01,86
2024-09-08,82
2024-09-15,82
2024-09-22,87
2024-09-29,77
2024-10-06,72
2024-10-13,80
2024-10-20,85
2024-10-27,68
2024-11-03,73
2024-11-10,79
2024-11-17,80
2024-11-24,85
2024-12-01,79
2024-12-08,80
2024-12-15,80
2024-12-22,79
2024-12-29,76
2025-01-05,80
2025-01-12,76
2025-01-19,80
2025-01-26,81
2025-02-02,76
2025-02-09,76
2025-02-16,78
2025-02-23,76
2025-03-02,77
2025-03-09,73
2025-03-16,76
2025-03-23,75
2025-03-30,72
2025-04-06,72
2025-04-13,75
2025-04-20,82
2025-04-27,76
2025-05-04,74
2025-05-11,80
2025-05-18,79
2025-05-25,77
2025-06-01,78
2025-06-08,83
2025-06-15,85
2025-06-22,83
2025-06-29,82
2025-07-06,81
2025-07-13,87
2025-07-20,79
2025-07-27,80
2025-08-03,76
2025-08-10,74
2025-08-17,76
2025-08-24,76
2025-08-31,73
2025-09-07,79
2025-09-14,79
2025-09-21,78
2025-09-28,66
2025-10-05,74
2025-10-12,72
2025-10-19,58
2025-10-26,74
2025-11-02,73
2025-11-09,70
2025-11-16,76
2025-11-23,71
2025-11-30,74
2025-12-07,75
2025-12-14,73
2025-12-21,72
2025-12-28,76
2026-01-04,80
