,Business Services
2014-12-28,43
2015-01-04,57
2015-01-11,58
2015-01-18,52
2015-01-25,62
2015-02-01,62
2015-02-08,57
2015-02-15,61
2015-02-22,65
2015-03-01,53
2015-03-08,60
2015-03-15,66
2015-03-22,53
2015-03-29,68
2015-04-05,64
2015-04-12,75
2015-04-19,66
2015-04-26,69
2015-05-03,67
2015-05-10,62
2015-05-17,65
2015-05-24,60
2015-05-31,47
2015-06-07,46
2015-06-14,43
2015-06-21,64
2015-06-28,59
2015-07-05,54
2015-07-12,73
2015-07-19,55
2015-07-26,57
2015-08-02,91
2015-08-09,74
2015-08-16,77
2015-08-23,67
2015-08-30,55
2015-09-06,76
2015-09-13,60
2015-09-20,49
2015-09-27,56
2015-10-04,71
2015-10-11,67
2015-10-18,59
2015-10-25,75
2015-11-01,56
2015-11-08,64
2015-11-15,69
2015-11-22,61
2015-11-29,72
2015-12-06,62
2015-12-13,58
2015-12-20,64
2015-12-27,73
2016-01-03,65
2016-01-10,77
2016-01-17,71
2016-01-24,81
2016-01-31,74
2016-02-07,71
2016-02-14,74
2016-02-21,68
2016-02-28,78
2016-03-06,85
2016-03-13,68
2016-03-20,76
2016-03-27,70
2016-04-03,83
2016-04-10,81
2016-04-17,83
2016-04-24,82
2016-05-01,80
2016-05-08,77
2016-05-15,79
2016-05-22,66
2016-05-29,82
2016-06-05,55
2016-06-12,75
2016-06-19,68
2016-06-26,72
2016-07-03,63
2016-07-10,90
2016-07-17,89
2016-07-24,66
2016-07-31,94
2016-08-07,64
2016-08-14,95
2016-08-21,82
2016-08-28,56
2016-09-04,85
2016-09-11,52
2016-09-18,45
2016-09-25,33
2016-10-02,23
2016-10-09,30
2016-10-16,32
2016-10-23,30
2016-10-30,36
2016-11-06,31
2016-11-13,33
2016-11-20,27
2016-11-27,29
2016-12-04,26
2016-12-11,31
2016-12-18,31
2016-12-25,30
2017-01-01,36
2017-01-08,35
2017-01-15,32
2017-01-22,38
2017-01-29,51
2017-02-05,77
2017-02-12,86
2017-02-19,75
2017-02-26,82
2017-03-05,87
2017-03-12,80
2017-03-19,74
2017-03-26,83
2017-04-02,88
2017-04-09,75
2017-04-16,75
2017-04-23,84
2017-04-30,83
2017-05-07,70
2017-05-14,61
2017-05-21,63
2017-05-28,59
2017-06-04,66
2017-06-11,48
2017-06-18,50
2017-06-25,37
2017-07-02,69
2017-07-09,72
2017-07-16,71
2017-07-23,61
2017-07-30,72
2017-08-06,75
2017-08-13,81
2017-08-20,63
2017-08-27,70
2017-09-03,52
2017-09-10,72
2017-09-17,54
2017-09-24,84
2017-10-01,79
2017-10-08,69
2017-10-15,75
2017-10-22,75
2017-10-29,78
2017-11-05,74
2017-11-12,72
2017-11-19,74
2017-11-26,68
2017-12-03,66
2017-12-10,62
2017-12-17,58
2017-12-24,75
2017-12-31,72
2018-01-07,73
2018-01-14,70
2018-01-21,72
2018-01-28,76
2018-02-04,75
2018-02-11,78
2018-02-18,78
2018-02-25,81
2018-03-04,87
2018-03-11,72
2018-03-18,90
2018-03-25,80
2018-04-01,99
2018-04-08,79
2018-04-15,82
2018-04-22,75
2018-04-29,86
2018-05-06,73
2018-05-13,66
2018-05-20,66
2018-05-27,77
2018-06-03,66
2018-06-10,58
2018-06-17,59
2018-06-24,80
2018-07-01,89
2018-07-08,78
2018-07-15,74
2018-07-22,63
2018-07-29,82
2018-08-05,85
2018-08-12,71
2018-08-19,52
2018-08-26,79
2018-09-02,78
2018-09-09,73
2018-09-16,65
2018-09-23,68
2018-09-30,92
2018-10-07,78
2018-10-14,92
2018-10-21,84
2018-10-28,89
2018-11-04,89
2018-11-11,78
2018-11-18,63
2018-11-25,73
2018-12-02,74
2018-12-09,73
2018-12-16,71
2018-12-23,82
2018-12-30,92
2019-01-06,84
2019-01-13,77
2019-01-20,77
2019-01-27,99
2019-02-03,98
2019-02-10,81
2019-02-17,89
2019-02-24,90
2019-03-03,97
2019-03-10,75
2019-03-17,93
2019-03-24,96
2019-03-31,90
2019-04-07,85
2019-04-14,79
2019-04-21,80
2019-04-28,87
2019-05-05,78
2019-05-12,73
2019-05-19,71
2019-05-26,78
2019-06-02,74
2019-06-09,88
2019-06-16,79
2019-06-23,98
2019-06-30,92
2019-07-07,82
2019-07-14,90
2019-07-21,77
2019-07-28,91
2019-08-04,76
2019-08-11,69
2019-08-18,91
2019-08-25,86
2019-09-01,76
2019-09-08,87
2019-09-15,77
2019-09-22,85
2019-09-29,83
2019-10-06,84
2019-10-13,97
2019-10-20,87
2019-10-27,78
2019-11-03,81
2019-11-10,79
2019-11-17,87
2019-11-24,90
2019-12-01,100
2019-12-08,80
2019-12-15,81
2019-12-22,89
2019-12-29,86
2020-01-05,96
