,Business Services
2023-01-01,67
2023-01-08,69
2023-01-15,67
2023-01-22,80
2023-01-29,75
2023-02-05,73
2023-02-12,67
2023-02-19,67
2023-02-26,82
2023-03-05,75
2023-03-12,66
2023-03-19,61
2023-03-26,72
2023-04-02,74
2023-04-09,69
2023-04-16,56
2023-04-23,64
2023-04-30,70
2023-05-07,63
2023-05-14,62
2023-05-21,63
2023-05-28,72
2023-06-04,67
2023-06-11,62
2023-06-18,58
2023-06-25,44
2023-07-02,70
2023-07-09,71
2023-07-16,57
2023-07-23,55
2023-07-30,74
2023-08-06,76
2023-08-13,74
2023-08-20,77
2023-08-27,82
2023-09-03,88
2023-09-10,64
2023-09-17,81
2023-09-24,68
2023-10-01,72
2023-10-08,79
2023-10-15,71
2023-10-22,72
2023-10-29,82
2023-11-05,74
2023-11-12,79
2023-11-19,81
2023-11-26,81
2023-12-03,86
2023-12-10,79
2023-12-17,71
2023-12-24,78
2023-12-31,77
2024-01-07,86
2024-01-14,75
2024-01-21,85
2024-01-28,100
2024-02-04,90
2024-02-11,91
2024-02-18,76
2024-02-25,88
2024-03-03,78
2024-03-10,70
2024-03-17,74
2024-03-24,81
2024-03-31,75
2024-04-07,68
2024-04-14,75
2024-04-21,76
2024-04-28,88
2024-05-05,80
2024-05-12,74
2024-05-19,74
2024-05-26,92
2024-06-02,88
2024-06-09,76
2024-06-16,59
2024-06-23,81
2024-06-30,90
2024-07-07,77
2024-07-14,96
2024-07-21,81
2024-07-28,90
2024-08-04,91
2024-08-11,92
2024-08-18,76
2024-08-25,80
2024-09-01,71
2024-09-08,85
2024-09-15,69
2024-09-22,72
2024-09-29,82
2024-10-06,91
2024-10-13,80
2024-10-20,82
2024-10-27,92
2024-11-03,78
2024-11-10,75
2024-11-17,74
2024-11-24,84
2024-12-01,81
2024-12-08,81
2024-12-15,78
2024-12-22,82
2024-12-29,84
2025-01-05,79
2025-01-12,86
2025-01-19,89
2025-01-26,93
2025-02-02,91
2025-02-09,82
2025-02-16,81
2025-02-23,73
2025-03-02,81
2025-03-09,75
2025-03-16,63
2025-03-23,63
2025-03-30,67
2025-04-06,94
2025-04-13,90
2025-04-20,83
2025-04-27,89
2025-05-04,86
2025-05-11,82
2025-05-18,78
2025-05-25,78
2025-06-01,77
2025-06-08,74
2025-06-15,84
2025-06-22,84
2025-06-29,98
2025-07-06,83
2025-07-13,77
2025-07-20,73
2025-07-27,72
2025-08-03,84
2025-08-10,81
2025-08-17,87
2025-08-24,83
2025-08-31,80
2025-09-07,75
2025-09-14,69
2025-09-21,71
2025-09-28,93
2025-10-05,85
2025-10-12,77
2025-10-19,80
2025-10-26,83
2025-11-02,79
2025-11-09,80
2025-11-16,84
2025-11-23,92
2025-11-30,82
2025-12-07,77
2025-12-14,83
2025-12-21,87
2025-12-28,84
2026-01-04,77
