,Cruises & Charters
2014-12-28,63
2015-01-04,32
2015-01-11,43
2015-01-18,32
2015-01-25,39
2015-02-01,47
2015-02-08,40
2015-02-15,32
2015-02-22,34
2015-03-01,38
2015-03-08,50
2015-03-15,31
2015-03-22,40
2015-03-29,50
2015-04-05,31
2015-04-12,42
2015-04-19,55
2015-04-26,41
2015-05-03,40
2015-05-10,41
2015-05-17,44
2015-05-24,49
2015-05-31,37
2015-06-07,36
2015-06-14,52
2015-06-21,45
2015-06-28,42
2015-07-05,44
2015-07-12,43
2015-07-19,52
2015-07-26,41
2015-08-02,48
2015-08-09,49
2015-08-16,59
2015-08-23,61
2015-08-30,50
2015-09-06,49
2015-09-13,36
2015-09-20,37
2015-09-27,36
2015-10-04,42
2015-10-11,47
2015-10-18,52
2015-10-25,45
2015-11-01,50
2015-11-08,47
2015-11-15,37
2015-11-22,55
2015-11-29,36
2015-12-06,50
2015-12-13,52
2015-12-20,58
2015-12-27,53
2016-01-03,42
2016-01-10,40
2016-01-17,48
2016-01-24,45
2016-01-31,38
2016-02-07,54
2016-02-14,52
2016-02-21,39
2016-02-28,44
2016-03-06,49
2016-03-13,60
2016-03-20,49
2016-03-27,47
2016-04-03,52
2016-04-10,45
2016-04-17,43
2016-04-24,39
2016-05-01,51
2016-05-08,49
2016-05-15,51
2016-05-22,48
2016-05-29,35
2016-06-05,37
2016-06-12,49
2016-06-19,47
2016-06-26,52
2016-07-03,53
2016-07-10,51
2016-07-17,43
2016-07-24,47
2016-07-31,66
2016-08-07,57
2016-08-14,58
2016-08-21,42
2016-08-28,50
2016-09-04,42
2016-09-11,42
2016-09-18,52
2016-09-25,49
2016-10-02,55
2016-10-09,47
2016-10-16,55
2016-10-23,47
2016-10-30,49
2016-11-06,54
2016-11-13,50
2016-11-20,51
2016-11-27,57
2016-12-04,57
2016-12-11,67
2016-12-18,69
2016-12-25,75
2017-01-01,63
2017-01-08,52
2017-01-15,57
2017-01-22,57
2017-01-29,53
2017-02-05,62
2017-02-12,58
2017-02-19,81
2017-02-26,59
2017-03-05,56
2017-03-12,63
2017-03-19,54
2017-03-26,63
2017-04-02,68
2017-04-09,49
2017-04-16,60
2017-04-23,64
2017-04-30,65
2017-05-07,73
2017-05-14,59
2017-05-21,46
2017-05-28,49
2017-06-04,48
2017-06-11,57
2017-06-18,41
2017-06-25,48
2017-07-02,53
2017-07-09,51
2017-07-16,48
2017-07-23,56
2017-07-30,52
2017-08-06,55
2017-08-13,56
2017-08-20,59
2017-08-27,44
2017-09-03,54
2017-09-10,56
2017-09-17,54
2017-09-24,51
2017-10-01,55
2017-10-08,66
2017-10-15,58
2017-10-22,48
2017-10-29,52
2017-11-05,49
2017-11-12,49
2017-11-19,56
2017-11-26,37
2017-12-03,48
2017-12-10,55
2017-12-17,59
2017-12-24,62
2017-12-31,69
2018-01-07,63
2018-01-14,52
2018-01-21,48
2018-01-28,52
2018-02-04,60
2018-02-11,50
2018-02-18,58
2018-02-25,63
2018-03-04,70
2018-03-11,51
2018-03-18,55
2018-03-25,56
2018-04-01,55
2018-04-08,56
2018-04-15,67
2018-04-22,62
2018-04-29,60
2018-05-06,47
2018-05-13,52
2018-05-20,58
2018-05-27,45
2018-06-03,48
2018-06-10,50
2018-06-17,68
2018-06-24,49
2018-07-01,55
2018-07-08,59
2018-07-15,49
2018-07-22,54
2018-07-29,72
2018-08-05,49
2018-08-12,74
2018-08-19,62
2018-08-26,77
2018-09-02,68
2018-09-09,64
2018-09-16,52
2018-09-23,59
2018-09-30,54
2018-10-07,74
2018-10-14,54
2018-10-21,72
2018-10-28,61
2018-11-04,51
2018-11-11,54
2018-11-18,72
2018-11-25,70
2018-12-02,60
2018-12-09,73
2018-12-16,57
2018-12-23,72
2018-12-30,84
2019-01-06,74
2019-01-13,58
2019-01-20,64
2019-01-27,77
2019-02-03,77
2019-02-10,75
2019-02-17,80
2019-02-24,67
2019-03-03,93
2019-03-10,67
2019-03-17,62
2019-03-24,86
2019-03-31,85
2019-04-07,60
2019-04-14,47
2019-04-21,34
2019-04-28,37
2019-05-05,64
2019-05-12,38
2019-05-19,58
2019-05-26,43
2019-06-02,72
2019-06-09,73
2019-06-16,65
2019-06-23,62
2019-06-30,100
2019-07-07,79
2019-07-14,69
2019-07-21,72
2019-07-28,85
2019-08-04,98
2019-08-11,68
2019-08-18,71
2019-08-25,88
2019-09-01,73
2019-09-08,93
2019-09-15,85
2019-09-22,73
2019-09-29,58
2019-10-06,68
2019-10-13,64
2019-10-20,70
2019-10-27,81
2019-11-03,84
2019-11-10,60
2019-11-17,75
2019-11-24,65
2019-12-01,71
2019-12-08,74
2019-12-15,77
2019-12-22,73
2019-12-29,68
2020-01-05,67
