,Internet & Telecom
2023-01-01,82
2023-01-08,80
2023-01-15,81
2023-01-22,82
2023-01-29,88
2023-02-05,93
2023-02-12,89
2023-02-19,88
2023-02-26,87
2023-03-05,85
2023-03-12,89
2023-03-19,85
2023-03-26,82
2023-04-02,77
2023-04-09,67
2023-04-16,78
2023-04-23,82
2023-04-30,73
2023-05-07,83
2023-05-14,89
2023-05-21,84
2023-05-28,84
2023-06-04,89
2023-06-11,90
2023-06-18,92
2023-06-25,86
2023-07-02,89
2023-07-09,96
2023-07-16,95
2023-07-23,91
2023-07-30,88
2023-08-06,94
2023-08-13,94
2023-08-20,90
2023-08-27,86
2023-09-03,93
2023-09-10,91
2023-09-17,92
2023-09-24,85
2023-10-01,91
2023-10-08,89
2023-10-15,92
2023-10-22,85
2023-10-29,81
2023-11-05,85
2023-11-12,89
2023-11-19,84
2023-11-26,86
2023-12-03,87
2023-12-10,90
2023-12-17,95
2023-12-24,85
2023-12-31,96
2024-01-07,93
2024-01-14,87
2024-01-21,82
2024-01-28,98
2024-02-04,93
2024-02-11,92
2024-02-18,85
2024-02-25,91
2024-03-03,90
2024-03-10,92
2024-03-17,91
2024-03-24,93
2024-03-31,90
2024-04-07,74
2024-04-14,78
2024-04-21,84
2024-04-28,87
2024-05-05,90
2024-05-12,93
2024-05-19,84
2024-05-26,94
2024-06-02,94
2024-06-09,96
2024-06-16,86
2024-06-23,97
2024-06-30,97
2024-07-07,96
2024-07-14,90
2024-07-21,96
2024-07-28,94
2024-08-04,96
2024-08-11,99
2024-08-18,93
2024-08-25,93
2024-09-01,95
2024-09-08,95
2024-09-15,82
2024-09-22,83
2024-09-29,91
2024-10-06,90
2024-10-13,87
2024-10-20,92
2024-10-27,91
2024-11-03,91
2024-11-10,87
2024-11-17,91
2024-11-24,100
2024-12-01,93
2024-12-08,92
2024-12-15,97
2024-12-22,94
2024-12-29,95
2025-01-05,93
2025-01-12,84
2025-01-19,96
2025-01-26,91
2025-02-02,89
2025-02-09,86
2025-02-16,87
2025-02-23,93
2025-03-02,92
2025-03-09,86
2025-03-16,89
2025-03-23,91
2025-03-30,86
2025-04-06,79
2025-04-13,70
2025-04-20,91
2025-04-27,86
2025-05-04,84
2025-05-11,75
2025-05-18,91
2025-05-25,90
2025-06-01,90
2025-06-08,85
2025-06-15,91
2025-06-22,91
2025-06-29,88
2025-07-06,84
2025-07-13,91
2025-07-20,87
2025-07-27,89
2025-08-03,81
2025-08-10,90
2025-08-17,87
2025-08-24,86
2025-08-31,84
2025-09-07,85
2025-09-14,86
2025-09-21,90
2025-09-28,87
2025-10-05,83
2025-10-12,86
2025-10-19,83
2025-10-26,83
2025-11-02,81
2025-11-09,92
2025-11-16,86
2025-11-23,78
2025-11-30,80
2025-12-07,90
2025-12-14,90
2025-12-21,88
2025-12-28,96
