,Autos & Vehicles
2023-01-01,67
2023-01-08,67
2023-01-15,66
2023-01-22,69
2023-01-29,70
2023-02-05,70
2023-02-12,73
2023-02-19,68
2023-02-26,68
2023-03-05,68
2023-03-12,68
2023-03-19,70
2023-03-26,68
2023-04-02,69
2023-04-09,61
2023-04-16,65
2023-04-23,73
2023-04-30,68
2023-05-07,71
2023-05-14,72
2023-05-21,69
2023-05-28,74
2023-06-04,75
2023-06-11,74
2023-06-18,76
2023-06-25,76
2023-07-02,80
2023-07-09,77
2023-07-16,80
2023-07-23,77
2023-07-30,72
2023-08-06,77
2023-08-13,78
2023-08-20,73
2023-08-27,73
2023-09-03,74
2023-09-10,70
2023-09-17,69
2023-09-24,74
2023-10-01,71
2023-10-08,68
2023-10-15,68
2023-10-22,69
2023-10-29,69
2023-11-05,68
2023-11-12,66
2023-11-19,78
2023-11-26,79
2023-12-03,73
2023-12-10,73
2023-12-17,77
2023-12-24,82
2023-12-31,78
2024-01-07,76
2024-01-14,71
2024-01-21,74
2024-01-28,77
2024-02-04,72
2024-02-11,74
2024-02-18,77
2024-02-25,73
2024-03-03,71
2024-03-10,68
2024-03-17,76
2024-03-24,75
2024-03-31,72
2024-04-07,67
2024-04-14,64
2024-04-21,76
2024-04-28,74
2024-05-05,71
2024-05-12,76
2024-05-19,68
2024-05-26,74
2024-06-02,74
2024-06-09,74
2024-06-16,73
2024-06-23,73
2024-06-30,75
2024-07-07,72
2024-07-14,73
2024-07-21,74
2024-07-28,80
2024-08-04,74
2024-08-11,78
2024-08-18,80
2024-08-25,76
2024-09-01,76
2024-09-08,75
2024-09-15,66
2024-09-22,62
2024-09-29,72
2024-10-06,69
2024-10-13,83
2024-10-20,100
2024-10-27,71
2024-11-03,67
2024-11-10,69
2024-11-17,68
2024-11-24,73
2024-12-01,74
2024-12-08,74
2024-12-15,73
2024-12-22,73
2024-12-29,72
2025-01-05,70
2025-01-12,74
2025-01-19,73
2025-01-26,69
2025-02-02,74
2025-02-09,73
2025-02-16,71
2025-02-23,74
2025-03-02,75
2025-03-09,74
2025-03-16,79
2025-03-23,74
2025-03-30,85
2025-04-06,78
2025-04-13,68
2025-04-20,78
2025-04-27,86
2025-05-04,76
2025-05-11,77
2025-05-18,85
2025-05-25,84
2025-06-01,81
2025-06-08,84
2025-06-15,88
2025-06-22,84
2025-06-29,86
2025-07-06,87
2025-07-13,90
2025-07-20,86
2025-07-27,89
2025-08-03,82
2025-08-10,84
2025-08-17,82
2025-08-24,82
2025-08-31,79
2025-09-07,71
2025-09-14,74
2025-09-21,74
2025-09-28,74
2025-10-05,77
2025-10-12,73
2025-10-19,75
2025-10-26,76
2025-11-02,71
2025-11-09,78
2025-11-16,78
2025-11-23,67
2025-11-30,68
