,Arts___Entertainment,Beauty___Fitness,Books___Literature,Entertainment_Industry,Games,Hobbies___Leisure,Cleaning_Supplies___Services,Laundry,Astrology___Divination,Pets___Animals,Libraries___Museums,Entertainment_Media,Gifts___Special_Event_Items,Photo___Video_Services,Ticket_Sales,Sports
2018-05-06,76.0,82.0,78.0,39.0,62.0,43.0,75.0,58.0,59.0,82.0,77.0,65.0,67.0,90.0,25.0,27.0
2018-05-13,77.0,90.0,75.0,37.0,62.0,45.0,77.0,51.0,59.0,81.0,62.0,63.0,73.0,68.0,27.0,28.0
2018-05-20,72.0,75.0,76.0,35.0,61.0,41.0,73.0,81.0,54.0,73.0,62.0,62.0,60.0,78.0,21.0,25.0
2018-05-27,73.0,66.0,78.0,35.0,61.0,40.0,65.0,67.0,60.0,76.0,63.0,59.0,62.0,73.0,26.0,22.0
2018-06-03,70.0,56.0,76.0,34.0,63.0,41.0,70.0,72.0,57.0,74.0,44.0,65.0,82.0,73.0,34.0,25.0
2018-06-10,73.0,66.0,74.0,35.0,68.0,49.0,58.0,54.0,56.0,75.0,54.0,73.0,73.0,84.0,37.0,35.0
2018-06-17,71.0,57.0,74.0,35.0,72.0,41.0,65.0,60.0,61.0,76.0,59.0,63.0,67.0,79.0,26.0,51.0
2018-06-24,68.0,54.0,74.0,32.0,71.0,38.0,61.0,60.0,51.0,73.0,51.0,62.0,59.0,71.0,25.0,53.0
2018-07-01,75.0,59.0,75.0,38.0,77.0,41.0,66.0,73.0,59.0,77.0,52.0,71.0,63.0,71.0,22.0,48.0
2018-07-08,76.0,61.0,78.0,36.0,75.0,43.0,75.0,79.0,60.0,78.0,73.0,70.0,59.0,79.0,31.0,50.0
2018-07-15,75.0,59.0,77.0,37.0,70.0,41.0,67.0,64.0,62.0,78.0,62.0,62.0,61.0,88.0,34.0,38.0
2018-07-22,74.0,60.0,77.0,32.0,65.0,40.0,68.0,48.0,64.0,84.0,54.0,70.0,60.0,84.0,28.0,28.0
2018-07-29,71.0,58.0,73.0,31.0,64.0,41.0,66.0,72.0,64.0,79.0,60.0,81.0,67.0,86.0,28.0,34.0
2018-08-05,76.0,64.0,75.0,39.0,70.0,42.0,70.0,75.0,66.0,78.0,59.0,83.0,60.0,76.0,39.0,37.0
2018-08-12,77.0,66.0,78.0,42.0,71.0,43.0,68.0,65.0,65.0,85.0,68.0,83.0,61.0,57.0,39.0,34.0
2018-08-19,77.0,69.0,73.0,38.0,71.0,48.0,62.0,66.0,60.0,85.0,62.0,77.0,59.0,60.0,28.0,25.0
2018-08-26,71.0,57.0,79.0,37.0,68.0,41.0,68.0,71.0,67.0,82.0,63.0,73.0,61.0,73.0,26.0,22.0
2018-09-02,79.0,62.0,74.0,33.0,65.0,40.0,67.0,59.0,66.0,76.0,60.0,82.0,59.0,73.0,25.0,20.0
2018-09-09,76.0,60.0,77.0,31.0,64.0,41.0,69.0,61.0,62.0,81.0,59.0,76.0,62.0,72.0,28.0,30.0
2018-09-16,75.0,60.0,78.0,38.0,62.0,41.0,77.0,57.0,66.0,78.0,57.0,83.0,62.0,67.0,37.0,44.0
2018-09-23,78.0,55.0,82.0,37.0,65.0,40.0,72.0,67.0,60.0,78.0,55.0,82.0,64.0,71.0,32.0,35.0
2018-09-30,78.0,57.0,81.0,33.0,65.0,48.0,60.0,80.0,83.0,81.0,62.0,86.0,82.0,70.0,28.0,24.0
2018-10-07,79.0,63.0,84.0,37.0,71.0,47.0,73.0,70.0,69.0,84.0,57.0,85.0,73.0,78.0,33.0,38.0
2018-10-14,79.0,56.0,82.0,31.0,71.0,44.0,82.0,75.0,72.0,83.0,65.0,85.0,66.0,67.0,35.0,38.0
2018-10-21,75.0,57.0,77.0,36.0,65.0,38.0,80.0,62.0,60.0,81.0,50.0,79.0,63.0,74.0,28.0,41.0
2018-10-28,76.0,58.0,75.0,38.0,69.0,46.0,82.0,62.0,66.0,76.0,57.0,80.0,69.0,82.0,44.0,25.0
2018-11-04,73.0,55.0,76.0,38.0,61.0,42.0,67.0,63.0,60.0,74.0,63.0,75.0,73.0,66.0,66.0,35.0
2018-11-11,72.0,57.0,82.0,31.0,64.0,42.0,66.0,74.0,65.0,74.0,58.0,73.0,61.0,69.0,36.0,35.0
2018-11-18,73.0,59.0,82.0,32.0,62.0,43.0,58.0,65.0,62.0,81.0,59.0,81.0,63.0,66.0,47.0,26.0
2018-11-25,73.0,58.0,78.0,37.0,61.0,42.0,83.0,64.0,64.0,75.0,57.0,81.0,62.0,78.0,88.0,24.0
2018-12-02,74.0,62.0,76.0,36.0,67.0,45.0,77.0,66.0,64.0,91.0,51.0,87.0,67.0,74.0,56.0,21.0
2018-12-09,74.0,67.0,72.0,39.0,72.0,45.0,93.0,82.0,64.0,80.0,67.0,80.0,69.0,63.0,39.0,25.0
2018-12-16,70.0,68.0,80.0,36.0,74.0,48.0,83.0,84.0,70.0,87.0,71.0,89.0,68.0,86.0,48.0,35.0
2018-12-23,82.0,67.0,79.0,35.0,74.0,65.0,69.0,75.0,78.0,95.0,58.0,94.0,74.0,70.0,51.0,46.0
2018-12-30,78.0,58.0,81.0,32.0,70.0,81.0,82.0,61.0,84.0,93.0,62.0,91.0,70.0,66.0,54.0,41.0
2019-01-06,73.0,59.0,75.0,42.0,65.0,42.0,87.0,74.0,69.0,91.0,57.0,84.0,63.0,81.0,68.0,33.0
2019-01-13,71.0,58.0,78.0,34.0,66.0,44.0,64.0,67.0,64.0,90.0,55.0,81.0,69.0,77.0,43.0,24.0
2019-01-20,69.0,61.0,76.0,35.0,63.0,44.0,100.0,74.0,66.0,97.0,54.0,79.0,61.0,78.0,25.0,31.0
2019-01-27,69.0,59.0,77.0,35.0,60.0,44.0,72.0,57.0,64.0,88.0,50.0,82.0,60.0,82.0,33.0,28.0
2019-02-03,71.0,56.0,76.0,34.0,65.0,42.0,82.0,67.0,65.0,92.0,57.0,75.0,65.0,71.0,30.0,25.0
2019-02-10,74.0,59.0,87.0,44.0,63.0,53.0,79.0,69.0,62.0,93.0,70.0,78.0,76.0,77.0,38.0,46.0
2019-02-17,73.0,61.0,83.0,37.0,67.0,42.0,77.0,66.0,59.0,96.0,69.0,73.0,60.0,69.0,35.0,42.0
2019-02-24,72.0,59.0,77.0,62.0,69.0,42.0,78.0,57.0,63.0,86.0,51.0,72.0,60.0,82.0,29.0,29.0
2019-03-03,71.0,60.0,78.0,35.0,66.0,40.0,88.0,61.0,61.0,88.0,60.0,70.0,60.0,81.0,31.0,45.0
2019-03-10,69.0,60.0,76.0,32.0,67.0,41.0,81.0,73.0,66.0,84.0,62.0,67.0,57.0,73.0,39.0,46.0
2019-03-17,70.0,59.0,76.0,34.0,61.0,40.0,84.0,78.0,67.0,82.0,60.0,63.0,57.0,74.0,38.0,35.0
2019-03-24,71.0,80.0,75.0,33.0,64.0,41.0,87.0,68.0,58.0,82.0,63.0,68.0,54.0,73.0,35.0,47.0
2019-03-31,73.0,87.0,71.0,34.0,65.0,39.0,64.0,60.0,62.0,78.0,49.0,71.0,52.0,62.0,39.0,30.0
2019-04-07,71.0,87.0,73.0,25.0,66.0,41.0,68.0,53.0,57.0,74.0,53.0,68.0,64.0,60.0,34.0,30.0
2019-04-14,73.0,85.0,73.0,31.0,59.0,44.0,65.0,65.0,66.0,85.0,47.0,62.0,81.0,60.0,44.0,31.0
2019-04-21,87.0,80.0,55.0,27.0,71.0,34.0,50.0,44.0,55.0,80.0,44.0,69.0,48.0,71.0,27.0,28.0
2019-04-28,79.0,100.0,72.0,31.0,66.0,38.0,66.0,54.0,57.0,81.0,35.0,69.0,54.0,79.0,24.0,29.0
2019-05-05,76.0,91.0,75.0,27.0,67.0,43.0,60.0,42.0,61.0,82.0,100.0,69.0,65.0,72.0,20.0,31.0
2019-05-12,75.0,73.0,69.0,25.0,62.0,39.0,67.0,51.0,54.0,71.0,50.0,61.0,74.0,72.0,21.0,28.0
2019-05-19,69.0,58.0,81.0,27.0,63.0,38.0,63.0,47.0,56.0,81.0,52.0,62.0,59.0,65.0,20.0,33.0
2019-05-26,70.0,60.0,74.0,27.0,73.0,41.0,79.0,53.0,60.0,78.0,61.0,69.0,58.0,70.0,31.0,50.0
2019-06-02,73.0,67.0,72.0,29.0,72.0,46.0,73.0,57.0,59.0,78.0,49.0,72.0,60.0,79.0,29.0,95.0
2019-06-09,70.0,60.0,74.0,27.0,70.0,42.0,85.0,77.0,65.0,85.0,64.0,64.0,63.0,85.0,29.0,84.0
2019-06-16,69.0,60.0,75.0,32.0,69.0,37.0,87.0,63.0,56.0,79.0,56.0,70.0,62.0,72.0,20.0,95.0
2019-06-23,72.0,59.0,78.0,31.0,72.0,38.0,87.0,79.0,58.0,80.0,74.0,73.0,58.0,90.0,26.0,99.0
2019-06-30,74.0,62.0,76.0,27.0,78.0,39.0,79.0,63.0,61.0,81.0,64.0,73.0,56.0,76.0,32.0,100.0
2019-07-07,72.0,60.0,77.0,29.0,69.0,40.0,82.0,86.0,59.0,82.0,56.0,82.0,61.0,83.0,32.0,59.0
2019-07-14,70.0,63.0,73.0,29.0,68.0,41.0,78.0,71.0,61.0,83.0,69.0,76.0,58.0,61.0,47.0,37.0
2019-07-21,71.0,63.0,76.0,34.0,70.0,43.0,86.0,63.0,62.0,83.0,64.0,71.0,61.0,95.0,89.0,32.0
2019-07-28,77.0,67.0,72.0,32.0,72.0,43.0,88.0,72.0,66.0,82.0,62.0,72.0,65.0,84.0,65.0,37.0
2019-08-04,78.0,65.0,73.0,30.0,73.0,45.0,87.0,75.0,71.0,92.0,72.0,79.0,64.0,77.0,70.0,24.0
2019-08-11,74.0,72.0,71.0,34.0,72.0,46.0,63.0,80.0,61.0,94.0,56.0,77.0,58.0,79.0,52.0,37.0
2019-08-18,75.0,62.0,72.0,33.0,73.0,43.0,77.0,68.0,64.0,91.0,69.0,73.0,59.0,81.0,48.0,33.0
2019-08-25,70.0,63.0,73.0,30.0,71.0,42.0,77.0,93.0,60.0,91.0,61.0,75.0,58.0,69.0,51.0,26.0
2019-09-01,70.0,59.0,73.0,30.0,67.0,42.0,78.0,70.0,60.0,81.0,64.0,66.0,59.0,81.0,47.0,36.0
2019-09-08,72.0,60.0,74.0,29.0,67.0,42.0,70.0,78.0,56.0,82.0,63.0,75.0,62.0,78.0,35.0,20.0
2019-09-15,69.0,55.0,75.0,30.0,63.0,39.0,79.0,78.0,60.0,79.0,55.0,74.0,56.0,83.0,43.0,20.0
2019-09-22,70.0,56.0,79.0,31.0,67.0,40.0,86.0,72.0,61.0,78.0,55.0,69.0,58.0,70.0,46.0,21.0
2019-09-29,67.0,55.0,71.0,27.0,67.0,44.0,85.0,72.0,64.0,76.0,51.0,67.0,72.0,82.0,43.0,38.0
2019-10-06,69.0,56.0,73.0,31.0,67.0,41.0,84.0,61.0,60.0,74.0,52.0,64.0,73.0,75.0,45.0,36.0
2019-10-13,68.0,56.0,74.0,30.0,66.0,40.0,83.0,76.0,63.0,82.0,60.0,68.0,59.0,81.0,76.0,17.0
2019-10-20,67.0,58.0,73.0,32.0,64.0,41.0,68.0,75.0,64.0,75.0,58.0,67.0,58.0,72.0,100.0,21.0
2019-10-27,64.0,57.0,67.0,29.0,62.0,37.0,68.0,81.0,69.0,74.0,57.0,65.0,59.0,78.0,72.0,34.0
2019-11-03,63.0,54.0,70.0,33.0,63.0,39.0,96.0,79.0,66.0,74.0,55.0,61.0,56.0,66.0,47.0,20.0
2019-11-10,66.0,53.0,66.0,31.0,60.0,37.0,71.0,76.0,77.0,74.0,54.0,65.0,54.0,77.0,44.0,18.0
2019-11-17,64.0,54.0,67.0,30.0,57.0,38.0,64.0,65.0,91.0,73.0,57.0,56.0,56.0,77.0,41.0,15.0
2019-11-24,63.0,56.0,69.0,32.0,62.0,41.0,87.0,78.0,62.0,75.0,56.0,66.0,58.0,74.0,44.0,16.0
2019-12-01,68.0,63.0,67.0,31.0,67.0,44.0,88.0,81.0,65.0,78.0,59.0,67.0,67.0,71.0,40.0,18.0
2019-12-08,64.0,66.0,65.0,32.0,67.0,42.0,71.0,74.0,66.0,76.0,59.0,78.0,59.0,78.0,44.0,30.0
2019-12-15,68.0,68.0,73.0,36.0,71.0,47.0,77.0,95.0,67.0,83.0,73.0,78.0,64.0,78.0,57.0,38.0
2019-12-22,73.0,67.0,69.0,35.0,77.0,67.0,79.0,100.0,86.0,91.0,71.0,80.0,66.0,80.0,55.0,28.0
2019-12-29,73.0,63.0,76.0,34.0,73.0,77.0,75.0,90.0,87.0,86.0,71.0,85.0,63.0,72.0,47.0,20.0
2020-01-05,65.9214671996238,55.32588774341351,69.95222929936307,43.446000000000005,63.6123595505618,39.95605920444033,97.67911236350828,65.23579893747447,66.35711823509135,80.6854700854701,59.14123630672927,72.10913815504549,54.0850661625709,79.17707477403452,72.48979591836735,36.16910229645094
2020-01-12,65.05407947331297,59.14146620847652,72.99363057324841,31.74900000000001,61.16573033707865,40.98057354301572,79.27580133849946,80.06211687780957,65.21302998965875,79.46296296296298,55.52034428794993,83.32611520138589,57.69073724007562,67.86606409202959,63.42857142857143,24.112734864300624
2020-01-19,65.9214671996238,59.14146620847652,69.95222929936307,34.255500000000005,62.389044943820224,42.00508788159111,84.93835857696371,78.57948508377606,81.23026542571527,89.24301994301996,72.41784037558686,70.50671286271114,60.094517958412105,77.56121610517667,36.24489795918368,38.848295059151006
2020-01-26,60.71714084175876,55.32588774341351,62.85562632696392,43.446000000000005,63.6123595505618,43.0296022201665,77.8601620288834,80.06211687780957,73.22164770768701,91.6880341880342,57.93427230046949,62.49458640103942,56.48884688090738,82.40879211175022,45.30612244897959,38.848295059151006
2020-02-02,65.9214671996238,57.233676975945016,65.89702760084927,36.76200000000001,62.389044943820224,42.00508788159111,82.10707995773159,68.20106252554149,64.06894174422614,92.91054131054132,65.17605633802818,68.9042875703768,56.48884688090738,75.94535743631883,36.24489795918368,24.112734864300624
2020-02-09,63.31930402069128,55.32588774341351,70.96602972399151,73.52400000000002,59.94241573033708,49.17668825161886,96.2634730538922,69.683694319575,66.35711823509135,90.46552706552708,66.38302034428796,64.09701169337376,66.10396975425331,75.94535743631883,36.24489795918368,22.77313848295059
2020-02-16,65.9214671996238,55.32588774341351,70.96602972399151,40.93950000000001,66.05898876404494,42.00508788159111,72.19760479041915,71.1663261136085,61.78076525336092,85.57549857549859,78.45266040688577,72.10913815504549,58.892627599243866,87.25636811832376,36.24489795918368,30.8107167710508
2020-02-23,60.71714084175876,55.32588774341351,68.93842887473461,30.91350000000001,64.83567415730337,40.98057354301572,84.93835857696371,80.06211687780957,59.4925887624957,85.57549857549859,66.38302034428796,70.50671286271114,52.88317580340266,75.94535743631883,36.24489795918368,36.16910229645094
2020-03-01,60.71714084175876,57.233676975945016,68.93842887473461,32.584500000000006,63.6123595505618,38.931544865864936,87.76963719619583,60.78790355537393,60.63667700792831,86.79800569800571,76.0387323943662,68.9042875703768,52.88317580340266,77.56121610517667,36.24489795918368,45.54627696590118
2020-03-08,58.11497766282625,55.32588774341351,62.85562632696392,26.736000000000004,64.83567415730337,36.88251618871415,80.69144064811552,63.75316714344096,62.92485349879352,83.13048433048434,82.07355242566511,65.6994369857081,45.6718336483932,69.48192276088744,27.18367346938776,20.09394572025052
2020-03-15,69.39101810486716,47.69473081328752,64.88322717622081,29.242500000000003,62.389044943820224,32.784458834412575,84.93835857696371,56.34000817327341,60.63667700792831,89.24301994301996,62.76212832550861,76.91641403204852,44.46994328922496,58.1709120788825,18.12244897959184,9.377174669450245
2020-03-22,70.258405831178,41.97136311569301,81.10403397027602,38.43300000000001,56.27247191011236,30.73543015726179,72.19760479041915,38.54842664487127,53.77214753533265,80.6854700854701,37.41588419405321,76.91641403204852,45.6718336483932,58.1709120788825,18.12244897959184,8.037578288100208
2020-03-29,70.258405831178,43.87915234822451,76.03503184713377,32.584500000000006,57.49578651685393,32.784458834412575,67.95068686157097,31.13526767470372,49.19579455360221,86.79800569800571,43.45070422535212,89.73581637072327,46.87372400756144,42.01232539030403,9.06122448979592,8.037578288100208
2020-04-05,75.46273218904304,49.60252004581901,85.15923566878982,31.74900000000001,66.05898876404494,34.83348751156336,69.36632617118703,37.06579485083776,51.48397104446743,85.57549857549859,42.24374021909234,91.33824166305762,55.28695652173914,53.32333607230896,18.12244897959184,8.037578288100208
2020-04-12,76.33011991535388,45.78694158075601,77.04883227176222,30.91350000000001,61.16573033707865,40.98057354301572,66.5350475519549,37.06579485083776,59.4925887624957,90.46552706552708,41.03677621283256,84.92854049372023,80.52665406427222,51.70747740345112,9.06122448979592,8.037578288100208
2020-04-19,67.65624265224548,49.60252004581901,75.02123142250531,30.91350000000001,55.049157303370784,34.83348751156336,65.11940824233884,44.47895382100532,44.619441571871775,90.46552706552708,44.6576682316119,81.72368990905154,50.47939508506617,53.32333607230896,9.06122448979592,8.037578288100208
2020-04-26,74.5953444627322,49.60252004581901,78.06263269639066,30.078000000000003,55.049157303370784,32.784458834412575,70.7819654808031,48.926849203105846,45.76352981730438,91.6880341880342,66.38302034428796,75.31398873971418,58.892627599243866,61.4026294165982,18.12244897959184,8.037578288100208
2020-05-03,71.12579355748883,45.78694158075601,77.04883227176222,30.078000000000003,55.049157303370784,36.88251618871415,76.44452271926734,45.96158561503883,44.619441571871775,89.24301994301996,51.89945226917059,78.51883932438285,76.9209829867675,61.4026294165982,9.06122448979592,8.037578288100208
2020-05-10,62.451916294380446,47.69473081328752,78.06263269639066,30.078000000000003,53.82584269662921,38.931544865864936,70.7819654808031,63.75316714344096,44.619441571871775,89.24301994301996,53.10641627543037,73.71156344737983,70.91153119092628,59.78677074774035,18.12244897959184,9.377174669450245
2020-05-17,62.451916294380446,59.14146620847652,74.00743099787687,31.74900000000001,57.49578651685393,40.98057354301572,69.36632617118703,63.75316714344096,49.19579455360221,96.5780626780627,57.93427230046949,76.91641403204852,58.892627599243866,69.48192276088744,18.12244897959184,9.377174669450245
2020-05-24,64.18669174700213,57.233676975945016,70.96602972399151,30.078000000000003,55.049157303370784,39.95605920444033,66.5350475519549,68.20106252554149,43.47535332643916,99.02307692307694,48.27856025039125,73.71156344737983,54.0850661625709,69.48192276088744,18.12244897959184,9.377174669450245
2020-05-31,63.31930402069128,57.233676975945016,76.03503184713377,27.571500000000004,59.94241573033708,40.98057354301572,76.44452271926734,65.23579893747447,53.77214753533265,106.35811965811968,55.52034428794993,76.91641403204852,60.094517958412105,82.40879211175022,18.12244897959184,8.037578288100208
2020-06-07,61.5845285680696,57.233676975945016,71.97983014861997,29.242500000000003,61.16573033707865,39.95605920444033,75.02888340965127,84.5100122599101,52.62805928990004,97.80056980056982,51.89945226917059,70.50671286271114,57.69073724007562,75.94535743631883,18.12244897959184,9.377174669450245
2020-06-14,64.18669174700213,59.14146620847652,69.95222929936307,27.571500000000004,64.83567415730337,42.00508788159111,77.8601620288834,74.13158970167552,51.48397104446743,97.80056980056982,50.69248826291081,83.32611520138589,64.90207939508508,71.09778142974528,18.12244897959184,10.716771050800276
2020-06-21,64.18669174700213,62.95704467353952,70.96602972399151,29.242500000000003,67.28230337078651,45.07863089731729,84.93835857696371,85.99264405394361,53.77214753533265,99.02307692307694,54.31338028169015,73.71156344737983,74.51720226843102,82.40879211175022,27.18367346938776,10.716771050800276
2020-06-28,62.451916294380446,62.95704467353952,69.95222929936307,30.078000000000003,64.83567415730337,40.98057354301572,89.18527650581188,91.92317123007766,54.91623578076526,92.91054131054132,57.93427230046949,70.50671286271114,56.48884688090738,71.09778142974528,18.12244897959184,10.716771050800276
2020-07-05,63.31930402069128,61.049255441008015,69.95222929936307,28.407000000000004,63.6123595505618,43.0296022201665,100.5103909827404,71.1663261136085,54.91623578076526,91.6880341880342,53.10641627543037,68.9042875703768,54.0850661625709,84.02465078060806,18.12244897959184,13.395963813500346
2020-07-12,66.78885492593464,64.86483390607101,70.96602972399151,33.42,74.62219101123596,42.00508788159111,93.43219443466008,81.54474867184308,52.62805928990004,100.24558404558404,60.34820031298905,73.71156344737983,60.094517958412105,72.71364009860314,18.12244897959184,13.395963813500346
2020-07-19,65.05407947331297,61.049255441008015,69.95222929936307,31.74900000000001,69.72893258426966,47.12765957446808,86.35399788657976,80.06211687780957,53.77214753533265,100.24558404558404,57.93427230046949,72.10913815504549,56.48884688090738,77.56121610517667,18.12244897959184,13.395963813500346
2020-07-26,61.5845285680696,70.58820160366551,65.89702760084927,34.255500000000005,69.72893258426966,50.20120259019426,92.01655512504402,81.54474867184308,53.77214753533265,96.5780626780627,60.34820031298905,68.9042875703768,68.5077504725898,80.79293344289236,27.18367346938776,13.395963813500346
2020-08-02,65.05407947331297,62.95704467353952,70.96602972399151,30.91350000000001,64.83567415730337,43.0296022201665,73.61324410003522,81.54474867184308,58.34850051706309,95.35555555555555,48.27856025039125,73.71156344737983,55.28695652173914,69.48192276088744,18.12244897959184,13.395963813500346
2020-08-09,61.5845285680696,61.049255441008015,65.89702760084927,30.078000000000003,67.28230337078651,44.054116558741896,89.18527650581188,81.54474867184308,51.48397104446743,89.24301994301996,57.93427230046949,72.10913815504549,55.28695652173914,71.09778142974528,18.12244897959184,13.395963813500346
2020-08-16,59.849753115447925,59.14146620847652,65.89702760084927,27.571500000000004,64.83567415730337,42.00508788159111,90.60091581542795,78.57948508377606,52.62805928990004,89.24301994301996,54.31338028169015,75.31398873971418,56.48884688090738,66.25020542317174,18.12244897959184,13.395963813500346
2020-08-23,58.98236538913709,59.14146620847652,64.88322717622081,28.407000000000004,62.389044943820224,40.98057354301572,82.10707995773159,71.1663261136085,52.62805928990004,83.13048433048434,59.14123630672927,65.6994369857081,57.69073724007562,74.32949876746098,18.12244897959184,13.395963813500346
2020-08-30,59.849753115447925,57.233676975945016,68.93842887473461,30.91350000000001,63.6123595505618,43.0296022201665,97.67911236350828,81.54474867184308,57.20441227163048,91.6880341880342,67.58998435054774,68.9042875703768,54.0850661625709,84.02465078060806,27.18367346938776,13.395963813500346
2020-09-06,58.98236538913709,57.233676975945016,68.93842887473461,27.571500000000004,61.16573033707865,43.0296022201665,72.19760479041915,90.44053943604416,54.91623578076526,85.57549857549859,63.9690923317684,76.91641403204852,57.69073724007562,74.32949876746098,18.12244897959184,13.395963813500346
2020-09-13,58.11497766282625,59.14146620847652,71.97983014861997,27.571500000000004,61.16573033707865,42.00508788159111,86.35399788657976,80.06211687780957,53.77214753533265,89.24301994301996,71.21087636932708,72.10913815504549,55.28695652173914,75.94535743631883,27.18367346938776,17.41475295755045
2020-09-20,59.849753115447925,70.58820160366551,68.93842887473461,30.078000000000003,62.389044943820224,38.931544865864936,77.8601620288834,63.75316714344096,52.62805928990004,72.12792022792024,60.34820031298905,70.50671286271114,52.88317580340266,74.32949876746098,18.12244897959184,26.791927627000693
2020-09-27,58.98236538913709,82.03493699885452,75.02123142250531,25.900500000000005,63.6123595505618,45.07863089731729,89.18527650581188,74.13158970167552,57.20441227163048,74.57293447293448,56.72730829420971,70.50671286271114,61.29640831758035,72.71364009860314,18.12244897959184,26.791927627000693
2020-10-04,61.5845285680696,91.573883161512,68.93842887473461,27.571500000000004,70.95224719101124,47.12765957446808,80.69144064811552,80.06211687780957,52.62805928990004,89.24301994301996,51.89945226917059,68.9042875703768,70.91153119092628,56.555053410024655,18.12244897959184,30.8107167710508
2020-10-11,70.258405831178,101.11282932416952,70.96602972399151,31.74900000000001,74.62219101123596,45.07863089731729,83.52271926734764,81.54474867184308,58.34850051706309,94.13304843304844,50.69248826291081,76.91641403204852,57.69073724007562,74.32949876746098,18.12244897959184,30.8107167710508
2020-10-18,68.52363037855632,97.29725085910653,70.96602972399151,30.91350000000001,72.1755617977528,45.07863089731729,84.93835857696371,72.64895790764201,56.06032402619787,99.02307692307694,50.69248826291081,78.51883932438285,57.69073724007562,75.94535743631883,18.12244897959184,33.48990953375087
2020-10-25,71.99318128379967,104.92840778923252,72.99363057324841,30.91350000000001,70.95224719101124,45.07863089731729,83.52271926734764,62.27053534940744,57.20441227163048,100.24558404558404,45.86463223787168,83.32611520138589,55.28695652173914,74.32949876746098,18.12244897959184,34.8295059151009
2020-11-01,67.65624265224548,89.66609392898052,68.93842887473461,30.078000000000003,67.28230337078651,43.0296022201665,76.44452271926734,62.27053534940744,58.34850051706309,92.91054131054132,47.07159624413146,86.53096578605458,57.69073724007562,67.86606409202959,18.12244897959184,32.150313152400834
2020-11-08,70.258405831178,76.31156930126002,69.95222929936307,30.91350000000001,70.95224719101124,44.054116558741896,84.93835857696371,75.61422149570903,56.06032402619787,102.6905982905983,45.86463223787168,91.33824166305762,64.90207939508508,72.71364009860314,27.18367346938776,21.433542101600555
2020-11-15,70.258405831178,57.233676975945016,70.96602972399151,28.407000000000004,67.28230337078651,44.054116558741896,83.52271926734764,84.5100122599101,60.63667700792831,102.6905982905983,48.27856025039125,86.53096578605458,58.892627599243866,71.09778142974528,18.12244897959184,13.395963813500346
2020-11-22,68.52363037855632,57.233676975945016,68.93842887473461,39.2685,70.95224719101124,47.12765957446808,83.52271926734764,85.99264405394361,53.77214753533265,100.24558404558404,53.10641627543037,88.13339107838893,56.48884688090738,74.32949876746098,18.12244897959184,24.112734864300624
2020-11-29,67.65624265224548,57.233676975945016,65.89702760084927,30.91350000000001,69.72893258426966,49.17668825161886,94.84783374427614,69.683694319575,53.77214753533265,99.02307692307694,63.9690923317684,78.51883932438285,68.5077504725898,71.09778142974528,18.12244897959184,29.47112038970076
2020-12-06,67.65624265224548,61.049255441008015,66.91082802547771,35.09100000000001,74.62219101123596,50.20120259019426,84.93835857696371,91.92317123007766,56.06032402619787,100.24558404558404,53.10641627543037,86.53096578605458,68.5077504725898,72.71364009860314,18.12244897959184,22.77313848295059
2020-12-13,67.65624265224548,62.95704467353952,64.88322717622081,28.407000000000004,73.39887640449437,50.20120259019426,86.35399788657976,85.99264405394361,64.06894174422614,101.46809116809118,53.10641627543037,83.32611520138589,64.90207939508508,69.48192276088744,18.12244897959184,21.433542101600555
2020-12-20,71.12579355748883,64.86483390607101,72.99363057324841,33.42,79.51544943820224,77.86308973172987,80.69144064811552,102.30159378831225,67.50120648052396,103.91310541310544,50.69248826291081,105.76006929406672,74.51720226843102,58.1709120788825,27.18367346938776,20.09394572025052
2020-12-27,70.258405831178,59.14146620847652,68.93842887473461,33.42,74.62219101123596,79.91211840888066,84.93835857696371,91.92317123007766,82.37435367114789,100.24558404558404,55.52034428794993,89.73581637072327,73.31531190926277,85.64050944946591,27.18367346938776,29.47112038970076
2021-01-03,64.18669174700213,59.14146620847652,66.91082802547771,32.584500000000006,74.62219101123596,47.12765957446808,87.76963719619583,81.54474867184308,59.4925887624957,101.46809116809118,42.24374021909234,78.51883932438285,62.49829867674859,80.79293344289236,117.79591836734694,26.791927627000693
2021-01-10,65.05407947331297,55.32588774341351,70.96602972399151,30.91350000000001,68.50561797752809,44.054116558741896,82.10707995773159,106.74948917041276,58.34850051706309,92.91054131054132,53.10641627543037,81.72368990905154,64.90207939508508,66.25020542317174,117.79591836734694,32.150313152400834
2021-01-17,63.31930402069128,59.14146620847652,64.88322717622081,29.242500000000003,68.50561797752809,43.0296022201665,101.92603029235644,85.99264405394361,62.92485349879352,94.13304843304844,56.72730829420971,81.72368990905154,57.69073724007562,77.56121610517667,54.36734693877551,38.848295059151006
2021-01-24,57.2475899365154,59.14146620847652,65.89702760084927,31.74900000000001,66.05898876404494,44.054116558741896,92.01655512504402,81.54474867184308,56.06032402619787,96.5780626780627,56.72730829420971,80.1212646167172,63.70018903591684,71.09778142974528,27.18367346938776,29.47112038970076
2021-01-31,59.849753115447925,57.233676975945016,67.92462845010617,29.242500000000003,70.95224719101124,44.054116558741896,80.69144064811552,75.61422149570903,56.06032402619787,95.35555555555555,45.86463223787168,81.72368990905154,57.69073724007562,77.56121610517667,27.18367346938776,20.09394572025052
