,Arts___Entertainment,Beauty___Fitness,Books___Literature,Entertainment_Industry,Games,Hobbies___Leisure,Cleaning_Supplies___Services,Laundry,Astrology___Divination,Pets___Animals,Libraries___Museums,Entertainment_Media,Gifts___Special_Event_Items,Photo___Video_Services,Ticket_Sales,Sports
2015-05-03,70.0,54.0,63.0,29.0,72.0,34.0,51.0,42.0,60.0,65.0,42.0,52.0,62.0,88.0,15.0,17.0
2015-05-10,74.0,52.0,60.0,32.0,77.0,39.0,61.0,54.0,57.0,71.0,45.0,56.0,68.0,63.0,14.0,17.0
2015-05-17,75.0,58.0,61.0,33.0,76.0,36.0,56.0,56.0,59.0,68.0,54.0,54.0,60.0,78.0,21.0,17.0
2015-05-24,73.0,50.0,58.0,33.0,73.0,35.0,45.0,45.0,59.0,62.0,44.0,51.0,56.0,66.0,12.0,15.0
2015-05-31,74.0,43.0,59.0,33.0,76.0,35.0,58.0,44.0,55.0,65.0,49.0,58.0,56.0,70.0,23.0,13.0
2015-06-07,75.0,50.0,62.0,33.0,76.0,34.0,56.0,58.0,56.0,73.0,50.0,54.0,57.0,86.0,20.0,14.0
2015-06-14,75.0,44.0,70.0,32.0,77.0,35.0,57.0,60.0,54.0,63.0,57.0,61.0,60.0,85.0,25.0,17.0
2015-06-21,73.0,50.0,60.0,33.0,75.0,36.0,54.0,39.0,56.0,82.0,52.0,61.0,63.0,69.0,28.0,19.0
2015-06-28,76.0,52.0,57.0,38.0,77.0,37.0,63.0,36.0,69.0,75.0,46.0,55.0,55.0,66.0,36.0,19.0
2015-07-05,75.0,54.0,61.0,44.0,74.0,38.0,57.0,44.0,77.0,78.0,46.0,60.0,56.0,75.0,15.0,22.0
2015-07-12,80.0,60.0,61.0,40.0,78.0,44.0,53.0,44.0,60.0,66.0,45.0,51.0,59.0,77.0,24.0,21.0
2015-07-19,79.0,55.0,62.0,37.0,78.0,39.0,52.0,35.0,64.0,71.0,47.0,58.0,62.0,90.0,22.0,22.0
