,Job Listings
2014-12-28,53
2015-01-04,52
2015-01-11,51
2015-01-18,80
2015-01-25,71
2015-02-01,57
2015-02-08,70
2015-02-15,80
2015-02-22,56
2015-03-01,62
2015-03-08,58
2015-03-15,50
2015-03-22,79
2015-03-29,53
2015-04-05,60
2015-04-12,51
2015-04-19,68
2015-04-26,46
2015-05-03,78
2015-05-10,75
2015-05-17,51
2015-05-24,49
2015-05-31,50
2015-06-07,61
2015-06-14,48
2015-06-21,51
2015-06-28,57
2015-07-05,58
2015-07-12,42
2015-07-19,77
2015-07-26,64
2015-08-02,87
2015-08-09,82
2015-08-16,62
2015-08-23,65
2015-08-30,78
2015-09-06,57
2015-09-13,59
2015-09-20,41
2015-09-27,55
2015-10-04,56
2015-10-11,70
2015-10-18,55
2015-10-25,73
2015-11-01,73
2015-11-08,62
2015-11-15,57
2015-11-22,65
2015-11-29,61
2015-12-06,63
2015-12-13,57
2015-12-20,41
2015-12-27,35
2016-01-03,56
2016-01-10,69
2016-01-17,54
2016-01-24,47
2016-01-31,79
2016-02-07,73
2016-02-14,61
2016-02-21,60
2016-02-28,57
2016-03-06,60
2016-03-13,81
2016-03-20,67
2016-03-27,71
2016-04-03,50
2016-04-10,46
2016-04-17,60
2016-04-24,64
2016-05-01,85
2016-05-08,69
2016-05-15,55
2016-05-22,63
2016-05-29,65
2016-06-05,58
2016-06-12,68
2016-06-19,69
2016-06-26,67
2016-07-03,50
2016-07-10,56
2016-07-17,86
2016-07-24,71
2016-07-31,57
2016-08-07,60
2016-08-14,63
2016-08-21,100
2016-08-28,34
2016-09-04,71
2016-09-11,40
2016-09-18,56
2016-09-25,22
2016-10-02,0
2016-10-09,22
2016-10-16,25
2016-10-23,0
2016-10-30,29
2016-11-06,23
2016-11-13,30
2016-11-20,23
2016-11-27,0
2016-12-04,22
2016-12-11,0
2016-12-18,24
2016-12-25,0
2017-01-01,0
2017-01-08,25
2017-01-15,41
2017-01-22,36
2017-01-29,39
2017-02-05,62
2017-02-12,59
2017-02-19,56
2017-02-26,65
2017-03-05,54
2017-03-12,56
2017-03-19,49
2017-03-26,76
2017-04-02,59
2017-04-09,48
2017-04-16,66
2017-04-23,59
2017-04-30,56
2017-05-07,51
2017-05-14,38
2017-05-21,36
2017-05-28,48
2017-06-04,53
2017-06-11,47
2017-06-18,53
2017-06-25,45
2017-07-02,50
2017-07-09,63
2017-07-16,57
2017-07-23,49
2017-07-30,70
2017-08-06,56
2017-08-13,64
2017-08-20,67
2017-08-27,44
2017-09-03,22
2017-09-10,51
2017-09-17,49
2017-09-24,55
2017-10-01,48
2017-10-08,82
2017-10-15,43
2017-10-22,71
2017-10-29,72
2017-11-05,65
2017-11-12,66
2017-11-19,67
2017-11-26,61
2017-12-03,45
2017-12-10,33
2017-12-17,45
2017-12-24,33
2017-12-31,62
2018-01-07,65
2018-01-14,48
2018-01-21,60
2018-01-28,56
2018-02-04,78
2018-02-11,72
2018-02-18,75
2018-02-25,66
2018-03-04,70
2018-03-11,66
2018-03-18,65
2018-03-25,45
2018-04-01,84
2018-04-08,74
2018-04-15,59
2018-04-22,50
2018-04-29,65
2018-05-06,75
2018-05-13,49
2018-05-20,38
2018-05-27,45
2018-06-03,36
2018-06-10,47
2018-06-17,59
2018-06-24,51
2018-07-01,74
2018-07-08,59
2018-07-15,59
2018-07-22,87
2018-07-29,62
2018-08-05,65
2018-08-12,83
2018-08-19,37
2018-08-26,51
2018-09-02,57
2018-09-09,55
2018-09-16,79
2018-09-23,68
2018-09-30,58
2018-10-07,50
2018-10-14,56
2018-10-21,59
2018-10-28,79
2018-11-04,68
2018-11-11,57
2018-11-18,48
2018-11-25,52
2018-12-02,50
2018-12-09,45
2018-12-16,79
2018-12-23,81
2018-12-30,68
2019-01-06,80
2019-01-13,58
2019-01-20,62
2019-01-27,54
2019-02-03,76
2019-02-10,80
2019-02-17,80
2019-02-24,46
2019-03-03,74
2019-03-10,63
2019-03-17,55
2019-03-24,62
2019-03-31,67
2019-04-07,70
2019-04-14,74
2019-04-21,51
2019-04-28,45
2019-05-05,44
2019-05-12,39
2019-05-19,50
2019-05-26,59
2019-06-02,51
2019-06-09,66
2019-06-16,78
2019-06-23,65
2019-06-30,52
2019-07-07,56
2019-07-14,67
2019-07-21,69
2019-07-28,59
2019-08-04,46
2019-08-11,67
2019-08-18,79
2019-08-25,54
2019-09-01,59
2019-09-08,69
2019-09-15,69
2019-09-22,65
2019-09-29,77
2019-10-06,81
2019-10-13,55
2019-10-20,69
2019-10-27,49
2019-11-03,44
2019-11-10,64
2019-11-17,67
2019-11-24,61
2019-12-01,49
2019-12-08,52
2019-12-15,76
2019-12-22,80
2019-12-29,66
2020-01-05,60
