,Agrochemicals
2023-01-01,78
2023-01-08,75
2023-01-15,74
2023-01-22,70
2023-01-29,80
2023-02-05,74
2023-02-12,76
2023-02-19,77
2023-02-26,82
2023-03-05,66
2023-03-12,74
2023-03-19,75
2023-03-26,69
2023-04-02,67
2023-04-09,68
2023-04-16,70
2023-04-23,74
2023-04-30,71
2023-05-07,70
2023-05-14,71
2023-05-21,77
2023-05-28,79
2023-06-04,77
2023-06-11,78
2023-06-18,88
2023-06-25,80
2023-07-02,88
2023-07-09,88
2023-07-16,90
2023-07-23,92
2023-07-30,97
2023-08-06,100
2023-08-13,91
2023-08-20,92
2023-08-27,88
2023-09-03,93
2023-09-10,92
2023-09-17,82
2023-09-24,89
2023-10-01,86
2023-10-08,85
2023-10-15,81
2023-10-22,72
2023-10-29,82
2023-11-05,76
2023-11-12,69
2023-11-19,81
2023-11-26,81
2023-12-03,80
2023-12-10,88
2023-12-17,87
2023-12-24,95
2023-12-31,89
2024-01-07,83
2024-01-14,90
2024-01-21,84
2024-01-28,93
2024-02-04,90
2024-02-11,81
2024-02-18,81
2024-02-25,81
2024-03-03,69
2024-03-10,77
2024-03-17,76
2024-03-24,65
2024-03-31,70
2024-04-07,67
2024-04-14,67
2024-04-21,68
2024-04-28,69
2024-05-05,70
2024-05-12,71
2024-05-19,77
2024-05-26,75
2024-06-02,76
2024-06-09,84
2024-06-16,88
2024-06-23,85
2024-06-30,86
2024-07-07,95
2024-07-14,91
2024-07-21,98
2024-07-28,93
2024-08-04,90
2024-08-11,89
2024-08-18,85
2024-08-25,90
2024-09-01,83
2024-09-08,83
2024-09-15,79
2024-09-22,81
2024-09-29,75
2024-10-06,73
2024-10-13,77
2024-10-20,83
2024-10-27,66
2024-11-03,73
2024-11-10,74
2024-11-17,77
2024-11-24,79
2024-12-01,78
2024-12-08,78
2024-12-15,75
2024-12-22,83
2024-12-29,78
2025-01-05,73
2025-01-12,68
2025-01-19,74
2025-01-26,79
2025-02-02,71
2025-02-09,71
2025-02-16,68
2025-02-23,64
2025-03-02,70
2025-03-09,62
2025-03-16,72
2025-03-23,67
2025-03-30,65
2025-04-06,66
2025-04-13,68
2025-04-20,69
2025-04-27,61
2025-05-04,61
2025-05-11,68
2025-05-18,72
2025-05-25,74
2025-06-01,72
2025-06-08,74
2025-06-15,77
2025-06-22,82
2025-06-29,86
2025-07-06,80
2025-07-13,83
2025-07-20,84
2025-07-27,87
2025-08-03,84
2025-08-10,75
2025-08-17,84
2025-08-24,76
2025-08-31,79
2025-09-07,78
2025-09-14,81
2025-09-21,72
2025-09-28,63
2025-10-05,76
2025-10-12,71
2025-10-19,55
2025-10-26,70
2025-11-02,70
2025-11-09,71
2025-11-16,70
2025-11-23,68
2025-11-30,69
2025-12-07,70
2025-12-14,72
2025-12-21,73
2025-12-28,73
2026-01-04,76
