,Printing & Publishing
2014-12-28,60
2015-01-04,0
2015-01-11,78
2015-01-18,46
2015-01-25,0
2015-02-01,0
2015-02-08,58
2015-02-15,46
2015-02-22,60
2015-03-01,0
2015-03-08,59
2015-03-15,94
2015-03-22,0
2015-03-29,61
2015-04-05,0
2015-04-12,0
2015-04-19,0
2015-04-26,0
2015-05-03,55
2015-05-10,63
2015-05-17,0
2015-05-24,0
2015-05-31,53
2015-06-07,0
2015-06-14,0
2015-06-21,0
2015-06-28,66
2015-07-05,0
2015-07-12,0
2015-07-19,47
2015-07-26,0
2015-08-02,0
2015-08-09,49
2015-08-16,55
2015-08-23,42
2015-08-30,51
2015-09-06,0
2015-09-13,42
2015-09-20,0
2015-09-27,0
2015-10-04,39
2015-10-11,46
2015-10-18,61
2015-10-25,43
2015-11-01,38
2015-11-08,66
2015-11-15,51
2015-11-22,0
2015-11-29,40
2015-12-06,50
2015-12-13,52
2015-12-20,0
2015-12-27,77
2016-01-03,46
2016-01-10,40
2016-01-17,65
2016-01-24,51
2016-01-31,45
2016-02-07,0
2016-02-14,40
2016-02-21,0
2016-02-28,45
2016-03-06,39
2016-03-13,0
2016-03-20,45
2016-03-27,75
2016-04-03,53
2016-04-10,53
2016-04-17,49
2016-04-24,64
2016-05-01,0
2016-05-08,61
2016-05-15,41
2016-05-22,49
2016-05-29,52
2016-06-05,40
2016-06-12,0
2016-06-19,39
2016-06-26,45
2016-07-03,61
2016-07-10,66
2016-07-17,42
2016-07-24,0
2016-07-31,51
2016-08-07,57
2016-08-14,56
2016-08-21,0
2016-08-28,0
2016-09-04,53
2016-09-11,40
2016-09-18,0
2016-09-25,0
2016-10-02,0
2016-10-09,0
2016-10-16,0
2016-10-23,0
2016-10-30,0
2016-11-06,0
2016-11-13,0
2016-11-20,0
2016-11-27,0
2016-12-04,39
2016-12-11,0
2016-12-18,0
2016-12-25,0
2017-01-01,0
2017-01-08,0
2017-01-15,0
2017-01-22,0
2017-01-29,38
2017-02-05,45
2017-02-12,62
2017-02-19,61
2017-02-26,52
2017-03-05,0
2017-03-12,48
2017-03-19,67
2017-03-26,80
2017-04-02,55
2017-04-09,44
2017-04-16,44
2017-04-23,43
2017-04-30,46
2017-05-07,51
2017-05-14,38
2017-05-21,0
2017-05-28,0
2017-06-04,0
2017-06-11,0
2017-06-18,39
2017-06-25,38
2017-07-02,0
2017-07-09,0
2017-07-16,49
2017-07-23,47
2017-07-30,72
2017-08-06,72
2017-08-13,43
2017-08-20,61
2017-08-27,0
2017-09-03,0
2017-09-10,44
2017-09-17,50
2017-09-24,51
2017-10-01,38
2017-10-08,74
2017-10-15,0
2017-10-22,49
2017-10-29,52
2017-11-05,49
2017-11-12,55
2017-11-19,50
2017-11-26,58
2017-12-03,54
2017-12-10,48
2017-12-17,58
2017-12-24,57
2017-12-31,82
2018-01-07,66
2018-01-14,70
2018-01-21,56
2018-01-28,60
2018-02-04,53
2018-02-11,58
2018-02-18,51
2018-02-25,56
2018-03-04,38
2018-03-11,45
2018-03-18,41
2018-03-25,65
2018-04-01,39
2018-04-08,50
2018-04-15,45
2018-04-22,54
2018-04-29,60
2018-05-06,33
2018-05-13,0
2018-05-20,42
2018-05-27,0
2018-06-03,49
2018-06-10,0
2018-06-17,60
2018-06-24,62
2018-07-01,100
2018-07-08,73
2018-07-15,79
2018-07-22,58
2018-07-29,40
2018-08-05,64
2018-08-12,59
2018-08-19,35
2018-08-26,63
2018-09-02,50
2018-09-09,58
2018-09-16,44
2018-09-23,60
2018-09-30,35
2018-10-07,58
2018-10-14,94
2018-10-21,40
2018-10-28,63
2018-11-04,59
2018-11-11,40
2018-11-18,59
2018-11-25,40
2018-12-02,63
2018-12-09,52
2018-12-16,59
2018-12-23,67
2018-12-30,72
2019-01-06,71
2019-01-13,63
2019-01-20,70
2019-01-27,66
2019-02-03,89
2019-02-10,72
2019-02-17,73
2019-02-24,62
2019-03-03,62
2019-03-10,68
2019-03-17,60
2019-03-24,62
2019-03-31,0
2019-04-07,43
2019-04-14,48
2019-04-21,50
2019-04-28,37
2019-05-05,0
2019-05-12,35
2019-05-19,43
2019-05-26,0
2019-06-02,42
2019-06-09,50
2019-06-16,55
2019-06-23,36
2019-06-30,67
2019-07-07,65
2019-07-14,54
2019-07-21,46
2019-07-28,38
2019-08-04,0
2019-08-11,44
2019-08-18,59
2019-08-25,79
2019-09-01,72
2019-09-08,53
2019-09-15,42
2019-09-22,57
2019-09-29,60
2019-10-06,47
2019-10-13,55
2019-10-20,57
2019-10-27,72
2019-11-03,32
2019-11-10,62
2019-11-17,31
2019-11-24,41
2019-12-01,60
2019-12-08,70
2019-12-15,84
2019-12-22,59
2019-12-29,86
2020-01-05,91
