,Recruitment
2023-01-01,72
2023-01-08,66
2023-01-15,74
2023-01-22,89
2023-01-29,77
2023-02-05,77
2023-02-12,73
2023-02-19,82
2023-02-26,64
2023-03-05,77
2023-03-12,73
2023-03-19,78
2023-03-26,83
2023-04-02,70
2023-04-09,60
2023-04-16,68
2023-04-23,69
2023-04-30,70
2023-05-07,75
2023-05-14,94
2023-05-21,89
2023-05-28,81
2023-06-04,86
2023-06-11,92
2023-06-18,86
2023-06-25,78
2023-07-02,79
2023-07-09,71
2023-07-16,81
2023-07-23,74
2023-07-30,80
2023-08-06,76
2023-08-13,79
2023-08-20,72
2023-08-27,80
2023-09-03,74
2023-09-10,75
2023-09-17,90
2023-09-24,70
2023-10-01,70
2023-10-08,83
2023-10-15,83
2023-10-22,77
2023-10-29,75
2023-11-05,71
2023-11-12,100
2023-11-19,87
2023-11-26,84
2023-12-03,81
2023-12-10,73
2023-12-17,72
2023-12-24,62
2023-12-31,61
2024-01-07,80
2024-01-14,76
2024-01-21,69
2024-01-28,63
2024-02-04,80
2024-02-11,60
2024-02-18,56
2024-02-25,64
2024-03-03,77
2024-03-10,85
2024-03-17,68
2024-03-24,71
2024-03-31,64
2024-04-07,48
2024-04-14,59
2024-04-21,59
2024-04-28,76
2024-05-05,83
2024-05-12,74
2024-05-19,60
2024-05-26,59
2024-06-02,65
2024-06-09,63
2024-06-16,63
2024-06-23,55
2024-06-30,69
2024-07-07,64
2024-07-14,63
2024-07-21,65
2024-07-28,68
2024-08-04,57
2024-08-11,62
2024-08-18,58
2024-08-25,53
2024-09-01,54
2024-09-08,56
2024-09-15,39
2024-09-22,50
2024-09-29,64
2024-10-06,43
2024-10-13,48
2024-10-20,60
2024-10-27,72
2024-11-03,70
2024-11-10,39
2024-11-17,60
2024-11-24,63
2024-12-01,66
2024-12-08,58
2024-12-15,63
2024-12-22,51
2024-12-29,49
2025-01-05,51
2025-01-12,84
2025-01-19,74
2025-01-26,69
2025-02-02,64
2025-02-09,63
2025-02-16,69
2025-02-23,67
2025-03-02,72
2025-03-09,67
2025-03-16,62
2025-03-23,56
2025-03-30,51
2025-04-06,52
2025-04-13,47
2025-04-20,65
2025-04-27,60
2025-05-04,78
2025-05-11,74
2025-05-18,57
2025-05-25,66
2025-06-01,73
2025-06-08,59
2025-06-15,79
2025-06-22,67
2025-06-29,70
2025-07-06,61
2025-07-13,87
2025-07-20,65
2025-07-27,74
2025-08-03,82
2025-08-10,77
2025-08-17,58
2025-08-24,57
2025-08-31,53
2025-09-07,43
2025-09-14,58
2025-09-21,55
2025-09-28,59
2025-10-05,58
2025-10-12,60
2025-10-19,60
2025-10-26,59
2025-11-02,83
2025-11-09,88
2025-11-16,97
2025-11-23,81
2025-11-30,81
2025-12-07,89
2025-12-14,81
2025-12-21,66
2025-12-28,66
