,Civil Engineering
2019-05-05,61.0
2019-05-12,62.0
2019-05-19,57.0
2019-05-26,60.0
2019-06-02,54.0
2019-06-09,60.0
2019-06-16,63.0
2019-06-23,59.0
2019-06-30,54.0
2019-07-07,57.0
2019-07-14,64.0
2019-07-21,66.0
2019-07-28,65.0
2019-08-04,73.0
2019-08-11,60.0
2019-08-18,72.0
2019-08-25,71.0
2019-09-01,64.0
2019-09-08,76.0
2019-09-15,69.0
2019-09-22,71.0
2019-09-29,60.0
2019-10-06,53.0
2019-10-13,67.0
2019-10-20,56.0
2019-10-27,50.0
2019-11-03,69.0
2019-11-10,71.0
2019-11-17,76.0
2019-11-24,74.0
2019-12-01,69.0
2019-12-08,64.0
2019-12-15,63.0
2019-12-22,56.0
2019-12-29,55.0
2020-01-05,60.917192721871515
2020-01-12,59.69884886743409
2020-01-19,62.135536576308944
2020-01-26,58.48050501299666
2020-02-02,62.135536576308944
2020-02-09,60.917192721871515
2020-02-16,59.69884886743409
2020-02-23,63.35388043074638
2020-03-01,57.26216115855922
2020-03-08,47.51541032305978
2020-03-15,38.98700334199777
2020-03-22,25.585220943186037
2020-03-29,31.67694021537319
2020-04-05,37.76865948756034
2020-04-12,35.33197177868548
2020-04-19,38.98700334199777
2020-04-26,38.98700334199777
2020-05-03,35.33197177868548
2020-05-10,40.2053471964352
2020-05-17,42.64203490531006
2020-05-24,41.423691050872634
2020-05-31,43.86037875974749
2020-06-07,47.51541032305978
2020-06-14,40.2053471964352
2020-06-21,43.86037875974749
2020-06-28,43.86037875974749
2020-07-05,45.07872261418492
2020-07-12,52.3887857408095
2020-07-19,63.35388043074638
2020-07-26,51.170441886372075
2020-08-02,54.82547344968437
2020-08-09,48.73375417749721
2020-08-16,59.69884886743409
2020-08-23,60.917192721871515
2020-08-30,59.69884886743409
2020-09-06,62.135536576308944
2020-09-13,59.69884886743409
2020-09-20,63.35388043074638
2020-09-27,63.35388043074638
2020-10-04,67.00891199405866
2020-10-11,67.00891199405866
2020-10-18,58.48050501299666
2020-10-25,54.82547344968437
2020-11-01,56.043817304121795
2020-11-08,45.07872261418492
2020-11-15,52.3887857408095
2020-11-22,60.917192721871515
2020-11-29,62.135536576308944
2020-12-06,57.26216115855922
2020-12-13,65.79056813962124
2020-12-20,65.79056813962124
2020-12-27,56.043817304121795
2021-01-03,62.135536576308944
2021-01-10,56.043817304121795
2021-01-17,63.35388043074638
2021-01-24,65.79056813962124
2021-01-31,64.57222428518381
2021-02-07,73.10063126624581
2021-02-14,67.00891199405866
2021-02-21,75.53731897512068
2021-02-28,69.44559970293354
2021-03-07,65.79056813962124
2021-03-14,74.31897512068325
2021-03-21,67.00891199405866
2021-03-28,63.35388043074638
2021-04-04,71.88228741180839
2021-04-11,54.82547344968437
2021-04-18,52.3887857408095
2021-04-25,48.73375417749721
2021-05-02,51.170441886372075
2021-05-09,46.297066468622354
2021-05-16,51.170441886372075
2021-05-23,52.3887857408095
2021-05-30,54.82547344968437
2021-06-06,57.26216115855922
2021-06-13,62.135536576308944
2021-06-20,60.917192721871515
2021-06-27,62.135536576308944
2021-07-04,64.57222428518381
2021-07-11,69.44559970293354
2021-07-18,74.31897512068325
2021-07-25,76.7556628295581
2021-08-01,73.10063126624581
2021-08-08,70.66394355737096
2021-08-15,64.57222428518381
2021-08-22,60.917192721871515
2021-08-29,59.69884886743409
2021-09-05,59.69884886743409
2021-09-12,60.917192721871515
2021-09-19,59.69884886743409
2021-09-26,62.135536576308944
2021-10-03,57.26216115855922
2021-10-10,42.64203490531006
2021-10-17,51.170441886372075
2021-10-24,53.60712959524693
2021-10-31,36.550315633122906
2021-11-07,51.170441886372075
2021-11-14,57.26216115855922
2021-11-21,57.26216115855922
2021-11-28,57.26216115855922
2021-12-05,60.917192721871515
2021-12-12,58.48050501299666
2021-12-19,60.917192721871515
2021-12-26,58.48050501299666
2022-01-02,68.2272558484961
2022-01-09,62.135536576308944
2022-01-16,62.135536576308944
2022-01-23,68.2272558484961
2022-01-30,73.10063126624581
2022-02-06,74.31897512068325
2022-02-13,82.84738210174527
2022-02-20,82.84738210174527
2022-02-27,81.62903824730783
2022-03-06,84.06572595618269
2022-03-13,68.2272558484961
2022-03-20,76.7556628295581
2022-03-27,79.19235053843298
2022-04-03,75.53731897512068
2022-04-10,65.79056813962124
2022-04-17,73.10063126624581
2022-04-24,79.19235053843298
2022-05-01,75.53731897512068
2022-05-08,80.4106943928704
2022-05-15,75.53731897512068
2022-05-22,77.97400668399554
2022-05-29,79.19235053843298
2022-06-05,73.10063126624581
2022-06-12,77.97400668399554
2022-06-19,82.84738210174527
2022-06-26,82.84738210174527
2022-07-03,80.4106943928704
2022-07-10,79.19235053843298
2022-07-17,79.19235053843298
2022-07-24,76.7556628295581
2022-07-31,74.31897512068325
2022-08-07,67.00891199405866
2022-08-14,75.53731897512068
2022-08-21,85.28406981062012
2022-08-28,74.31897512068325
2022-09-04,71.88228741180839
2022-09-11,82.84738210174527
2022-09-18,80.4106943928704
2022-09-25,74.31897512068325
2022-10-02,58.48050501299666
2022-10-09,74.31897512068325
2022-10-16,70.66394355737096
2022-10-23,56.043817304121795
2022-10-30,110.86929075380615
2022-11-06,74.31897512068325
2022-11-13,80.4106943928704
2022-11-20,77.97400668399554
2022-11-27,75.53731897512068
2022-12-04,75.53731897512068
2022-12-11,79.19235053843298
2022-12-18,82.84738210174527
2022-12-25,86.50241366505755
2023-01-01,77.97400668399554
2023-01-08,79.19235053843298
2023-01-15,76.7556628295581
2023-01-22,80.4106943928704
2023-01-29,77.97400668399554
2023-02-05,77.97400668399554
2023-02-12,73.10063126624581
2023-02-19,80.4106943928704
2023-02-26,76.7556628295581
2023-03-05,67.00891199405866
2023-03-12,77.97400668399554
2023-03-19,71.88228741180839
2023-03-26,76.7556628295581
2023-04-02,75.53731897512068
2023-04-09,74.31897512068325
2023-04-16,71.88228741180839
2023-04-23,75.53731897512068
2023-04-30,70.66394355737096
2023-05-07,69.44559970293354
2023-05-14,74.31897512068325
2023-05-21,74.31897512068325
2023-05-28,73.10063126624581
2023-06-04,79.19235053843298
2023-06-11,74.31897512068325
2023-06-18,77.97400668399554
2023-06-25,73.10063126624581
2023-07-02,77.97400668399554
2023-07-09,80.4106943928704
2023-07-16,76.7556628295581
2023-07-23,70.66394355737096
2023-07-30,71.88228741180839
2023-08-06,71.88228741180839
2023-08-13,68.2272558484961
2023-08-20,70.66394355737096
2023-08-27,65.79056813962124
2023-09-03,65.79056813962124
2023-09-10,70.66394355737096
2023-09-17,62.135536576308944
2023-09-24,71.88228741180839
2023-10-01,71.88228741180839
2023-10-08,71.88228741180839
2023-10-15,65.79056813962124
2023-10-22,57.26216115855922
2023-10-29,71.88228741180839
2023-11-05,65.79056813962124
2023-11-12,73.10063126624581
2023-11-19,121.83438544374303
2023-11-26,91.37578908280727
2023-12-03,75.53731897512068
2023-12-10,80.4106943928704
2023-12-17,77.97400668399554
2023-12-24,74.31897512068325
2023-12-31,74.31897512068325
2024-01-07,82.84738210174527
2024-01-14,79.19235053843298
2024-01-21,67.00891199405866
2024-01-28,73.10063126624581
2024-02-04,75.53731897512068
2024-02-11,70.66394355737096
2024-02-18,79.19235053843298
2024-02-25,75.53731897512068
2024-03-03,68.2272558484961
2024-03-10,70.66394355737096
2024-03-17,69.44559970293354
2024-03-24,67.00891199405866
2024-03-31,70.66394355737096
2024-04-07,65.79056813962124
2024-04-14,62.135536576308944
2024-04-21,64.57222428518381
2024-04-28,67.00891199405866
2024-05-05,67.00891199405866
2024-05-12,65.79056813962124
2024-05-19,64.57222428518381
2024-05-26,64.57222428518381
2024-06-02,59.69884886743409
2024-06-09,62.135536576308944
2024-06-16,73.10063126624581
2024-06-23,67.00891199405866
2024-06-30,68.2272558484961
2024-07-07,64.57222428518381
2024-07-14,64.57222428518381
2024-07-21,69.44559970293354
2024-07-28,71.88228741180839
2024-08-04,68.2272558484961
2024-08-11,63.35388043074638
2024-08-18,64.57222428518381
2024-08-25,64.57222428518381
2024-09-01,60.917192721871515
2024-09-08,62.135536576308944
2024-09-15,62.135536576308944
2024-09-22,63.35388043074638
2024-09-29,60.917192721871515
2024-10-06,52.3887857408095
2024-10-13,60.917192721871515
2024-10-20,64.57222428518381
2024-10-27,48.73375417749721
2024-11-03,57.26216115855922
2024-11-10,65.79056813962124
2024-11-17,64.57222428518381
2024-11-24,65.79056813962124
2024-12-01,63.35388043074638
2024-12-08,65.79056813962124
2024-12-15,64.57222428518381
2024-12-22,65.79056813962124
2024-12-29,62.135536576308944
2025-01-05,69.44559970293354
2025-01-12,57.26216115855922
2025-01-19,65.79056813962124
2025-01-26,68.2272558484961
2025-02-02,64.57222428518381
2025-02-09,64.57222428518381
2025-02-16,65.79056813962124
2025-02-23,64.57222428518381
2025-03-02,64.57222428518381
2025-03-09,56.043817304121795
2025-03-16,64.57222428518381
2025-03-23,59.69884886743409
2025-03-30,62.135536576308944
2025-04-06,67.00891199405866
2025-04-13,58.48050501299666
2025-04-20,64.57222428518381
2025-04-27,64.57222428518381
2025-05-04,60.917192721871515
2025-05-11,58.48050501299666
2025-05-18,65.79056813962124
2025-05-25,60.917192721871515
2025-06-01,85.28406981062012
2025-06-08,96.249164500557
2025-06-15,67.00891199405866
2025-06-22,63.35388043074638
2025-06-29,60.917192721871515
2025-07-06,65.79056813962124
2025-07-13,65.79056813962124
2025-07-20,65.79056813962124
2025-07-27,64.57222428518381
2025-08-03,62.135536576308944
2025-08-10,62.135536576308944
2025-08-17,67.00891199405866
2025-08-24,60.917192721871515
2025-08-31,59.69884886743409
2025-09-07,59.69884886743409
2025-09-14,60.917192721871515
2025-09-21,59.69884886743409
2025-09-28,51.170441886372075
2025-10-05,58.48050501299666
2025-10-12,56.043817304121795
2025-10-19,38.98700334199777
2025-10-26,60.917192721871515
2025-11-02,62.135536576308944
2025-11-09,64.57222428518381
2025-11-16,64.57222428518381
2025-11-23,65.79056813962124
2025-11-30,64.57222428518381
2025-12-07,63.35388043074638
2025-12-14,68.2272558484961
2025-12-21,63.35388043074638
2025-12-28,58.48050501299666
2026-01-04,60.917192721871515
