,Food & Drink
2014-12-28,42.0
2015-01-04,36.0
2015-01-11,36.0
2015-01-18,35.0
2015-01-25,35.0
2015-02-01,39.0
2015-02-08,42.0
2015-02-15,39.0
2015-02-22,38.0
2015-03-01,40.0
2015-03-08,41.0
2015-03-15,39.0
2015-03-22,39.0
2015-03-29,39.0
2015-04-05,39.0
2015-04-12,40.0
2015-04-19,39.0
2015-04-26,38.0
2015-05-03,38.0
2015-05-10,38.0
2015-05-17,42.0
2015-05-24,41.0
2015-05-31,42.0
2015-06-07,42.0
2015-06-14,40.0
2015-06-21,47.0
2015-06-28,54.0
2015-07-05,54.0
2015-07-12,54.0
2015-07-19,55.0
2015-07-26,54.0
2015-08-02,53.0
2015-08-09,51.0
2015-08-16,53.0
2015-08-23,48.0
2015-08-30,49.0
2015-09-06,52.0
2015-09-13,49.0
2015-09-20,48.0
2015-09-27,52.0
2015-10-04,49.0
2015-10-11,48.0
2015-10-18,45.0
2015-10-25,48.0
2015-11-01,48.0
2015-11-08,47.0
2015-11-15,45.0
2015-11-22,45.0
2015-11-29,44.0
2015-12-06,47.0
2015-12-13,48.0
2015-12-20,53.0
2015-12-27,49.0
2016-01-03,43.0
2016-01-10,41.0
2016-01-17,44.0
2016-01-24,44.0
2016-01-31,43.0
2016-02-07,52.0
2016-02-14,46.0
2016-02-21,44.0
2016-02-28,42.0
2016-03-06,44.0
2016-03-13,47.0
2016-03-20,46.0
2016-03-27,44.0
2016-04-03,45.0
2016-04-10,44.0
2016-04-17,45.0
2016-04-24,45.0
2016-05-01,48.0
2016-05-08,46.0
2016-05-15,48.0
2016-05-22,50.0
2016-05-29,50.0
2016-06-05,51.0
2016-06-12,51.0
2016-06-19,55.0
2016-06-26,55.0
2016-07-03,56.0
2016-07-10,53.0
2016-07-17,56.0
2016-07-24,57.0
2016-07-31,55.0
2016-08-07,53.0
2016-08-14,51.0
2016-08-21,55.0
2016-08-28,54.0
2016-09-04,53.0
2016-09-11,54.0
2016-09-18,57.0
2016-09-25,52.0
2016-10-02,53.0
2016-10-09,54.0
2016-10-16,53.0
2016-10-23,54.0
2016-10-30,56.0
2016-11-06,54.0
2016-11-13,53.0
2016-11-20,55.0
2016-11-27,57.0
2016-12-04,57.0
2016-12-11,59.0
2016-12-18,65.0
2016-12-25,68.0
2017-01-01,63.0
2017-01-08,55.0
2017-01-15,58.0
2017-01-22,56.0
2017-01-29,57.0
2017-02-05,62.0
2017-02-12,59.0
2017-02-19,57.0
2017-02-26,59.0
2017-03-05,58.0
2017-03-12,56.0
2017-03-19,59.0
2017-03-26,59.0
2017-04-02,57.0
2017-04-09,64.0
2017-04-16,60.0
2017-04-23,57.0
2017-04-30,58.0
2017-05-07,57.0
2017-05-14,58.0
2017-05-21,63.0
2017-05-28,61.0
2017-06-04,61.0
2017-06-11,66.0
2017-06-18,69.0
2017-06-25,64.0
2017-07-02,69.0
2017-07-09,70.0
2017-07-16,70.0
2017-07-23,71.0
2017-07-30,68.0
2017-08-06,67.0
2017-08-13,74.0
2017-08-20,70.0
2017-08-27,64.0
2017-09-03,64.0
2017-09-10,62.0
2017-09-17,63.0
2017-09-24,59.0
2017-10-01,60.0
2017-10-08,65.0
2017-10-15,61.0
2017-10-22,63.0
2017-10-29,67.0
2017-11-05,63.0
2017-11-12,66.0
2017-11-19,68.0
2017-11-26,66.0
2017-12-03,63.0
2017-12-10,66.0
2017-12-17,71.0
2017-12-24,78.0
2017-12-31,73.0
2018-01-07,68.0
2018-01-14,65.0
2018-01-21,63.0
2018-01-28,68.0
2018-02-04,75.0
2018-02-11,67.0
2018-02-18,68.0
2018-02-25,65.0
2018-03-04,66.0
2018-03-11,69.0
2018-03-18,74.0
2018-03-25,77.0
2018-04-01,70.0
2018-04-08,69.0
2018-04-15,68.0
2018-04-22,70.0
2018-04-29,71.0
2018-05-06,71.0
2018-05-13,71.0
2018-05-20,79.0
2018-05-27,80.0
2018-06-03,76.0
2018-06-10,77.0
2018-06-17,77.0
2018-06-24,79.0
2018-07-01,80.0
2018-07-08,83.0
2018-07-15,80.0
2018-07-22,82.0
2018-07-29,88.0
2018-08-05,86.0
2018-08-12,86.0
2018-08-19,83.0
2018-08-26,87.0
2018-09-02,88.0
2018-09-09,83.0
2018-09-16,85.0
2018-09-23,87.0
2018-09-30,89.0
2018-10-07,89.0
2018-10-14,85.0
2018-10-21,92.0
2018-10-28,95.0
2018-11-04,79.0
2018-11-11,86.0
2018-11-18,89.0
2018-11-25,88.0
2018-12-02,90.0
2018-12-09,88.0
2018-12-16,91.0
2018-12-23,100.0
2018-12-30,94.0
2019-01-06,85.0
2019-01-13,81.0
2019-01-20,83.0
2019-01-27,81.0
2019-02-03,87.0
2019-02-10,83.0
2019-02-17,82.0
2019-02-24,76.0
2019-03-03,81.0
2019-03-10,79.0
2019-03-17,85.0
2019-03-24,78.0
2019-03-31,80.0
2019-04-07,77.0
2019-04-14,76.0
2019-04-21,80.0
2019-04-28,80.0
2019-05-05,79.0
2019-05-12,80.0
2019-05-19,80.0
2019-05-26,81.0
2019-06-02,85.0
2019-06-09,81.0
2019-06-16,85.0
2019-06-23,88.0
2019-06-30,83.0
2019-07-07,83.0
2019-07-14,85.0
2019-07-21,91.0
2019-07-28,88.0
2019-08-04,84.0
2019-08-11,82.0
2019-08-18,86.0
2019-08-25,85.0
2019-09-01,82.0
2019-09-08,87.0
2019-09-15,83.0
2019-09-22,74.0
2019-09-29,77.0
2019-10-06,78.0
2019-10-13,77.0
2019-10-20,80.0
2019-10-27,76.0
2019-11-03,81.0
2019-11-10,82.0
2019-11-17,83.0
2019-11-24,76.0
2019-12-01,78.0
2019-12-08,76.0
2019-12-15,77.0
2019-12-22,92.0
2019-12-29,91.0
2020-01-05,81.97160460755424
2020-01-12,76.27913206536297
2020-01-19,76.27913206536297
2020-01-26,76.27913206536297
2020-02-02,75.14063755692473
2020-02-09,75.14063755692473
2020-02-16,76.27913206536297
2020-02-23,71.72515403160996
2020-03-01,74.00214304848647
2020-03-08,72.86364854004822
2020-03-15,78.55612108223949
2020-03-22,91.07956067506026
2020-03-29,99.04902223412805
2020-04-05,104.74149477631931
2020-04-12,101.32601125100456
2020-04-19,91.07956067506026
2020-04-26,99.04902223412805
2020-05-03,96.77203321725153
2020-05-10,95.63353870881329
2020-05-17,93.35654969193678
2020-05-24,89.94106616662202
2020-05-31,91.07956067506026
2020-06-07,84.24859362443075
2020-06-14,85.38708813286901
2020-06-21,89.94106616662202
2020-06-28,88.80257165818377
2020-07-05,93.35654969193678
2020-07-12,92.21805518349852
2020-07-19,89.94106616662202
2020-07-26,91.07956067506026
2020-08-02,86.52558264130725
2020-08-09,91.07956067506026
2020-08-16,84.24859362443075
2020-08-23,83.1100991159925
2020-08-30,87.66407714974551
2020-09-06,87.66407714974551
2020-09-13,83.1100991159925
2020-09-20,83.1100991159925
2020-09-27,83.1100991159925
2020-10-04,88.80257165818377
2020-10-11,84.24859362443075
2020-10-18,85.38708813286901
2020-10-25,83.1100991159925
2020-11-01,79.69461559067774
2020-11-08,78.55612108223949
2020-11-15,80.83311009911598
2020-11-22,83.1100991159925
2020-11-29,87.66407714974551
2020-12-06,80.83311009911598
2020-12-13,85.38708813286901
2020-12-20,99.04902223412805
2020-12-27,100.1875167425663
2021-01-03,86.52558264130725
2021-01-10,83.1100991159925
2021-01-17,79.69461559067774
2021-01-24,79.69461559067774
2021-01-31,80.83311009911598
2021-02-07,86.52558264130725
2021-02-14,80.83311009911598
2021-02-21,79.69461559067774
2021-02-28,80.83311009911598
2021-03-07,76.27913206536297
2021-03-14,81.97160460755424
2021-03-21,84.24859362443075
2021-03-28,92.21805518349852
2021-04-04,84.24859362443075
2021-04-11,85.38708813286901
2021-04-18,86.52558264130725
2021-04-25,85.38708813286901
2021-05-02,86.52558264130725
2021-05-09,93.35654969193678
2021-05-16,96.77203321725153
2021-05-23,91.07956067506026
2021-05-30,94.49504420037503
2021-06-06,91.07956067506026
2021-06-13,93.35654969193678
2021-06-20,89.94106616662202
2021-06-27,88.80257165818377
2021-07-04,87.66407714974551
2021-07-11,88.80257165818377
2021-07-18,93.35654969193678
2021-07-25,87.66407714974551
2021-08-01,89.94106616662202
2021-08-08,85.38708813286901
2021-08-15,85.38708813286901
2021-08-22,84.24859362443075
2021-08-29,86.52558264130725
2021-09-05,81.97160460755424
2021-09-12,81.97160460755424
2021-09-19,80.83311009911598
2021-09-26,85.38708813286901
2021-10-03,75.14063755692473
2021-10-10,74.00214304848647
2021-10-17,80.83311009911598
2021-10-24,75.14063755692473
2021-10-31,72.86364854004822
2021-11-07,75.14063755692473
2021-11-14,76.27913206536297
2021-11-21,75.14063755692473
2021-11-28,77.41762657380123
2021-12-05,76.27913206536297
2021-12-12,75.14063755692473
2021-12-19,87.66407714974551
2021-12-26,94.49504420037503
2022-01-02,91.07956067506026
2022-01-09,84.24859362443075
2022-01-16,83.1100991159925
2022-01-23,86.52558264130725
2022-01-30,86.52558264130725
2022-02-06,92.21805518349852
2022-02-13,89.94106616662202
2022-02-20,94.49504420037503
2022-02-27,93.35654969193678
2022-03-06,83.1100991159925
2022-03-13,87.66407714974551
2022-03-20,89.94106616662202
2022-03-27,91.07956067506026
2022-04-03,89.94106616662202
2022-04-10,96.77203321725153
2022-04-17,91.07956067506026
2022-04-24,93.35654969193678
2022-05-01,89.94106616662202
2022-05-08,93.35654969193678
2022-05-15,94.49504420037503
2022-05-22,95.63353870881329
2022-05-29,96.77203321725153
2022-06-05,92.21805518349852
2022-06-12,95.63353870881329
2022-06-19,96.77203321725153
2022-06-26,99.04902223412805
2022-07-03,101.32601125100456
2022-07-10,102.4645057594428
2022-07-17,102.4645057594428
2022-07-24,97.91052772568979
2022-07-31,97.91052772568979
2022-08-07,97.91052772568979
2022-08-14,99.04902223412805
2022-08-21,96.77203321725153
2022-08-28,96.77203321725153
2022-09-04,88.80257165818377
2022-09-11,101.32601125100456
2022-09-18,99.04902223412805
2022-09-25,95.63353870881329
