,Fast Food
2014-12-28,54.0
2015-01-04,40.0
2015-01-11,40.0
2015-01-18,35.0
2015-01-25,39.0
2015-02-01,38.0
2015-02-08,37.0
2015-02-15,37.0
2015-02-22,38.0
2015-03-01,43.0
2015-03-08,45.0
2015-03-15,39.0
2015-03-22,41.0
2015-03-29,46.0
2015-04-05,43.0
2015-04-12,49.0
2015-04-19,40.0
2015-04-26,42.0
2015-05-03,42.0
2015-05-10,51.0
2015-05-17,44.0
2015-05-24,44.0
2015-05-31,44.0
2015-06-07,47.0
2015-06-14,43.0
2015-06-21,52.0
2015-06-28,51.0
2015-07-05,49.0
2015-07-12,53.0
2015-07-19,58.0
2015-07-26,51.0
2015-08-02,53.0
2015-08-09,51.0
2015-08-16,54.0
2015-08-23,47.0
2015-08-30,44.0
2015-09-06,51.0
2015-09-13,47.0
2015-09-20,49.0
2015-09-27,47.0
2015-10-04,45.0
2015-10-11,42.0
2015-10-18,44.0
2015-10-25,45.0
2015-11-01,43.0
2015-11-08,50.0
2015-11-15,44.0
2015-11-22,45.0
2015-11-29,41.0
2015-12-06,45.0
2015-12-13,47.0
2015-12-20,51.0
2015-12-27,60.0
2016-01-03,44.0
2016-01-10,44.0
2016-01-17,45.0
2016-01-24,48.0
2016-01-31,45.0
2016-02-07,44.0
2016-02-14,45.0
2016-02-21,42.0
2016-02-28,43.0
2016-03-06,45.0
2016-03-13,43.0
2016-03-20,45.0
2016-03-27,44.0
2016-04-03,43.0
2016-04-10,43.0
2016-04-17,45.0
2016-04-24,47.0
2016-05-01,50.0
2016-05-08,52.0
2016-05-15,56.0
2016-05-22,54.0
2016-05-29,51.0
2016-06-05,53.0
2016-06-12,51.0
2016-06-19,54.0
2016-06-26,57.0
2016-07-03,62.0
2016-07-10,57.0
2016-07-17,61.0
2016-07-24,64.0
2016-07-31,61.0
2016-08-07,54.0
2016-08-14,56.0
2016-08-21,54.0
2016-08-28,55.0
2016-09-04,55.0
2016-09-11,58.0
2016-09-18,54.0
2016-09-25,52.0
2016-10-02,48.0
2016-10-09,54.0
2016-10-16,50.0
2016-10-23,49.0
2016-10-30,57.0
2016-11-06,52.0
2016-11-13,52.0
2016-11-20,54.0
2016-11-27,54.0
2016-12-04,59.0
2016-12-11,61.0
2016-12-18,64.0
2016-12-25,74.0
2017-01-01,59.0
2017-01-08,54.0
2017-01-15,56.0
2017-01-22,60.0
2017-01-29,52.0
2017-02-05,55.0
2017-02-12,58.0
2017-02-19,52.0
2017-02-26,53.0
2017-03-05,51.0
2017-03-12,55.0
2017-03-19,52.0
2017-03-26,52.0
2017-04-02,53.0
2017-04-09,60.0
2017-04-16,59.0
2017-04-23,57.0
2017-04-30,60.0
2017-05-07,62.0
2017-05-14,62.0
2017-05-21,63.0
2017-05-28,64.0
2017-06-04,66.0
2017-06-11,65.0
2017-06-18,67.0
2017-06-25,75.0
2017-07-02,70.0
2017-07-09,71.0
2017-07-16,71.0
2017-07-23,69.0
2017-07-30,68.0
2017-08-06,74.0
2017-08-13,77.0
2017-08-20,75.0
2017-08-27,75.0
2017-09-03,68.0
2017-09-10,65.0
2017-09-17,66.0
2017-09-24,66.0
2017-10-01,74.0
2017-10-08,68.0
2017-10-15,69.0
2017-10-22,71.0
2017-10-29,80.0
2017-11-05,68.0
2017-11-12,64.0
2017-11-19,61.0
2017-11-26,62.0
2017-12-03,66.0
2017-12-10,63.0
2017-12-17,67.0
2017-12-24,82.0
2017-12-31,83.0
2018-01-07,63.0
2018-01-14,63.0
2018-01-21,65.0
2018-01-28,62.0
2018-02-04,60.0
2018-02-11,64.0
2018-02-18,60.0
2018-02-25,64.0
2018-03-04,62.0
2018-03-11,65.0
2018-03-18,62.0
2018-03-25,70.0
2018-04-01,65.0
2018-04-08,73.0
2018-04-15,73.0
2018-04-22,69.0
2018-04-29,77.0
2018-05-06,74.0
2018-05-13,76.0
2018-05-20,72.0
2018-05-27,72.0
2018-06-03,70.0
2018-06-10,77.0
2018-06-17,71.0
2018-06-24,72.0
2018-07-01,72.0
2018-07-08,76.0
2018-07-15,71.0
2018-07-22,72.0
2018-07-29,69.0
2018-08-05,71.0
2018-08-12,81.0
2018-08-19,76.0
2018-08-26,76.0
2018-09-02,75.0
2018-09-09,76.0
2018-09-16,76.0
2018-09-23,83.0
2018-09-30,74.0
2018-10-07,76.0
2018-10-14,75.0
2018-10-21,79.0
2018-10-28,82.0
2018-11-04,79.0
2018-11-11,76.0
2018-11-18,81.0
2018-11-25,74.0
2018-12-02,74.0
2018-12-09,77.0
2018-12-16,80.0
2018-12-23,94.0
2018-12-30,100.0
2019-01-06,71.0
2019-01-13,65.0
2019-01-20,66.0
2019-01-27,65.0
2019-02-03,63.0
2019-02-10,68.0
2019-02-17,66.0
2019-02-24,63.0
2019-03-03,66.0
2019-03-10,65.0
2019-03-17,71.0
2019-03-24,63.0
2019-03-31,65.0
2019-04-07,65.0
2019-04-14,70.0
2019-04-21,63.0
2019-04-28,69.0
2019-05-05,68.0
2019-05-12,70.0
2019-05-19,72.0
2019-05-26,68.0
2019-06-02,77.0
2019-06-09,72.0
2019-06-16,75.0
2019-06-23,73.0
2019-06-30,71.0
2019-07-07,68.0
2019-07-14,73.0
2019-07-21,80.0
2019-07-28,87.0
2019-08-04,86.0
2019-08-11,89.0
2019-08-18,84.0
2019-08-25,84.0
2019-09-01,84.0
2019-09-08,83.0
2019-09-15,83.0
2019-09-22,91.0
2019-09-29,85.0
2019-10-06,86.0
2019-10-13,82.0
2019-10-20,66.0
2019-10-27,73.0
2019-11-03,67.0
2019-11-10,68.0
2019-11-17,69.0
2019-11-24,66.0
2019-12-01,65.0
2019-12-08,67.0
2019-12-15,65.0
2019-12-22,76.0
2019-12-29,85.0
2020-01-05,62.46546546546547
2020-01-12,60.572572572572575
2020-01-19,60.572572572572575
2020-01-26,60.572572572572575
2020-02-02,60.572572572572575
2020-02-09,62.46546546546547
2020-02-16,58.67967967967968
2020-02-23,60.572572572572575
2020-03-01,56.78678678678679
2020-03-08,60.572572572572575
2020-03-15,49.21521521521522
2020-03-22,37.85785785785786
2020-03-29,37.85785785785786
2020-04-05,45.42942942942943
2020-04-12,41.64364364364364
2020-04-19,34.072072072072075
2020-04-26,34.072072072072075
2020-05-03,35.96496496496496
2020-05-10,39.750750750750754
2020-05-17,45.42942942942943
2020-05-24,49.21521521521522
2020-05-31,49.21521521521522
2020-06-07,51.10810810810811
2020-06-14,45.42942942942943
2020-06-21,54.893893893893896
2020-06-28,54.893893893893896
2020-07-05,56.78678678678679
2020-07-12,66.25125125125125
2020-07-19,64.35835835835836
2020-07-26,66.25125125125125
2020-08-02,68.14414414414415
2020-08-09,71.92992992992993
2020-08-16,71.92992992992993
2020-08-23,70.03703703703704
2020-08-30,68.14414414414415
2020-09-06,73.82282282282283
2020-09-13,70.03703703703704
2020-09-20,68.14414414414415
2020-09-27,70.03703703703704
2020-10-04,68.14414414414415
2020-10-11,70.03703703703704
2020-10-18,70.03703703703704
2020-10-25,77.6086086086086
2020-11-01,68.14414414414415
2020-11-08,68.14414414414415
2020-11-15,75.71571571571572
2020-11-22,83.28728728728728
2020-11-29,100.32332332332332
2020-12-06,98.43043043043043
2020-12-13,98.43043043043043
2020-12-20,106.002002002002
2020-12-27,113.57357357357358
2021-01-03,102.21621621621622
2021-01-10,75.71571571571572
2021-01-17,70.03703703703704
2021-01-24,71.92992992992993
2021-01-31,68.14414414414415
2021-02-07,66.25125125125125
2021-02-14,68.14414414414415
2021-02-21,66.25125125125125
2021-02-28,64.35835835835836
2021-03-07,64.35835835835836
2021-03-14,66.25125125125125
2021-03-21,68.14414414414415
2021-03-28,71.92992992992993
2021-04-04,66.25125125125125
2021-04-11,60.572572572572575
2021-04-18,60.572572572572575
2021-04-25,56.78678678678679
2021-05-02,56.78678678678679
2021-05-09,68.14414414414415
2021-05-16,68.14414414414415
2021-05-23,66.25125125125125
2021-05-30,77.6086086086086
2021-06-06,75.71571571571572
2021-06-13,77.6086086086086
2021-06-20,71.92992992992993
2021-06-27,75.71571571571572
2021-07-04,71.92992992992993
