,Hotels & Accommodations
2020-05-24,39.104521868050405
2020-05-31,35.845811712379536
2020-06-07,39.104521868050405
2020-06-14,39.104521868050405
2020-06-21,45.621942179392136
2020-06-28,45.621942179392136
2020-07-05,48.880652335063004
2020-07-12,45.621942179392136
2020-07-19,45.621942179392136
2020-07-26,45.621942179392136
2020-08-02,45.621942179392136
2020-08-09,61.91549295774647
2020-08-16,48.880652335063004
2020-08-23,48.880652335063004
2020-08-30,52.13936249073387
2020-09-06,52.13936249073387
2020-09-13,58.65678280207561
2020-09-20,55.39807264640474
2020-09-27,61.91549295774647
2020-10-04,68.4329132690882
2020-10-11,58.65678280207561
2020-10-18,61.91549295774647
2020-10-25,65.17420311341735
2020-11-01,58.65678280207561
2020-11-08,52.13936249073387
2020-11-15,61.91549295774647
2020-11-22,61.91549295774647
2020-11-29,65.17420311341735
2020-12-06,68.4329132690882
2020-12-13,74.95033358042994
2020-12-20,81.46775389177168
2020-12-27,81.46775389177168
2021-01-03,74.95033358042994
2021-01-10,71.69162342475907
2021-01-17,74.95033358042994
2021-01-24,71.69162342475907
2021-01-31,71.69162342475907
2021-02-07,71.69162342475907
2021-02-14,74.95033358042994
2021-02-21,68.4329132690882
2021-02-28,68.4329132690882
2021-03-07,71.69162342475907
2021-03-14,68.4329132690882
2021-03-21,65.17420311341735
2021-03-28,65.17420311341735
2021-04-04,61.91549295774647
2021-04-11,55.39807264640474
2021-04-18,52.13936249073387
2021-04-25,52.13936249073387
2021-05-02,45.621942179392136
2021-05-09,45.621942179392136
2021-05-16,45.621942179392136
2021-05-23,42.363232023721274
2021-05-30,48.880652335063004
2021-06-06,48.880652335063004
2021-06-13,58.65678280207561
2021-06-20,58.65678280207561
2021-06-27,65.17420311341735
2021-07-04,68.4329132690882
2021-07-11,71.69162342475907
2021-07-18,78.20904373610081
2021-07-25,68.4329132690882
2021-08-01,71.69162342475907
2021-08-08,68.4329132690882
2021-08-15,71.69162342475907
2021-08-22,71.69162342475907
2021-08-29,74.95033358042994
2021-09-05,74.95033358042994
2021-09-12,91.24388435878427
2021-09-19,114.05485544848035
2021-09-26,127.08969607116381
2021-10-03,104.27872498146775
2021-10-10,94.50259451445514
2021-10-17,97.76130467012601
2021-10-24,97.76130467012601
2021-10-31,81.46775389177168
2021-11-07,84.72646404744255
2021-11-14,87.98517420311342
2021-11-21,91.24388435878427
2021-11-28,91.24388435878427
2021-12-05,97.76130467012601
2021-12-12,101.02001482579688
2021-12-19,149.90066716085988
2021-12-26,325.8710155670867
2022-01-02,192.26389918458116
2022-01-09,143.38324684951814
2022-01-16,101.02001482579688
2022-01-23,101.02001482579688
2022-01-30,97.76130467012601
2022-02-06,87.98517420311342
2022-02-13,101.02001482579688
2022-02-20,101.02001482579688
2022-02-27,91.24388435878427
2022-03-06,94.50259451445514
2022-03-13,94.50259451445514
2022-03-20,101.02001482579688
2022-03-27,94.50259451445514
2022-04-03,94.50259451445514
2022-04-10,101.02001482579688
2022-04-17,91.24388435878427
2022-04-24,97.76130467012601
2022-05-01,101.02001482579688
2022-05-08,101.02001482579688
2022-05-15,97.76130467012601
2022-05-22,97.76130467012601
2022-05-29,110.79614529280948
2022-06-05,104.27872498146775
2022-06-12,97.76130467012601
2022-06-19,101.02001482579688
2022-06-26,94.50259451445514
2022-07-03,94.50259451445514
2022-07-10,94.50259451445514
2022-07-17,97.76130467012601
2022-07-24,94.50259451445514
2022-07-31,94.50259451445514
2022-08-07,97.76130467012601
2022-08-14,94.50259451445514
2022-08-21,94.50259451445514
2022-08-28,87.98517420311342
2022-09-04,91.24388435878427
2022-09-11,107.53743513713862
2022-09-18,87.98517420311342
2022-09-25,94.50259451445514
2022-10-02,94.50259451445514
2022-10-09,91.24388435878427
2022-10-16,87.98517420311342
2022-10-23,87.98517420311342
2022-10-30,91.24388435878427
2022-11-06,91.24388435878427
2022-11-13,94.50259451445514
2022-11-20,87.98517420311342
2022-11-27,87.98517420311342
2022-12-04,87.98517420311342
2022-12-11,91.24388435878427
2022-12-18,101.02001482579688
2022-12-25,117.31356560415122
2023-01-01,101.02001482579688
2023-01-08,101.02001482579688
2023-01-15,91.24388435878427
2023-01-22,97.76130467012601
2023-01-29,87.98517420311342
2023-02-05,91.24388435878427
2023-02-12,87.98517420311342
2023-02-19,94.50259451445514
2023-02-26,91.24388435878427
2023-03-05,94.50259451445514
2023-03-12,84.72646404744255
2023-03-19,87.98517420311342
2023-03-26,91.24388435878427
2023-04-02,97.76130467012601
2023-04-09,91.24388435878427
2023-04-16,97.76130467012601
2023-04-23,97.76130467012601
2023-04-30,101.02001482579688
2023-05-07,91.24388435878427
2023-05-14,97.76130467012601
2023-05-21,94.50259451445514
2023-05-28,97.76130467012601
2023-06-04,101.02001482579688
2023-06-11,97.76130467012601
