,Alcoholic Beverages
2014-12-28,26.0
2015-01-04,19.0
2015-01-11,19.0
2015-01-18,18.0
2015-01-25,18.0
2015-02-01,20.0
2015-02-08,18.0
2015-02-15,20.0
2015-02-22,20.0
2015-03-01,20.0
2015-03-08,19.0
2015-03-15,19.0
2015-03-22,20.0
2015-03-29,21.0
2015-04-05,22.0
2015-04-12,22.0
2015-04-19,21.0
2015-04-26,20.0
2015-05-03,21.0
2015-05-10,22.0
2015-05-17,21.0
2015-05-24,22.0
2015-05-31,21.0
2015-06-07,22.0
2015-06-14,21.0
2015-06-21,25.0
2015-06-28,30.0
2015-07-05,29.0
2015-07-12,29.0
2015-07-19,29.0
2015-07-26,27.0
2015-08-02,28.0
2015-08-09,29.0
2015-08-16,28.0
2015-08-23,27.0
2015-08-30,28.0
2015-09-06,27.0
2015-09-13,26.0
2015-09-20,26.0
2015-09-27,27.0
2015-10-04,26.0
2015-10-11,25.0
2015-10-18,24.0
2015-10-25,25.0
2015-11-01,25.0
2015-11-08,22.0
2015-11-15,27.0
2015-11-22,28.0
2015-11-29,28.0
2015-12-06,27.0
2015-12-13,29.0
2015-12-20,34.0
2015-12-27,37.0
2016-01-03,26.0
2016-01-10,25.0
2016-01-17,24.0
2016-01-24,23.0
2016-01-31,25.0
2016-02-07,25.0
2016-02-14,24.0
2016-02-21,24.0
2016-02-28,23.0
2016-03-06,25.0
2016-03-13,26.0
2016-03-20,26.0
2016-03-27,25.0
2016-04-03,25.0
2016-04-10,25.0
2016-04-17,26.0
2016-04-24,25.0
2016-05-01,25.0
2016-05-08,24.0
2016-05-15,25.0
2016-05-22,26.0
2016-05-29,27.0
2016-06-05,26.0
2016-06-12,26.0
2016-06-19,28.0
2016-06-26,28.0
2016-07-03,29.0
2016-07-10,28.0
2016-07-17,28.0
2016-07-24,30.0
2016-07-31,29.0
2016-08-07,27.0
2016-08-14,27.0
2016-08-21,29.0
2016-08-28,30.0
2016-09-04,29.0
2016-09-11,30.0
2016-09-18,29.0
2016-09-25,29.0
2016-10-02,28.0
2016-10-09,31.0
2016-10-16,34.0
2016-10-23,30.0
2016-10-30,30.0
2016-11-06,30.0
2016-11-13,30.0
2016-11-20,31.0
2016-11-27,32.0
2016-12-04,35.0
2016-12-11,39.0
2016-12-18,40.0
2016-12-25,48.0
2017-01-01,39.0
2017-01-08,33.0
