,Financial Planning
2014-12-28,44.0
2015-01-04,47.0
2015-01-11,33.0
2015-01-18,39.0
2015-01-25,33.0
2015-02-01,43.0
2015-02-08,41.0
2015-02-15,40.0
2015-02-22,35.0
2015-03-01,37.0
2015-03-08,41.0
2015-03-15,37.0
2015-03-22,34.0
2015-03-29,41.0
2015-04-05,53.0
2015-04-12,42.0
2015-04-19,42.0
2015-04-26,39.0
2015-05-03,42.0
2015-05-10,48.0
2015-05-17,43.0
2015-05-24,40.0
2015-05-31,41.0
2015-06-07,42.0
2015-06-14,42.0
2015-06-21,50.0
2015-06-28,56.0
2015-07-05,63.0
2015-07-12,61.0
2015-07-19,68.0
2015-07-26,63.0
2015-08-02,69.0
2015-08-09,66.0
2015-08-16,64.0
2015-08-23,51.0
2015-08-30,48.0
2015-09-06,55.0
2015-09-13,50.0
2015-09-20,48.0
2015-09-27,46.0
2015-10-04,53.0
2015-10-11,52.0
2015-10-18,38.0
2015-10-25,47.0
2015-11-01,45.0
2015-11-08,29.0
2015-11-15,45.0
2015-11-22,41.0
2015-11-29,47.0
2015-12-06,49.0
2015-12-13,58.0
2015-12-20,48.0
2015-12-27,48.0
2016-01-03,45.0
2016-01-10,42.0
2016-01-17,40.0
2016-01-24,33.0
2016-01-31,41.0
2016-02-07,40.0
2016-02-14,40.0
2016-02-21,39.0
2016-02-28,51.0
2016-03-06,42.0
2016-03-13,42.0
2016-03-20,33.0
2016-03-27,38.0
2016-04-03,41.0
2016-04-10,44.0
2016-04-17,49.0
2016-04-24,43.0
2016-05-01,44.0
2016-05-08,47.0
2016-05-15,39.0
2016-05-22,40.0
2016-05-29,41.0
2016-06-05,41.0
2016-06-12,40.0
2016-06-19,42.0
2016-06-26,41.0
2016-07-03,39.0
2016-07-10,41.0
2016-07-17,40.0
2016-07-24,43.0
2016-07-31,47.0
2016-08-07,46.0
2016-08-14,36.0
2016-08-21,41.0
2016-08-28,39.0
2016-09-04,37.0
2016-09-11,37.0
2016-09-18,46.0
2016-09-25,47.0
2016-10-02,40.0
2016-10-09,33.0
2016-10-16,40.0
2016-10-23,32.0
2016-10-30,34.0
2016-11-06,36.0
2016-11-13,35.0
2016-11-20,33.0
2016-11-27,35.0
2016-12-04,36.0
2016-12-11,36.0
2016-12-18,56.0
2016-12-25,54.0
2017-01-01,52.0
2017-01-08,54.0
2017-01-15,55.0
2017-01-22,43.0
2017-01-29,46.0
2017-02-05,44.0
2017-02-12,46.0
2017-02-19,49.0
2017-02-26,47.0
2017-03-05,52.0
2017-03-12,57.0
2017-03-19,59.0
2017-03-26,50.0
2017-04-02,46.0
2017-04-09,53.0
2017-04-16,50.0
2017-04-23,45.0
2017-04-30,48.0
2017-05-07,47.0
2017-05-14,51.0
2017-05-21,50.0
2017-05-28,46.0
2017-06-04,47.0
2017-06-11,54.0
2017-06-18,49.0
2017-06-25,47.0
2017-07-02,51.0
2017-07-09,55.0
2017-07-16,55.0
2017-07-23,49.0
2017-07-30,53.0
2017-08-06,49.0
2017-08-13,46.0
2017-08-20,44.0
2017-08-27,50.0
2017-09-03,50.0
2017-09-10,52.0
2017-09-17,48.0
2017-09-24,46.0
2017-10-01,48.0
2017-10-08,51.0
2017-10-15,31.0
2017-10-22,46.0
2017-10-29,53.0
2017-11-05,50.0
2017-11-12,52.0
2017-11-19,48.0
2017-11-26,51.0
