,Carpooling & Ridesharing
2014-12-28,35.0
2015-01-04,39.0
2015-01-11,39.0
2015-01-18,38.0
2015-01-25,35.0
2015-02-01,41.0
2015-02-08,41.0
2015-02-15,40.0
2015-02-22,35.0
2015-03-01,34.0
2015-03-08,34.0
2015-03-15,36.0
2015-03-22,41.0
2015-03-29,44.0
2015-04-05,45.0
2015-04-12,41.0
2015-04-19,43.0
2015-04-26,39.0
2015-05-03,48.0
2015-05-10,40.0
2015-05-17,40.0
2015-05-24,47.0
2015-05-31,43.0
2015-06-07,35.0
2015-06-14,51.0
2015-06-21,48.0
2015-06-28,56.0
2015-07-05,50.0
2015-07-12,61.0
2015-07-19,55.0
2015-07-26,52.0
2015-08-02,62.0
2015-08-09,51.0
2015-08-16,56.0
2015-08-23,51.0
2015-08-30,53.0
2015-09-06,55.0
2015-09-13,52.0
2015-09-20,59.0
2015-09-27,50.0
2015-10-04,56.0
2015-10-11,50.0
2015-10-18,42.0
2015-10-25,50.0
2015-11-01,56.0
2015-11-08,35.0
2015-11-15,51.0
2015-11-22,45.0
2015-11-29,46.0
2015-12-06,57.0
2015-12-13,68.0
2015-12-20,58.0
2015-12-27,64.0
2016-01-03,64.0
2016-01-10,58.0
2016-01-17,61.0
2016-01-24,54.0
2016-01-31,52.0
2016-02-07,53.0
2016-02-14,54.0
2016-02-21,51.0
2016-02-28,55.0
2016-03-06,55.0
2016-03-13,48.0
2016-03-20,46.0
2016-03-27,54.0
2016-04-03,54.0
2016-04-10,52.0
2016-04-17,58.0
2016-04-24,51.0
2016-05-01,55.0
2016-05-08,54.0
2016-05-15,51.0
2016-05-22,54.0
2016-05-29,57.0
2016-06-05,58.0
2016-06-12,60.0
2016-06-19,57.0
2016-06-26,55.0
2016-07-03,54.0
2016-07-10,56.0
2016-07-17,58.0
2016-07-24,63.0
2016-07-31,59.0
2016-08-07,58.0
2016-08-14,44.0
2016-08-21,57.0
2016-08-28,55.0
2016-09-04,56.0
2016-09-11,50.0
2016-09-18,57.0
2016-09-25,49.0
2016-10-02,50.0
2016-10-09,44.0
2016-10-16,53.0
2016-10-23,48.0
2016-10-30,46.0
2016-11-06,49.0
2016-11-13,49.0
2016-11-20,54.0
2016-11-27,53.0
2016-12-04,56.0
2016-12-11,55.0
2016-12-18,60.0
2016-12-25,57.0
2017-01-01,52.0
2017-01-08,51.0
2017-01-15,56.0
2017-01-22,44.0
2017-01-29,55.0
2017-02-05,54.0
2017-02-12,52.0
2017-02-19,51.0
2017-02-26,56.0
2017-03-05,65.0
2017-03-12,53.0
2017-03-19,61.0
2017-03-26,60.0
2017-04-02,56.0
2017-04-09,66.0
2017-04-16,62.0
2017-04-23,69.0
2017-04-30,60.0
2017-05-07,61.0
2017-05-14,63.0
2017-05-21,64.0
2017-05-28,66.0
2017-06-04,72.0
2017-06-11,69.0
2017-06-18,77.0
2017-06-25,61.0
2017-07-02,67.0
2017-07-09,72.0
2017-07-16,65.0
2017-07-23,58.0
2017-07-30,66.0
2017-08-06,58.0
2017-08-13,62.0
2017-08-20,61.0
2017-08-27,61.0
2017-09-03,65.0
2017-09-10,63.0
2017-09-17,67.0
2017-09-24,59.0
2017-10-01,63.0
2017-10-08,63.0
2017-10-15,50.0
2017-10-22,55.0
2017-10-29,56.0
2017-11-05,61.0
2017-11-12,58.0
2017-11-19,61.0
2017-11-26,52.0
2017-12-03,57.0
2017-12-10,60.0
2017-12-17,60.0
2017-12-24,57.0
2017-12-31,57.0
2018-01-07,63.0
2018-01-14,49.0
2018-01-21,49.0
2018-01-28,52.0
2018-02-04,55.0
2018-02-11,60.0
2018-02-18,66.0
2018-02-25,56.0
2018-03-04,58.0
2018-03-11,57.0
2018-03-18,57.0
2018-03-25,56.0
2018-04-01,59.0
2018-04-08,59.0
2018-04-15,61.0
2018-04-22,61.0
2018-04-29,60.0
2018-05-06,54.0
2018-05-13,64.0
2018-05-20,65.0
2018-05-27,63.0
2018-06-03,72.0
2018-06-10,64.0
2018-06-17,63.0
2018-06-24,56.0
2018-07-01,61.0
2018-07-08,64.0
2018-07-15,62.0
2018-07-22,66.0
2018-07-29,67.0
2018-08-05,65.0
2018-08-12,64.0
2018-08-19,72.0
2018-08-26,75.0
2018-09-02,81.0
2018-09-09,79.0
2018-09-16,77.0
2018-09-23,77.0
2018-09-30,75.0
2018-10-07,79.0
2018-10-14,69.0
2018-10-21,80.0
2018-10-28,75.0
2018-11-04,64.0
2018-11-11,74.0
2018-11-18,69.0
2018-11-25,72.0
2018-12-02,71.0
2018-12-09,73.0
2018-12-16,78.0
2018-12-23,70.0
2018-12-30,68.0
2019-01-06,72.0
2019-01-13,61.0
2019-01-20,72.0
2019-01-27,67.0
2019-02-03,67.0
2019-02-10,72.0
2019-02-17,67.0
2019-02-24,69.0
2019-03-03,74.0
2019-03-10,73.0
2019-03-17,73.0
2019-03-24,75.0
2019-03-31,71.0
2019-04-07,73.0
2019-04-14,68.0
2019-04-21,67.0
2019-04-28,70.0
2019-05-05,76.0
2019-05-12,74.0
2019-05-19,68.0
2019-05-26,83.0
2019-06-02,83.0
2019-06-09,80.0
2019-06-16,78.0
2019-06-23,100.0
2019-06-30,75.0
2019-07-07,79.0
2019-07-14,74.0
2019-07-21,73.0
2019-07-28,78.0
2019-08-04,73.0
2019-08-11,71.0
2019-08-18,73.0
