,Forestry
2014-12-28,30.0
2015-01-04,32.0
2015-01-11,28.0
2015-01-18,29.0
2015-01-25,28.0
2015-02-01,27.0
2015-02-08,28.0
2015-02-15,28.0
2015-02-22,28.0
2015-03-01,25.0
2015-03-08,26.0
2015-03-15,27.0
2015-03-22,26.0
2015-03-29,26.0
2015-04-05,27.0
2015-04-12,26.0
2015-04-19,27.0
2015-04-26,29.0
2015-05-03,29.0
2015-05-10,29.0
2015-05-17,31.0
2015-05-24,33.0
2015-05-31,33.0
2015-06-07,30.0
2015-06-14,35.0
2015-06-21,37.0
2015-06-28,46.0
2015-07-05,42.0
2015-07-12,46.0
2015-07-19,44.0
2015-07-26,44.0
2015-08-02,44.0
2015-08-09,44.0
2015-08-16,46.0
2015-08-23,36.0
2015-08-30,39.0
2015-09-06,40.0
2015-09-13,36.0
2015-09-20,36.0
2015-09-27,38.0
2015-10-04,36.0
2015-10-11,39.0
2015-10-18,39.0
2015-10-25,42.0
2015-11-01,39.0
2015-11-08,33.0
2015-11-15,45.0
2015-11-22,45.0
2015-11-29,45.0
2015-12-06,43.0
2015-12-13,38.0
2015-12-20,39.0
2015-12-27,51.0
2016-01-03,55.0
2016-01-10,49.0
2016-01-17,53.0
2016-01-24,62.0
2016-01-31,75.0
2016-02-07,62.0
2016-02-14,55.0
2016-02-21,53.0
2016-02-28,46.0
2016-03-06,41.0
2016-03-13,40.0
2016-03-20,40.0
2016-03-27,42.0
2016-04-03,45.0
2016-04-10,40.0
2016-04-17,43.0
2016-04-24,46.0
2016-05-01,52.0
2016-05-08,41.0
2016-05-15,42.0
2016-05-22,44.0
2016-05-29,46.0
2016-06-05,52.0
2016-06-12,53.0
2016-06-19,57.0
2016-06-26,55.0
2016-07-03,46.0
2016-07-10,47.0
2016-07-17,49.0
2016-07-24,54.0
2016-07-31,50.0
2016-08-07,48.0
2016-08-14,44.0
2016-08-21,52.0
2016-08-28,47.0
2016-09-04,42.0
2016-09-11,39.0
2016-09-18,46.0
2016-09-25,46.0
2016-10-02,52.0
2016-10-09,51.0
2016-10-16,54.0
2016-10-23,52.0
2016-10-30,61.0
2016-11-06,49.0
2016-11-13,46.0
2016-11-20,57.0
2016-11-27,51.0
2016-12-04,50.0
2016-12-11,53.0
2016-12-18,54.0
2016-12-25,60.0
2017-01-01,67.0
2017-01-08,52.0
2017-01-15,50.0
2017-01-22,53.0
2017-01-29,52.0
2017-02-05,57.0
2017-02-12,55.0
2017-02-19,51.0
2017-02-26,49.0
2017-03-05,48.0
2017-03-12,49.0
2017-03-19,50.0
2017-03-26,48.0
2017-04-02,45.0
2017-04-09,48.0
2017-04-16,49.0
2017-04-23,52.0
2017-04-30,52.0
2017-05-07,46.0
2017-05-14,53.0
2017-05-21,55.0
2017-05-28,58.0
2017-06-04,54.0
2017-06-11,58.0
2017-06-18,54.0
2017-06-25,58.0
2017-07-02,58.0
2017-07-09,62.0
2017-07-16,63.0
2017-07-23,61.0
2017-07-30,58.0
2017-08-06,54.0
2017-08-13,70.0
2017-08-20,75.0
2017-08-27,64.0
2017-09-03,62.0
2017-09-10,59.0
2017-09-17,56.0
2017-09-24,48.0
2017-10-01,48.0
2017-10-08,52.0
2017-10-15,44.0
2017-10-22,62.0
2017-10-29,60.0
2017-11-05,61.0
2017-11-12,55.0
2017-11-19,54.0
2017-11-26,52.0
2017-12-03,48.0
2017-12-10,49.0
2017-12-17,52.0
2017-12-24,69.0
2017-12-31,54.0
2018-01-07,54.0
2018-01-14,52.0
2018-01-21,49.0
2018-01-28,53.0
2018-02-04,51.0
2018-02-11,52.0
2018-02-18,52.0
2018-02-25,47.0
2018-03-04,48.0
2018-03-11,53.0
2018-03-18,54.0
2018-03-25,54.0
2018-04-01,56.0
2018-04-08,55.0
2018-04-15,48.0
2018-04-22,50.0
2018-04-29,48.0
2018-05-06,46.0
2018-05-13,62.0
2018-05-20,63.0
2018-05-27,65.0
2018-06-03,54.0
2018-06-10,66.0
2018-06-17,56.0
2018-06-24,59.0
2018-07-01,61.0
2018-07-08,60.0
2018-07-15,55.0
2018-07-22,58.0
2018-07-29,61.0
2018-08-05,60.0
2018-08-12,53.0
2018-08-19,60.0
2018-08-26,55.0
2018-09-02,62.0
2018-09-09,62.0
2018-09-16,56.0
2018-09-23,64.0
2018-09-30,56.0
2018-10-07,65.0
2018-10-14,57.0
2018-10-21,72.0
2018-10-28,80.0
2018-11-04,51.0
2018-11-11,57.0
2018-11-18,62.0
2018-11-25,55.0
2018-12-02,58.0
2018-12-09,56.0
2018-12-16,60.0
2018-12-23,61.0
2018-12-30,62.0
2019-01-06,65.0
2019-01-13,66.0
2019-01-20,60.0
2019-01-27,61.0
2019-02-03,64.0
2019-02-10,100.0
2019-02-17,77.0
2019-02-24,64.0
2019-03-03,57.0
2019-03-10,51.0
2019-03-17,56.0
2019-03-24,54.0
2019-03-31,51.0
2019-04-07,47.0
2019-04-14,52.0
2019-04-21,47.0
2019-04-28,50.0
2019-05-05,70.0
2019-05-12,54.0
2019-05-19,55.0
2019-05-26,62.0
2019-06-02,56.0
2019-06-09,53.0
2019-06-16,55.0
2019-06-23,63.0
2019-06-30,61.0
2019-07-07,62.0
2019-07-14,62.0
2019-07-21,76.0
2019-07-28,67.0
2019-08-04,68.0
2019-08-11,53.0
2019-08-18,62.0
2019-08-25,63.0
2019-09-01,54.0
2019-09-08,59.0
2019-09-15,54.0
2019-09-22,55.0
2019-09-29,58.0
2019-10-06,50.0
2019-10-13,55.0
2019-10-20,45.0
2019-10-27,49.0
2019-11-03,57.0
2019-11-10,61.0
2019-11-17,56.0
2019-11-24,57.0
2019-12-01,53.0
2019-12-08,53.0
2019-12-15,66.0
2019-12-22,60.0
2019-12-29,61.0
2020-01-05,74.10653487095003
2020-01-12,55.579901153212525
2020-01-19,52.21142229544207
2020-01-26,57.26414058209775
2020-02-02,57.26414058209775
2020-02-09,64.00109829763866
2020-02-16,55.579901153212525
2020-02-23,57.26414058209775
2020-03-01,52.21142229544207
2020-03-08,45.47446457990116
2020-03-15,48.842943437671615
2020-03-22,35.36902800658979
2020-03-29,37.053267435475014
2020-04-05,40.42174629324548
2020-04-12,37.053267435475014
2020-04-19,55.579901153212525
2020-04-26,62.316858868753435
2020-05-03,48.842943437671615
2020-05-10,45.47446457990116
2020-05-17,42.105985722130704
2020-05-24,45.47446457990116
2020-05-31,45.47446457990116
2020-06-07,45.47446457990116
2020-06-14,43.79022515101593
2020-06-21,43.79022515101593
2020-06-28,55.579901153212525
2020-07-05,48.842943437671615
2020-07-12,52.21142229544207
2020-07-19,57.26414058209775
2020-07-26,58.94838001098298
2020-08-02,58.94838001098298
2020-08-09,60.63261943986821
2020-08-16,58.94838001098298
2020-08-23,62.316858868753435
2020-08-30,53.8956617243273
2020-09-06,55.579901153212525
2020-09-13,53.8956617243273
2020-09-20,52.21142229544207
2020-09-27,55.579901153212525
2020-10-04,55.579901153212525
2020-10-11,55.579901153212525
2020-10-18,52.21142229544207
2020-10-25,52.21142229544207
2020-11-01,50.52718286655684
2020-11-08,48.842943437671615
2020-11-15,52.21142229544207
2020-11-22,55.579901153212525
2020-11-29,50.52718286655684
2020-12-06,57.26414058209775
2020-12-13,62.316858868753435
2020-12-20,67.36957715540912
2020-12-27,64.00109829763866
2021-01-03,69.05381658429435
2021-01-10,57.26414058209775
2021-01-17,64.00109829763866
2021-01-24,55.579901153212525
2021-01-31,57.26414058209775
2021-02-07,58.94838001098298
2021-02-14,57.26414058209775
2021-02-21,64.00109829763866
2021-02-28,58.94838001098298
2021-03-07,64.00109829763866
2021-03-14,62.316858868753435
2021-03-21,65.6853377265239
2021-03-28,52.21142229544207
2021-04-04,53.8956617243273
2021-04-11,90.94892915980232
2021-04-18,62.316858868753435
