,Grocery & Food Retailers
2014-12-28,34.0
2015-01-04,33.0
2015-01-11,30.0
2015-01-18,31.0
2015-01-25,29.0
2015-02-01,32.0
2015-02-08,33.0
2015-02-15,34.0
2015-02-22,31.0
2015-03-01,30.0
2015-03-08,32.0
2015-03-15,33.0
2015-03-22,33.0
2015-03-29,32.0
2015-04-05,34.0
2015-04-12,33.0
2015-04-19,37.0
2015-04-26,35.0
2015-05-03,35.0
2015-05-10,37.0
2015-05-17,36.0
2015-05-24,34.0
2015-05-31,37.0
2015-06-07,38.0
2015-06-14,40.0
2015-06-21,45.0
2015-06-28,51.0
2015-07-05,49.0
2015-07-12,50.0
2015-07-19,51.0
2015-07-26,49.0
2015-08-02,56.0
2015-08-09,49.0
2015-08-16,48.0
2015-08-23,45.0
2015-08-30,47.0
2015-09-06,55.0
2015-09-13,50.0
2015-09-20,51.0
2015-09-27,55.0
2015-10-04,54.0
2015-10-11,47.0
2015-10-18,44.0
2015-10-25,48.0
2015-11-01,49.0
2015-11-08,39.0
2015-11-15,49.0
2015-11-22,45.0
2015-11-29,46.0
2015-12-06,42.0
2015-12-13,46.0
2015-12-20,46.0
2015-12-27,46.0
2016-01-03,43.0
2016-01-10,47.0
2016-01-17,43.0
2016-01-24,46.0
2016-01-31,46.0
2016-02-07,48.0
2016-02-14,48.0
2016-02-21,50.0
2016-02-28,46.0
2016-03-06,44.0
2016-03-13,51.0
2016-03-20,40.0
2016-03-27,40.0
2016-04-03,41.0
2016-04-10,43.0
2016-04-17,40.0
2016-04-24,41.0
2016-05-01,43.0
2016-05-08,46.0
2016-05-15,38.0
2016-05-22,46.0
2016-05-29,41.0
2016-06-05,44.0
2016-06-12,45.0
2016-06-19,45.0
2016-06-26,45.0
2016-07-03,47.0
2016-07-10,47.0
2016-07-17,49.0
2016-07-24,50.0
2016-07-31,48.0
2016-08-07,46.0
2016-08-14,43.0
2016-08-21,48.0
2016-08-28,45.0
2016-09-04,47.0
2016-09-11,43.0
2016-09-18,47.0
2016-09-25,46.0
2016-10-02,45.0
2016-10-09,44.0
2016-10-16,47.0
2016-10-23,45.0
2016-10-30,42.0
2016-11-06,43.0
2016-11-13,44.0
2016-11-20,44.0
2016-11-27,46.0
2016-12-04,46.0
2016-12-11,47.0
2016-12-18,48.0
2016-12-25,49.0
2017-01-01,45.0
2017-01-08,44.0
2017-01-15,46.0
2017-01-22,43.0
2017-01-29,48.0
2017-02-05,46.0
2017-02-12,46.0
2017-02-19,45.0
2017-02-26,47.0
2017-03-05,47.0
2017-03-12,44.0
2017-03-19,47.0
