,Data Management
2014-12-28,59.0
2015-01-04,72.0
2015-01-11,61.0
2015-01-18,70.0
2015-01-25,64.0
2015-02-01,70.0
2015-02-08,71.0
2015-02-15,69.0
2015-02-22,73.0
2015-03-01,66.0
2015-03-08,70.0
2015-03-15,69.0
2015-03-22,73.0
2015-03-29,72.0
2015-04-05,76.0
2015-04-12,72.0
2015-04-19,68.0
2015-04-26,63.0
2015-05-03,68.0
2015-05-10,71.0
2015-05-17,66.0
2015-05-24,66.0
2015-05-31,70.0
2015-06-07,70.0
2015-06-14,68.0
2015-06-21,77.0
2015-06-28,84.0
2015-07-05,83.0
2015-07-12,83.0
2015-07-19,87.0
2015-07-26,81.0
2015-08-02,85.0
2015-08-09,84.0
2015-08-16,85.0
2015-08-23,72.0
2015-08-30,82.0
2015-09-06,85.0
2015-09-13,71.0
2015-09-20,75.0
2015-09-27,71.0
2015-10-04,83.0
2015-10-11,80.0
2015-10-18,61.0
2015-10-25,74.0
2015-11-01,74.0
2015-11-08,49.0
2015-11-15,68.0
2015-11-22,72.0
2015-11-29,71.0
2015-12-06,73.0
2015-12-13,85.0
2015-12-20,66.0
2015-12-27,66.0
2016-01-03,76.0
2016-01-10,70.0
2016-01-17,80.0
2016-01-24,70.0
2016-01-31,80.0
2016-02-07,83.0
2016-02-14,78.0
2016-02-21,81.0
2016-02-28,78.0
2016-03-06,71.0
2016-03-13,82.0
2016-03-20,66.0
2016-03-27,79.0
2016-04-03,76.0
2016-04-10,69.0
2016-04-17,75.0
2016-04-24,77.0
2016-05-01,85.0
2016-05-08,84.0
2016-05-15,80.0
2016-05-22,78.0
2016-05-29,78.0
2016-06-05,75.0
2016-06-12,80.0
2016-06-19,81.0
2016-06-26,81.0
2016-07-03,74.0
2016-07-10,80.0
2016-07-17,86.0
2016-07-24,82.0
2016-07-31,84.0
2016-08-07,84.0
2016-08-14,73.0
2016-08-21,85.0
2016-08-28,84.0
2016-09-04,76.0
2016-09-11,78.0
2016-09-18,93.0
2016-09-25,84.0
2016-10-02,80.0
2016-10-09,66.0
2016-10-16,85.0
2016-10-23,71.0
2016-10-30,63.0
2016-11-06,74.0
2016-11-13,73.0
2016-11-20,78.0
2016-11-27,78.0
2016-12-04,76.0
2016-12-11,75.0
2016-12-18,77.0
2016-12-25,68.0
2017-01-01,80.0
2017-01-08,72.0
2017-01-15,74.0
2017-01-22,69.0
2017-01-29,79.0
2017-02-05,83.0
2017-02-12,83.0
2017-02-19,80.0
2017-02-26,83.0
2017-03-05,82.0
2017-03-12,72.0
2017-03-19,83.0
2017-03-26,76.0
2017-04-02,74.0
2017-04-09,82.0
2017-04-16,80.0
2017-04-23,80.0
2017-04-30,72.0
2017-05-07,77.0
2017-05-14,79.0
2017-05-21,79.0
2017-05-28,77.0
2017-06-04,77.0
2017-06-11,76.0
2017-06-18,79.0
2017-06-25,75.0
2017-07-02,83.0
2017-07-09,86.0
2017-07-16,87.0
2017-07-23,87.0
2017-07-30,84.0
2017-08-06,79.0
2017-08-13,75.0
2017-08-20,78.0
2017-08-27,78.0
2017-09-03,82.0
2017-09-10,88.0
2017-09-17,85.0
2017-09-24,70.0
2017-10-01,71.0
2017-10-08,86.0
2017-10-15,55.0
2017-10-22,80.0
2017-10-29,81.0
2017-11-05,85.0
2017-11-12,85.0
2017-11-19,84.0
2017-11-26,79.0
2017-12-03,85.0
2017-12-10,83.0
2017-12-17,79.0
2017-12-24,64.0
2017-12-31,72.0
2018-01-07,77.0
2018-01-14,74.0
2018-01-21,68.0
2018-01-28,81.0
2018-02-04,80.0
2018-02-11,75.0
2018-02-18,84.0
2018-02-25,69.0
2018-03-04,79.0
2018-03-11,81.0
2018-03-18,86.0
2018-03-25,85.0
2018-04-01,80.0
2018-04-08,80.0
2018-04-15,83.0
2018-04-22,78.0
2018-04-29,73.0
2018-05-06,79.0
2018-05-13,81.0
2018-05-20,84.0
2018-05-27,81.0
2018-06-03,80.0
2018-06-10,70.0
2018-06-17,79.0
2018-06-24,79.0
2018-07-01,80.0
2018-07-08,82.0
2018-07-15,85.0
2018-07-22,92.0
2018-07-29,90.0
2018-08-05,84.0
2018-08-12,73.0
2018-08-19,81.0
2018-08-26,82.0
2018-09-02,85.0
2018-09-09,77.0
2018-09-16,85.0
2018-09-23,93.0
2018-09-30,80.0
2018-10-07,91.0
2018-10-14,68.0
2018-10-21,88.0
2018-10-28,88.0
2018-11-04,51.0
2018-11-11,86.0
2018-11-18,87.0
2018-11-25,92.0
2018-12-02,86.0
2018-12-09,87.0
2018-12-16,80.0
2018-12-23,68.0
2018-12-30,71.0
2019-01-06,82.0
2019-01-13,68.0
2019-01-20,78.0
2019-01-27,82.0
2019-02-03,79.0
2019-02-10,82.0
2019-02-17,80.0
2019-02-24,80.0
2019-03-03,81.0
2019-03-10,84.0
2019-03-17,76.0
2019-03-24,82.0
2019-03-31,79.0
2019-04-07,76.0
2019-04-14,70.0
2019-04-21,82.0
2019-04-28,71.0
2019-05-05,83.0
2019-05-12,80.0
2019-05-19,81.0
2019-05-26,76.0
2019-06-02,73.0
2019-06-09,78.0
2019-06-16,80.0
2019-06-23,85.0
2019-06-30,80.0
2019-07-07,80.0
2019-07-14,89.0
2019-07-21,84.0
2019-07-28,85.0
2019-08-04,81.0
2019-08-11,69.0
2019-08-18,89.0
2019-08-25,85.0
2019-09-01,81.0
2019-09-08,88.0
2019-09-15,87.0
2019-09-22,87.0
2019-09-29,73.0
2019-10-06,66.0
2019-10-13,87.0
2019-10-20,72.0
2019-10-27,62.0
2019-11-03,84.0
2019-11-10,83.0
2019-11-17,100.0
2019-11-24,86.0
2019-12-01,83.0
2019-12-08,83.0
2019-12-15,83.0
2019-12-22,68.0
2019-12-29,69.0
2020-01-05,80.49795918367346
2020-01-12,65.66938775510204
2020-01-19,82.61632653061223
2020-01-26,78.37959183673468
2020-02-02,82.61632653061223
2020-02-09,81.55714285714285
2020-02-16,84.73469387755101
2020-02-23,84.73469387755101
2020-03-01,79.43877551020407
2020-03-08,67.7877551020408
2020-03-15,64.61020408163265
2020-03-22,50.8408163265306
2020-03-29,50.8408163265306
2020-04-05,54.01836734693877
2020-04-12,52.959183673469376
2020-04-19,59.3142857142857
2020-04-26,56.13673469387754
2020-05-03,57.19591836734693
2020-05-10,58.25510204081632
2020-05-17,57.19591836734693
2020-05-24,55.07755102040815
2020-05-31,59.3142857142857
2020-06-07,60.373469387755094
2020-06-14,58.25510204081632
2020-06-21,65.66938775510204
2020-06-28,63.551020408163254
2020-07-05,65.66938775510204
2020-07-12,69.90612244897957
2020-07-19,69.90612244897957
2020-07-26,69.90612244897957
2020-08-02,67.7877551020408
2020-08-09,70.96530612244896
2020-08-16,72.02448979591836
2020-08-23,70.96530612244896
2020-08-30,73.08367346938775
2020-09-06,75.20204081632652
2020-09-13,74.14285714285712
2020-09-20,78.37959183673468
2020-09-27,65.66938775510204
2020-10-04,72.02448979591836
2020-10-11,65.66938775510204
2020-10-18,64.61020408163265
2020-10-25,59.3142857142857
2020-11-01,58.25510204081632
2020-11-08,50.8408163265306
2020-11-15,52.959183673469376
2020-11-22,61.43265306122448
2020-11-29,59.3142857142857
2020-12-06,61.43265306122448
2020-12-13,64.61020408163265
2020-12-20,59.3142857142857
2020-12-27,54.01836734693877
2021-01-03,64.61020408163265
2021-01-10,56.13673469387754
2021-01-17,62.49183673469387
2021-01-24,58.25510204081632
2021-01-31,67.7877551020408
