,Commercial Vehicles
2014-12-28,17.0
2015-01-04,19.0
2015-01-11,17.0
2015-01-18,17.0
2015-01-25,18.0
2015-02-01,18.0
2015-02-08,19.0
2015-02-15,19.0
2015-02-22,18.0
2015-03-01,18.0
2015-03-08,18.0
2015-03-15,18.0
2015-03-22,19.0
2015-03-29,20.0
2015-04-05,19.0
2015-04-12,19.0
2015-04-19,20.0
2015-04-26,20.0
2015-05-03,19.0
2015-05-10,20.0
2015-05-17,23.0
2015-05-24,23.0
2015-05-31,24.0
2015-06-07,23.0
2015-06-14,21.0
2015-06-21,27.0
2015-06-28,29.0
2015-07-05,31.0
2015-07-12,30.0
2015-07-19,31.0
2015-07-26,30.0
2015-08-02,29.0
2015-08-09,28.0
2015-08-16,30.0
2015-08-23,28.0
2015-08-30,29.0
2015-09-06,29.0
2015-09-13,28.0
2015-09-20,29.0
2015-09-27,29.0
2015-10-04,29.0
2015-10-11,27.0
2015-10-18,26.0
2015-10-25,27.0
2015-11-01,28.0
2015-11-08,23.0
2015-11-15,25.0
2015-11-22,25.0
2015-11-29,24.0
2015-12-06,25.0
2015-12-13,27.0
2015-12-20,28.0
2015-12-27,27.0
2016-01-03,24.0
2016-01-10,23.0
2016-01-17,23.0
2016-01-24,23.0
2016-01-31,23.0
2016-02-07,24.0
2016-02-14,23.0
2016-02-21,24.0
2016-02-28,25.0
2016-03-06,25.0
2016-03-13,25.0
2016-03-20,24.0
2016-03-27,24.0
2016-04-03,25.0
2016-04-10,25.0
2016-04-17,25.0
2016-04-24,27.0
2016-05-01,25.0
2016-05-08,26.0
2016-05-15,26.0
2016-05-22,26.0
2016-05-29,26.0
2016-06-05,26.0
2016-06-12,27.0
2016-06-19,27.0
2016-06-26,29.0
2016-07-03,29.0
2016-07-10,28.0
2016-07-17,29.0
2016-07-24,30.0
2016-07-31,30.0
2016-08-07,31.0
2016-08-14,29.0
2016-08-21,34.0
2016-08-28,30.0
2016-09-04,31.0
2016-09-11,32.0
2016-09-18,33.0
2016-09-25,44.0
2016-10-02,69.0
2016-10-09,100.0
2016-10-16,76.0
2016-10-23,64.0
2016-10-30,63.0
2016-11-06,58.0
2016-11-13,53.0
2016-11-20,56.0
2016-11-27,48.0
2016-12-04,45.0
2016-12-11,45.0
2016-12-18,47.0
2016-12-25,47.0
2017-01-01,46.0
