,Energy & Utilities
2020-05-24,63.23880997051729
2020-05-31,67.60010720986331
2020-06-07,71.96140444920933
2020-06-14,69.78075582953632
2020-06-21,78.50335030822836
2020-06-28,79.59367461806487
2020-07-05,79.59367461806487
2020-07-12,80.68399892790137
2020-07-19,76.32270168855534
2020-07-26,80.68399892790137
2020-08-02,76.32270168855534
2020-08-09,86.13562047708389
2020-08-16,82.86464754757438
2020-08-23,76.32270168855534
2020-08-30,77.41302599839186
2020-09-06,79.59367461806487
2020-09-13,74.14205306888233
2020-09-20,78.50335030822836
2020-09-27,71.96140444920933
2020-10-04,74.14205306888233
2020-10-11,79.59367461806487
2020-10-18,69.78075582953632
2020-10-25,69.78075582953632
2020-11-01,69.78075582953632
2020-11-08,64.3291342803538
2020-11-15,67.60010720986331
2020-11-22,74.14205306888233
2020-11-29,70.87108013937282
2020-12-06,75.23237737871884
2020-12-13,81.77432323773787
2020-12-20,80.68399892790137
2020-12-27,76.32270168855534
2021-01-03,75.23237737871884
2021-01-10,69.78075582953632
2021-01-17,73.05172875904583
2021-01-24,73.05172875904583
2021-01-31,77.41302599839186
2021-02-07,77.41302599839186
2021-02-14,82.86464754757438
2021-02-21,81.77432323773787
2021-02-28,81.77432323773787
2021-03-07,79.59367461806487
2021-03-14,88.3162690967569
2021-03-21,82.86464754757438
2021-03-28,73.05172875904583
2021-04-04,75.23237737871884
2021-04-11,68.69043151969981
2021-04-18,64.3291342803538
2021-04-25,62.148485660680784
2021-05-02,64.3291342803538
2021-05-09,66.5097829000268
2021-05-16,71.96140444920933
2021-05-23,71.96140444920933
2021-05-30,80.68399892790137
2021-06-06,86.13562047708389
2021-06-13,89.4065934065934
2021-06-20,82.86464754757438
2021-06-27,83.95497185741088
2021-07-04,80.68399892790137
2021-07-11,86.13562047708389
2021-07-18,92.67756633610293
2021-07-25,87.2259447869204
2021-08-01,81.77432323773787
2021-08-08,83.95497185741088
2021-08-15,85.04529616724739
2021-08-22,79.59367461806487
2021-08-29,81.77432323773787
2021-09-05,79.59367461806487
2021-09-12,79.59367461806487
2021-09-19,85.04529616724739
2021-09-26,79.59367461806487
2021-10-03,79.59367461806487
2021-10-10,73.05172875904583
2021-10-17,76.32270168855534
2021-10-24,73.05172875904583
2021-10-31,64.3291342803538
2021-11-07,73.05172875904583
2021-11-14,73.05172875904583
2021-11-21,71.96140444920933
2021-11-28,76.32270168855534
2021-12-05,71.96140444920933
2021-12-12,73.05172875904583
2021-12-19,76.32270168855534
2021-12-26,76.32270168855534
2022-01-02,86.13562047708389
2022-01-09,81.77432323773787
2022-01-16,71.96140444920933
2022-01-23,79.59367461806487
2022-01-30,81.77432323773787
2022-02-06,88.3162690967569
2022-02-13,97.03886357544894
2022-02-20,100.30983650495845
2022-02-27,99.21951219512195
2022-03-06,102.49048512463146
2022-03-13,89.4065934065934
2022-03-20,101.40016081479496
2022-03-27,100.30983650495845
2022-04-03,98.12918788528545
2022-04-10,92.67756633610293
2022-04-17,92.67756633610293
2022-04-24,100.30983650495845
2022-05-01,95.94853926561244
2022-05-08,102.49048512463146
2022-05-15,98.12918788528545
2022-05-22,100.30983650495845
2022-05-29,94.85821495577594
2022-06-05,97.03886357544894
2022-06-12,100.30983650495845
2022-06-19,101.40016081479496
2022-06-26,102.49048512463146
2022-07-03,101.40016081479496
2022-07-10,98.12918788528545
2022-07-17,97.03886357544894
2022-07-24,95.94853926561244
2022-07-31,95.94853926561244
2022-08-07,89.4065934065934
2022-08-14,93.76789064593943
2022-08-21,102.49048512463146
2022-08-28,86.13562047708389
2022-09-04,93.76789064593943
2022-09-11,99.21951219512195
2022-09-18,102.49048512463146
2022-09-25,92.67756633610293
2022-10-02,82.86464754757438
2022-10-09,99.21951219512195
2022-10-16,88.3162690967569
2022-10-23,71.96140444920933
2022-10-30,86.13562047708389
2022-11-06,89.4065934065934
2022-11-13,90.4969177164299
2022-11-20,90.4969177164299
2022-11-27,83.95497185741088
2022-12-04,88.3162690967569
2022-12-11,93.76789064593943
2022-12-18,92.67756633610293
2022-12-25,93.76789064593943
2023-01-01,93.76789064593943
2023-01-08,89.4065934065934
2023-01-15,91.58724202626642
2023-01-22,88.3162690967569
2023-01-29,98.12918788528545
2023-02-05,100.30983650495845
2023-02-12,94.85821495577594
2023-02-19,98.12918788528545
2023-02-26,95.94853926561244
2023-03-05,87.2259447869204
2023-03-12,98.12918788528545
2023-03-19,88.3162690967569
2023-03-26,88.3162690967569
2023-04-02,85.04529616724739
2023-04-09,91.58724202626642
2023-04-16,89.4065934065934
2023-04-23,86.13562047708389
2023-04-30,91.58724202626642
2023-05-07,88.3162690967569
2023-05-14,94.85821495577594
2023-05-21,92.67756633610293
2023-05-28,94.85821495577594
2023-06-04,104.67113374430448
2023-06-11,102.49048512463146
2023-06-18,100.30983650495845
2023-06-25,100.30983650495845
2023-07-02,102.49048512463146
2023-07-09,109.0324309836505
2023-07-16,104.67113374430448
2023-07-23,104.67113374430448
2023-07-30,100.30983650495845
2023-08-06,97.03886357544894
2023-08-13,93.76789064593943
2023-08-20,95.94853926561244
2023-08-27,98.12918788528545
2023-09-03,95.94853926561244
2023-09-10,95.94853926561244
2023-09-17,93.76789064593943
2023-09-24,90.4969177164299
2023-10-01,93.76789064593943
2023-10-08,92.67756633610293
2023-10-15,83.95497185741088
2023-10-22,78.50335030822836
2023-10-29,81.77432323773787
2023-11-05,86.13562047708389
2023-11-12,75.23237737871884
2023-11-19,93.76789064593943
2023-11-26,101.40016081479496
2023-12-03,100.30983650495845
2023-12-10,101.40016081479496
2023-12-17,99.21951219512195
2023-12-24,99.21951219512195
2023-12-31,103.58080943446797
2024-01-07,93.92499165527816
2024-01-14,89.50499204797096
2024-01-21,88.39999214614416
2024-01-28,100.55499106623898
2024-02-04,98.34499126258538
2024-02-11,93.92499165527816
2024-02-18,95.02999155710496
2024-02-25,98.34499126258538
2024-03-03,96.13499145893176
2024-03-10,97.23999136075858
2024-03-17,92.81999175345136
2024-03-24,82.87499263701015
2024-03-31,88.39999214614416
2024-04-07,82.87499263701015
2024-04-14,85.08499244066375
2024-04-21,88.39999214614416
2024-04-28,91.71499185162456
2024-05-05,89.50499204797096
2024-05-12,89.50499204797096
2024-05-19,91.71499185162456
2024-05-26,91.71499185162456
2024-06-02,93.92499165527816
2024-06-09,96.13499145893176
2024-06-16,93.92499165527816
2024-06-23,96.13499145893176
2024-06-30,97.23999136075858
2024-07-07,97.23999136075858
2024-07-14,102.76499086989259
2024-07-21,110.4999901826802
2024-07-28,97.23999136075858
2024-08-04,96.13499145893176
2024-08-11,97.23999136075858
2024-08-18,92.81999175345136
2024-08-25,100.55499106623898
2024-09-01,95.02999155710496
2024-09-08,90.60999194979776
2024-09-15,90.60999194979776
2024-09-22,96.13499145893176
2024-09-29,85.08499244066375
2024-10-06,79.55999293152973
2024-10-13,88.39999214614416
2024-10-20,93.92499165527816
2024-10-27,75.13999332422253
2024-11-03,80.66499283335655
2024-11-10,87.29499224431736
2024-11-17,88.39999214614416
2024-11-24,93.92499165527816
2024-12-01,87.29499224431736
2024-12-08,88.39999214614416
2024-12-15,88.39999214614416
2024-12-22,87.29499224431736
2024-12-29,83.97999253883695
2025-01-05,88.39999214614416
2025-01-12,83.97999253883695
2025-01-19,88.39999214614416
2025-01-26,89.50499204797096
2025-02-02,83.97999253883695
2025-02-09,83.97999253883695
2025-02-16,86.18999234249056
2025-02-23,83.97999253883695
2025-03-02,85.08499244066375
2025-03-09,80.66499283335655
2025-03-16,83.97999253883695
2025-03-23,82.87499263701015
2025-03-30,79.55999293152973
2025-04-06,79.55999293152973
2025-04-13,82.87499263701015
2025-04-20,90.60999194979776
2025-04-27,83.97999253883695
2025-05-04,81.76999273518335
2025-05-11,88.39999214614416
2025-05-18,87.29499224431736
2025-05-25,85.08499244066375
2025-06-01,86.18999234249056
2025-06-08,91.71499185162456
2025-06-15,93.92499165527816
2025-06-22,91.71499185162456
2025-06-29,90.60999194979776
2025-07-06,89.50499204797096
2025-07-13,96.13499145893176
2025-07-20,87.29499224431736
2025-07-27,88.39999214614416
2025-08-03,83.97999253883695
2025-08-10,81.76999273518335
2025-08-17,83.97999253883695
2025-08-24,83.97999253883695
2025-08-31,80.66499283335655
2025-09-07,87.29499224431736
2025-09-14,87.29499224431736
2025-09-21,86.18999234249056
2025-09-28,72.92999352056893
2025-10-05,81.76999273518335
2025-10-12,79.55999293152973
2025-10-19,64.08999430595452
2025-10-26,81.76999273518335
2025-11-02,80.66499283335655
2025-11-09,77.34999312787613
2025-11-16,83.97999253883695
2025-11-23,78.45499302970293
2025-11-30,81.76999273518335
2025-12-07,82.87499263701015
2025-12-14,80.66499283335655
2025-12-21,79.55999293152973
2025-12-28,83.97999253883695
2026-01-04,88.39999214614416
