,Business Services
2014-12-28,45.0
2015-01-04,45.0
2015-01-11,43.0
2015-01-18,47.0
2015-01-25,43.0
2015-02-01,48.0
2015-02-08,45.0
2015-02-15,46.0
2015-02-22,45.0
2015-03-01,43.0
2015-03-08,45.0
2015-03-15,47.0
2015-03-22,46.0
2015-03-29,47.0
2015-04-05,48.0
2015-04-12,47.0
2015-04-19,45.0
2015-04-26,46.0
2015-05-03,46.0
2015-05-10,47.0
2015-05-17,53.0
2015-05-24,47.0
2015-05-31,48.0
2015-06-07,47.0
2015-06-14,48.0
2015-06-21,53.0
2015-06-28,60.0
2015-07-05,61.0
2015-07-12,60.0
2015-07-19,64.0
2015-07-26,58.0
2015-08-02,61.0
2015-08-09,61.0
2015-08-16,61.0
2015-08-23,57.0
2015-08-30,58.0
2015-09-06,59.0
2015-09-13,55.0
2015-09-20,57.0
2015-09-27,56.0
2015-10-04,59.0
2015-10-11,58.0
2015-10-18,49.0
2015-10-25,57.0
2015-11-01,54.0
2015-11-08,41.0
2015-11-15,54.0
2015-11-22,53.0
2015-11-29,53.0
2015-12-06,55.0
2015-12-13,59.0
2015-12-20,56.0
2015-12-27,53.0
2016-01-03,54.0
2016-01-10,50.0
2016-01-17,53.0
2016-01-24,49.0
2016-01-31,52.0
2016-02-07,53.0
2016-02-14,53.0
2016-02-21,52.0
2016-02-28,53.0
2016-03-06,53.0
2016-03-13,55.0
2016-03-20,46.0
2016-03-27,52.0
2016-04-03,48.0
2016-04-10,51.0
2016-04-17,51.0
2016-04-24,54.0
2016-05-01,56.0
2016-05-08,57.0
2016-05-15,54.0
2016-05-22,57.0
2016-05-29,57.0
2016-06-05,57.0
2016-06-12,56.0
2016-06-19,57.0
2016-06-26,63.0
2016-07-03,59.0
2016-07-10,58.0
2016-07-17,63.0
2016-07-24,61.0
2016-07-31,62.0
2016-08-07,61.0
2016-08-14,54.0
2016-08-21,60.0
2016-08-28,59.0
2016-09-04,58.0
2016-09-11,61.0
2016-09-18,64.0
2016-09-25,66.0
2016-10-02,59.0
2016-10-09,53.0
2016-10-16,61.0
2016-10-23,54.0
2016-10-30,53.0
2016-11-06,59.0
2016-11-13,64.0
2016-11-20,63.0
2016-11-27,65.0
2016-12-04,64.0
2016-12-11,67.0
2016-12-18,69.0
2016-12-25,65.0
2017-01-01,64.0
2017-01-08,62.0
2017-01-15,63.0
2017-01-22,60.0
2017-01-29,64.0
2017-02-05,63.0
2017-02-12,67.0
2017-02-19,64.0
2017-02-26,63.0
2017-03-05,62.0
2017-03-12,57.0
2017-03-19,66.0
2017-03-26,65.0
2017-04-02,65.0
2017-04-09,66.0
2017-04-16,67.0
2017-04-23,63.0
2017-04-30,61.0
2017-05-07,62.0
2017-05-14,60.0
2017-05-21,64.0
2017-05-28,62.0
2017-06-04,65.0
2017-06-11,69.0
2017-06-18,67.0
2017-06-25,64.0
2017-07-02,75.0
2017-07-09,75.0
2017-07-16,72.0
2017-07-23,70.0
2017-07-30,68.0
2017-08-06,67.0
2017-08-13,67.0
2017-08-20,66.0
2017-08-27,65.0
2017-09-03,67.0
2017-09-10,71.0
2017-09-17,67.0
2017-09-24,61.0
2017-10-01,64.0
2017-10-08,68.0
2017-10-15,53.0
2017-10-22,65.0
2017-10-29,67.0
2017-11-05,69.0
2017-11-12,67.0
2017-11-19,64.0
2017-11-26,63.0
2017-12-03,66.0
2017-12-10,67.0
2017-12-17,66.0
2017-12-24,64.0
2017-12-31,62.0
2018-01-07,66.0
2018-01-14,62.0
2018-01-21,59.0
2018-01-28,69.0
2018-02-04,66.0
2018-02-11,65.0
2018-02-18,67.0
2018-02-25,59.0
2018-03-04,69.0
2018-03-11,70.0
2018-03-18,74.0
2018-03-25,78.0
2018-04-01,79.0
2018-04-08,68.0
2018-04-15,72.0
2018-04-22,73.0
2018-04-29,69.0
2018-05-06,75.0
2018-05-13,71.0
2018-05-20,78.0
2018-05-27,76.0
2018-06-03,78.0
2018-06-10,80.0
2018-06-17,77.0
2018-06-24,79.0
2018-07-01,82.0
2018-07-08,82.0
2018-07-15,86.0
2018-07-22,83.0
2018-07-29,90.0
2018-08-05,88.0
2018-08-12,84.0
2018-08-19,88.0
2018-08-26,90.0
2018-09-02,91.0
2018-09-09,90.0
2018-09-16,91.0
2018-09-23,92.0
2018-09-30,91.0
2018-10-07,90.0
2018-10-14,82.0
2018-10-21,90.0
2018-10-28,92.0
2018-11-04,71.0
2018-11-11,86.0
2018-11-18,87.0
2018-11-25,89.0
2018-12-02,88.0
2018-12-09,87.0
2018-12-16,89.0
2018-12-23,92.0
2018-12-30,91.0
2019-01-06,88.0
2019-01-13,80.0
2019-01-20,84.0
2019-01-27,96.0
2019-02-03,99.0
2019-02-10,93.0
2019-02-17,93.0
2019-02-24,92.0
2019-03-03,93.0
2019-03-10,100.0
2019-03-17,85.0
2019-03-24,99.0
2019-03-31,94.0
2019-04-07,84.0
2019-04-14,82.0
2019-04-21,84.0
2019-04-28,82.0
2019-05-05,84.0
2019-05-12,86.0
2019-05-19,85.0
2019-05-26,91.0
2019-06-02,83.0
2019-06-09,88.0
2019-06-16,89.0
2019-06-23,93.0
2019-06-30,84.0
2019-07-07,96.0
2019-07-14,93.0
2019-07-21,90.0
2019-07-28,93.0
2019-08-04,90.0
2019-08-11,81.0
2019-08-18,96.0
2019-08-25,90.0
2019-09-01,83.0
2019-09-08,86.0
2019-09-15,91.0
2019-09-22,90.0
2019-09-29,84.0
2019-10-06,79.0
2019-10-13,90.0
2019-10-20,82.0
2019-10-27,74.0
2019-11-03,85.0
2019-11-10,88.0
2019-11-17,90.0
2019-11-24,92.0
2019-12-01,95.0
2019-12-08,87.0
2019-12-15,89.0
2019-12-22,97.0
2019-12-29,90.0
2020-01-05,91.5129111171514
2020-01-12,85.24490350638762
2020-01-19,95.27371568360968
2020-01-26,112.82413699374831
2020-02-02,101.54172329437348
2020-02-09,97.7809187279152
2020-02-16,95.27371568360968
2020-02-23,99.03452025006796
2020-03-01,100.28812177222072
2020-03-08,86.49850502854036
2020-03-15,90.25930959499865
2020-03-22,68.94808371840175
2020-03-29,73.96248980701279
2020-04-05,87.75210655069313
2020-04-12,82.73770046208209
2020-04-19,81.48409893992934
2020-04-26,85.24490350638762
2020-05-03,86.49850502854036
2020-05-10,86.49850502854036
2020-05-17,85.24490350638762
2020-05-24,86.49850502854036
2020-05-31,89.00570807284589
2020-06-07,86.49850502854036
2020-06-14,89.00570807284589
2020-06-21,92.76651263930417
2020-06-28,95.27371568360968
2020-07-05,101.54172329437348
2020-07-12,96.52731720576244
2020-07-19,96.52731720576244
2020-07-26,97.7809187279152
2020-08-02,96.52731720576244
2020-08-09,102.79532481652623
2020-08-16,96.52731720576244
2020-08-23,96.52731720576244
2020-08-30,101.54172329437348
2020-09-06,102.79532481652623
2020-09-13,96.52731720576244
2020-09-20,101.54172329437348
2020-09-27,101.54172329437348
2020-10-04,100.28812177222072
2020-10-11,102.79532481652623
2020-10-18,96.52731720576244
2020-10-25,87.75210655069313
2020-11-01,89.00570807284589
2020-11-08,83.99130198423485
2020-11-15,86.49850502854036
2020-11-22,91.5129111171514
2020-11-29,92.76651263930417
2020-12-06,96.52731720576244
2020-12-13,99.03452025006796
2020-12-20,97.7809187279152
2020-12-27,100.28812177222072
2021-01-03,90.25930959499865
2021-01-10,90.25930959499865
2021-01-17,96.52731720576244
2021-01-24,90.25930959499865
2021-01-31,92.76651263930417
2021-02-07,97.7809187279152
2021-02-14,95.27371568360968
2021-02-21,99.03452025006796
2021-02-28,100.28812177222072
2021-03-07,95.27371568360968
2021-03-14,105.30252786083176
2021-03-21,99.03452025006796
2021-03-28,99.03452025006796
2021-04-04,94.02011416145693
2021-04-11,86.49850502854036
2021-04-18,83.99130198423485
2021-04-25,81.48409893992934
2021-05-02,80.23049741777658
2021-05-09,82.73770046208209
2021-05-16,78.97689589562381
2021-05-23,85.24490350638762
2021-05-30,89.00570807284589
2021-06-06,90.25930959499865
2021-06-13,104.048926338679
2021-06-20,96.52731720576244
2021-06-27,97.7809187279152
2021-07-04,99.03452025006796
2021-07-11,92.76651263930417
2021-07-18,101.54172329437348
2021-07-25,101.54172329437348
2021-08-01,102.79532481652623
2021-08-08,102.79532481652623
2021-08-15,96.52731720576244
2021-08-22,92.76651263930417
2021-08-29,92.76651263930417
2021-09-05,96.52731720576244
2021-09-12,101.54172329437348
2021-09-19,100.28812177222072
2021-09-26,101.54172329437348
2021-10-03,97.7809187279152
2021-10-10,83.99130198423485
2021-10-17,92.76651263930417
