,Emergency Services
2020-05-24,62.55931599572497
2020-05-31,69.66832917705736
2020-06-07,71.09013181332384
2020-06-14,83.88635553972212
2020-06-21,72.51193444959031
2020-06-28,76.77734235838973
2020-07-05,72.51193444959031
2020-07-12,72.51193444959031
2020-07-19,76.77734235838973
2020-07-26,76.77734235838973
2020-08-02,71.09013181332384
2020-08-09,75.35553972212327
2020-08-16,71.09013181332384
2020-08-23,79.62094763092269
2020-08-30,76.77734235838973
2020-09-06,83.88635553972212
2020-09-13,81.04275026718916
2020-09-20,82.46455290345564
2020-09-27,81.04275026718916
2020-10-04,82.46455290345564
2020-10-11,76.77734235838973
2020-10-18,75.35553972212327
2020-10-25,75.35553972212327
2020-11-01,69.66832917705736
2020-11-08,66.8247239045244
2020-11-15,68.24652654079088
2020-11-22,73.93373708585679
2020-11-29,71.09013181332384
2020-12-06,72.51193444959031
2020-12-13,76.77734235838973
2020-12-20,83.88635553972212
2020-12-27,71.09013181332384
2021-01-03,72.51193444959031
2021-01-10,69.66832917705736
2021-01-17,69.66832917705736
2021-01-24,72.51193444959031
2021-01-31,75.35553972212327
2021-02-07,82.46455290345564
2021-02-14,72.51193444959031
2021-02-21,78.19914499465621
2021-02-28,76.77734235838973
2021-03-07,75.35553972212327
2021-03-14,81.04275026718916
2021-03-21,76.77734235838973
2021-03-28,76.77734235838973
2021-04-04,76.77734235838973
2021-04-11,81.04275026718916
2021-04-18,99.52618453865337
2021-04-25,106.63519771998574
2021-05-02,99.52618453865337
2021-05-09,93.83897399358746
2021-05-16,86.72996081225507
2021-05-23,85.3081581759886
2021-05-30,85.3081581759886
2021-06-06,83.88635553972212
2021-06-13,103.7915924474528
2021-06-20,81.04275026718916
2021-06-27,81.04275026718916
2021-07-04,82.46455290345564
2021-07-11,83.88635553972212
2021-07-18,83.88635553972212
2021-07-25,85.3081581759886
2021-08-01,81.04275026718916
2021-08-08,85.3081581759886
2021-08-15,82.46455290345564
2021-08-22,79.62094763092269
2021-08-29,81.04275026718916
2021-09-05,76.77734235838973
2021-09-12,76.77734235838973
2021-09-19,81.04275026718916
2021-09-26,81.04275026718916
2021-10-03,76.77734235838973
2021-10-10,69.66832917705736
2021-10-17,79.62094763092269
2021-10-24,75.35553972212327
2021-10-31,62.55931599572497
2021-11-07,72.51193444959031
2021-11-14,75.35553972212327
2021-11-21,69.66832917705736
2021-11-28,75.35553972212327
2021-12-05,73.93373708585679
2021-12-12,71.09013181332384
2021-12-19,78.19914499465621
2021-12-26,75.35553972212327
2022-01-02,82.46455290345564
2022-01-09,75.35553972212327
2022-01-16,71.09013181332384
2022-01-23,78.19914499465621
2022-01-30,82.46455290345564
2022-02-06,79.62094763092269
2022-02-13,92.41717135732098
2022-02-20,89.57356608478803
2022-02-27,92.41717135732098
2022-03-06,93.83897399358746
2022-03-13,86.72996081225507
2022-03-20,93.83897399358746
2022-03-27,88.15176344852155
2022-04-03,89.57356608478803
2022-04-10,88.15176344852155
2022-04-17,92.41717135732098
2022-04-24,95.26077662985394
2022-05-01,88.15176344852155
2022-05-08,93.83897399358746
2022-05-15,93.83897399358746
2022-05-22,98.10438190238689
2022-05-29,98.10438190238689
2022-06-05,105.21339508371928
2022-06-12,122.27502671891699
2022-06-19,105.21339508371928
2022-06-26,102.36978981118632
2022-07-03,93.83897399358746
2022-07-10,99.52618453865337
2022-07-17,92.41717135732098
2022-07-24,95.26077662985394
2022-07-31,100.94798717491985
2022-08-07,86.72996081225507
2022-08-14,88.15176344852155
2022-08-21,95.26077662985394
2022-08-28,93.83897399358746
2022-09-04,93.83897399358746
2022-09-11,99.52618453865337
2022-09-18,102.36978981118632
2022-09-25,92.41717135732098
2022-10-02,86.72996081225507
2022-10-09,93.83897399358746
2022-10-16,83.88635553972212
2022-10-23,83.88635553972212
2022-10-30,96.68257926612041
2022-11-06,85.3081581759886
2022-11-13,92.41717135732098
2022-11-20,86.72996081225507
2022-11-27,85.3081581759886
2022-12-04,86.72996081225507
2022-12-11,86.72996081225507
2022-12-18,93.83897399358746
2022-12-25,109.4788029925187
2023-01-01,108.05700035625222
2023-01-08,89.57356608478803
2023-01-15,86.72996081225507
2023-01-22,86.72996081225507
2023-01-29,90.9953687210545
2023-02-05,96.68257926612041
2023-02-12,93.83897399358746
2023-02-19,95.26077662985394
2023-02-26,92.41717135732098
2023-03-05,85.3081581759886
2023-03-12,89.57356608478803
2023-03-19,88.15176344852155
2023-03-26,90.9953687210545
2023-04-02,90.9953687210545
2023-04-09,89.57356608478803
2023-04-16,95.26077662985394
2023-04-23,90.9953687210545
2023-04-30,92.41717135732098
2023-05-07,90.9953687210545
2023-05-14,95.26077662985394
2023-05-21,98.10438190238689
2023-05-28,96.68257926612041
2023-06-04,108.05700035625222
2023-06-11,136.49305308158176
2023-06-18,113.74421090131813
2023-06-25,115.1660135375846
2023-07-02,116.58781617385108
2023-07-09,108.05700035625222
2023-07-16,142.18026362664767
2023-07-23,112.32240826505165
2023-07-30,99.52618453865337
2023-08-06,100.94798717491985
2023-08-13,98.10438190238689
2023-08-20,98.10438190238689
2023-08-27,96.68257926612041
2023-09-03,99.52618453865337
2023-09-10,108.05700035625222
2023-09-17,103.7915924474528
2023-09-24,109.4788029925187
2023-10-01,103.7915924474528
2023-10-08,116.58781617385108
2023-10-15,95.26077662985394
2023-10-22,85.3081581759886
2023-10-29,93.83897399358746
2023-11-05,88.15176344852155
2023-11-12,82.46455290345564
2023-11-19,88.15176344852155
2023-11-26,93.83897399358746
2023-12-03,96.68257926612041
2023-12-10,100.94798717491985
2023-12-17,92.41717135732098
2023-12-24,89.57356608478803
2023-12-31,88.15176344852155
2024-01-07,84.41893939252637
2024-01-14,86.90184937465949
2024-01-21,81.93602941039323
2024-01-28,81.93602941039323
2024-02-04,86.90184937465949
2024-02-11,81.93602941039323
2024-02-18,81.93602941039323
2024-02-25,84.41893939252637
2024-03-03,96.83348930319201
2024-03-10,84.41893939252637
2024-03-17,81.93602941039323
2024-03-24,81.93602941039323
2024-03-31,84.41893939252637
2024-04-07,76.97020944612699
2024-04-14,81.93602941039323
2024-04-21,79.45311942826011
2024-04-28,84.41893939252637
2024-05-05,81.93602941039323
2024-05-12,81.93602941039323
2024-05-19,91.86766933892575
2024-05-26,91.86766933892575
2024-06-02,94.35057932105887
2024-06-09,109.24803921385765
2024-06-16,96.83348930319201
2024-06-23,106.76512923172452
2024-06-30,89.38475935679263
2024-07-07,101.79930926745827
2024-07-14,94.35057932105887
2024-07-21,86.90184937465949
2024-07-28,91.86766933892575
2024-08-04,89.38475935679263
2024-08-11,94.35057932105887
2024-08-18,96.83348930319201
2024-08-25,99.31639928532513
2024-09-01,101.79930926745827
2024-09-08,94.35057932105887
2024-09-15,91.86766933892575
2024-09-22,94.35057932105887
2024-09-29,86.90184937465949
2024-10-06,84.41893939252637
2024-10-13,91.86766933892575
2024-10-20,84.41893939252637
2024-10-27,69.52147949972759
2024-11-03,81.93602941039323
2024-11-10,81.93602941039323
2024-11-17,84.41893939252637
2024-11-24,81.93602941039323
2024-12-01,84.41893939252637
2024-12-08,84.41893939252637
2024-12-15,86.90184937465949
2024-12-22,91.86766933892575
2024-12-29,94.35057932105887
2025-01-05,91.86766933892575
2025-01-12,111.73094919599077
2025-01-19,114.21385917812391
2025-01-26,94.35057932105887
2025-02-02,84.41893939252637
2025-02-09,89.38475935679263
2025-02-16,86.90184937465949
2025-02-23,86.90184937465949
2025-03-02,84.41893939252637
2025-03-09,84.41893939252637
2025-03-16,96.83348930319201
2025-03-23,89.38475935679263
2025-03-30,84.41893939252637
2025-04-06,81.93602941039323
2025-04-13,81.93602941039323
2025-04-20,86.90184937465949
2025-04-27,81.93602941039323
2025-05-04,248.29099821331283
2025-05-11,86.90184937465949
2025-05-18,89.38475935679263
2025-05-25,96.83348930319201
2025-06-01,86.90184937465949
2025-06-08,99.31639928532513
2025-06-15,96.83348930319201
2025-06-22,99.31639928532513
2025-06-29,91.86766933892575
2025-07-06,86.90184937465949
2025-07-13,86.90184937465949
2025-07-20,86.90184937465949
2025-07-27,89.38475935679263
2025-08-03,91.86766933892575
2025-08-10,81.93602941039323
2025-08-17,89.38475935679263
2025-08-24,84.41893939252637
2025-08-31,84.41893939252637
2025-09-07,86.90184937465949
2025-09-14,79.45311942826011
2025-09-21,79.45311942826011
2025-09-28,69.52147949972759
2025-10-05,79.45311942826011
2025-10-12,74.48729946399385
2025-10-19,67.03856951759447
2025-10-26,76.97020944612699
2025-11-02,76.97020944612699
2025-11-09,76.97020944612699
2025-11-16,76.97020944612699
2025-11-23,76.97020944612699
2025-11-30,79.45311942826011
2025-12-07,74.48729946399385
2025-12-14,81.93602941039323
2025-12-21,79.45311942826011
2025-12-28,76.97020944612699
2026-01-04,81.93602941039323
