,Fashion & Style
2014-12-28,64.0
2015-01-04,57.0
2015-01-11,59.0
2015-01-18,51.0
2015-01-25,53.0
2015-02-01,52.0
2015-02-08,52.0
2015-02-15,55.0
2015-02-22,53.0
2015-03-01,48.0
2015-03-08,53.0
2015-03-15,55.0
2015-03-22,53.0
2015-03-29,55.0
2015-04-05,52.0
2015-04-12,50.0
2015-04-19,49.0
2015-04-26,49.0
2015-05-03,52.0
2015-05-10,52.0
2015-05-17,55.0
2015-05-24,50.0
2015-05-31,51.0
2015-06-07,50.0
2015-06-14,54.0
2015-06-21,59.0
2015-06-28,66.0
2015-07-05,69.0
2015-07-12,67.0
2015-07-19,70.0
2015-07-26,70.0
2015-08-02,71.0
2015-08-09,70.0
2015-08-16,69.0
2015-08-23,68.0
2015-08-30,68.0
2015-09-06,68.0
2015-09-13,63.0
2015-09-20,63.0
2015-09-27,62.0
2015-10-04,64.0
2015-10-11,65.0
2015-10-18,59.0
2015-10-25,61.0
2015-11-01,62.0
2015-11-08,52.0
2015-11-15,56.0
2015-11-22,53.0
2015-11-29,53.0
2015-12-06,57.0
2015-12-13,56.0
2015-12-20,59.0
2015-12-27,57.0
2016-01-03,56.0
2016-01-10,54.0
2016-01-17,54.0
2016-01-24,54.0
2016-01-31,53.0
2016-02-07,53.0
2016-02-14,54.0
2016-02-21,53.0
2016-02-28,54.0
2016-03-06,55.0
2016-03-13,57.0
2016-03-20,52.0
2016-03-27,57.0
2016-04-03,54.0
2016-04-10,55.0
2016-04-17,53.0
2016-04-24,55.0
2016-05-01,55.0
2016-05-08,57.0
2016-05-15,52.0
2016-05-22,54.0
2016-05-29,56.0
2016-06-05,56.0
2016-06-12,57.0
2016-06-19,58.0
2016-06-26,59.0
2016-07-03,60.0
2016-07-10,61.0
2016-07-17,73.0
2016-07-24,81.0
2016-07-31,68.0
2016-08-07,62.0
2016-08-14,61.0
2016-08-21,70.0
2016-08-28,70.0
2016-09-04,64.0
2016-09-11,62.0
2016-09-18,64.0
2016-09-25,63.0
2016-10-02,65.0
2016-10-09,63.0
2016-10-16,65.0
2016-10-23,60.0
2016-10-30,59.0
2016-11-06,60.0
2016-11-13,60.0
