,Entertainment Media
2014-12-28,21.0
2015-01-04,20.0
2015-01-11,19.0
2015-01-18,19.0
2015-01-25,19.0
2015-02-01,19.0
2015-02-08,20.0
2015-02-15,20.0
2015-02-22,19.0
2015-03-01,19.0
2015-03-08,20.0
2015-03-15,20.0
2015-03-22,21.0
2015-03-29,23.0
2015-04-05,21.0
2015-04-12,20.0
2015-04-19,19.0
2015-04-26,19.0
2015-05-03,22.0
2015-05-10,20.0
2015-05-17,21.0
2015-05-24,21.0
2015-05-31,21.0
2015-06-07,20.0
2015-06-14,20.0
2015-06-21,25.0
2015-06-28,27.0
2015-07-05,28.0
2015-07-12,30.0
2015-07-19,32.0
2015-07-26,30.0
2015-08-02,33.0
2015-08-09,37.0
2015-08-16,30.0
2015-08-23,30.0
2015-08-30,29.0
2015-09-06,30.0
2015-09-13,29.0
2015-09-20,31.0
2015-09-27,30.0
2015-10-04,30.0
2015-10-11,33.0
2015-10-18,33.0
2015-10-25,33.0
2015-11-01,30.0
2015-11-08,28.0
2015-11-15,27.0
2015-11-22,27.0
2015-11-29,26.0
2015-12-06,26.0
2015-12-13,26.0
2015-12-20,30.0
2015-12-27,27.0
2016-01-03,37.0
2016-01-10,31.0
2016-01-17,29.0
2016-01-24,25.0
2016-01-31,27.0
2016-02-07,27.0
2016-02-14,27.0
2016-02-21,25.0
2016-02-28,26.0
2016-03-06,26.0
2016-03-13,25.0
2016-03-20,27.0
2016-03-27,26.0
2016-04-03,27.0
2016-04-10,27.0
2016-04-17,31.0
2016-04-24,28.0
2016-05-01,29.0
2016-05-08,28.0
2016-05-15,30.0
2016-05-22,29.0
2016-05-29,28.0
2016-06-05,30.0
2016-06-12,30.0
2016-06-19,31.0
2016-06-26,31.0
2016-07-03,34.0
2016-07-10,31.0
2016-07-17,39.0
2016-07-24,37.0
2016-07-31,38.0
2016-08-07,38.0
2016-08-14,34.0
2016-08-21,36.0
2016-08-28,34.0
2016-09-04,36.0
2016-09-11,35.0
2016-09-18,36.0
2016-09-25,38.0
2016-10-02,42.0
2016-10-09,38.0
2016-10-16,42.0
2016-10-23,39.0
2016-10-30,40.0
2016-11-06,38.0
2016-11-13,38.0
2016-11-20,39.0
2016-11-27,39.0
2016-12-04,39.0
2016-12-11,40.0
2016-12-18,42.0
2016-12-25,44.0
2017-01-01,41.0
2017-01-08,38.0
2017-01-15,38.0
2017-01-22,42.0
2017-01-29,37.0
2017-02-05,40.0
2017-02-12,40.0
2017-02-19,38.0
2017-02-26,38.0
2017-03-05,45.0
2017-03-12,40.0
2017-03-19,43.0
2017-03-26,45.0
2017-04-02,41.0
2017-04-09,42.0
2017-04-16,42.0
2017-04-23,41.0
2017-04-30,41.0
2017-05-07,42.0
2017-05-14,43.0
2017-05-21,46.0
2017-05-28,45.0
2017-06-04,47.0
2017-06-11,53.0
2017-06-18,50.0
2017-06-25,54.0
2017-07-02,56.0
2017-07-09,56.0
2017-07-16,59.0
2017-07-23,55.0
2017-07-30,57.0
2017-08-06,58.0
2017-08-13,58.0
2017-08-20,50.0
2017-08-27,39.0
2017-09-03,41.0
2017-09-10,41.0
2017-09-17,45.0
2017-09-24,42.0
2017-10-01,40.0
2017-10-08,41.0
2017-10-15,39.0
2017-10-22,39.0
2017-10-29,41.0
2017-11-05,40.0
2017-11-12,41.0
2017-11-19,40.0
2017-11-26,41.0
2017-12-03,37.0
2017-12-10,40.0
2017-12-17,47.0
2017-12-24,45.0
2017-12-31,42.0
2018-01-07,41.0
2018-01-14,39.0
2018-01-21,41.0
2018-01-28,41.0
2018-02-04,40.0
2018-02-11,42.0
2018-02-18,37.0
2018-02-25,41.0
2018-03-04,43.0
2018-03-11,43.0
2018-03-18,45.0
2018-03-25,47.0
2018-04-01,40.0
2018-04-08,43.0
2018-04-15,42.0
2018-04-22,43.0
2018-04-29,46.0
2018-05-06,43.0
2018-05-13,51.0
2018-05-20,58.0
2018-05-27,51.0
2018-06-03,49.0
2018-06-10,59.0
2018-06-17,70.0
2018-06-24,63.0
2018-07-01,57.0
2018-07-08,67.0
2018-07-15,63.0
2018-07-22,66.0
2018-07-29,67.0
2018-08-05,74.0
2018-08-12,74.0
2018-08-19,71.0
2018-08-26,70.0
2018-09-02,71.0
2018-09-09,78.0
2018-09-16,70.0
2018-09-23,66.0
2018-09-30,68.0
2018-10-07,78.0
2018-10-14,73.0
2018-10-21,75.0
2018-10-28,70.0
2018-11-04,68.0
2018-11-11,67.0
2018-11-18,63.0
2018-11-25,65.0
2018-12-02,65.0
2018-12-09,78.0
2018-12-16,64.0
2018-12-23,74.0
2018-12-30,70.0
2019-01-06,66.0
2019-01-13,63.0
2019-01-20,58.0
2019-01-27,57.0
2019-02-03,53.0
2019-02-10,53.0
2019-02-17,52.0
2019-02-24,51.0
2019-03-03,52.0
2019-03-10,55.0
2019-03-17,56.0
2019-03-24,55.0
2019-03-31,55.0
2019-04-07,54.0
2019-04-14,53.0
2019-04-21,51.0
2019-04-28,49.0
2019-05-05,48.0
2019-05-12,49.0
2019-05-19,100.0
2019-05-26,54.0
2019-06-02,52.0
2019-06-09,52.0
2019-06-16,56.0
2019-06-23,52.0
2019-06-30,54.0
2019-07-07,63.0
2019-07-14,57.0
2019-07-21,58.0
2019-07-28,58.0
2019-08-04,55.0
2019-08-11,67.0
2019-08-18,60.0
2019-08-25,56.0
2019-09-01,52.0
2019-09-08,54.0
2019-09-15,58.0
2019-09-22,57.0
2019-09-29,64.0
2019-10-06,56.0
2019-10-13,55.0
2019-10-20,73.0
2019-10-27,66.0
2019-11-03,57.0
2019-11-10,55.0
2019-11-17,53.0
2019-11-24,48.0
2019-12-01,49.0
2019-12-08,49.0
2019-12-15,49.0
2019-12-22,65.0
2019-12-29,54.0
2020-01-05,51.084262148907705
2020-01-12,48.46455639768167
2020-01-19,48.46455639768167
2020-01-26,47.15470352206865
2020-02-02,45.84485064645563
2020-02-09,53.70396790013374
2020-02-16,47.15470352206865
2020-02-23,47.15470352206865
2020-03-01,48.46455639768167
2020-03-08,45.84485064645563
2020-03-15,55.01382077574676
2020-03-22,77.28131966116807
2020-03-29,72.041908158716
2020-04-05,69.42220240748996
2020-04-12,61.56308515381185
2020-04-19,68.11234953187694
2020-04-26,68.11234953187694
2020-05-03,66.80249665626393
2020-05-10,53.70396790013374
2020-05-17,56.323673651359776
2020-05-24,56.323673651359776
2020-05-31,52.39411502452072
2020-06-07,52.39411502452072
2020-06-14,64.18279090503789
2020-06-21,61.56308515381185
2020-06-28,60.25323227819883
2020-07-05,56.323673651359776
2020-07-12,58.94337940258581
2020-07-19,60.25323227819883
2020-07-26,60.25323227819883
2020-08-02,56.323673651359776
2020-08-09,58.94337940258581
2020-08-16,61.56308515381185
2020-08-23,57.633526526972794
2020-08-30,57.633526526972794
2020-09-06,58.94337940258581
2020-09-13,56.323673651359776
2020-09-20,53.70396790013374
2020-09-27,48.46455639768167
2020-10-04,48.46455639768167
2020-10-11,51.084262148907705
2020-10-18,56.323673651359776
2020-10-25,55.01382077574676
2020-11-01,51.084262148907705
2020-11-08,72.041908158716
2020-11-15,55.01382077574676
2020-11-22,52.39411502452072
2020-11-29,77.28131966116807
2020-12-06,57.633526526972794
2020-12-13,48.46455639768167
2020-12-20,56.323673651359776
2020-12-27,53.70396790013374
2021-01-03,48.46455639768167
2021-01-10,49.77440927329469
2021-01-17,45.84485064645563
2021-01-24,47.15470352206865
2021-01-31,45.84485064645563
2021-02-07,45.84485064645563
2021-02-14,45.84485064645563
2021-02-21,48.46455639768167
2021-02-28,48.46455639768167
2021-03-07,48.46455639768167
2021-03-14,49.77440927329469
2021-03-21,51.084262148907705
2021-03-28,53.70396790013374
2021-04-04,51.084262148907705
2021-04-11,53.70396790013374
2021-04-18,56.323673651359776
2021-04-25,56.323673651359776
2021-05-02,79.9010254123941
2021-05-09,62.87293802942487
2021-05-16,62.87293802942487
2021-05-23,60.25323227819883
2021-05-30,56.323673651359776
2021-06-06,57.633526526972794
2021-06-13,60.25323227819883
2021-06-20,58.94337940258581
2021-06-27,56.323673651359776
2021-07-04,57.633526526972794
2021-07-11,57.633526526972794
2021-07-18,61.56308515381185
2021-07-25,57.633526526972794
2021-08-01,56.323673651359776
2021-08-08,65.49264378065091
2021-08-15,62.87293802942487
2021-08-22,57.633526526972794
2021-08-29,62.87293802942487
2021-09-05,62.87293802942487
2021-09-12,58.94337940258581
2021-09-19,58.94337940258581
2021-09-26,56.323673651359776
2021-10-03,58.94337940258581
2021-10-10,56.323673651359776
2021-10-17,57.633526526972794
2021-10-24,51.084262148907705
2021-10-31,53.70396790013374
2021-11-07,56.323673651359776
2021-11-14,57.633526526972794
2021-11-21,53.70396790013374
2021-11-28,60.25323227819883
2021-12-05,66.80249665626393
2021-12-12,72.041908158716
2021-12-19,73.35176103432902
2021-12-26,72.041908158716
2022-01-02,75.97146678555505
2022-01-09,74.66161390994203
2022-01-16,66.80249665626393
2022-01-23,70.73205528310298
2022-01-30,65.49264378065091
2022-02-06,61.56308515381185
2022-02-13,64.18279090503789
2022-02-20,65.49264378065091
2022-02-27,66.80249665626393
2022-03-06,100.85867142220239
2022-03-13,65.49264378065091
2022-03-20,66.80249665626393
2022-03-27,62.87293802942487
2022-04-03,60.25323227819883
2022-04-10,70.73205528310298
2022-04-17,61.56308515381185
2022-04-24,62.87293802942487
2022-05-01,69.42220240748996
2022-05-08,69.42220240748996
2022-05-15,72.041908158716
2022-05-22,77.28131966116807
2022-05-29,75.97146678555505
2022-06-05,73.35176103432902
2022-06-12,75.97146678555505
2022-06-19,83.83058403923316
2022-06-26,86.4502897904592
2022-07-03,77.28131966116807
2022-07-10,81.21087828800712
2022-07-17,77.28131966116807
2022-07-24,77.28131966116807
2022-07-31,77.28131966116807
2022-08-07,81.21087828800712
2022-08-14,82.52073116362014
2022-08-21,77.28131966116807
2022-08-28,73.35176103432902
2022-09-04,72.041908158716
2022-09-11,73.35176103432902
2022-09-18,79.9010254123941
2022-09-25,77.28131966116807
2022-10-02,75.97146678555505
2022-10-09,73.35176103432902
2022-10-16,73.35176103432902
2022-10-23,72.041908158716
2022-10-30,72.041908158716
2022-11-06,72.041908158716
2022-11-13,68.11234953187694
2022-11-20,65.49264378065091
2022-11-27,65.49264378065091
2022-12-04,78.59117253678109
2022-12-11,77.28131966116807
2022-12-18,78.59117253678109
2022-12-25,86.4502897904592
2023-01-01,77.28131966116807
2023-01-08,69.42220240748996
2023-01-15,72.041908158716
2023-01-22,73.35176103432902
2023-01-29,68.11234953187694
2023-02-05,68.11234953187694
2023-02-12,66.80249665626393
2023-02-19,69.42220240748996
2023-02-26,70.73205528310298
2023-03-05,68.11234953187694
2023-03-12,72.041908158716
2023-03-19,74.66161390994203
2023-03-26,73.35176103432902
2023-04-02,75.97146678555505
2023-04-09,70.73205528310298
2023-04-16,65.49264378065091
2023-04-23,68.11234953187694
2023-04-30,70.73205528310298
2023-05-07,81.21087828800712
2023-05-14,70.73205528310298
2023-05-21,73.35176103432902
2023-05-28,77.28131966116807
2023-06-04,73.35176103432902
2023-06-11,77.28131966116807
2023-06-18,75.97146678555505
2023-06-25,77.28131966116807
2023-07-02,77.28131966116807
2023-07-09,82.52073116362014
2023-07-16,75.97146678555505
2023-07-23,75.97146678555505
2023-07-30,74.66161390994203
2023-08-06,70.73205528310298
2023-08-13,72.041908158716
2023-08-20,68.11234953187694
2023-08-27,65.49264378065091
2023-09-03,66.80249665626393
2023-09-10,65.49264378065091
2023-09-17,72.041908158716
2023-09-24,70.73205528310298
2023-10-01,70.73205528310298
2023-10-08,66.80249665626393
2023-10-15,68.11234953187694
2023-10-22,65.49264378065091
2023-10-29,64.18279090503789
2023-11-05,62.87293802942487
2023-11-12,64.18279090503789
2023-11-19,66.80249665626393
2023-11-26,72.041908158716
2023-12-03,130.98528756130182
2023-12-10,69.42220240748996
2023-12-17,66.80249665626393
2023-12-24,83.83058403923316
2023-12-31,79.9010254123941
2024-01-07,71.6655136542295
2024-01-14,73.7733228793539
2024-01-21,73.7733228793539
2024-01-28,67.4498952039807
2024-02-04,69.5577044291051
2024-02-11,69.5577044291051
2024-02-18,69.5577044291051
2024-02-25,65.3420859788563
2024-03-03,69.5577044291051
2024-03-10,71.6655136542295
2024-03-17,71.6655136542295
2024-03-24,77.98894132960268
2024-03-31,71.6655136542295
2024-04-07,75.8811321044783
2024-04-14,67.4498952039807
2024-04-21,71.6655136542295
2024-04-28,73.7733228793539
2024-05-05,82.20455977985148
2024-05-12,82.20455977985148
2024-05-19,82.20455977985148
2024-05-26,80.09675055472708
2024-06-02,210.7809225124397
2024-06-09,80.09675055472708
2024-06-16,77.98894132960268
2024-06-23,69.5577044291051
2024-06-30,71.6655136542295
2024-07-07,73.7733228793539
2024-07-14,77.98894132960268
2024-07-21,77.98894132960268
2024-07-28,73.7733228793539
2024-08-04,73.7733228793539
2024-08-11,82.20455977985148
2024-08-18,75.8811321044783
2024-08-25,80.09675055472708
2024-09-01,75.8811321044783
2024-09-08,71.6655136542295
2024-09-15,75.8811321044783
2024-09-22,73.7733228793539
