,Hospitals & Treatment Centers
2020-05-24,62.10480349344978
2020-05-31,66.882096069869
2020-06-07,71.6593886462882
2020-06-14,71.6593886462882
2020-06-21,73.25181950509462
2020-06-28,73.25181950509462
2020-07-05,74.84425036390103
2020-07-12,82.80640465793304
2020-07-19,78.02911208151383
2020-07-26,81.21397379912663
2020-08-02,82.80640465793304
2020-08-09,78.02911208151383
2020-08-16,81.21397379912663
2020-08-23,87.58369723435226
2020-08-30,87.58369723435226
2020-09-06,89.17612809315867
2020-09-13,81.21397379912663
2020-09-20,78.02911208151383
2020-09-27,79.62154294032024
2020-10-04,79.62154294032024
2020-10-11,81.21397379912663
2020-10-18,71.6593886462882
2020-10-25,73.25181950509462
2020-11-01,70.06695778748181
2020-11-08,62.10480349344978
2020-11-15,76.43668122270742
2020-11-22,76.43668122270742
2020-11-29,87.58369723435226
2020-12-06,87.58369723435226
2020-12-13,81.21397379912663
2020-12-20,84.39883551673945
2020-12-27,81.21397379912663
2021-01-03,81.21397379912663
2021-01-10,74.84425036390103
2021-01-17,79.62154294032024
2021-01-24,78.02911208151383
2021-01-31,74.84425036390103
2021-02-07,79.62154294032024
2021-02-14,79.62154294032024
2021-02-21,89.17612809315867
2021-02-28,98.7307132459971
2021-03-07,90.76855895196506
2021-03-14,92.36098981077147
2021-03-21,90.76855895196506
2021-03-28,103.50800582241631
2021-04-04,109.87772925764192
2021-04-11,122.61717612809316
2021-04-18,149.68850072780205
2021-04-25,159.24308588064048
2021-05-02,148.09606986899564
2021-05-09,127.39446870451238
2021-05-16,108.28529839883552
2021-05-23,103.50800582241631
2021-05-30,111.47016011644833
2021-06-06,98.7307132459971
2021-06-13,97.13828238719069
2021-06-20,101.9155749636099
2021-06-27,105.1004366812227
2021-07-04,101.9155749636099
2021-07-11,100.32314410480349
2021-07-18,106.69286754002911
2021-07-25,97.13828238719069
2021-08-01,97.13828238719069
2021-08-08,106.69286754002911
2021-08-15,100.32314410480349
2021-08-22,97.13828238719069
2021-08-29,98.7307132459971
2021-09-05,92.36098981077147
2021-09-12,97.13828238719069
2021-09-19,93.95342066957788
2021-09-26,90.76855895196506
2021-10-03,84.39883551673945
2021-10-10,84.39883551673945
2021-10-17,84.39883551673945
2021-10-24,84.39883551673945
2021-10-31,73.25181950509462
2021-11-07,85.99126637554585
2021-11-14,84.39883551673945
