,Import & Export
2014-12-28,52.0
2015-01-04,50.0
2015-01-11,46.0
2015-01-18,46.0
2015-01-25,41.0
2015-02-01,49.0
2015-02-08,46.0
2015-02-15,48.0
2015-02-22,56.0
2015-03-01,53.0
2015-03-08,48.0
2015-03-15,49.0
2015-03-22,48.0
2015-03-29,55.0
2015-04-05,53.0
2015-04-12,49.0
2015-04-19,49.0
2015-04-26,47.0
2015-05-03,45.0
2015-05-10,52.0
2015-05-17,49.0
2015-05-24,48.0
2015-05-31,47.0
2015-06-07,45.0
2015-06-14,49.0
2015-06-21,48.0
2015-06-28,57.0
2015-07-05,59.0
2015-07-12,60.0
2015-07-19,63.0
2015-07-26,57.0
2015-08-02,63.0
2015-08-09,58.0
2015-08-16,58.0
2015-08-23,51.0
2015-08-30,58.0
2015-09-06,60.0
2015-09-13,52.0
2015-09-20,56.0
2015-09-27,53.0
2015-10-04,57.0
2015-10-11,54.0
2015-10-18,45.0
2015-10-25,56.0
2015-11-01,49.0
2015-11-08,36.0
2015-11-15,48.0
2015-11-22,51.0
2015-11-29,49.0
2015-12-06,52.0
2015-12-13,55.0
2015-12-20,56.0
2015-12-27,49.0
2016-01-03,54.0
2016-01-10,47.0
2016-01-17,50.0
2016-01-24,47.0
2016-01-31,57.0
2016-02-07,57.0
2016-02-14,53.0
2016-02-21,55.0
2016-02-28,64.0
2016-03-06,61.0
2016-03-13,60.0
2016-03-20,47.0
2016-03-27,57.0
2016-04-03,55.0
2016-04-10,52.0
2016-04-17,50.0
2016-04-24,52.0
2016-05-01,55.0
2016-05-08,53.0
2016-05-15,54.0
2016-05-22,54.0
2016-05-29,56.0
2016-06-05,55.0
2016-06-12,55.0
2016-06-19,60.0
2016-06-26,58.0
2016-07-03,54.0
2016-07-10,57.0
2016-07-17,62.0
2016-07-24,78.0
2016-07-31,77.0
2016-08-07,60.0
2016-08-14,50.0
2016-08-21,54.0
2016-08-28,61.0
2016-09-04,58.0
2016-09-11,56.0
2016-09-18,63.0
2016-09-25,69.0
2016-10-02,56.0
2016-10-09,52.0
2016-10-16,60.0
2016-10-23,58.0
2016-10-30,46.0
2016-11-06,50.0
2016-11-13,48.0
2016-11-20,57.0
2016-11-27,57.0
2016-12-04,49.0
2016-12-11,50.0
2016-12-18,59.0
2016-12-25,57.0
2017-01-01,63.0
2017-01-08,58.0
2017-01-15,63.0
2017-01-22,54.0
2017-01-29,61.0
2017-02-05,60.0
2017-02-12,62.0
2017-02-19,57.0
2017-02-26,61.0
2017-03-05,66.0
2017-03-12,57.0
2017-03-19,67.0
2017-03-26,70.0
2017-04-02,61.0
2017-04-09,69.0
2017-04-16,64.0
2017-04-23,60.0
2017-04-30,59.0
2017-05-07,58.0
2017-05-14,63.0
2017-05-21,70.0
2017-05-28,69.0
2017-06-04,72.0
2017-06-11,75.0
2017-06-18,79.0
2017-06-25,90.0
2017-07-02,100.0
2017-07-09,91.0
2017-07-16,88.0
2017-07-23,77.0
2017-07-30,80.0
2017-08-06,67.0
2017-08-13,70.0
2017-08-20,69.0
2017-08-27,62.0
2017-09-03,66.0
2017-09-10,69.0
2017-09-17,70.0
2017-09-24,56.0
2017-10-01,63.0
2017-10-08,67.0
2017-10-15,41.0
2017-10-22,61.0
2017-10-29,61.0
2017-11-05,68.0
2017-11-12,67.0
2017-11-19,63.0
2017-11-26,63.0
2017-12-03,65.0
2017-12-10,65.0
2017-12-17,68.0
2017-12-24,64.0
2017-12-31,57.0
2018-01-07,64.0
2018-01-14,64.0
2018-01-21,62.0
2018-01-28,73.0
2018-02-04,68.0
2018-02-11,65.0
2018-02-18,71.0
2018-02-25,61.0
2018-03-04,65.0
2018-03-11,68.0
2018-03-18,73.0
2018-03-25,70.0
2018-04-01,71.0
2018-04-08,65.0
2018-04-15,65.0
2018-04-22,62.0
2018-04-29,63.0
2018-05-06,67.0
2018-05-13,64.0
2018-05-20,71.0
2018-05-27,72.0
2018-06-03,68.0
2018-06-10,70.0
2018-06-17,68.0
2018-06-24,72.0
2018-07-01,71.0
2018-07-08,73.0
2018-07-15,73.0
2018-07-22,72.0
2018-07-29,82.0
2018-08-05,76.0
2018-08-12,70.0
2018-08-19,74.0
2018-08-26,77.0
2018-09-02,82.0
2018-09-09,77.0
2018-09-16,80.0
2018-09-23,81.0
2018-09-30,72.0
2018-10-07,80.0
2018-10-14,65.0
2018-10-21,80.0
2018-10-28,77.0
2018-11-04,52.0
2018-11-11,71.0
2018-11-18,70.0
2018-11-25,74.0
2018-12-02,75.0
2018-12-09,73.0
2018-12-16,78.0
2018-12-23,73.0
2018-12-30,72.0
2019-01-06,70.0
2019-01-13,70.0
2019-01-20,68.0
2019-01-27,70.0
2019-02-03,72.0
2019-02-10,78.0
2019-02-17,88.0
2019-02-24,76.0
2019-03-03,78.0
2019-03-10,75.0
2019-03-17,69.0
2019-03-24,72.0
2019-03-31,70.0
2019-04-07,68.0
2019-04-14,64.0
2019-04-21,69.0
2019-04-28,65.0
2019-05-05,73.0
2019-05-12,73.0
2019-05-19,67.0
2019-05-26,75.0
2019-06-02,69.0
2019-06-09,73.0
2019-06-16,75.0
2019-06-23,78.0
2019-06-30,74.0
2019-07-07,75.0
2019-07-14,80.0
2019-07-21,82.0
2019-07-28,88.0
2019-08-04,78.0
2019-08-11,65.0
2019-08-18,74.0
2019-08-25,75.0
2019-09-01,69.0
2019-09-08,73.0
2019-09-15,81.0
2019-09-22,74.0
2019-09-29,66.0
2019-10-06,64.0
2019-10-13,70.0
2019-10-20,61.0
2019-10-27,59.0
2019-11-03,71.0
2019-11-10,71.0
2019-11-17,76.0
2019-11-24,74.0
2019-12-01,76.0
2019-12-08,72.0
2019-12-15,70.0
2019-12-22,65.0
2019-12-29,66.0
2020-01-05,68.77557251908397
2020-01-12,64.19053435114503
2020-01-19,71.06809160305343
2020-01-26,71.06809160305343
2020-02-02,74.50687022900763
2020-02-09,72.21435114503817
2020-02-16,75.65312977099236
2020-02-23,73.3606106870229
2020-03-01,71.06809160305343
2020-03-08,67.62931297709923
2020-03-15,73.3606106870229
2020-03-22,48.142900763358774
2020-03-29,48.142900763358774
2020-04-05,55.020458015267174
2020-04-12,49.28916030534351
2020-04-19,52.72793893129771
2020-04-26,53.87419847328244
2020-05-03,58.45923664122137
2020-05-10,63.04427480916031
2020-05-17,64.19053435114503
2020-05-24,67.62931297709923
2020-05-31,65.33679389312977
2020-06-07,68.77557251908397
2020-06-14,89.40824427480916
2020-06-21,83.6769465648855
2020-06-28,77.94564885496183
2020-07-05,71.06809160305343
2020-07-12,74.50687022900763
2020-07-19,80.2381679389313
2020-07-26,80.2381679389313
2020-08-02,72.21435114503817
2020-08-09,76.7993893129771
2020-08-16,71.06809160305343
2020-08-23,73.3606106870229
2020-08-30,73.3606106870229
