,Accounting & Auditing
2014-12-28,20.0
2015-01-04,22.0
2015-01-11,19.0
2015-01-18,22.0
2015-01-25,18.0
2015-02-01,21.0
2015-02-08,21.0
2015-02-15,23.0
2015-02-22,23.0
2015-03-01,20.0
2015-03-08,23.0
2015-03-15,22.0
2015-03-22,25.0
2015-03-29,26.0
2015-04-05,20.0
2015-04-12,21.0
2015-04-19,22.0
2015-04-26,20.0
2015-05-03,20.0
2015-05-10,20.0
2015-05-17,21.0
2015-05-24,20.0
2015-05-31,22.0
2015-06-07,21.0
2015-06-14,23.0
2015-06-21,26.0
2015-06-28,30.0
2015-07-05,31.0
2015-07-12,32.0
2015-07-19,35.0
2015-07-26,35.0
2015-08-02,34.0
2015-08-09,34.0
2015-08-16,42.0
2015-08-23,52.0
2015-08-30,50.0
2015-09-06,30.0
2015-09-13,27.0
2015-09-20,28.0
2015-09-27,32.0
2015-10-04,25.0
2015-10-11,23.0
2015-10-18,20.0
2015-10-25,24.0
2015-11-01,22.0
2015-11-08,13.0
2015-11-15,22.0
2015-11-22,22.0
2015-11-29,22.0
2015-12-06,24.0
2015-12-13,25.0
2015-12-20,22.0
2015-12-27,22.0
2016-01-03,23.0
2016-01-10,21.0
2016-01-17,22.0
2016-01-24,20.0
2016-01-31,25.0
2016-02-07,22.0
2016-02-14,24.0
2016-02-21,23.0
2016-02-28,27.0
2016-03-06,24.0
2016-03-13,26.0
2016-03-20,21.0
2016-03-27,30.0
2016-04-03,21.0
2016-04-10,21.0
2016-04-17,22.0
2016-04-24,22.0
2016-05-01,22.0
2016-05-08,20.0
2016-05-15,21.0
2016-05-22,22.0
2016-05-29,24.0
2016-06-05,24.0
2016-06-12,26.0
2016-06-19,28.0
2016-06-26,30.0
2016-07-03,33.0
2016-07-10,34.0
2016-07-17,45.0
2016-07-24,60.0
2016-07-31,52.0
2016-08-07,27.0
2016-08-14,23.0
2016-08-21,26.0
2016-08-28,25.0
2016-09-04,24.0
2016-09-11,25.0
2016-09-18,27.0
2016-09-25,26.0
2016-10-02,25.0
2016-10-09,21.0
2016-10-16,25.0
2016-10-23,21.0
2016-10-30,17.0
2016-11-06,26.0
2016-11-13,26.0
2016-11-20,26.0
2016-11-27,26.0
2016-12-04,23.0
2016-12-11,24.0
2016-12-18,28.0
2016-12-25,26.0
2017-01-01,26.0
2017-01-08,25.0
2017-01-15,25.0
2017-01-22,25.0
2017-01-29,34.0
2017-02-05,27.0
2017-02-12,28.0
2017-02-19,25.0
2017-02-26,28.0
2017-03-05,25.0
2017-03-12,24.0
2017-03-19,31.0
2017-03-26,38.0
2017-04-02,29.0
2017-04-09,27.0
2017-04-16,28.0
2017-04-23,27.0
2017-04-30,26.0
2017-05-07,26.0
2017-05-14,29.0
2017-05-21,29.0
2017-05-28,29.0
2017-06-04,30.0
2017-06-11,37.0
2017-06-18,38.0
2017-06-25,81.0
2017-07-02,59.0
2017-07-09,49.0
2017-07-16,59.0
2017-07-23,86.0
2017-07-30,100.0
2017-08-06,38.0
2017-08-13,35.0
2017-08-20,33.0
2017-08-27,39.0
2017-09-03,34.0
2017-09-10,33.0
2017-09-17,31.0
2017-09-24,27.0
2017-10-01,27.0
2017-10-08,31.0
2017-10-15,20.0
2017-10-22,30.0
2017-10-29,34.0
2017-11-05,28.0
2017-11-12,27.0
2017-11-19,25.0
2017-11-26,24.0
2017-12-03,30.0
2017-12-10,28.0
2017-12-17,27.0
2017-12-24,28.0
