,Events & Listings
2014-12-28,43.0
2015-01-04,34.0
2015-01-11,45.0
2015-01-18,34.0
2015-01-25,32.0
2015-02-01,32.0
2015-02-08,41.0
2015-02-15,34.0
2015-02-22,31.0
2015-03-01,28.0
2015-03-08,27.0
2015-03-15,31.0
2015-03-22,36.0
2015-03-29,46.0
2015-04-05,47.0
2015-04-12,40.0
2015-04-19,41.0
2015-04-26,45.0
2015-05-03,40.0
2015-05-10,43.0
2015-05-17,41.0
2015-05-24,44.0
2015-05-31,42.0
2015-06-07,46.0
2015-06-14,48.0
2015-06-21,50.0
2015-06-28,55.0
2015-07-05,76.0
2015-07-12,86.0
2015-07-19,75.0
2015-07-26,56.0
2015-08-02,64.0
2015-08-09,61.0
2015-08-16,50.0
2015-08-23,42.0
2015-08-30,45.0
2015-09-06,42.0
2015-09-13,39.0
2015-09-20,43.0
2015-09-27,57.0
2015-10-04,55.0
2015-10-11,49.0
2015-10-18,53.0
2015-10-25,41.0
2015-11-01,38.0
2015-11-08,53.0
2015-11-15,43.0
2015-11-22,48.0
2015-11-29,39.0
2015-12-06,38.0
2015-12-13,51.0
2015-12-20,60.0
2015-12-27,51.0
2016-01-03,34.0
2016-01-10,44.0
2016-01-17,40.0
2016-01-24,44.0
2016-01-31,36.0
2016-02-07,44.0
2016-02-14,38.0
2016-02-21,34.0
2016-02-28,33.0
2016-03-06,35.0
2016-03-13,38.0
2016-03-20,46.0
2016-03-27,48.0
2016-04-03,55.0
2016-04-10,70.0
2016-04-17,51.0
2016-04-24,45.0
2016-05-01,60.0
2016-05-08,51.0
2016-05-15,46.0
2016-05-22,42.0
2016-05-29,47.0
2016-06-05,49.0
2016-06-12,55.0
2016-06-19,51.0
2016-06-26,46.0
2016-07-03,66.0
2016-07-10,51.0
2016-07-17,71.0
2016-07-24,48.0
2016-07-31,45.0
2016-08-07,50.0
2016-08-14,50.0
2016-08-21,41.0
2016-08-28,44.0
2016-09-04,42.0
2016-09-11,42.0
2016-09-18,43.0
2016-09-25,47.0
2016-10-02,46.0
2016-10-09,46.0
2016-10-16,41.0
2016-10-23,46.0
2016-10-30,49.0
2016-11-06,40.0
2016-11-13,41.0
2016-11-20,44.0
2016-11-27,44.0
2016-12-04,46.0
2016-12-11,44.0
2016-12-18,58.0
2016-12-25,72.0
2017-01-01,53.0
2017-01-08,60.0
2017-01-15,51.0
2017-01-22,57.0
2017-01-29,43.0
2017-02-05,51.0
2017-02-12,45.0
2017-02-19,42.0
2017-02-26,37.0
2017-03-05,40.0
2017-03-12,41.0
2017-03-19,45.0
2017-03-26,46.0
2017-04-02,48.0
2017-04-09,57.0
2017-04-16,55.0
2017-04-23,100.0
2017-04-30,90.0
2017-05-07,67.0
2017-05-14,59.0
2017-05-21,61.0
2017-05-28,56.0
2017-06-04,56.0
2017-06-11,56.0
2017-06-18,63.0
2017-06-25,50.0
2017-07-02,51.0
2017-07-09,50.0
2017-07-16,53.0
2017-07-23,50.0
2017-07-30,50.0
2017-08-06,60.0
2017-08-13,61.0
2017-08-20,60.0
2017-08-27,52.0
2017-09-03,49.0
2017-09-10,49.0
2017-09-17,55.0
2017-09-24,61.0
2017-10-01,54.0
2017-10-08,48.0
2017-10-15,63.0
2017-10-22,60.0
2017-10-29,54.0
2017-11-05,48.0
2017-11-12,46.0
2017-11-19,48.0
2017-11-26,45.0
2017-12-03,44.0
2017-12-10,46.0
2017-12-17,69.0
2017-12-24,68.0
2017-12-31,57.0
2018-01-07,56.0
2018-01-14,48.0
2018-01-21,65.0
2018-01-28,57.0
2018-02-04,59.0
2018-02-11,58.0
2018-02-18,52.0
2018-02-25,45.0
2018-03-04,46.0
2018-03-11,46.0
2018-03-18,50.0
2018-03-25,63.0
2018-04-01,60.0
2018-04-08,57.0
2018-04-15,58.0
2018-04-22,67.0
2018-04-29,69.0
2018-05-06,63.0
2018-05-13,63.0
2018-05-20,58.0
2018-05-27,60.0
2018-06-03,65.0
