,Enterprise Technology
2014-12-28,62.0
2015-01-04,64.0
2015-01-11,60.0
2015-01-18,63.0
2015-01-25,55.0
2015-02-01,65.0
2015-02-08,60.0
2015-02-15,64.0
2015-02-22,63.0
2015-03-01,59.0
2015-03-08,66.0
2015-03-15,66.0
2015-03-22,66.0
2015-03-29,62.0
2015-04-05,66.0
2015-04-12,62.0
2015-04-19,61.0
2015-04-26,61.0
2015-05-03,64.0
2015-05-10,67.0
2015-05-17,64.0
2015-05-24,62.0
2015-05-31,63.0
2015-06-07,64.0
2015-06-14,66.0
2015-06-21,71.0
2015-06-28,76.0
2015-07-05,77.0
2015-07-12,77.0
2015-07-19,76.0
2015-07-26,74.0
2015-08-02,77.0
2015-08-09,77.0
2015-08-16,77.0
2015-08-23,72.0
2015-08-30,73.0
2015-09-06,79.0
2015-09-13,69.0
2015-09-20,70.0
2015-09-27,68.0
2015-10-04,77.0
2015-10-11,75.0
2015-10-18,63.0
2015-10-25,72.0
2015-11-01,73.0
2015-11-08,52.0
2015-11-15,72.0
2015-11-22,71.0
2015-11-29,74.0
2015-12-06,76.0
2015-12-13,77.0
2015-12-20,68.0
2015-12-27,66.0
2016-01-03,68.0
2016-01-10,65.0
2016-01-17,65.0
2016-01-24,63.0
2016-01-31,67.0
2016-02-07,67.0
2016-02-14,71.0
2016-02-21,76.0
2016-02-28,67.0
2016-03-06,68.0
2016-03-13,70.0
2016-03-20,60.0
2016-03-27,64.0
2016-04-03,64.0
2016-04-10,63.0
2016-04-17,65.0
2016-04-24,66.0
2016-05-01,68.0
2016-05-08,70.0
2016-05-15,64.0
2016-05-22,70.0
2016-05-29,67.0
2016-06-05,70.0
2016-06-12,68.0
2016-06-19,71.0
2016-06-26,73.0
2016-07-03,69.0
2016-07-10,74.0
2016-07-17,75.0
2016-07-24,76.0
2016-07-31,75.0
2016-08-07,74.0
2016-08-14,64.0
2016-08-21,74.0
2016-08-28,73.0
2016-09-04,67.0
2016-09-11,72.0
2016-09-18,77.0
2016-09-25,73.0
2016-10-02,71.0
2016-10-09,61.0
2016-10-16,73.0
2016-10-23,63.0
2016-10-30,55.0
2016-11-06,70.0
2016-11-13,74.0
2016-11-20,80.0
2016-11-27,80.0
2016-12-04,73.0
2016-12-11,79.0
2016-12-18,83.0
2016-12-25,77.0
2017-01-01,76.0
2017-01-08,69.0
2017-01-15,77.0
2017-01-22,65.0
2017-01-29,70.0
2017-02-05,74.0
2017-02-12,74.0
2017-02-19,72.0
2017-02-26,73.0
2017-03-05,67.0
2017-03-12,65.0
2017-03-19,73.0
2017-03-26,73.0
2017-04-02,73.0
2017-04-09,72.0
2017-04-16,72.0
2017-04-23,71.0
2017-04-30,70.0
2017-05-07,68.0
2017-05-14,72.0
2017-05-21,70.0
2017-05-28,67.0
2017-06-04,69.0
2017-06-11,74.0
2017-06-18,71.0
2017-06-25,67.0
2017-07-02,79.0
2017-07-09,80.0
2017-07-16,77.0
2017-07-23,78.0
2017-07-30,77.0
2017-08-06,72.0
