,Agrochemicals
2014-12-28,47.0
2015-01-04,44.0
2015-01-11,47.0
2015-01-18,40.0
2015-01-25,39.0
2015-02-01,40.0
2015-02-08,47.0
2015-02-15,44.0
2015-02-22,45.0
2015-03-01,41.0
2015-03-08,44.0
2015-03-15,52.0
2015-03-22,45.0
2015-03-29,45.0
2015-04-05,45.0
2015-04-12,45.0
2015-04-19,43.0
2015-04-26,45.0
2015-05-03,40.0
2015-05-10,46.0
2015-05-17,45.0
2015-05-24,45.0
2015-05-31,48.0
2015-06-07,46.0
2015-06-14,48.0
2015-06-21,50.0
2015-06-28,56.0
2015-07-05,59.0
2015-07-12,55.0
2015-07-19,61.0
2015-07-26,51.0
2015-08-02,60.0
2015-08-09,52.0
2015-08-16,59.0
2015-08-23,54.0
2015-08-30,57.0
2015-09-06,57.0
2015-09-13,49.0
2015-09-20,55.0
2015-09-27,49.0
2015-10-04,49.0
2015-10-11,48.0
2015-10-18,40.0
2015-10-25,47.0
2015-11-01,47.0
2015-11-08,37.0
2015-11-15,47.0
2015-11-22,48.0
2015-11-29,47.0
2015-12-06,52.0
2015-12-13,52.0
2015-12-20,50.0
2015-12-27,51.0
2016-01-03,50.0
2016-01-10,46.0
2016-01-17,47.0
2016-01-24,44.0
2016-01-31,49.0
2016-02-07,49.0
2016-02-14,51.0
2016-02-21,49.0
2016-02-28,46.0
2016-03-06,48.0
2016-03-13,51.0
2016-03-20,45.0
2016-03-27,48.0
2016-04-03,49.0
2016-04-10,47.0
2016-04-17,46.0
2016-04-24,53.0
2016-05-01,53.0
2016-05-08,49.0
2016-05-15,52.0
2016-05-22,54.0
2016-05-29,53.0
2016-06-05,54.0
2016-06-12,54.0
2016-06-19,55.0
2016-06-26,59.0
2016-07-03,58.0
2016-07-10,59.0
2016-07-17,59.0
2016-07-24,59.0
2016-07-31,60.0
2016-08-07,57.0
2016-08-14,52.0
2016-08-21,58.0
2016-08-28,62.0
2016-09-04,55.0
2016-09-11,54.0
2016-09-18,63.0
2016-09-25,64.0
2016-10-02,53.0
2016-10-09,50.0
2016-10-16,59.0
2016-10-23,56.0
2016-10-30,52.0
2016-11-06,51.0
2016-11-13,52.0
2016-11-20,56.0
2016-11-27,55.0
2016-12-04,55.0
2016-12-11,56.0
2016-12-18,57.0
2016-12-25,59.0
2017-01-01,56.0
2017-01-08,54.0
2017-01-15,54.0
2017-01-22,55.0
2017-01-29,55.0
2017-02-05,54.0
2017-02-12,55.0
2017-02-19,55.0
2017-02-26,56.0
2017-03-05,56.0
2017-03-12,52.0
2017-03-19,58.0
2017-03-26,61.0
2017-04-02,58.0
2017-04-09,61.0
2017-04-16,59.0
2017-04-23,54.0
2017-04-30,57.0
2017-05-07,60.0
2017-05-14,61.0
2017-05-21,64.0
2017-05-28,62.0
2017-06-04,63.0
2017-06-11,65.0
2017-06-18,69.0
2017-06-25,62.0
2017-07-02,69.0
2017-07-09,79.0
2017-07-16,72.0
2017-07-23,76.0
2017-07-30,83.0
2017-08-06,66.0
2017-08-13,63.0
2017-08-20,66.0
2017-08-27,65.0
2017-09-03,66.0
2017-09-10,67.0
2017-09-17,66.0
2017-09-24,54.0
2017-10-01,62.0
2017-10-08,68.0
2017-10-15,50.0
2017-10-22,67.0
2017-10-29,73.0
2017-11-05,71.0
2017-11-12,68.0
2017-11-19,64.0
2017-11-26,67.0
2017-12-03,70.0
2017-12-10,69.0
2017-12-17,75.0
2017-12-24,68.0
2017-12-31,69.0
2018-01-07,68.0
2018-01-14,67.0
2018-01-21,63.0
2018-01-28,69.0
2018-02-04,68.0
2018-02-11,63.0
2018-02-18,63.0
2018-02-25,56.0
2018-03-04,62.0
2018-03-11,74.0
2018-03-18,72.0
2018-03-25,67.0
2018-04-01,70.0
2018-04-08,69.0
2018-04-15,73.0
2018-04-22,72.0
2018-04-29,74.0
2018-05-06,74.0
2018-05-13,69.0
2018-05-20,78.0
2018-05-27,79.0
2018-06-03,75.0
2018-06-10,73.0
2018-06-17,70.0
2018-06-24,75.0
2018-07-01,78.0
2018-07-08,78.0
2018-07-15,82.0
2018-07-22,79.0
2018-07-29,87.0
2018-08-05,86.0
2018-08-12,90.0
2018-08-19,91.0
2018-08-26,89.0
2018-09-02,88.0
2018-09-09,80.0
2018-09-16,86.0
2018-09-23,84.0
2018-09-30,86.0
2018-10-07,84.0
2018-10-14,68.0
2018-10-21,79.0
2018-10-28,84.0
2018-11-04,61.0
2018-11-11,79.0
2018-11-18,78.0
2018-11-25,77.0
2018-12-02,77.0
2018-12-09,76.0
2018-12-16,83.0
2018-12-23,78.0
2018-12-30,70.0
2019-01-06,72.0
2019-01-13,66.0
2019-01-20,70.0
2019-01-27,76.0
2019-02-03,75.0
2019-02-10,81.0
2019-02-17,78.0
2019-02-24,72.0
2019-03-03,77.0
2019-03-10,82.0
2019-03-17,73.0
2019-03-24,80.0
2019-03-31,75.0
2019-04-07,71.0
2019-04-14,65.0
2019-04-21,69.0
2019-04-28,69.0
2019-05-05,73.0
2019-05-12,76.0
2019-05-19,73.0
2019-05-26,82.0
2019-06-02,84.0
2019-06-09,82.0
2019-06-16,80.0
2019-06-23,86.0
2019-06-30,86.0
2019-07-07,76.0
2019-07-14,87.0
2019-07-21,93.0
2019-07-28,92.0
2019-08-04,84.0
2019-08-11,83.0
2019-08-18,92.0
2019-08-25,92.0
2019-09-01,84.0
2019-09-08,89.0
2019-09-15,100.0
2019-09-22,95.0
2019-09-29,83.0
2019-10-06,75.0
2019-10-13,84.0
2019-10-20,77.0
2019-10-27,73.0
2019-11-03,83.0
2019-11-10,81.0
2019-11-17,86.0
2019-11-24,82.0
2019-12-01,80.0
2019-12-08,79.0
2019-12-15,78.0
2019-12-22,76.0
2019-12-29,79.0
2020-01-05,83.74453551912568
2020-01-12,78.06693989071039
2020-01-19,73.80874316939891
2020-01-26,80.90573770491802
2020-02-02,78.06693989071039
2020-02-09,80.90573770491802
2020-02-16,75.22814207650273
2020-02-23,79.4863387978142
2020-03-01,85.1639344262295
2020-03-08,79.4863387978142
2020-03-15,119.22950819672131
2020-03-22,85.1639344262295
2020-03-29,82.32513661202185
2020-04-05,96.51912568306011
2020-04-12,88.00273224043715
2020-04-19,92.26092896174863
2020-04-26,89.42213114754098
2020-05-03,103.61612021857923
2020-05-10,99.35792349726776
2020-05-17,100.77732240437159
2020-05-24,100.77732240437159
2020-05-31,100.77732240437159
2020-06-07,102.19672131147541
2020-06-14,99.35792349726776
2020-06-21,109.29371584699453
2020-06-28,106.45491803278688
2020-07-05,112.13251366120218
2020-07-12,113.55191256830601
2020-07-19,119.22950819672131
2020-07-26,120.64890710382514
2020-08-02,113.55191256830601
2020-08-09,117.81010928961749
2020-08-16,116.39071038251366
2020-08-23,113.55191256830601
2020-08-30,113.55191256830601
2020-09-06,110.71311475409836
2020-09-13,106.45491803278688
2020-09-20,103.61612021857923
2020-09-27,97.93852459016394
2020-10-04,100.77732240437159
2020-10-11,95.09972677595628
2020-10-18,89.42213114754098
2020-10-25,85.1639344262295
2020-11-01,83.74453551912568
2020-11-08,78.06693989071039
2020-11-15,76.64754098360656
2020-11-22,85.1639344262295
2020-11-29,86.58333333333333
2020-12-06,95.09972677595628
2020-12-13,95.09972677595628
2020-12-20,99.35792349726776
2020-12-27,100.77732240437159
2021-01-03,99.35792349726776
2021-01-10,90.8415300546448
2021-01-17,119.22950819672131
2021-01-24,99.35792349726776
2021-01-31,100.77732240437159
2021-02-07,95.09972677595628
2021-02-14,105.03551912568305
2021-02-21,107.8743169398907
2021-02-28,109.29371584699453
2021-03-07,90.8415300546448
2021-03-14,106.45491803278688
2021-03-21,93.68032786885246
2021-03-28,85.1639344262295
2021-04-04,90.8415300546448
2021-04-11,85.1639344262295
2021-04-18,88.00273224043715
2021-04-25,83.74453551912568
2021-05-02,83.74453551912568
2021-05-09,110.71311475409836
2021-05-16,112.13251366120218
2021-05-23,106.45491803278688
2021-05-30,105.03551912568305
2021-06-06,109.29371584699453
2021-06-13,110.71311475409836
2021-06-20,126.32650273224043
2021-06-27,116.39071038251366
2021-07-04,117.81010928961749
2021-07-11,110.71311475409836
2021-07-18,116.39071038251366
2021-07-25,116.39071038251366
2021-08-01,116.39071038251366
2021-08-08,120.64890710382514
2021-08-15,106.45491803278688
2021-08-22,102.19672131147541
2021-08-29,105.03551912568305
2021-09-05,95.09972677595628
2021-09-12,97.93852459016394
2021-09-19,95.09972677595628
2021-09-26,96.51912568306011
2021-10-03,96.51912568306011
2021-10-10,80.90573770491802
2021-10-17,93.68032786885246
2021-10-24,95.09972677595628
2021-10-31,69.55054644808743
2021-11-07,88.00273224043715
2021-11-14,86.58333333333333
2021-11-21,88.00273224043715
2021-11-28,88.00273224043715
2021-12-05,88.00273224043715
2021-12-12,93.68032786885246
2021-12-19,95.09972677595628
