,Customer Relationship Management (CRM)
2014-12-28,34.0
2015-01-04,41.0
2015-01-11,37.0
2015-01-18,42.0
2015-01-25,36.0
2015-02-01,44.0
2015-02-08,42.0
2015-02-15,45.0
2015-02-22,41.0
2015-03-01,38.0
2015-03-08,45.0
2015-03-15,42.0
2015-03-22,41.0
2015-03-29,41.0
2015-04-05,43.0
2015-04-12,42.0
2015-04-19,41.0
2015-04-26,39.0
2015-05-03,42.0
2015-05-10,46.0
2015-05-17,45.0
2015-05-24,41.0
2015-05-31,43.0
2015-06-07,45.0
2015-06-14,42.0
2015-06-21,45.0
2015-06-28,48.0
2015-07-05,52.0
2015-07-12,49.0
2015-07-19,50.0
2015-07-26,49.0
2015-08-02,49.0
2015-08-09,51.0
2015-08-16,47.0
2015-08-23,49.0
2015-08-30,47.0
2015-09-06,51.0
2015-09-13,49.0
2015-09-20,47.0
2015-09-27,43.0
2015-10-04,51.0
2015-10-11,47.0
2015-10-18,38.0
2015-10-25,46.0
2015-11-01,45.0
2015-11-08,30.0
2015-11-15,44.0
2015-11-22,42.0
2015-11-29,46.0
2015-12-06,45.0
2015-12-13,50.0
2015-12-20,42.0
2015-12-27,37.0
2016-01-03,45.0
2016-01-10,44.0
2016-01-17,46.0
2016-01-24,43.0
2016-01-31,51.0
2016-02-07,49.0
2016-02-14,48.0
2016-02-21,48.0
2016-02-28,47.0
2016-03-06,50.0
2016-03-13,49.0
2016-03-20,40.0
2016-03-27,47.0
2016-04-03,46.0
2016-04-10,47.0
2016-04-17,43.0
2016-04-24,47.0
2016-05-01,47.0
2016-05-08,51.0
2016-05-15,48.0
2016-05-22,52.0
2016-05-29,51.0
2016-06-05,52.0
2016-06-12,51.0
2016-06-19,54.0
2016-06-26,51.0
2016-07-03,53.0
2016-07-10,52.0
2016-07-17,59.0
2016-07-24,60.0
2016-07-31,57.0
2016-08-07,51.0
2016-08-14,47.0
2016-08-21,60.0
2016-08-28,57.0
2016-09-04,51.0
2016-09-11,54.0
2016-09-18,58.0
2016-09-25,56.0
2016-10-02,55.0
2016-10-09,50.0
2016-10-16,57.0
2016-10-23,60.0
2016-10-30,44.0
2016-11-06,54.0
2016-11-13,55.0
2016-11-20,52.0
2016-11-27,54.0
2016-12-04,49.0
2016-12-11,52.0
2016-12-18,56.0
2016-12-25,54.0
2017-01-01,50.0
2017-01-08,52.0
2017-01-15,55.0
2017-01-22,48.0
2017-01-29,56.0
2017-02-05,53.0
2017-02-12,52.0
2017-02-19,53.0
2017-02-26,55.0
2017-03-05,51.0
2017-03-12,50.0
2017-03-19,59.0
2017-03-26,54.0
2017-04-02,54.0
2017-04-09,50.0
2017-04-16,62.0
2017-04-23,55.0
2017-04-30,51.0
2017-05-07,62.0
2017-05-14,54.0
2017-05-21,57.0
2017-05-28,53.0
2017-06-04,54.0
2017-06-11,53.0
2017-06-18,57.0
2017-06-25,53.0
2017-07-02,54.0
2017-07-09,57.0
2017-07-16,56.0
2017-07-23,57.0
2017-07-30,56.0
2017-08-06,55.0
2017-08-13,47.0
2017-08-20,52.0
2017-08-27,57.0
2017-09-03,56.0
2017-09-10,56.0
2017-09-17,54.0
2017-09-24,51.0
2017-10-01,47.0
2017-10-08,57.0
2017-10-15,39.0
2017-10-22,57.0
2017-10-29,58.0
2017-11-05,58.0
2017-11-12,54.0
2017-11-19,57.0
2017-11-26,56.0
2017-12-03,56.0
2017-12-10,56.0
2017-12-17,54.0
2017-12-24,48.0
2017-12-31,52.0
2018-01-07,62.0
2018-01-14,52.0
2018-01-21,45.0
2018-01-28,64.0
2018-02-04,55.0
2018-02-11,58.0
2018-02-18,56.0
2018-02-25,51.0
2018-03-04,49.0
2018-03-11,57.0
2018-03-18,63.0
2018-03-25,58.0
2018-04-01,55.0
2018-04-08,55.0
2018-04-15,58.0
2018-04-22,55.0
2018-04-29,55.0
2018-05-06,59.0
2018-05-13,59.0
2018-05-20,60.0
2018-05-27,58.0
2018-06-03,59.0
2018-06-10,54.0
2018-06-17,58.0
2018-06-24,65.0
2018-07-01,59.0
2018-07-08,62.0
2018-07-15,62.0
2018-07-22,65.0
2018-07-29,74.0
2018-08-05,69.0
2018-08-12,62.0
2018-08-19,63.0
2018-08-26,71.0
2018-09-02,72.0
2018-09-09,65.0
2018-09-16,79.0
2018-09-23,79.0
2018-09-30,65.0
2018-10-07,78.0
2018-10-14,58.0
2018-10-21,68.0
2018-10-28,70.0
2018-11-04,45.0
2018-11-11,70.0
2018-11-18,71.0
2018-11-25,79.0
2018-12-02,73.0
2018-12-09,71.0
2018-12-16,70.0
2018-12-23,62.0
2018-12-30,68.0
2019-01-06,71.0
2019-01-13,63.0
2019-01-20,68.0
2019-01-27,81.0
2019-02-03,69.0
2019-02-10,75.0
2019-02-17,74.0
2019-02-24,72.0
2019-03-03,74.0
2019-03-10,76.0
2019-03-17,66.0
2019-03-24,77.0
2019-03-31,77.0
2019-04-07,69.0
2019-04-14,60.0
2019-04-21,66.0
2019-04-28,65.0
2019-05-05,79.0
2019-05-12,77.0
2019-05-19,76.0
2019-05-26,79.0
2019-06-02,71.0
2019-06-09,79.0
2019-06-16,83.0
2019-06-23,83.0
2019-06-30,78.0
2019-07-07,72.0
2019-07-14,88.0
2019-07-21,90.0
2019-07-28,86.0
2019-08-04,84.0
