,Auto Financing
2020-05-24,69.47283406754772
2020-05-31,66.31497797356829
2020-06-07,72.63069016152717
2020-06-14,69.47283406754772
2020-06-21,69.47283406754772
2020-06-28,88.41997063142438
2020-07-05,85.26211453744494
2020-07-12,88.41997063142438
2020-07-19,85.26211453744494
2020-07-26,82.1042584434655
2020-08-02,88.41997063142438
2020-08-09,78.94640234948605
2020-08-16,91.57782672540382
2020-08-23,88.41997063142438
2020-08-30,82.1042584434655
2020-09-06,75.78854625550662
2020-09-13,78.94640234948605
2020-09-20,75.78854625550662
2020-09-27,82.1042584434655
2020-10-04,82.1042584434655
2020-10-11,78.94640234948605
2020-10-18,78.94640234948605
2020-10-25,72.63069016152717
2020-11-01,72.63069016152717
2020-11-08,69.47283406754772
2020-11-15,75.78854625550662
2020-11-22,69.47283406754772
2020-11-29,72.63069016152717
2020-12-06,72.63069016152717
2020-12-13,72.63069016152717
2020-12-20,72.63069016152717
2020-12-27,82.1042584434655
2021-01-03,75.78854625550662
2021-01-10,72.63069016152717
2021-01-17,75.78854625550662
2021-01-24,75.78854625550662
2021-01-31,72.63069016152717
2021-02-07,69.47283406754772
2021-02-14,72.63069016152717
2021-02-21,75.78854625550662
2021-02-28,72.63069016152717
2021-03-07,69.47283406754772
2021-03-14,66.31497797356829
2021-03-21,72.63069016152717
2021-03-28,72.63069016152717
2021-04-04,75.78854625550662
2021-04-11,66.31497797356829
2021-04-18,63.15712187958884
2021-04-25,69.47283406754772
2021-05-02,59.9992657856094
2021-05-09,63.15712187958884
2021-05-16,63.15712187958884
2021-05-23,69.47283406754772
2021-05-30,69.47283406754772
2021-06-06,72.63069016152717
2021-06-13,85.26211453744494
2021-06-20,72.63069016152717
2021-06-27,78.94640234948605
2021-07-04,78.94640234948605
2021-07-11,78.94640234948605
2021-07-18,75.78854625550662
2021-07-25,82.1042584434655
2021-08-01,78.94640234948605
2021-08-08,88.41997063142438
2021-08-15,72.63069016152717
2021-08-22,72.63069016152717
2021-08-29,72.63069016152717
2021-09-05,75.78854625550662
2021-09-12,78.94640234948605
2021-09-19,78.94640234948605
2021-09-26,72.63069016152717
2021-10-03,72.63069016152717
2021-10-10,59.9992657856094
2021-10-17,63.15712187958884
2021-10-24,69.47283406754772
2021-10-31,56.84140969162996
2021-11-07,63.15712187958884
2021-11-14,69.47283406754772
2021-11-21,69.47283406754772
2021-11-28,72.63069016152717
2021-12-05,72.63069016152717
2021-12-12,66.31497797356829
2021-12-19,72.63069016152717
2021-12-26,72.63069016152717
2022-01-02,78.94640234948605
2022-01-09,75.78854625550662
2022-01-16,75.78854625550662
2022-01-23,72.63069016152717
2022-01-30,78.94640234948605
2022-02-06,72.63069016152717
2022-02-13,75.78854625550662
2022-02-20,72.63069016152717
2022-02-27,72.63069016152717
2022-03-06,72.63069016152717
2022-03-13,69.47283406754772
2022-03-20,75.78854625550662
2022-03-27,75.78854625550662
2022-04-03,75.78854625550662
2022-04-10,75.78854625550662
2022-04-17,75.78854625550662
2022-04-24,72.63069016152717
2022-05-01,75.78854625550662
2022-05-08,82.1042584434655
2022-05-15,78.94640234948605
2022-05-22,78.94640234948605
2022-05-29,75.78854625550662
2022-06-05,75.78854625550662
2022-06-12,78.94640234948605
2022-06-19,82.1042584434655
2022-06-26,78.94640234948605
2022-07-03,82.1042584434655
2022-07-10,82.1042584434655
2022-07-17,75.78854625550662
2022-07-24,85.26211453744494
2022-07-31,75.78854625550662
2022-08-07,78.94640234948605
2022-08-14,75.78854625550662
2022-08-21,78.94640234948605
2022-08-28,78.94640234948605
2022-09-04,72.63069016152717
2022-09-11,78.94640234948605
2022-09-18,78.94640234948605
2022-09-25,78.94640234948605
2022-10-02,69.47283406754772
2022-10-09,82.1042584434655
2022-10-16,75.78854625550662
2022-10-23,63.15712187958884
2022-10-30,315.7856093979442
2022-11-06,78.94640234948605
2022-11-13,82.1042584434655
2022-11-20,72.63069016152717
2022-11-27,72.63069016152717
2022-12-04,75.78854625550662
2022-12-11,75.78854625550662
2022-12-18,78.94640234948605
2022-12-25,85.26211453744494
2023-01-01,78.94640234948605
2023-01-08,69.47283406754772
2023-01-15,72.63069016152717
2023-01-22,72.63069016152717
2023-01-29,72.63069016152717
2023-02-05,75.78854625550662
2023-02-12,69.47283406754772
2023-02-19,75.78854625550662
2023-02-26,85.26211453744494
2023-03-05,72.63069016152717
2023-03-12,82.1042584434655
2023-03-19,78.94640234948605
2023-03-26,82.1042584434655
2023-04-02,75.78854625550662
2023-04-09,78.94640234948605
2023-04-16,69.47283406754772
2023-04-23,75.78854625550662
2023-04-30,75.78854625550662
2023-05-07,72.63069016152717
2023-05-14,75.78854625550662
2023-05-21,75.78854625550662
2023-05-28,72.63069016152717
