,Home & Garden
2020-05-24,81.87297472456254
2020-05-31,76.4147764095917
2020-06-07,80.50842514581983
2020-06-14,75.05022683084898
2020-06-21,84.60207388204795
2020-06-28,85.96662346079066
2020-07-05,88.69572261827608
2020-07-12,87.33117303953337
2020-07-19,84.60207388204795
2020-07-26,87.33117303953337
2020-08-02,87.33117303953337
2020-08-09,87.33117303953337
2020-08-16,91.4248217757615
2020-08-23,87.33117303953337
2020-08-30,85.96662346079066
2020-09-06,90.06027219701879
2020-09-13,90.06027219701879
2020-09-20,88.69572261827608
2020-09-27,85.96662346079066
2020-10-04,81.87297472456254
2020-10-11,96.88302009073233
2020-10-18,95.51847051198962
2020-10-25,95.51847051198962
2020-11-01,87.33117303953337
2020-11-08,85.96662346079066
2020-11-15,75.05022683084898
2020-11-22,81.87297472456254
2020-11-29,80.50842514581983
2020-12-06,84.60207388204795
2020-12-13,83.23752430330524
2020-12-20,88.69572261827608
2020-12-27,85.96662346079066
2021-01-03,83.23752430330524
2021-01-10,77.7793259883344
2021-01-17,81.87297472456254
2021-01-24,79.14387556707712
2021-01-31,80.50842514581983
2021-02-07,80.50842514581983
2021-02-14,79.14387556707712
2021-02-21,79.14387556707712
2021-02-28,81.87297472456254
2021-03-07,85.96662346079066
2021-03-14,85.96662346079066
2021-03-21,83.23752430330524
2021-03-28,85.96662346079066
2021-04-04,88.69572261827608
2021-04-11,76.4147764095917
2021-04-18,79.14387556707712
2021-04-25,76.4147764095917
2021-05-02,76.4147764095917
2021-05-09,79.14387556707712
2021-05-16,80.50842514581983
2021-05-23,79.14387556707712
2021-05-30,87.33117303953337
2021-06-06,94.15392093324691
2021-06-13,96.88302009073233
2021-06-20,88.69572261827608
2021-06-27,91.4248217757615
2021-07-04,94.15392093324691
2021-07-11,92.7893713545042
2021-07-18,94.15392093324691
2021-07-25,91.4248217757615
2021-08-01,90.06027219701879
2021-08-08,92.7893713545042
2021-08-15,90.06027219701879
2021-08-22,87.33117303953337
2021-08-29,84.60207388204795
2021-09-05,85.96662346079066
2021-09-12,81.87297472456254
2021-09-19,84.60207388204795
2021-09-26,85.96662346079066
2021-10-03,84.60207388204795
2021-10-10,75.05022683084898
