,Corporate Events
2020-05-24,33.24727159338946
2020-05-31,32.20829435609604
2020-06-07,33.24727159338946
2020-06-14,33.24727159338946
2020-06-21,31.16931711880262
2020-06-28,35.3252260679763
2020-07-05,37.40318054256315
2020-07-12,38.442157779856565
2020-07-19,36.364203305269726
2020-07-26,36.364203305269726
2020-08-02,36.364203305269726
2020-08-09,37.40318054256315
2020-08-16,40.52011225444341
2020-08-23,34.28624883068289
2020-08-30,38.442157779856565
2020-09-06,38.442157779856565
2020-09-13,40.52011225444341
2020-09-20,39.48113501714999
2020-09-27,38.442157779856565
2020-10-04,42.59806672903025
2020-10-11,40.52011225444341
2020-10-18,36.364203305269726
2020-10-25,39.48113501714999
2020-11-01,37.40318054256315
2020-11-08,36.364203305269726
2020-11-15,36.364203305269726
2020-11-22,37.40318054256315
2020-11-29,38.442157779856565
2020-12-06,40.52011225444341
2020-12-13,41.55908949173683
2020-12-20,42.59806672903025
2020-12-27,40.52011225444341
2021-01-03,39.48113501714999
2021-01-10,38.442157779856565
2021-01-17,40.52011225444341
2021-01-24,40.52011225444341
2021-01-31,39.48113501714999
2021-02-07,44.67602120361709
2021-02-14,40.52011225444341
2021-02-21,43.637043966323674
2021-02-28,44.67602120361709
2021-03-07,40.52011225444341
2021-03-14,41.55908949173683
2021-03-21,40.52011225444341
2021-03-28,38.442157779856565
2021-04-04,37.40318054256315
2021-04-11,37.40318054256315
2021-04-18,35.3252260679763
2021-04-25,36.364203305269726
2021-05-02,36.364203305269726
2021-05-09,33.24727159338946
2021-05-16,36.364203305269726
2021-05-23,36.364203305269726
2021-05-30,41.55908949173683
2021-06-06,39.48113501714999
2021-06-13,39.48113501714999
2021-06-20,41.55908949173683
2021-06-27,41.55908949173683
2021-07-04,39.48113501714999
2021-07-11,43.637043966323674
2021-07-18,42.59806672903025
2021-07-25,44.67602120361709
2021-08-01,42.59806672903025
2021-08-08,44.67602120361709
2021-08-15,43.637043966323674
2021-08-22,43.637043966323674
2021-08-29,40.52011225444341
2021-09-05,44.67602120361709
2021-09-12,45.71499844091051
2021-09-19,44.67602120361709
2021-09-26,48.831930152790775
2021-10-03,47.79295291549735
2021-10-10,42.59806672903025
2021-10-17,43.637043966323674
2021-10-24,45.71499844091051
2021-10-31,35.3252260679763
2021-11-07,47.79295291549735
2021-11-14,70.6504521359526
2021-11-21,74.8063610851263
2021-11-28,48.831930152790775
2021-12-05,45.71499844091051
2021-12-12,45.71499844091051
2021-12-19,50.909884627377615
2021-12-26,45.71499844091051
2022-01-02,47.79295291549735
2022-01-09,40.52011225444341
2022-01-16,37.40318054256315
2022-01-23,41.55908949173683
2022-01-30,46.753975678203936
2022-02-06,45.71499844091051
2022-02-13,56.104770813844716
2022-02-20,58.18272528843156
2022-02-27,57.14374805113814
2022-03-06,59.22170252572498
2022-03-13,56.104770813844716
2022-03-20,59.22170252572498
2022-03-27,58.18272528843156
2022-04-03,59.22170252572498
2022-04-10,56.104770813844716
2022-04-17,64.41658871219208
2022-04-24,62.33863423760524
2022-05-01,59.22170252572498
2022-05-08,61.299657000311825
2022-05-15,58.18272528843156
2022-05-22,65.4555659494855
2022-05-29,64.41658871219208
2022-06-05,63.377611474898664
2022-06-12,65.4555659494855
2022-06-19,66.49454318677893
2022-06-26,62.33863423760524
2022-07-03,62.33863423760524
2022-07-10,67.53352042407235
2022-07-17,65.4555659494855
