,Business Operations
2020-05-24,49.94504579517069
2020-05-31,52.116569525395505
2020-06-07,55.37385512073273
2020-06-14,61.88842631140716
2020-06-21,64.05995004163198
2020-06-28,64.05995004163198
2020-07-05,65.14571190674438
2020-07-12,68.4029975020816
2020-07-19,67.3172356369692
2020-07-26,66.23147377185678
2020-08-02,67.3172356369692
2020-08-09,66.23147377185678
2020-08-16,62.97418817651957
2020-08-23,64.05995004163198
2020-08-30,68.4029975020816
2020-09-06,71.66028309741881
2020-09-13,70.57452123230641
2020-09-20,71.66028309741881
2020-09-27,66.23147377185678
2020-10-04,67.3172356369692
2020-10-11,74.91756869275603
2020-10-18,81.43213988343048
2020-10-25,67.3172356369692
2020-11-01,66.23147377185678
2020-11-08,59.71690258118235
2020-11-15,62.97418817651957
2020-11-22,71.66028309741881
2020-11-29,71.66028309741881
2020-12-06,68.4029975020816
2020-12-13,72.74604496253123
2020-12-20,80.34637801831806
2020-12-27,71.66028309741881
2021-01-03,73.83180682764363
2021-01-10,67.3172356369692
2021-01-17,74.91756869275603
2021-01-24,70.57452123230641
2021-01-31,80.34637801831806
2021-02-07,67.3172356369692
2021-02-14,69.488759367194
2021-02-21,69.488759367194
2021-02-28,71.66028309741881
2021-03-07,68.4029975020816
2021-03-14,71.66028309741881
2021-03-21,70.57452123230641
2021-03-28,67.3172356369692
2021-04-04,66.23147377185678
2021-04-11,59.71690258118235
2021-04-18,59.71690258118235
2021-04-25,58.63114071606994
2021-05-02,57.54537885095753
2021-05-09,56.45961698584513
2021-05-16,58.63114071606994
2021-05-23,60.802664446294756
2021-05-30,61.88842631140716
2021-06-06,67.3172356369692
2021-06-13,65.14571190674438
2021-06-20,67.3172356369692
2021-06-27,77.08909242298085
2021-07-04,76.00333055786845
2021-07-11,77.08909242298085
2021-07-18,76.00333055786845
2021-07-25,77.08909242298085
2021-08-01,71.66028309741881
2021-08-08,76.00333055786845
2021-08-15,68.4029975020816
2021-08-22,70.57452123230641
2021-08-29,69.488759367194
2021-09-05,64.05995004163198
2021-09-12,68.4029975020816
2021-09-19,70.57452123230641
2021-09-26,70.57452123230641
2021-10-03,80.34637801831806
2021-10-10,62.97418817651957
2021-10-17,72.74604496253123
2021-10-24,72.74604496253123
2021-10-31,48.85928393005828
2021-11-07,67.3172356369692
2021-11-14,69.488759367194
2021-11-21,69.488759367194
2021-11-28,69.488759367194
2021-12-05,68.4029975020816
2021-12-12,83.60366361365529
2021-12-19,72.74604496253123
2021-12-26,69.488759367194
2022-01-02,80.34637801831806
2022-01-09,71.66028309741881
2022-01-16,67.3172356369692
2022-01-23,69.488759367194
2022-01-30,76.00333055786845
2022-02-06,74.91756869275603
2022-02-13,81.43213988343048
2022-02-20,81.43213988343048
2022-02-27,83.60366361365529
2022-03-06,82.51790174854288
2022-03-13,72.74604496253123
2022-03-20,80.34637801831806
2022-03-27,80.34637801831806
2022-04-03,82.51790174854288
2022-04-10,78.17485428809326
2022-04-17,79.26061615320566
2022-04-24,81.43213988343048
2022-05-01,78.17485428809326
2022-05-08,82.51790174854288
2022-05-15,81.43213988343048
2022-05-22,81.43213988343048
2022-05-29,81.43213988343048
2022-06-05,83.60366361365529
2022-06-12,90.11823480432973
2022-06-19,96.63280599500416
2022-06-26,93.37552039966695
2022-07-03,90.11823480432973
2022-07-10,90.11823480432973
2022-07-17,94.46128226477936
2022-07-24,91.20399666944213
2022-07-31,89.03247293921731
2022-08-07,83.60366361365529
2022-08-14,82.51790174854288
2022-08-21,91.20399666944213
2022-08-28,82.51790174854288
2022-09-04,93.37552039966695
2022-09-11,96.63280599500416
2022-09-18,108.57618651124064
2022-09-25,102.0616153205662
2022-10-02,78.17485428809326
2022-10-09,92.28975853455454
2022-10-16,86.86094920899251
2022-10-23,66.23147377185678
2022-10-30,87.94671107410491
2022-11-06,83.60366361365529
2022-11-13,92.28975853455454
2022-11-20,84.6894254787677
2022-11-27,83.60366361365529
2022-12-04,89.03247293921731
2022-12-11,92.28975853455454
2022-12-18,89.03247293921731
2022-12-25,87.94671107410491
2023-01-01,95.54704412989176
2023-01-08,77.08909242298085
2023-01-15,86.86094920899251
2023-01-22,80.34637801831806
2023-01-29,89.03247293921731
2023-02-05,84.6894254787677
2023-02-12,84.6894254787677
2023-02-19,87.94671107410491
2023-02-26,83.60366361365529
2023-03-05,76.00333055786845
2023-03-12,81.43213988343048
2023-03-19,80.34637801831806
2023-03-26,83.60366361365529
2023-04-02,82.51790174854288
2023-04-09,79.26061615320566
2023-04-16,79.26061615320566
2023-04-23,81.43213988343048
2023-04-30,78.17485428809326
2023-05-07,77.08909242298085
2023-05-14,81.43213988343048
2023-05-21,85.7751873438801
2023-05-28,91.20399666944213
2023-06-04,86.86094920899251
2023-06-11,92.28975853455454
2023-06-18,91.20399666944213
2023-06-25,90.11823480432973
2023-07-02,93.37552039966695
2023-07-09,91.20399666944213
2023-07-16,91.20399666944213
2023-07-23,92.28975853455454
2023-07-30,94.46128226477936
2023-08-06,91.20399666944213
2023-08-13,86.86094920899251
2023-08-20,89.03247293921731
2023-08-27,87.94671107410491
2023-09-03,89.03247293921731
2023-09-10,90.11823480432973
2023-09-17,91.20399666944213
2023-09-24,93.37552039966695
2023-10-01,85.7751873438801
2023-10-08,90.11823480432973
2023-10-15,86.86094920899251
2023-10-22,70.57452123230641
2023-10-29,90.11823480432973
2023-11-05,79.26061615320566
2023-11-12,68.4029975020816
2023-11-19,93.37552039966695
2023-11-26,91.20399666944213
2023-12-03,91.20399666944213
2023-12-10,90.11823480432973
2023-12-17,90.11823480432973
2023-12-24,86.86094920899251
2023-12-31,82.51790174854288
2024-01-07,81.74975292121579
2024-01-14,76.99686030951719
2024-01-21,76.99686030951719
2024-01-28,82.7003314435555
2024-02-04,83.65090996589522
2024-02-11,84.60148848823493
2024-02-18,78.89801735419663
2024-02-25,80.79917439887606
2024-03-03,78.89801735419663
2024-03-10,79.84859587653635
2024-03-17,79.84859587653635
2024-03-24,71.29338917547888
2024-03-31,83.65090996589522
2024-04-07,71.29338917547888
2024-04-14,74.14512474249804
2024-04-21,72.2439676978186
2024-04-28,76.99686030951719
2024-05-05,76.99686030951719
2024-05-12,79.84859587653635
2024-05-19,76.99686030951719
2024-05-26,79.84859587653635
2024-06-02,78.89801735419663
2024-06-09,82.7003314435555
2024-06-16,82.7003314435555
2024-06-23,85.55206701057466
2024-06-30,83.65090996589522
2024-07-07,77.94743883185691
2024-07-14,93.1566951892924
2024-07-21,92.20611666695268
