,Fire & Security Services
2014-12-28,42.0
2015-01-04,41.0
2015-01-11,35.0
2015-01-18,40.0
2015-01-25,38.0
2015-02-01,42.0
2015-02-08,43.0
2015-02-15,41.0
2015-02-22,38.0
2015-03-01,34.0
2015-03-08,35.0
2015-03-15,34.0
2015-03-22,36.0
2015-03-29,34.0
2015-04-05,37.0
2015-04-12,33.0
2015-04-19,31.0
2015-04-26,30.0
2015-05-03,33.0
2015-05-10,34.0
2015-05-17,35.0
2015-05-24,33.0
2015-05-31,32.0
2015-06-07,35.0
2015-06-14,38.0
2015-06-21,44.0
2015-06-28,51.0
2015-07-05,56.0
2015-07-12,54.0
2015-07-19,51.0
2015-07-26,52.0
2015-08-02,53.0
2015-08-09,50.0
2015-08-16,47.0
2015-08-23,46.0
2015-08-30,44.0
2015-09-06,48.0
2015-09-13,44.0
2015-09-20,43.0
2015-09-27,42.0
2015-10-04,46.0
2015-10-11,46.0
2015-10-18,35.0
2015-10-25,46.0
2015-11-01,44.0
2015-11-08,29.0
2015-11-15,41.0
2015-11-22,42.0
2015-11-29,42.0
2015-12-06,43.0
2015-12-13,46.0
2015-12-20,40.0
2015-12-27,39.0
2016-01-03,45.0
2016-01-10,38.0
2016-01-17,43.0
2016-01-24,41.0
2016-01-31,45.0
2016-02-07,47.0
2016-02-14,44.0
2016-02-21,43.0
2016-02-28,43.0
2016-03-06,41.0
2016-03-13,43.0
2016-03-20,36.0
2016-03-27,43.0
2016-04-03,41.0
2016-04-10,36.0
2016-04-17,37.0
2016-04-24,40.0
2016-05-01,44.0
2016-05-08,46.0
2016-05-15,46.0
2016-05-22,48.0
2016-05-29,47.0
2016-06-05,48.0
2016-06-12,48.0
2016-06-19,54.0
2016-06-26,54.0
2016-07-03,54.0
2016-07-10,59.0
2016-07-17,57.0
2016-07-24,55.0
2016-07-31,53.0
2016-08-07,62.0
2016-08-14,48.0
2016-08-21,58.0
2016-08-28,54.0
2016-09-04,55.0
2016-09-11,54.0
2016-09-18,61.0
2016-09-25,59.0
2016-10-02,62.0
2016-10-09,47.0
2016-10-16,55.0
2016-10-23,51.0
2016-10-30,54.0
2016-11-06,72.0
2016-11-13,50.0
2016-11-20,53.0
2016-11-27,56.0
2016-12-04,52.0
2016-12-11,56.0
2016-12-18,65.0
2016-12-25,61.0
2017-01-01,60.0
2017-01-08,53.0
2017-01-15,55.0
2017-01-22,53.0
2017-01-29,54.0
2017-02-05,59.0
2017-02-12,53.0
2017-02-19,62.0
2017-02-26,53.0
2017-03-05,55.0
2017-03-12,45.0
2017-03-19,55.0
2017-03-26,56.0
2017-04-02,52.0
2017-04-09,52.0
2017-04-16,52.0
2017-04-23,55.0
2017-04-30,50.0
2017-05-07,49.0
2017-05-14,53.0
2017-05-21,56.0
2017-05-28,56.0
2017-06-04,59.0
2017-06-11,62.0
2017-06-18,62.0
2017-06-25,61.0
2017-07-02,68.0
2017-07-09,67.0
2017-07-16,72.0
2017-07-23,69.0
2017-07-30,69.0
2017-08-06,62.0
2017-08-13,61.0
2017-08-20,57.0
2017-08-27,61.0
2017-09-03,58.0
2017-09-10,61.0
2017-09-17,60.0
2017-09-24,55.0
2017-10-01,51.0
2017-10-08,59.0
2017-10-15,43.0
2017-10-22,56.0
2017-10-29,60.0
2017-11-05,61.0
2017-11-12,65.0
2017-11-19,61.0
2017-11-26,60.0
2017-12-03,57.0
2017-12-10,59.0
2017-12-17,60.0
2017-12-24,57.0
2017-12-31,53.0
2018-01-07,53.0
2018-01-14,54.0
2018-01-21,51.0
2018-01-28,56.0
2018-02-04,59.0
2018-02-11,86.0
2018-02-18,59.0
2018-02-25,49.0
2018-03-04,58.0
2018-03-11,54.0
2018-03-18,60.0
2018-03-25,61.0
2018-04-01,74.0
2018-04-08,59.0
2018-04-15,56.0
2018-04-22,54.0
2018-04-29,59.0
2018-05-06,53.0
2018-05-13,54.0
2018-05-20,54.0
2018-05-27,58.0
2018-06-03,63.0
2018-06-10,68.0
2018-06-17,81.0
2018-06-24,97.0
2018-07-01,99.0
2018-07-08,93.0
2018-07-15,91.0
2018-07-22,82.0
2018-07-29,97.0
2018-08-05,100.0
2018-08-12,84.0
2018-08-19,82.0
2018-08-26,93.0
2018-09-02,88.0
2018-09-09,86.0
2018-09-16,86.0
2018-09-23,89.0
2018-09-30,86.0
2018-10-07,90.0
2018-10-14,73.0
2018-10-21,79.0
2018-10-28,85.0
2018-11-04,54.0
2018-11-11,69.0
2018-11-18,66.0
2018-11-25,64.0
2018-12-02,68.0
2018-12-09,64.0
2018-12-16,70.0
2018-12-23,67.0
2018-12-30,71.0
2019-01-06,73.0
2019-01-13,66.0
2019-01-20,71.0
2019-01-27,74.0
2019-02-03,71.0
2019-02-10,70.0
2019-02-17,82.0
2019-02-24,80.0
2019-03-03,83.0
2019-03-10,79.0
2019-03-17,70.0
2019-03-24,67.0
2019-03-31,63.0
2019-04-07,56.0
2019-04-14,61.0
2019-04-21,58.0
2019-04-28,57.0
2019-05-05,58.0
2019-05-12,60.0
2019-05-19,56.0
2019-05-26,68.0
2019-06-02,62.0
2019-06-09,71.0
2019-06-16,73.0
2019-06-23,93.0
2019-06-30,88.0
2019-07-07,98.0
2019-07-14,86.0
2019-07-21,75.0
2019-07-28,76.0
2019-08-04,70.0
2019-08-11,67.0
2019-08-18,74.0
2019-08-25,81.0
2019-09-01,80.0
2019-09-08,74.0
2019-09-15,75.0
2019-09-22,71.0
2019-09-29,61.0
2019-10-06,56.0
2019-10-13,63.0
2019-10-20,59.0
2019-10-27,56.0
2019-11-03,69.0
2019-11-10,74.0
2019-11-17,75.0
2019-11-24,74.0
2019-12-01,70.0
2019-12-08,64.0
2019-12-15,65.0
2019-12-22,67.0
2019-12-29,66.0
2020-01-05,70.44593000393236
2020-01-12,60.38222571765631
2020-01-19,69.00825796303579
2020-01-26,74.7589461266221
2020-02-02,67.5705859221392
2020-02-09,70.44593000393236
2020-02-16,71.88360204482895
2020-02-23,77.63429020841525
2020-03-01,74.7589461266221
2020-03-08,57.50688163586315
2020-03-15,57.50688163586315
