,Home Financing
2014-12-28,38.0
2015-01-04,38.0
2015-01-11,37.0
2015-01-18,36.0
2015-01-25,33.0
2015-02-01,38.0
2015-02-08,35.0
2015-02-15,36.0
2015-02-22,36.0
2015-03-01,35.0
2015-03-08,38.0
2015-03-15,36.0
2015-03-22,34.0
2015-03-29,34.0
2015-04-05,46.0
2015-04-12,39.0
2015-04-19,38.0
2015-04-26,36.0
2015-05-03,35.0
2015-05-10,35.0
2015-05-17,35.0
2015-05-24,35.0
2015-05-31,39.0
2015-06-07,37.0
2015-06-14,39.0
2015-06-21,37.0
2015-06-28,46.0
2015-07-05,43.0
2015-07-12,39.0
2015-07-19,42.0
2015-07-26,41.0
2015-08-02,42.0
2015-08-09,40.0
2015-08-16,42.0
2015-08-23,39.0
2015-08-30,44.0
2015-09-06,43.0
2015-09-13,39.0
2015-09-20,41.0
2015-09-27,54.0
2015-10-04,58.0
2015-10-11,47.0
2015-10-18,38.0
2015-10-25,44.0
2015-11-01,41.0
2015-11-08,31.0
2015-11-15,38.0
2015-11-22,37.0
2015-11-29,40.0
2015-12-06,42.0
2015-12-13,43.0
2015-12-20,42.0
2015-12-27,44.0
2016-01-03,41.0
2016-01-10,38.0
2016-01-17,38.0
2016-01-24,37.0
2016-01-31,41.0
2016-02-07,39.0
2016-02-14,40.0
2016-02-21,39.0
2016-02-28,40.0
2016-03-06,38.0
2016-03-13,38.0
2016-03-20,31.0
2016-03-27,38.0
2016-04-03,40.0
2016-04-10,38.0
2016-04-17,38.0
2016-04-24,38.0
2016-05-01,39.0
2016-05-08,38.0
2016-05-15,35.0
2016-05-22,36.0
2016-05-29,40.0
2016-06-05,41.0
2016-06-12,40.0
2016-06-19,41.0
2016-06-26,41.0
2016-07-03,42.0
2016-07-10,42.0
2016-07-17,46.0
2016-07-24,47.0
2016-07-31,48.0
2016-08-07,43.0
2016-08-14,39.0
2016-08-21,45.0
2016-08-28,42.0
2016-09-04,42.0
2016-09-11,44.0
2016-09-18,45.0
2016-09-25,42.0
2016-10-02,47.0
2016-10-09,39.0
2016-10-16,45.0
2016-10-23,38.0
2016-10-30,48.0
2016-11-06,41.0
2016-11-13,41.0
2016-11-20,43.0
2016-11-27,44.0
2016-12-04,44.0
2016-12-11,46.0
2016-12-18,46.0
2016-12-25,49.0
2017-01-01,91.0
2017-01-08,58.0
2017-01-15,59.0
2017-01-22,53.0
2017-01-29,58.0
2017-02-05,60.0
2017-02-12,59.0
2017-02-19,53.0
2017-02-26,55.0
2017-03-05,51.0
2017-03-12,51.0
2017-03-19,54.0
2017-03-26,54.0
2017-04-02,54.0
2017-04-09,55.0
2017-04-16,53.0
2017-04-23,50.0
2017-04-30,50.0
2017-05-07,56.0
2017-05-14,56.0
2017-05-21,54.0
2017-05-28,54.0
2017-06-04,56.0
2017-06-11,59.0
2017-06-18,60.0
2017-06-25,55.0
2017-07-02,63.0
2017-07-09,63.0
2017-07-16,60.0
2017-07-23,61.0
2017-07-30,66.0
2017-08-06,58.0
2017-08-13,56.0
2017-08-20,56.0
2017-08-27,59.0
2017-09-03,62.0
2017-09-10,67.0
2017-09-17,64.0
2017-09-24,58.0
2017-10-01,66.0
2017-10-08,69.0
2017-10-15,47.0
2017-10-22,64.0
2017-10-29,66.0
2017-11-05,64.0
2017-11-12,65.0
2017-11-19,58.0
2017-11-26,61.0
2017-12-03,64.0
2017-12-10,66.0
2017-12-17,69.0
2017-12-24,68.0
2017-12-31,68.0
2018-01-07,70.0
2018-01-14,68.0
2018-01-21,60.0
2018-01-28,70.0
2018-02-04,68.0
2018-02-11,66.0
2018-02-18,65.0
2018-02-25,66.0
2018-03-04,72.0
2018-03-11,71.0
2018-03-18,68.0
2018-03-25,68.0
2018-04-01,67.0
2018-04-08,66.0
2018-04-15,65.0
2018-04-22,59.0
2018-04-29,63.0
2018-05-06,62.0
2018-05-13,61.0
2018-05-20,67.0
2018-05-27,69.0
2018-06-03,72.0
2018-06-10,71.0
2018-06-17,66.0
2018-06-24,68.0
2018-07-01,75.0
2018-07-08,70.0
2018-07-15,69.0
2018-07-22,70.0
2018-07-29,78.0
2018-08-05,73.0
2018-08-12,69.0
2018-08-19,71.0
2018-08-26,81.0
2018-09-02,79.0
2018-09-09,77.0
2018-09-16,77.0
2018-09-23,82.0
2018-09-30,83.0
2018-10-07,86.0
2018-10-14,70.0
2018-10-21,82.0
2018-10-28,81.0
2018-11-04,63.0
2018-11-11,79.0
2018-11-18,77.0
2018-11-25,78.0
2018-12-02,81.0
2018-12-09,80.0
2018-12-16,85.0
2018-12-23,83.0
2018-12-30,82.0
2019-01-06,85.0
2019-01-13,76.0
2019-01-20,78.0
2019-01-27,83.0
2019-02-03,84.0
2019-02-10,83.0
2019-02-17,81.0
2019-02-24,77.0
2019-03-03,82.0
2019-03-10,81.0
2019-03-17,72.0
2019-03-24,80.0
2019-03-31,81.0
2019-04-07,76.0
2019-04-14,71.0
2019-04-21,68.0
2019-04-28,74.0
2019-05-05,76.0
2019-05-12,80.0
2019-05-19,68.0
2019-05-26,78.0
2019-06-02,79.0
2019-06-09,83.0
2019-06-16,80.0
2019-06-23,78.0
2019-06-30,81.0
2019-07-07,78.0
2019-07-14,89.0
2019-07-21,87.0
2019-07-28,88.0
2019-08-04,88.0
2019-08-11,81.0
2019-08-18,100.0
2019-08-25,93.0
2019-09-01,86.0
2019-09-08,93.0
2019-09-15,86.0
2019-09-22,84.0
2019-09-29,93.0
2019-10-06,89.0
2019-10-13,89.0
2019-10-20,76.0
2019-10-27,75.0
2019-11-03,86.0
2019-11-10,83.0
2019-11-17,81.0
2019-11-24,87.0
2019-12-01,92.0
2019-12-08,91.0
2019-12-15,85.0
2019-12-22,85.0
2019-12-29,94.0
2020-01-05,90.4614339109752
2020-01-12,81.70710159700985
2020-01-19,83.16615698267074
2020-01-26,81.70710159700985
2020-02-02,86.08426775399253
2020-02-09,83.16615698267074
2020-02-16,80.24804621134896
2020-02-23,77.32993544002719
2020-03-01,80.24804621134896
2020-03-08,75.8708800543663
2020-03-15,72.95276928304452
2020-03-22,58.36221542643561
2020-03-29,81.70710159700985
2020-04-05,64.19843696907917
2020-04-12,55.44410465511383
2020-04-19,48.14882772680938
2020-04-26,56.90316004077472
2020-05-03,65.65749235474007
2020-05-10,67.11654774040096
2020-05-17,75.8708800543663
2020-05-24,77.32993544002719
2020-05-31,103.59293238192322
2020-06-07,94.83860006795787
2020-06-14,87.54332313965342
2020-06-21,93.37954468229698
2020-06-28,99.21576622494054
2020-07-05,97.75671083927965
2020-07-12,97.75671083927965
2020-07-19,102.13387699626232
2020-07-26,105.05198776758411
2020-08-02,99.21576622494054
2020-08-09,107.97009853890589
2020-08-16,99.21576622494054
2020-08-23,105.05198776758411
2020-08-30,109.42915392456678
2020-09-06,113.80632008154944
2020-09-13,103.59293238192322
2020-09-20,97.75671083927965
2020-09-27,97.75671083927965
2020-10-04,103.59293238192322
2020-10-11,103.59293238192322
2020-10-18,96.29765545361876
2020-10-25,91.92048929663609
2020-11-01,93.37954468229698
2020-11-08,81.70710159700985
2020-11-15,91.92048929663609
2020-11-22,94.83860006795787
2020-11-29,93.37954468229698
2020-12-06,99.21576622494054
2020-12-13,102.13387699626232
2020-12-20,99.21576622494054
2020-12-27,103.59293238192322
2021-01-03,105.05198776758411
2021-01-10,94.83860006795787
2021-01-17,102.13387699626232
2021-01-24,91.92048929663609
2021-01-31,107.97009853890589
2021-02-07,97.75671083927965
2021-02-14,96.29765545361876
2021-02-21,93.37954468229698
2021-02-28,103.59293238192322
2021-03-07,93.37954468229698
2021-03-14,91.92048929663609
2021-03-21,86.08426775399253
2021-03-28,86.08426775399253
2021-04-04,86.08426775399253
2021-04-11,74.4118246687054
2021-04-18,67.11654774040096
2021-04-25,62.739381583418286
2021-05-02,67.11654774040096
2021-05-09,67.11654774040096
2021-05-16,68.57560312606185
2021-05-23,68.57560312606185
2021-05-30,89.00237852531431
2021-06-06,86.08426775399253
2021-06-13,93.37954468229698
2021-06-20,90.4614339109752
2021-06-27,97.75671083927965
2021-07-04,94.83860006795787
2021-07-11,94.83860006795787
2021-07-18,90.4614339109752
2021-07-25,89.00237852531431
2021-08-01,93.37954468229698
2021-08-08,93.37954468229698
2021-08-15,87.54332313965342
2021-08-22,84.62521236833165
2021-08-29,87.54332313965342
2021-09-05,84.62521236833165
2021-09-12,86.08426775399253
2021-09-19,87.54332313965342
2021-09-26,81.70710159700985
2021-10-03,81.70710159700985
2021-10-10,70.03465851172274
2021-10-17,75.8708800543663
2021-10-24,72.95276928304452
2021-10-31,56.90316004077472
2021-11-07,74.4118246687054
2021-11-14,71.49371389738363
2021-11-21,72.95276928304452
2021-11-28,75.8708800543663
2021-12-05,75.8708800543663
2021-12-12,83.16615698267074
2021-12-19,84.62521236833165
2021-12-26,81.70710159700985
2022-01-02,99.21576622494054
2022-01-09,89.00237852531431
2022-01-16,83.16615698267074
